Date,Values,Delta Calculations,Delta - Mean(-0.024162548)
2001-01-02,107.0, , 
2001-01-03,168.0,61.0,61.024162548
2001-01-04,157.0,-11.0,-10.975837452
2001-01-05,165.0,8.0,8.024162548
2001-01-08,140.0,-25.0,-24.975837452
2001-01-09,111.0,-29.0,-28.975837452
2001-01-10,144.0,33.0,33.024162548
2001-01-11,169.0,25.0,25.024162548
2001-01-12,546.0,377.0,377.024162548
2001-01-16,189.0,-357.0,-356.975837452
2001-01-17,201.0,12.0,12.024162548
2001-01-18,261.0,60.0,60.024162548
2001-01-19,228.0,-33.0,-32.975837452
2001-01-22,135.0,-93.0,-92.975837452
2001-01-23,185.0,50.0,50.024162548
2001-01-24,123.0,-62.0,-61.975837452
2001-01-25,172.0,49.0,49.024162548
2001-01-26,181.0,9.0,9.024162548
2001-01-29,128.0,-53.0,-52.975837452
2001-01-30,90.0,-38.0,-37.975837452
2001-01-31,112.0,22.0,22.024162548
2001-02-01,145.0,33.0,33.024162548
2001-02-02,226.0,81.0,81.024162548
2001-02-05,121.0,-105.0,-104.975837452
2001-02-06,130.0,9.0,9.024162548
2001-02-07,63.0,-67.0,-66.975837452
2001-02-08,70.0,7.0,7.024162548
2001-02-09,140.0,70.0,70.024162548
2001-02-12,71.0,-69.0,-68.975837452
2001-02-13,124.0,53.0,53.024162548
2001-02-14,87.0,-37.0,-36.975837452
2001-02-15,119.0,32.0,32.024162548
2001-02-16,132.0,13.0,13.024162548
2001-02-20,96.0,-36.0,-35.975837452
2001-02-21,89.0,-7.0,-6.975837452
2001-02-22,163.0,74.0,74.024162548
2001-02-23,220.0,57.0,57.024162548
2001-02-26,135.0,-85.0,-84.975837452
2001-02-27,180.0,45.0,45.024162548
2001-02-28,122.0,-58.0,-57.975837452
2001-03-01,214.0,92.0,92.024162548
2001-03-02,212.0,-2.0,-1.975837452
2001-03-05,148.0,-64.0,-63.975837452
2001-03-06,126.0,-22.0,-21.975837452
2001-03-07,212.0,86.0,86.024162548
2001-03-08,266.0,54.0,54.024162548
2001-03-09,204.0,-62.0,-61.975837452
2001-03-12,145.0,-59.0,-58.975837452
2001-03-13,133.0,-12.0,-11.975837452
2001-03-14,99.0,-34.0,-33.975837452
2001-03-15,99.0,0.0,0.024162548
2001-03-16,174.0,75.0,75.024162548
2001-03-19,95.0,-79.0,-78.975837452
2001-03-20,133.0,38.0,38.024162548
2001-03-21,178.0,45.0,45.024162548
2001-03-22,162.0,-16.0,-15.975837452
2001-03-23,251.0,89.0,89.024162548
2001-03-26,127.0,-124.0,-123.975837452
2001-03-27,176.0,49.0,49.024162548
2001-03-28,143.0,-33.0,-32.975837452
2001-03-29,119.0,-24.0,-23.975837452
2001-03-30,149.0,30.0,30.024162548
2001-04-02,100.0,-49.0,-48.975837452
2001-04-03,100.0,0.0,0.024162548
2001-04-04,146.0,46.0,46.024162548
2001-04-05,146.0,0.0,0.024162548
2001-04-06,216.0,70.0,70.024162548
2001-04-09,116.0,-100.0,-99.975837452
2001-04-10,109.0,-7.0,-6.975837452
2001-04-11,108.0,-1.0,-0.975837452
2001-04-12,200.0,92.0,92.024162548
2001-04-16,84.0,-116.0,-115.975837452
2001-04-17,141.0,57.0,57.024162548
2001-04-18,78.0,-63.0,-62.975837452
2001-04-19,109.0,31.0,31.024162548
2001-04-20,148.0,39.0,39.024162548
2001-04-23,121.0,-27.0,-26.975837452
2001-04-24,87.0,-34.0,-33.975837452
2001-04-25,138.0,51.0,51.024162548
2001-04-26,155.0,17.0,17.024162548
2001-04-27,186.0,31.0,31.024162548
2001-04-30,158.0,-28.0,-27.975837452
2001-05-01,109.0,-49.0,-48.975837452
2001-05-02,174.0,65.0,65.024162548
2001-05-03,158.0,-16.0,-15.975837452
2001-05-04,226.0,68.0,68.024162548
2001-05-07,134.0,-92.0,-91.975837452
2001-05-08,76.0,-58.0,-57.975837452
2001-05-09,102.0,26.0,26.024162548
2001-05-10,101.0,-1.0,-0.975837452
2001-05-11,141.0,40.0,40.024162548
2001-05-14,70.0,-71.0,-70.975837452
2001-05-15,71.0,1.0,1.024162548
2001-05-16,99.0,28.0,28.024162548
2001-05-17,86.0,-13.0,-12.975837452
2001-05-18,128.0,42.0,42.024162548
2001-05-21,106.0,-22.0,-21.975837452
2001-05-22,117.0,11.0,11.024162548
2001-05-23,181.0,64.0,64.024162548
2001-05-24,180.0,-1.0,-0.975837452
2001-05-25,160.0,-20.0,-19.975837452
2001-05-29,79.0,-81.0,-80.975837452
2001-05-30,114.0,35.0,35.024162548
2001-05-31,132.0,18.0,18.024162548
2001-06-01,135.0,3.0,3.024162548
2001-06-04,117.0,-18.0,-17.975837452
2001-06-05,136.0,19.0,19.024162548
