Date,Values,Delta Calculations,Delta - Mean(0.09198242699999999)
2001-01-02,972.0, , 
2001-01-03,1057.0,85.0,84.908017573
2001-01-04,1177.0,120.0,119.908017573
2001-01-05,679.0,-498.0,-498.091982427
2001-01-08,1295.0,616.0,615.908017573
2001-01-09,1465.0,170.0,169.908017573
2001-01-10,1112.0,-353.0,-353.091982427
2001-01-11,1687.0,575.0,574.908017573
2001-01-12,4275.0,2588.0,2587.908017573
2001-01-16,2316.0,-1959.0,-1959.091982427
2001-01-17,2690.0,374.0,373.908017573
2001-01-18,2181.0,-509.0,-509.091982427
2001-01-19,2609.0,428.0,427.908017573
2001-01-22,3886.0,1277.0,1276.908017573
2001-01-23,1705.0,-2181.0,-2181.091982427
2001-01-24,1981.0,276.0,275.908017573
2001-01-25,2543.0,562.0,561.908017573
2001-01-26,2090.0,-453.0,-453.091982427
2001-01-29,2047.0,-43.0,-43.091982427
2001-01-30,1925.0,-122.0,-122.091982427
2001-01-31,1485.0,-440.0,-440.091982427
2001-02-01,1684.0,199.0,198.908017573
2001-02-02,2036.0,352.0,351.908017573
2001-02-05,1239.0,-797.0,-797.091982427
2001-02-06,1014.0,-225.0,-225.091982427
2001-02-07,1949.0,935.0,934.908017573
2001-02-08,2841.0,892.0,891.908017573
2001-02-09,2134.0,-707.0,-707.091982427
2001-02-12,1548.0,-586.0,-586.091982427
2001-02-13,3513.0,1965.0,1964.908017573
2001-02-14,2709.0,-804.0,-804.091982427
2001-02-15,3074.0,365.0,364.908017573
2001-02-16,3009.0,-65.0,-65.091982427
2001-02-20,3198.0,189.0,188.908017573
2001-02-21,2245.0,-953.0,-953.091982427
2001-02-22,3904.0,1659.0,1658.908017573
2001-02-23,1984.0,-1920.0,-1920.091982427
2001-02-26,2641.0,657.0,656.908017573
2001-02-27,1305.0,-1336.0,-1336.091982427
2001-02-28,2443.0,1138.0,1137.908017573
2001-03-01,2090.0,-353.0,-353.091982427
2001-03-02,2081.0,-9.0,-9.091982427
2001-03-05,2222.0,141.0,140.908017573
2001-03-06,1890.0,-332.0,-332.091982427
2001-03-07,2547.0,657.0,656.908017573
2001-03-08,2633.0,86.0,85.908017573
2001-03-09,2368.0,-265.0,-265.091982427
2001-03-12,3374.0,1006.0,1005.908017573
2001-03-13,3852.0,478.0,477.908017573
2001-03-14,3453.0,-399.0,-399.091982427
2001-03-15,4209.0,756.0,755.908017573
2001-03-16,2981.0,-1228.0,-1228.091982427
2001-03-19,2190.0,-791.0,-791.091982427
2001-03-20,1434.0,-756.0,-756.091982427
2001-03-21,3506.0,2072.0,2071.908017573
2001-03-22,3351.0,-155.0,-155.091982427
2001-03-23,2695.0,-656.0,-656.091982427
2001-03-26,2702.0,7.0,6.908017573
2001-03-27,1886.0,-816.0,-816.091982427
2001-03-28,1489.0,-397.0,-397.091982427
2001-03-29,1375.0,-114.0,-114.091982427
2001-03-30,1606.0,231.0,230.908017573
2001-04-02,1085.0,-521.0,-521.091982427
