Date,Values,Delta Calculations,Delta - Mean(0.000128338)
1996-12-31,0.5, , 
1997-01-02,0.51,0.010000000000000009,0.009871662000000008
1997-01-03,0.51,0.0,-0.000128338
1997-01-06,0.51,0.0,-0.000128338
1997-01-07,0.5,-0.010000000000000009,-0.01012833800000001
1997-01-08,0.5,0.0,-0.000128338
1997-01-09,0.52,0.020000000000000018,0.01987166200000002
1997-01-10,0.63,0.10999999999999999,0.10987166199999998
1997-01-13,0.5,-0.13,-0.130128338
1997-01-14,0.5,0.0,-0.000128338
1997-01-15,0.5,0.0,-0.000128338
1997-01-16,0.5,0.0,-0.000128338
1997-01-17,0.5,0.0,-0.000128338
1997-01-20,0.5,0.0,-0.000128338
1997-01-21,0.51,0.010000000000000009,0.009871662000000008
1997-01-22,0.49,-0.020000000000000018,-0.020128338000000016
1997-01-23,0.49,0.0,-0.000128338
1997-01-24,0.49,0.0,-0.000128338
1997-01-27,0.49,0.0,-0.000128338
1997-01-28,0.49,0.0,-0.000128338
1997-01-29,0.49,0.0,-0.000128338
1997-01-30,0.5,0.010000000000000009,0.009871662000000008
1997-01-31,0.5,0.0,-0.000128338
1997-02-03,0.51,0.010000000000000009,0.009871662000000008
1997-02-04,0.51,0.0,-0.000128338
1997-02-05,0.5,-0.010000000000000009,-0.01012833800000001
1997-02-06,0.5,0.0,-0.000128338
1997-02-07,0.5,0.0,-0.000128338
1997-02-10,0.5,0.0,-0.000128338
1997-02-11,0.5,0.0,-0.000128338
1997-02-12,0.5,0.0,-0.000128338
1997-02-13,0.51,0.010000000000000009,0.009871662000000008
1997-02-14,0.49,-0.020000000000000018,-0.020128338000000016
1997-02-18,0.49,0.0,-0.000128338
1997-02-19,0.49,0.0,-0.000128338
1997-02-20,0.48,-0.010000000000000009,-0.01012833800000001
1997-02-21,0.48,0.0,-0.000128338
1997-02-24,0.49,0.010000000000000009,0.009871662000000008
1997-02-25,0.48,-0.010000000000000009,-0.01012833800000001
1997-02-26,0.48,0.0,-0.000128338
1997-02-27,0.48,0.0,-0.000128338
1997-02-28,0.47,-0.010000000000000009,-0.01012833800000001
1997-03-03,0.45,-0.019999999999999962,-0.02012833799999996
1997-03-04,0.45,0.0,-0.000128338
1997-03-05,0.45,0.0,-0.000128338
1997-03-06,0.46,0.010000000000000009,0.009871662000000008
1997-03-07,0.46,0.0,-0.000128338
1997-03-10,0.46,0.0,-0.000128338
1997-03-11,0.46,0.0,-0.000128338
1997-03-12,0.45,-0.010000000000000009,-0.01012833800000001
1997-03-13,0.45,0.0,-0.000128338
1997-03-14,0.45,0.0,-0.000128338
1997-03-17,0.45,0.0,-0.000128338
1997-03-18,0.45,0.0,-0.000128338
1997-03-19,0.45,0.0,-0.000128338
1997-03-20,0.45,0.0,-0.000128338
1997-03-21,0.46,0.010000000000000009,0.009871662000000008
1997-03-24,0.45,-0.010000000000000009,-0.01012833800000001
1997-03-25,0.45,0.0,-0.000128338
1997-03-26,0.44,-0.010000000000000009,-0.01012833800000001
1997-03-27,0.43,-0.010000000000000009,-0.01012833800000001
1997-03-31,0.45,0.020000000000000018,0.01987166200000002
