Date,Values,Delta Calculations,Delta - Mean(-0.000568862275449)
2003-12-31,4.58, , 
2004-01-02,4.65,0.07000000000000028,0.07056886227544928
2004-01-05,4.67,0.019999999999999574,0.020568862275448574
2004-01-06,4.61,-0.05999999999999961,-0.05943113772455061
2004-01-07,4.59,-0.020000000000000462,-0.01943113772455146
2004-01-08,4.6,0.009999999999999787,0.010568862275448787
2004-01-09,4.5,-0.09999999999999964,-0.09943113772455064
2004-01-12,4.4,-0.09999999999999964,-0.09943113772455064
2004-01-13,4.41,0.009999999999999787,0.010568862275448787
2004-01-14,4.34,-0.07000000000000028,-0.06943113772455128
2004-01-15,4.33,-0.009999999999999787,-0.009431137724550787
2004-01-16,4.33,0.0,0.000568862275449
2004-01-19,4.33,0.0,0.000568862275449
2004-01-20,4.36,0.03000000000000025,0.03056886227544925
2004-01-21,4.37,0.009999999999999787,0.010568862275448787
2004-01-22,4.33,-0.040000000000000036,-0.039431137724551035
2004-01-23,4.35,0.019999999999999574,0.020568862275448574
2004-01-26,4.44,0.09000000000000075,0.09056886227544975
2004-01-27,4.41,-0.03000000000000025,-0.02943113772455125
2004-01-28,4.42,0.009999999999999787,0.010568862275448787
2004-01-29,4.53,0.11000000000000032,0.11056886227544932
2004-01-30,4.51,-0.020000000000000462,-0.01943113772455146
2004-01-31,4.53,0.020000000000000462,0.020568862275449462
2004-02-02,4.5,-0.03000000000000025,-0.02943113772455125
2004-02-03,4.49,-0.009999999999999787,-0.009431137724550787
2004-02-04,4.48,-0.009999999999999787,-0.009431137724550787
2004-02-05,4.49,0.009999999999999787,0.010568862275448787
2004-02-06,4.45,-0.040000000000000036,-0.039431137724551035
2004-02-09,4.46,0.009999999999999787,0.010568862275448787
2004-02-10,4.48,0.020000000000000462,0.020568862275449462
2004-02-11,4.43,-0.05000000000000071,-0.04943113772455171
2004-02-12,4.43,0.0,0.000568862275449
2004-02-13,4.42,-0.009999999999999787,-0.009431137724550787
2004-02-16,4.41,-0.009999999999999787,-0.009431137724550787
2004-02-17,4.4,-0.009999999999999787,-0.009431137724550787
2004-02-18,4.38,-0.020000000000000462,-0.01943113772455146
2004-02-19,4.39,0.009999999999999787,0.010568862275448787
2004-02-20,4.4,0.010000000000000675,0.010568862275449675
2004-02-23,4.4,0.0,0.000568862275449
2004-02-24,4.34,-0.0600000000000005,-0.0594311377245515
2004-02-25,4.32,-0.019999999999999574,-0.019431137724550573
2004-02-26,4.34,0.019999999999999574,0.020568862275448574
2004-02-27,4.33,-0.009999999999999787,-0.009431137724550787
2004-02-29,4.34,0.009999999999999787,0.010568862275448787
2004-03-01,4.34,0.0,0.000568862275449
2004-03-02,4.35,0.009999999999999787,0.010568862275448787
2004-03-03,4.39,0.040000000000000036,0.040568862275449036
2004-03-04,4.36,-0.02999999999999936,-0.02943113772455036
2004-03-05,4.23,-0.1299999999999999,-0.1294311377245509
2004-03-08,4.17,-0.0600000000000005,-0.0594311377245515
2004-03-09,4.09,-0.08000000000000007,-0.07943113772455107
2004-03-10,4.1,0.009999999999999787,0.010568862275448787
2004-03-11,4.07,-0.02999999999999936,-0.02943113772455036
2004-03-12,4.06,-0.010000000000000675,-0.009431137724551675
2004-03-15,4.08,0.020000000000000462,0.020568862275449462
2004-03-16,4.08,0.0,0.000568862275449
2004-03-17,4.04,-0.040000000000000036,-0.039431137724551035
2004-03-18,4.07,0.03000000000000025,0.03056886227544925
2004-03-19,4.09,0.019999999999999574,0.020568862275448574
2004-03-22,4.06,-0.03000000000000025,-0.02943113772455125
2004-03-23,4.05,-0.009999999999999787,-0.009431137724550787
2004-03-24,4.03,-0.019999999999999574,-0.019431137724550573
2004-03-25,4.05,0.019999999999999574,0.020568862275448574
2004-03-26,4.09,0.040000000000000036,0.040568862275449036
2004-03-29,4.18,0.08999999999999986,0.09056886227544886
2004-03-30,4.19,0.010000000000000675,0.010568862275449675
2004-03-31,4.13,-0.0600000000000005,-0.0594311377245515
2004-04-01,4.17,0.040000000000000036,0.040568862275449036
2004-04-02,4.35,0.17999999999999972,0.18056886227544872
2004-04-05,4.42,0.07000000000000028,0.07056886227544928
2004-04-06,4.44,0.020000000000000462,0.020568862275449462
2004-04-07,4.43,-0.010000000000000675,-0.009431137724551675
2004-04-08,4.45,0.020000000000000462,0.020568862275449462
2004-04-12,4.5,0.04999999999999982,0.05056886227544882
2004-04-13,4.54,0.040000000000000036,0.040568862275449036
2004-04-14,4.64,0.09999999999999964,0.10056886227544864
2004-04-15,4.66,0.020000000000000462,0.020568862275449462
2004-04-16,4.62,-0.040000000000000036,-0.039431137724551035
2004-04-19,4.62,0.0,0.000568862275449
2004-04-20,4.65,0.03000000000000025,0.03056886227544925
