Date,Values,Delta Calculations,Delta - Mean(-0.00203385899814)
1998-12-31,13.77, , 
1999-01-04,13.75,-0.019999999999999574,-0.017966141001859573
1999-01-05,13.74,-0.009999999999999787,-0.007966141001859786
1999-01-06,13.64,-0.09999999999999964,-0.09796614100185964
1999-01-07,13.65,0.009999999999999787,0.012033858998139788
1999-01-08,13.68,0.02999999999999936,0.03203385899813936
1999-01-11,13.77,0.08999999999999986,0.09203385899813986
1999-01-12,13.78,0.009999999999999787,0.012033858998139788
1999-01-13,14.75,0.9700000000000006,0.9720338589981407
1999-01-14,15.18,0.4299999999999997,0.43203385899813973
1999-01-15,15.16,-0.019999999999999574,-0.017966141001859573
1999-01-18,15.14,-0.019999999999999574,-0.017966141001859573
1999-01-19,14.94,-0.20000000000000107,-0.19796614100186108
1999-01-20,14.81,-0.129999999999999,-0.12796614100185902
1999-01-21,14.81,0.0,0.00203385899814
1999-01-22,14.91,0.09999999999999964,0.10203385899813965
1999-01-25,15.06,0.15000000000000036,0.15203385899814034
1999-01-26,15.07,0.009999999999999787,0.012033858998139788
1999-01-27,14.75,-0.3200000000000003,-0.31796614100186027
1999-01-28,14.72,-0.02999999999999936,-0.02796614100185936
1999-01-29,14.62,-0.10000000000000142,-0.09796614100186142
1999-01-31,14.69,0.07000000000000028,0.07203385899814028
1999-02-01,14.58,-0.10999999999999943,-0.10796614100185943
1999-02-02,14.55,-0.02999999999999936,-0.02796614100185936
1999-02-03,14.46,-0.08999999999999986,-0.08796614100185986
1999-02-04,14.43,-0.030000000000001137,-0.027966141001861136
1999-02-05,14.45,0.019999999999999574,0.022033858998139574
1999-02-08,14.49,0.040000000000000924,0.042033858998140924
1999-02-09,14.47,-0.019999999999999574,-0.017966141001859573
1999-02-10,14.41,-0.0600000000000005,-0.0579661410018605
1999-02-11,14.41,0.0,0.00203385899814
1999-02-12,14.42,0.009999999999999787,0.012033858998139788
1999-02-15,14.44,0.019999999999999574,0.022033858998139574
1999-02-16,14.37,-0.07000000000000028,-0.06796614100186028
1999-02-17,14.33,-0.03999999999999915,-0.03796614100185915
1999-02-18,14.19,-0.14000000000000057,-0.13796614100186058
1999-02-19,14.19,0.0,0.00203385899814
1999-02-22,14.16,-0.02999999999999936,-0.02796614100185936
1999-02-23,14.18,0.019999999999999574,0.022033858998139574
1999-02-24,14.24,0.0600000000000005,0.0620338589981405
1999-02-25,14.29,0.049999999999998934,0.052033858998138935
1999-02-26,14.3,0.010000000000001563,0.012033858998141564
1999-02-28,14.16,-0.14000000000000057,-0.13796614100186058
