Date,Values,Delta Calculations,Delta - Mean(0.0331004657352)
2003-12-31,100.0, , 
2004-01-02,99.63,-0.37000000000000455,-0.4031004657352045
2004-01-05,99.58,-0.04999999999999716,-0.08310046573519717
2004-01-06,100.05,0.46999999999999886,0.4368995342647989
2004-01-07,100.09,0.04000000000000625,0.006899534264806252
2004-01-08,100.25,0.1599999999999966,0.12689953426479658
2004-01-09,100.98,0.730000000000004,0.696899534264804
2004-01-12,101.5,0.519999999999996,0.48689953426479604
2004-01-13,101.56,0.060000000000002274,0.026899534264802273
2004-01-14,101.68,0.12000000000000455,0.08689953426480454
2004-01-15,101.64,-0.04000000000000625,-0.07310046573520626
2004-01-16,101.58,-0.060000000000002274,-0.09310046573520228
2004-01-19,101.63,0.04999999999999716,0.016899534264797157
2004-01-20,101.54,-0.0899999999999892,-0.12310046573518921
2004-01-21,101.62,0.0799999999999983,0.046899534264798294
2004-01-22,101.89,0.269999999999996,0.236899534264796
2004-01-23,101.83,-0.060000000000002274,-0.09310046573520228
2004-01-26,101.32,-0.5100000000000051,-0.5431004657352051
2004-01-27,101.5,0.18000000000000682,0.1468995342648068
2004-01-28,101.39,-0.10999999999999943,-0.14310046573519944
2004-01-29,100.93,-0.45999999999999375,-0.4931004657351937
2004-01-30,101.17,0.23999999999999488,0.20689953426479488
2004-01-31,101.18,0.010000000000005116,-0.023100465735194885
2004-02-02,101.28,0.09999999999999432,0.06689953426479431
2004-02-03,101.32,0.03999999999999204,0.006899534264792041
2004-02-04,101.05,-0.269999999999996,-0.303100465735196
2004-02-05,100.94,-0.10999999999999943,-0.14310046573519944
2004-02-06,101.14,0.20000000000000284,0.16689953426480283
2004-02-09,101.34,0.20000000000000284,0.16689953426480283
2004-02-10,101.28,-0.060000000000002274,-0.09310046573520228
2004-02-11,101.42,0.14000000000000057,0.10689953426480056
2004-02-12,101.57,0.14999999999999147,0.11689953426479147
2004-02-13,101.58,0.010000000000005116,-0.023100465735194885
2004-02-16,101.63,0.04999999999999716,0.016899534264797157
2004-02-17,101.56,-0.06999999999999318,-0.10310046573519319
2004-02-18,101.7,0.14000000000000057,0.10689953426480056
2004-02-19,101.63,-0.07000000000000739,-0.1031004657352074
2004-02-20,101.61,-0.01999999999999602,-0.05310046573519602
2004-02-23,101.76,0.15000000000000568,0.11689953426480568
2004-02-24,102.02,0.2599999999999909,0.2268995342647909
2004-02-25,102.05,0.030000000000001137,-0.0031004657351988638
2004-02-26,101.96,-0.09000000000000341,-0.12310046573520342
2004-02-27,102.12,0.1600000000000108,0.1268995342648108
2004-02-29,102.16,0.03999999999999204,0.006899534264792041
2004-03-01,102.26,0.10000000000000853,0.06689953426480852
2004-03-02,102.14,-0.12000000000000455,-0.15310046573520456
2004-03-03,102.03,-0.10999999999999943,-0.14310046573519944
2004-03-04,102.13,0.09999999999999432,0.06689953426479431
2004-03-05,102.89,0.7600000000000051,0.7268995342648051
2004-03-08,103.19,0.29999999999999716,0.2668995342647972
2004-03-09,103.42,0.23000000000000398,0.19689953426480397
2004-03-10,103.49,0.06999999999999318,0.03689953426479318
2004-03-11,103.55,0.060000000000002274,0.026899534264802273
2004-03-12,103.62,0.07000000000000739,0.03689953426480739
2004-03-15,103.56,-0.060000000000002274,-0.09310046573520228
2004-03-16,103.71,0.14999999999999147,0.11689953426479147
2004-03-17,103.96,0.25,0.2168995342648
2004-03-18,103.72,-0.23999999999999488,-0.27310046573519486
2004-03-19,103.89,0.1700000000000017,0.1368995342648017
2004-03-22,104.03,0.14000000000000057,0.10689953426480056
2004-03-23,104.11,0.0799999999999983,0.046899534264798294
2004-03-24,104.37,0.2600000000000051,0.2268995342648051
2004-03-25,104.29,-0.0799999999999983,-0.1131004657351983
2004-03-26,104.07,-0.22000000000001307,-0.25310046573521305
2004-03-29,103.73,-0.3399999999999892,-0.3731004657351892
2004-03-30,103.84,0.10999999999999943,0.07689953426479942
2004-03-31,104.09,0.25,0.2168995342648
2004-04-01,103.71,-0.38000000000000966,-0.41310046573520964
2004-04-02,102.82,-0.8900000000000006,-0.9231004657352005
2004-04-05,102.35,-0.46999999999999886,-0.5031004657351988
2004-04-06,102.37,0.020000000000010232,-0.013100465735189769
2004-04-07,102.36,-0.010000000000005116,-0.04310046573520512
2004-04-08,102.31,-0.04999999999999716,-0.08310046573519717
2004-04-12,102.25,-0.060000000000002274,-0.09310046573520228
2004-04-13,102.01,-0.23999999999999488,-0.27310046573519486
2004-04-14,101.46,-0.5500000000000114,-0.5831004657352113
2004-04-15,101.28,-0.1799999999999926,-0.21310046573519262
2004-04-16,101.81,0.5300000000000011,0.49689953426480116
2004-04-19,101.93,0.12000000000000455,0.08689953426480454
2004-04-20,101.74,-0.19000000000001194,-0.22310046573521194
2004-04-21,101.2,-0.539999999999992,-0.573100465735192
2004-04-22,101.25,0.04999999999999716,0.016899534264797157
2004-04-23,100.96,-0.29000000000000625,-0.32310046573520623
2004-04-26,100.93,-0.029999999999986926,-0.06310046573518693
2004-04-27,100.87,-0.060000000000002274,-0.09310046573520228
2004-04-28,100.59,-0.28000000000000114,-0.3131004657352011
2004-04-29,99.92,-0.6700000000000017,-0.7031004657352017
2004-04-30,99.85,-0.07000000000000739,-0.1031004657352074
2004-05-03,99.84,-0.009999999999990905,-0.043100465735190906
2004-05-04,99.76,-0.0799999999999983,-0.1131004657351983
2004-05-05,99.62,-0.14000000000000057,-0.17310046573520058
2004-05-06,98.71,-0.9100000000000108,-0.9431004657352108
2004-05-07,97.47,-1.2399999999999949,-1.273100465735195
2004-05-10,97.11,-0.35999999999999943,-0.3931004657351994
2004-05-11,96.94,-0.1700000000000017,-0.2031004657352017
2004-05-12,96.75,-0.18999999999999773,-0.22310046573519773
2004-05-13,96.4,-0.3499999999999943,-0.3831004657351943
2004-05-14,96.44,0.03999999999999204,0.006899534264792041
2004-05-17,96.89,0.45000000000000284,0.41689953426480286
2004-05-18,97.1,0.20999999999999375,0.17689953426479374
2004-05-19,96.95,-0.14999999999999147,-0.18310046573519148
2004-05-20,97.8,0.8499999999999943,0.8168995342647943
2004-05-21,97.3,-0.5,-0.5331004657352
2004-05-24,97.71,0.4099999999999966,0.3768995342647966
2004-05-25,97.98,0.27000000000001023,0.23689953426481022
2004-05-26,98.29,0.3100000000000023,0.2768995342648023
2004-05-27,98.32,0.029999999999986926,-0.0031004657352130746
2004-05-28,98.43,0.11000000000001364,0.07689953426481363
2004-05-31,98.47,0.03999999999999204,0.006899534264792041
2004-06-01,97.96,-0.5100000000000051,-0.5431004657352051
2004-06-02,98.05,0.09000000000000341,0.05689953426480341
2004-06-03,98.08,0.030000000000001137,-0.0031004657351988638
2004-06-04,97.89,-0.18999999999999773,-0.22310046573519773
2004-06-07,97.96,0.06999999999999318,0.03689953426479318
2004-06-08,97.93,-0.029999999999986926,-0.06310046573518693
2004-06-09,97.86,-0.07000000000000739,-0.1031004657352074
2004-06-10,97.64,-0.21999999999999886,-0.25310046573519884
2004-06-11,97.66,0.01999999999999602,-0.01310046573520398
2004-06-14,97.53,-0.12999999999999545,-0.16310046573519546
2004-06-15,98.06,0.5300000000000011,0.49689953426480116
2004-06-16,97.98,-0.0799999999999983,-0.1131004657351983
2004-06-17,98.08,0.09999999999999432,0.06689953426479431
2004-06-18,98.16,0.0799999999999983,0.046899534264798294
2004-06-21,98.23,0.07000000000000739,0.03689953426480739
2004-06-22,98.19,-0.04000000000000625,-0.07310046573520626
2004-06-23,98.18,-0.009999999999990905,-0.043100465735190906
2004-06-24,98.64,0.45999999999999375,0.42689953426479377
2004-06-25,98.76,0.12000000000000455,0.08689953426480454
2004-06-28,98.45,-0.3100000000000023,-0.34310046573520225
2004-06-29,98.54,0.09000000000000341,0.05689953426480341
2004-06-30,98.91,0.36999999999999034,0.33689953426479036
2004-07-01,99.06,0.15000000000000568,0.11689953426480568
2004-07-02,99.54,0.480000000000004,0.446899534264804
