Date,Values,Delta Calculations,Delta - Mean(-0.0023538961039)
1998-12-31,15.29, , 
1999-01-04,15.25,-0.03999999999999915,-0.037646103896099146
1999-01-05,15.23,-0.019999999999999574,-0.017646103896099573
1999-01-06,15.12,-0.11000000000000121,-0.10764610389610121
1999-01-07,15.16,0.040000000000000924,0.042353896103900925
1999-01-08,15.18,0.019999999999999574,0.022353896103899575
1999-01-11,15.28,0.09999999999999964,0.10235389610389964
1999-01-12,15.28,0.0,0.0023538961039
1999-01-13,16.09,0.8100000000000005,0.8123538961039005
1999-01-14,16.34,0.25,0.2523538961039
1999-01-15,16.4,0.05999999999999872,0.06235389610389872
1999-01-18,16.36,-0.03999999999999915,-0.037646103896099146
1999-01-19,16.22,-0.14000000000000057,-0.13764610389610057
1999-01-20,16.14,-0.0799999999999983,-0.0776461038960983
1999-01-21,16.12,-0.019999999999999574,-0.017646103896099573
1999-01-22,16.16,0.03999999999999915,0.04235389610389915
1999-01-25,16.3,0.14000000000000057,0.14235389610390056
1999-01-26,16.26,-0.03999999999999915,-0.037646103896099146
1999-01-27,15.71,-0.5500000000000007,-0.5476461038961007
1999-01-28,15.65,-0.0600000000000005,-0.057646103896100497
1999-01-29,15.6,-0.05000000000000071,-0.04764610389610071
1999-01-31,15.72,0.120000000000001,0.12235389610390099
1999-02-01,15.65,-0.07000000000000028,-0.06764610389610029
1999-02-02,15.58,-0.07000000000000028,-0.06764610389610029
1999-02-03,15.43,-0.15000000000000036,-0.14764610389610036
1999-02-04,15.43,0.0,0.0023538961039
1999-02-05,15.45,0.019999999999999574,0.022353896103899575
1999-02-08,15.45,0.0,0.0023538961039
1999-02-09,15.43,-0.019999999999999574,-0.017646103896099573
1999-02-10,15.42,-0.009999999999999787,-0.007646103896099787
1999-02-11,15.42,0.0,0.0023538961039
1999-02-12,15.48,0.0600000000000005,0.0623538961039005
1999-02-15,15.5,0.019999999999999574,0.022353896103899575
1999-02-16,15.41,-0.08999999999999986,-0.08764610389609986
1999-02-17,15.39,-0.019999999999999574,-0.017646103896099573
1999-02-18,15.27,-0.120000000000001,-0.117646103896101
1999-02-19,15.29,0.019999999999999574,0.022353896103899575
