Date,Values,Delta Calculations,Delta - Mean(0.0003125646864)
1996-12-31,1.95, , 
1997-01-02,1.92,-0.030000000000000027,-0.030312564686400027
1997-01-03,1.94,0.020000000000000018,0.019687435313600017
1997-01-06,1.94,0.0,-0.0003125646864
1997-01-07,1.93,-0.010000000000000009,-0.01031256468640001
1997-01-08,1.91,-0.020000000000000018,-0.02031256468640002
1997-01-09,1.96,0.050000000000000044,0.049687435313600044
1997-01-10,2.02,0.06000000000000005,0.05968743531360005
1997-01-13,1.9,-0.1200000000000001,-0.1203125646864001
1997-01-14,1.92,0.020000000000000018,0.019687435313600017
1997-01-15,1.91,-0.010000000000000009,-0.01031256468640001
1997-01-16,1.88,-0.030000000000000027,-0.030312564686400027
1997-01-17,1.88,0.0,-0.0003125646864
1997-01-20,1.88,0.0,-0.0003125646864
1997-01-21,1.9,0.020000000000000018,0.019687435313600017
1997-01-22,1.86,-0.039999999999999813,-0.040312564686399814
1997-01-23,1.84,-0.020000000000000018,-0.02031256468640002
1997-01-24,1.82,-0.020000000000000018,-0.02031256468640002
1997-01-27,1.79,-0.030000000000000027,-0.030312564686400027
1997-01-28,1.81,0.020000000000000018,0.019687435313600017
1997-01-29,1.81,0.0,-0.0003125646864
1997-01-30,1.82,0.010000000000000009,0.009687435313600008
1997-01-31,1.86,0.040000000000000036,0.039687435313600035
1997-02-03,1.87,0.010000000000000009,0.009687435313600008
1997-02-04,1.88,0.009999999999999787,0.009687435313599786
1997-02-05,1.85,-0.029999999999999805,-0.030312564686399805
1997-02-06,1.84,-0.010000000000000009,-0.01031256468640001
1997-02-07,1.86,0.020000000000000018,0.019687435313600017
1997-02-10,1.84,-0.020000000000000018,-0.02031256468640002
1997-02-11,1.84,0.0,-0.0003125646864
1997-02-12,1.83,-0.010000000000000009,-0.01031256468640001
1997-02-13,1.84,0.010000000000000009,0.009687435313600008
1997-02-14,1.84,0.0,-0.0003125646864
1997-02-18,1.82,-0.020000000000000018,-0.02031256468640002
1997-02-19,1.8,-0.020000000000000018,-0.02031256468640002
1997-02-20,1.76,-0.040000000000000036,-0.040312564686400036
1997-02-21,1.77,0.010000000000000009,0.009687435313600008
1997-02-24,1.75,-0.020000000000000018,-0.02031256468640002
1997-02-25,1.73,-0.020000000000000018,-0.02031256468640002
1997-02-26,1.66,-0.07000000000000006,-0.07031256468640006
1997-02-27,1.66,0.0,-0.0003125646864
1997-02-28,1.68,0.020000000000000018,0.019687435313600017
1997-03-03,1.66,-0.020000000000000018,-0.02031256468640002
1997-03-04,1.64,-0.020000000000000018,-0.02031256468640002
1997-03-05,1.65,0.010000000000000009,0.009687435313600008
1997-03-06,1.65,0.0,-0.0003125646864
1997-03-07,1.67,0.020000000000000018,0.019687435313600017
1997-03-10,1.66,-0.010000000000000009,-0.01031256468640001
1997-03-11,1.65,-0.010000000000000009,-0.01031256468640001
1997-03-12,1.63,-0.020000000000000018,-0.02031256468640002
