Date,Values,Delta Calculations,Delta - Mean(-0.000205807513845)
1962-01-02,3.7, , 
1962-01-03,3.7,0.0,0.000205807513845
1962-01-04,3.69,-0.010000000000000231,-0.00979419248615523
1962-01-05,3.71,0.020000000000000018,0.020205807513845018
1962-01-08,3.71,0.0,0.000205807513845
1962-01-09,3.74,0.03000000000000025,0.03020580751384525
1962-01-10,3.75,0.009999999999999787,0.010205807513844787
1962-01-11,3.77,0.020000000000000018,0.020205807513845018
1962-01-12,3.76,-0.010000000000000231,-0.00979419248615523
1962-01-15,3.79,0.03000000000000025,0.03020580751384525
1962-01-16,3.81,0.020000000000000018,0.020205807513845018
1962-01-17,3.81,0.0,0.000205807513845
1962-01-18,3.79,-0.020000000000000018,-0.019794192486155018
1962-01-19,3.78,-0.010000000000000231,-0.00979419248615523
1962-01-22,3.76,-0.020000000000000018,-0.019794192486155018
1962-01-23,3.77,0.010000000000000231,0.010205807513845231
1962-01-24,3.76,-0.010000000000000231,-0.00979419248615523
1962-01-25,3.77,0.010000000000000231,0.010205807513845231
1962-01-26,3.8,0.029999999999999805,0.030205807513844805
1962-01-29,3.8,0.0,0.000205807513845
1962-01-30,3.8,0.0,0.000205807513845
1962-01-31,3.81,0.010000000000000231,0.010205807513845231
1962-02-01,3.81,0.0,0.000205807513845
1962-02-02,3.77,-0.040000000000000036,-0.03979419248615504
1962-02-05,3.77,0.0,0.000205807513845
1962-02-06,3.77,0.0,0.000205807513845
1962-02-07,3.77,0.0,0.000205807513845
1962-02-08,3.75,-0.020000000000000018,-0.019794192486155018
1962-02-09,3.73,-0.020000000000000018,-0.019794192486155018
1962-02-13,3.72,-0.009999999999999787,-0.009794192486154787
1962-02-14,3.71,-0.010000000000000231,-0.00979419248615523
1962-02-15,3.71,0.0,0.000205807513845
1962-02-16,3.69,-0.020000000000000018,-0.019794192486155018
1962-02-19,3.67,-0.020000000000000018,-0.019794192486155018
1962-02-20,3.67,0.0,0.000205807513845
1962-02-21,3.64,-0.029999999999999805,-0.029794192486154805
1962-02-23,3.6,-0.040000000000000036,-0.03979419248615504
1962-02-26,3.58,-0.020000000000000018,-0.019794192486155018
1962-02-27,3.57,-0.010000000000000231,-0.00979419248615523
1962-02-28,3.53,-0.040000000000000036,-0.03979419248615504
1962-03-01,3.44,-0.08999999999999986,-0.08979419248615486
1962-03-02,3.48,0.040000000000000036,0.04020580751384503
1962-03-05,3.53,0.04999999999999982,0.05020580751384482
1962-03-06,3.52,-0.009999999999999787,-0.009794192486154787
1962-03-07,3.52,0.0,0.000205807513845
1962-03-08,3.51,-0.010000000000000231,-0.00979419248615523
1962-03-09,3.53,0.020000000000000018,0.020205807513845018
1962-03-12,3.54,0.010000000000000231,0.010205807513845231
1962-03-13,3.53,-0.010000000000000231,-0.00979419248615523
1962-03-14,3.53,0.0,0.000205807513845
1962-03-15,3.52,-0.009999999999999787,-0.009794192486154787
1962-03-16,3.48,-0.040000000000000036,-0.03979419248615504
1962-03-19,3.44,-0.040000000000000036,-0.03979419248615504
1962-03-20,3.41,-0.029999999999999805,-0.029794192486154805
1962-03-21,3.37,-0.040000000000000036,-0.03979419248615504
1962-03-22,3.29,-0.08000000000000007,-0.07979419248615507
1962-03-23,3.33,0.040000000000000036,0.04020580751384503
1962-03-26,3.37,0.040000000000000036,0.04020580751384503
1962-03-27,3.39,0.020000000000000018,0.020205807513845018
1962-03-28,3.39,0.0,0.000205807513845
1962-03-29,3.4,0.009999999999999787,0.010205807513844787
1962-03-30,3.39,-0.009999999999999787,-0.009794192486154787
1962-04-02,3.38,-0.010000000000000231,-0.00979419248615523
1962-04-03,3.36,-0.020000000000000018,-0.019794192486155018
1962-04-04,3.28,-0.08000000000000007,-0.07979419248615507
1962-04-05,3.34,0.06000000000000005,0.06020580751384505
1962-04-06,3.32,-0.020000000000000018,-0.019794192486155018
1962-04-09,3.33,0.010000000000000231,0.010205807513845231
1962-04-10,3.36,0.029999999999999805,0.030205807513844805
1962-04-11,3.41,0.050000000000000266,0.05020580751384526
1962-04-12,3.4,-0.010000000000000231,-0.00979419248615523
1962-04-13,3.38,-0.020000000000000018,-0.019794192486155018
1962-04-16,3.37,-0.009999999999999787,-0.009794192486154787
1962-04-17,3.36,-0.010000000000000231,-0.00979419248615523
1962-04-18,3.35,-0.009999999999999787,-0.009794192486154787
1962-04-19,3.37,0.020000000000000018,0.020205807513845018
1962-04-23,3.4,0.029999999999999805,0.030205807513844805
1962-04-24,3.42,0.020000000000000018,0.020205807513845018
1962-04-25,3.43,0.010000000000000231,0.010205807513845231
1962-04-26,3.43,0.0,0.000205807513845
1962-04-27,3.45,0.020000000000000018,0.020205807513845018
1962-04-30,3.47,0.020000000000000018,0.020205807513845018
1962-05-01,3.45,-0.020000000000000018,-0.019794192486155018
1962-05-02,3.44,-0.010000000000000231,-0.00979419248615523
1962-05-03,3.42,-0.020000000000000018,-0.019794192486155018
1962-05-04,3.42,0.0,0.000205807513845
1962-05-07,3.41,-0.009999999999999787,-0.009794192486154787
1962-05-08,3.39,-0.020000000000000018,-0.019794192486155018
1962-05-09,3.37,-0.020000000000000018,-0.019794192486155018
1962-05-10,3.37,0.0,0.000205807513845
1962-05-11,3.37,0.0,0.000205807513845
1962-05-14,3.39,0.020000000000000018,0.020205807513845018
1962-05-15,3.41,0.020000000000000018,0.020205807513845018
1962-05-16,3.4,-0.010000000000000231,-0.00979419248615523
1962-05-17,3.4,0.0,0.000205807513845
1962-05-18,3.44,0.040000000000000036,0.04020580751384503
1962-05-21,3.46,0.020000000000000018,0.020205807513845018
1962-05-22,3.44,-0.020000000000000018,-0.019794192486155018
1962-05-23,3.42,-0.020000000000000018,-0.019794192486155018
1962-05-24,3.39,-0.029999999999999805,-0.029794192486154805
1962-05-25,3.37,-0.020000000000000018,-0.019794192486155018
1962-05-28,3.36,-0.010000000000000231,-0.00979419248615523
1962-05-29,3.37,0.010000000000000231,0.010205807513845231
1962-05-31,3.36,-0.010000000000000231,-0.00979419248615523
1962-06-01,3.35,-0.009999999999999787,-0.009794192486154787
1962-06-04,3.33,-0.020000000000000018,-0.019794192486155018
1962-06-05,3.35,0.020000000000000018,0.020205807513845018
1962-06-06,3.34,-0.010000000000000231,-0.00979419248615523
1962-06-07,3.33,-0.009999999999999787,-0.009794192486154787
1962-06-08,3.33,0.0,0.000205807513845
1962-06-11,3.31,-0.020000000000000018,-0.019794192486155018
1962-06-12,3.29,-0.020000000000000018,-0.019794192486155018
1962-06-13,3.31,0.020000000000000018,0.020205807513845018
1962-06-14,3.34,0.029999999999999805,0.030205807513844805
1962-06-15,3.34,0.0,0.000205807513845
1962-06-18,3.36,0.020000000000000018,0.020205807513845018
1962-06-19,3.41,0.050000000000000266,0.05020580751384526
1962-06-20,3.4,-0.010000000000000231,-0.00979419248615523
1962-06-21,3.38,-0.020000000000000018,-0.019794192486155018
1962-06-22,3.38,0.0,0.000205807513845
1962-06-25,3.47,0.0900000000000003,0.0902058075138453
1962-06-26,3.5,0.029999999999999805,0.030205807513844805
1962-06-27,3.49,-0.009999999999999787,-0.009794192486154787
1962-06-28,3.53,0.03999999999999959,0.04020580751384459
1962-06-29,3.56,0.03000000000000025,0.03020580751384525
1962-07-02,3.57,0.009999999999999787,0.010205807513844787
1962-07-03,3.58,0.010000000000000231,0.010205807513845231
1962-07-05,3.59,0.009999999999999787,0.010205807513844787
1962-07-06,3.6,0.010000000000000231,0.010205807513845231
1962-07-09,3.67,0.06999999999999984,0.07020580751384484
1962-07-10,3.65,-0.020000000000000018,-0.019794192486155018
1962-07-11,3.59,-0.06000000000000005,-0.05979419248615506
1962-07-12,3.6,0.010000000000000231,0.010205807513845231
1962-07-13,3.61,0.009999999999999787,0.010205807513844787
1962-07-16,3.63,0.020000000000000018,0.020205807513845018
1962-07-17,3.66,0.03000000000000025,0.03020580751384525
1962-07-18,3.65,-0.010000000000000231,-0.00979419248615523
1962-07-19,3.64,-0.009999999999999787,-0.009794192486154787
1962-07-20,3.63,-0.010000000000000231,-0.00979419248615523
1962-07-23,3.6,-0.029999999999999805,-0.029794192486154805
1962-07-24,3.61,0.009999999999999787,0.010205807513844787
1962-07-25,3.62,0.010000000000000231,0.010205807513845231
1962-07-26,3.62,0.0,0.000205807513845
1962-07-27,3.59,-0.03000000000000025,-0.02979419248615525
1962-07-30,3.61,0.020000000000000018,0.020205807513845018
1962-07-31,3.62,0.010000000000000231,0.010205807513845231
