Date,Values,Delta Calculations,Delta - Mean(-0.000616219667944)
2003-01-02,2.75, , 
2003-01-03,2.75,0.0,0.000616219667944
2003-01-06,2.79,0.040000000000000036,0.040616219667944035
2003-01-07,2.79,0.0,0.000616219667944
2003-01-08,2.76,-0.03000000000000025,-0.02938378033205625
2003-01-09,2.8,0.040000000000000036,0.040616219667944035
2003-01-10,2.8,0.0,0.000616219667944
2003-01-13,2.77,-0.029999999999999805,-0.029383780332055805
2003-01-14,2.75,-0.020000000000000018,-0.019383780332056018
2003-01-15,2.73,-0.020000000000000018,-0.019383780332056018
2003-01-16,2.73,0.0,0.000616219667944
2003-01-17,2.69,-0.040000000000000036,-0.039383780332056036
2003-01-21,2.68,-0.009999999999999787,-0.009383780332055787
2003-01-22,2.67,-0.010000000000000231,-0.009383780332056231
2003-01-23,2.66,-0.009999999999999787,-0.009383780332055787
2003-01-24,2.62,-0.040000000000000036,-0.039383780332056036
2003-01-27,2.63,0.009999999999999787,0.010616219667943787
2003-01-28,2.66,0.03000000000000025,0.03061621966794425
2003-01-29,2.68,0.020000000000000018,0.020616219667944018
2003-01-30,2.66,-0.020000000000000018,-0.019383780332056018
2003-01-31,2.66,0.0,0.000616219667944
2003-02-03,2.66,0.0,0.000616219667944
2003-02-04,2.6,-0.06000000000000005,-0.05938378033205605
2003-02-05,2.6,0.0,0.000616219667944
2003-02-06,2.57,-0.03000000000000025,-0.02938378033205625
2003-02-07,2.55,-0.020000000000000018,-0.019383780332056018
2003-02-10,2.54,-0.009999999999999787,-0.009383780332055787
2003-02-11,2.53,-0.010000000000000231,-0.009383780332056231
2003-02-12,2.51,-0.020000000000000018,-0.019383780332056018
2003-02-13,2.48,-0.029999999999999805,-0.029383780332055805
2003-02-14,2.52,0.040000000000000036,0.040616219667944035
2003-02-18,2.52,0.0,0.000616219667944
2003-02-19,2.5,-0.020000000000000018,-0.019383780332056018
2003-02-20,2.47,-0.029999999999999805,-0.029383780332055805
2003-02-21,2.47,0.0,0.000616219667944
2003-02-24,2.44,-0.03000000000000025,-0.02938378033205625
2003-02-25,2.41,-0.029999999999999805,-0.029383780332055805
2003-02-26,2.42,0.009999999999999787,0.010616219667943787
2003-02-27,2.41,-0.009999999999999787,-0.009383780332055787
2003-02-28,2.35,-0.06000000000000005,-0.05938378033205605
2003-03-03,2.36,0.009999999999999787,0.010616219667943787
2003-03-04,2.36,0.0,0.000616219667944
2003-03-05,2.35,-0.009999999999999787,-0.009383780332055787
2003-03-06,2.35,0.0,0.000616219667944
2003-03-07,2.34,-0.010000000000000231,-0.009383780332056231
2003-03-10,2.33,-0.009999999999999787,-0.009383780332055787
2003-03-11,2.34,0.009999999999999787,0.010616219667943787
2003-03-12,2.35,0.010000000000000231,0.01061621966794423
2003-03-13,2.41,0.06000000000000005,0.06061621966794405
2003-03-14,2.46,0.04999999999999982,0.05061621966794382
2003-03-17,2.53,0.06999999999999984,0.07061621966794385
2003-03-18,2.59,0.06000000000000005,0.06061621966794405
2003-03-19,2.65,0.06000000000000005,0.06061621966794405
2003-03-20,2.69,0.040000000000000036,0.040616219667944035
2003-03-21,2.74,0.050000000000000266,0.050616219667944266
2003-03-24,2.7,-0.040000000000000036,-0.039383780332056036
2003-03-25,2.7,0.0,0.000616219667944
2003-03-26,2.68,-0.020000000000000018,-0.019383780332056018
2003-03-27,2.67,-0.010000000000000231,-0.009383780332056231
2003-03-28,2.66,-0.009999999999999787,-0.009383780332055787
2003-03-31,2.63,-0.03000000000000025,-0.02938378033205625
2003-04-01,2.61,-0.020000000000000018,-0.019383780332056018
2003-04-02,2.67,0.06000000000000005,0.06061621966794405
2003-04-03,2.66,-0.009999999999999787,-0.009383780332055787
2003-04-04,2.67,0.009999999999999787,0.010616219667943787
2003-04-07,2.75,0.08000000000000007,0.08061621966794408
2003-04-08,2.71,-0.040000000000000036,-0.039383780332056036
2003-04-09,2.71,0.0,0.000616219667944
2003-04-10,2.71,0.0,0.000616219667944
2003-04-11,2.74,0.03000000000000025,0.03061621966794425
2003-04-14,2.77,0.029999999999999805,0.030616219667943805
2003-04-15,2.75,-0.020000000000000018,-0.019383780332056018
2003-04-16,2.74,-0.009999999999999787,-0.009383780332055787
2003-04-17,2.75,0.009999999999999787,0.010616219667943787
2003-04-21,2.77,0.020000000000000018,0.020616219667944018
2003-04-22,2.77,0.0,0.000616219667944
2003-04-23,2.78,0.009999999999999787,0.010616219667943787
2003-04-24,2.73,-0.04999999999999982,-0.04938378033205582
2003-04-25,2.71,-0.020000000000000018,-0.019383780332056018
2003-04-28,2.69,-0.020000000000000018,-0.019383780332056018
2003-04-29,2.73,0.040000000000000036,0.040616219667944035
2003-04-30,2.7,-0.029999999999999805,-0.029383780332055805
2003-05-01,2.66,-0.040000000000000036,-0.039383780332056036
2003-05-02,2.7,0.040000000000000036,0.040616219667944035
2003-05-05,2.68,-0.020000000000000018,-0.019383780332056018
2003-05-06,2.63,-0.050000000000000266,-0.04938378033205627
2003-05-07,2.52,-0.10999999999999988,-0.10938378033205587
2003-05-08,2.47,-0.04999999999999982,-0.04938378033205582
2003-05-09,2.44,-0.03000000000000025,-0.02938378033205625
2003-05-12,2.41,-0.029999999999999805,-0.029383780332055805
2003-05-13,2.41,0.0,0.000616219667944
2003-05-14,2.37,-0.040000000000000036,-0.039383780332056036
2003-05-15,2.36,-0.010000000000000231,-0.009383780332056231
2003-05-16,2.33,-0.029999999999999805,-0.029383780332055805
2003-05-19,2.32,-0.010000000000000231,-0.009383780332056231
