Date,Values,Delta Calculations,Delta - Mean(-0.0007374954362910001)
2004-07-28,2.37, , 
2004-07-29,2.44,0.06999999999999984,0.07073749543629083
2004-07-30,2.37,-0.06999999999999984,-0.06926250456370885
2004-08-02,2.38,0.009999999999999787,0.010737495436290786
2004-08-03,2.36,-0.020000000000000018,-0.019262504563709017
2004-08-04,2.36,0.0,0.0007374954362910001
2004-08-05,2.33,-0.029999999999999805,-0.029262504563708804
2004-08-06,2.23,-0.10000000000000009,-0.0992625045637091
2004-08-09,2.24,0.010000000000000231,0.01073749543629123
2004-08-10,2.25,0.009999999999999787,0.010737495436290786
2004-08-11,2.23,-0.020000000000000018,-0.019262504563709017
2004-08-12,2.18,-0.04999999999999982,-0.04926250456370882
2004-08-13,2.16,-0.020000000000000018,-0.019262504563709017
2004-08-16,2.19,0.029999999999999805,0.030737495436290806
2004-08-17,2.2,0.010000000000000231,0.01073749543629123
2004-08-18,2.22,0.020000000000000018,0.02073749543629102
2004-08-19,2.19,-0.03000000000000025,-0.029262504563709248
2004-08-23,2.23,0.040000000000000036,0.04073749543629104
2004-08-24,2.23,0.0,0.0007374954362910001
2004-08-25,2.21,-0.020000000000000018,-0.019262504563709017
2004-08-26,2.19,-0.020000000000000018,-0.019262504563709017
2004-08-27,2.18,-0.009999999999999787,-0.009262504563708788
2004-08-30,2.2,0.020000000000000018,0.02073749543629102
2004-08-31,2.14,-0.06000000000000005,-0.05926250456370905
2004-09-01,2.15,0.009999999999999787,0.010737495436290786
2004-09-02,2.19,0.040000000000000036,0.04073749543629104
2004-09-03,2.24,0.050000000000000266,0.05073749543629127
2004-09-07,2.22,-0.020000000000000018,-0.019262504563709017
2004-09-08,2.16,-0.06000000000000005,-0.05926250456370905
2004-09-09,2.21,0.04999999999999982,0.05073749543629082
2004-09-10,2.19,-0.020000000000000018,-0.019262504563709017
2004-09-13,2.17,-0.020000000000000018,-0.019262504563709017
2004-09-14,2.16,-0.009999999999999787,-0.009262504563708788
2004-09-15,2.2,0.040000000000000036,0.04073749543629104
2004-09-16,2.17,-0.03000000000000025,-0.029262504563709248
2004-09-17,2.21,0.040000000000000036,0.04073749543629104
2004-09-20,2.16,-0.04999999999999982,-0.04926250456370882
2004-09-21,2.15,-0.010000000000000231,-0.009262504563709232
2004-09-22,2.09,-0.06000000000000005,-0.05926250456370905
2004-09-23,2.13,0.040000000000000036,0.04073749543629104
2004-09-24,2.13,0.0,0.0007374954362910001
2004-09-27,2.1,-0.029999999999999805,-0.029262504563708804
2004-09-28,2.08,-0.020000000000000018,-0.019262504563709017
2004-09-29,2.12,0.040000000000000036,0.04073749543629104
2004-09-30,2.12,0.0,0.0007374954362910001
2004-10-01,2.17,0.04999999999999982,0.05073749543629082
2004-10-04,2.18,0.010000000000000231,0.01073749543629123
2004-10-05,2.18,0.0,0.0007374954362910001
2004-10-06,2.23,0.04999999999999982,0.05073749543629082
2004-10-07,2.27,0.040000000000000036,0.04073749543629104
2004-10-08,2.17,-0.10000000000000009,-0.0992625045637091
2004-10-12,2.14,-0.029999999999999805,-0.029262504563708804
2004-10-13,2.14,0.0,0.0007374954362910001
2004-10-14,2.13,-0.010000000000000231,-0.009262504563709232
2004-10-15,2.1,-0.029999999999999805,-0.029262504563708804
2004-10-18,2.12,0.020000000000000018,0.02073749543629102
2004-10-19,2.11,-0.010000000000000231,-0.009262504563709232
2004-10-20,2.08,-0.029999999999999805,-0.029262504563708804
2004-10-21,2.05,-0.03000000000000025,-0.029262504563709248
2004-10-22,2.06,0.010000000000000231,0.01073749543629123
2004-10-25,2.06,0.0,0.0007374954362910001
2004-10-26,2.08,0.020000000000000018,0.02073749543629102
2004-10-27,2.17,0.08999999999999986,0.09073749543629085
2004-10-28,2.16,-0.009999999999999787,-0.009262504563708788
2004-10-29,2.08,-0.08000000000000007,-0.07926250456370908
2004-11-01,2.14,0.06000000000000005,0.060737495436291054
2004-11-02,2.08,-0.06000000000000005,-0.05926250456370905
2004-11-03,2.04,-0.040000000000000036,-0.039262504563709034
2004-11-04,2.06,0.020000000000000018,0.02073749543629102
2004-11-05,2.15,0.08999999999999986,0.09073749543629085
2004-11-08,2.16,0.010000000000000231,0.01073749543629123
2004-11-09,2.16,0.0,0.0007374954362910001
2004-11-10,2.18,0.020000000000000018,0.02073749543629102
2004-11-12,2.13,-0.050000000000000266,-0.049262504563709265
2004-11-15,2.1,-0.029999999999999805,-0.029262504563708804
2004-11-16,2.08,-0.020000000000000018,-0.019262504563709017
2004-11-17,2.05,-0.03000000000000025,-0.029262504563709248
2004-11-18,2.03,-0.020000000000000018,-0.019262504563709017
2004-11-19,2.08,0.050000000000000266,0.05073749543629127
2004-11-22,1.99,-0.09000000000000008,-0.08926250456370909
2004-11-23,1.99,0.0,0.0007374954362910001
2004-11-24,2.0,0.010000000000000009,0.010737495436291008
2004-11-26,1.99,-0.010000000000000009,-0.00926250456370901
2004-11-29,2.09,0.09999999999999987,0.10073749543629086
2004-11-30,2.11,0.020000000000000018,0.02073749543629102
2004-12-01,2.19,0.08000000000000007,0.08073749543629107
2004-12-02,2.19,0.0,0.0007374954362910001
2004-12-03,2.1,-0.08999999999999986,-0.08926250456370886
2004-12-06,2.09,-0.010000000000000231,-0.009262504563709232
2004-12-07,2.08,-0.009999999999999787,-0.009262504563708788
2004-12-08,1.99,-0.09000000000000008,-0.08926250456370909
2004-12-09,2.02,0.030000000000000027,0.030737495436291028
2004-12-10,2.04,0.020000000000000018,0.02073749543629102
2004-12-13,2.02,-0.020000000000000018,-0.019262504563709017
2004-12-14,1.99,-0.030000000000000027,-0.029262504563709026
2004-12-15,1.92,-0.07000000000000006,-0.06926250456370907
2004-12-16,1.99,0.07000000000000006,0.07073749543629106
2004-12-17,2.0,0.010000000000000009,0.010737495436291008
2004-12-20,1.97,-0.030000000000000027,-0.029262504563709026
2004-12-21,1.89,-0.08000000000000007,-0.07926250456370908
2004-12-22,1.95,0.06000000000000005,0.060737495436291054
2004-12-23,1.96,0.010000000000000009,0.010737495436291008
2004-12-27,2.01,0.04999999999999982,0.05073749543629082
2004-12-28,1.99,-0.019999999999999796,-0.019262504563708795
2004-12-29,2.01,0.019999999999999796,0.020737495436290797
2004-12-30,2.0,-0.009999999999999787,-0.009262504563708788
2004-12-31,1.95,-0.050000000000000044,-0.04926250456370904
2005-01-03,1.96,0.010000000000000009,0.010737495436291008
2005-01-04,2.0,0.040000000000000036,0.04073749543629104
2005-01-05,1.99,-0.010000000000000009,-0.00926250456370901
2005-01-06,2.03,0.039999999999999813,0.040737495436290815
2005-01-07,2.04,0.010000000000000231,0.01073749543629123
2005-01-10,2.04,0.0,0.0007374954362910001
2005-01-11,2.01,-0.03000000000000025,-0.029262504563709248
2005-01-12,2.0,-0.009999999999999787,-0.009262504563708788
2005-01-13,1.97,-0.030000000000000027,-0.029262504563709026
2005-01-14,1.98,0.010000000000000009,0.010737495436291008
2005-01-18,1.93,-0.050000000000000044,-0.04926250456370904
2005-01-19,1.97,0.040000000000000036,0.04073749543629104
2005-01-20,1.94,-0.030000000000000027,-0.029262504563709026
2005-01-21,1.92,-0.020000000000000018,-0.019262504563709017
2005-01-24,1.92,0.0,0.0007374954362910001
2005-01-25,1.99,0.07000000000000006,0.07073749543629106
2005-01-26,1.98,-0.010000000000000009,-0.00926250456370901
2005-01-27,1.98,0.0,0.0007374954362910001
2005-01-28,1.94,-0.040000000000000036,-0.039262504563709034
2005-01-31,1.91,-0.030000000000000027,-0.029262504563709026
2005-02-01,1.93,0.020000000000000018,0.02073749543629102
2005-02-02,1.92,-0.010000000000000009,-0.00926250456370901
2005-02-03,1.94,0.020000000000000018,0.02073749543629102
2005-02-04,1.84,-0.09999999999999987,-0.09926250456370887
2005-02-07,1.82,-0.020000000000000018,-0.019262504563709017
2005-02-08,1.79,-0.030000000000000027,-0.029262504563709026
2005-02-09,1.74,-0.050000000000000044,-0.04926250456370904
2005-02-10,1.84,0.10000000000000009,0.10073749543629108
2005-02-11,1.78,-0.06000000000000005,-0.05926250456370905
2005-02-14,1.73,-0.050000000000000044,-0.04926250456370904
2005-02-15,1.77,0.040000000000000036,0.04073749543629104
2005-02-16,1.8,0.030000000000000027,0.030737495436291028
2005-02-17,1.82,0.020000000000000018,0.02073749543629102
2005-02-18,1.9,0.07999999999999985,0.08073749543629084
2005-02-22,1.88,-0.020000000000000018,-0.019262504563709017
2005-02-23,1.89,0.010000000000000009,0.010737495436291008
2005-02-24,1.9,0.010000000000000009,0.010737495436291008
2005-02-25,1.9,0.0,0.0007374954362910001
2005-02-28,1.96,0.06000000000000005,0.060737495436291054
2005-03-01,1.96,0.0,0.0007374954362910001
2005-03-02,1.96,0.0,0.0007374954362910001
2005-03-03,1.95,-0.010000000000000009,-0.00926250456370901
2005-03-04,1.86,-0.08999999999999986,-0.08926250456370886
2005-03-07,1.8,-0.06000000000000005,-0.05926250456370905
