Date,Values,Delta Calculations,Delta - Mean(-0.00151632264126)
1986-01-02,11.875, , 
1986-01-03,11.875,0.0,0.00151632264126
1986-01-06,11.9063,0.031299999999999883,0.03281632264125988
1986-01-07,12.0313,0.125,0.12651632264126
1986-01-08,12.5,0.4687000000000001,0.4702163226412601
1986-01-09,12.9375,0.4375,0.43901632264126
1986-01-10,12.875,-0.0625,-0.06098367735874
1986-01-13,12.9375,0.0625,0.06401632264126
1986-01-14,13.2188,0.2812999999999999,0.2828163226412599
1986-01-15,13.0,-0.21879999999999988,-0.21728367735873988
1986-01-16,12.875,-0.125,-0.12348367735874
1986-01-17,12.9688,0.09379999999999988,0.09531632264125989
1986-01-20,13.0625,0.09370000000000012,0.09521632264126012
1986-01-21,13.5,0.4375,0.43901632264126
1986-01-22,13.625,0.125,0.12651632264126
1986-01-23,13.625,0.0,0.00151632264126
1986-01-24,13.375,-0.25,-0.24848367735874
1986-01-27,13.2188,-0.15620000000000012,-0.1546836773587401
1986-01-28,12.8125,-0.4062999999999999,-0.4047836773587399
1986-01-29,12.9375,0.125,0.12651632264126
1986-01-30,12.9375,0.0,0.00151632264126
1986-01-31,12.9063,-0.031200000000000117,-0.029683677358740116
1986-02-03,13.125,0.21870000000000012,0.22021632264126012
1986-02-04,13.1875,0.0625,0.06401632264126
1986-02-05,12.9375,-0.25,-0.24848367735874
1986-02-06,12.9375,0.0,0.00151632264126
1986-02-07,12.875,-0.0625,-0.06098367735874
1986-02-10,12.8438,-0.031200000000000117,-0.029683677358740116
1986-02-11,12.8125,-0.031299999999999883,-0.029783677358739883
1986-02-12,12.875,0.0625,0.06401632264126
1986-02-13,12.8438,-0.031200000000000117,-0.029683677358740116
1986-02-14,12.8438,0.0,0.00151632264126
1986-02-17,12.8125,-0.031299999999999883,-0.029783677358739883
1986-02-18,12.6875,-0.125,-0.12348367735874
1986-02-19,12.5,-0.1875,-0.18598367735874
1986-02-20,12.5625,0.0625,0.06401632264126
1986-02-21,12.625,0.0625,0.06401632264126
1986-02-24,12.5,-0.125,-0.12348367735874
1986-02-25,12.3438,-0.15620000000000012,-0.1546836773587401
1986-02-26,12.375,0.031200000000000117,0.032716322641260114
1986-02-27,12.3125,-0.0625,-0.06098367735874
1986-02-28,12.375,0.0625,0.06401632264126
1986-03-03,12.5,0.125,0.12651632264126
1986-03-04,12.375,-0.125,-0.12348367735874
1986-03-05,12.25,-0.125,-0.12348367735874
1986-03-06,12.25,0.0,0.00151632264126
1986-03-07,12.125,-0.125,-0.12348367735874
1986-03-10,12.0,-0.125,-0.12348367735874
1986-03-11,11.875,-0.125,-0.12348367735874
1986-03-12,11.75,-0.125,-0.12348367735874
1986-03-13,11.8125,0.0625,0.06401632264126
1986-03-14,11.8125,0.0,0.00151632264126
1986-03-17,11.8125,0.0,0.00151632264126
1986-03-18,11.75,-0.0625,-0.06098367735874
1986-03-19,11.5625,-0.1875,-0.18598367735874
1986-03-20,11.3125,-0.25,-0.24848367735874
1986-03-21,11.3125,0.0,0.00151632264126
1986-03-24,11.375,0.0625,0.06401632264126
1986-03-25,11.5625,0.1875,0.18901632264126
