Date,Values,Delta Calculations,Delta - Mean(-0.0617792421746)
2001-01-02,443.0, , 
2001-01-03,699.0,256.0,256.0617792421746
2001-01-04,646.0,-53.0,-52.9382207578254
2001-01-05,647.0,1.0,1.0617792421746
2001-01-08,568.0,-79.0,-78.9382207578254
2001-01-09,645.0,77.0,77.0617792421746
2001-01-10,676.0,31.0,31.0617792421746
2001-01-11,701.0,25.0,25.0617792421746
2001-01-12,1566.0,865.0,865.0617792421746
2001-01-16,792.0,-774.0,-773.9382207578254
2001-01-17,875.0,83.0,83.0617792421746
2001-01-18,839.0,-36.0,-35.9382207578254
2001-01-19,899.0,60.0,60.0617792421746
2001-01-22,753.0,-146.0,-145.9382207578254
2001-01-23,802.0,49.0,49.0617792421746
2001-01-24,662.0,-140.0,-139.9382207578254
2001-01-25,729.0,67.0,67.0617792421746
2001-01-26,928.0,199.0,199.0617792421746
2001-01-29,749.0,-179.0,-178.9382207578254
2001-01-30,838.0,89.0,89.0617792421746
2001-01-31,966.0,128.0,128.0617792421746
2001-02-01,745.0,-221.0,-220.9382207578254
2001-02-02,702.0,-43.0,-42.9382207578254
2001-02-05,666.0,-36.0,-35.9382207578254
2001-02-06,663.0,-3.0,-2.9382207578254
2001-02-07,674.0,11.0,11.0617792421746
2001-02-08,733.0,59.0,59.0617792421746
2001-02-09,792.0,59.0,59.0617792421746
2001-02-12,658.0,-134.0,-133.9382207578254
2001-02-13,557.0,-101.0,-100.9382207578254
2001-02-14,566.0,9.0,9.0617792421746
2001-02-15,646.0,80.0,80.0617792421746
2001-02-16,743.0,97.0,97.0617792421746
2001-02-20,803.0,60.0,60.0617792421746
2001-02-21,687.0,-116.0,-115.9382207578254
2001-02-22,742.0,55.0,55.0617792421746
2001-02-23,700.0,-42.0,-41.9382207578254
2001-02-26,641.0,-59.0,-58.9382207578254
2001-02-27,797.0,156.0,156.0617792421746
2001-02-28,733.0,-64.0,-63.9382207578254
2001-03-01,586.0,-147.0,-146.9382207578254
2001-03-02,522.0,-64.0,-63.9382207578254
2001-03-05,506.0,-16.0,-15.9382207578254
2001-03-06,609.0,103.0,103.0617792421746
2001-03-07,643.0,34.0,34.0617792421746
2001-03-08,698.0,55.0,55.0617792421746
2001-03-09,601.0,-97.0,-96.9382207578254
2001-03-12,614.0,13.0,13.0617792421746
2001-03-13,753.0,139.0,139.0617792421746
2001-03-14,613.0,-140.0,-139.9382207578254
2001-03-15,637.0,24.0,24.0617792421746
2001-03-16,607.0,-30.0,-29.9382207578254
2001-03-19,535.0,-72.0,-71.9382207578254
2001-03-20,638.0,103.0,103.0617792421746
2001-03-21,640.0,2.0,2.0617792421746
2001-03-22,705.0,65.0,65.0617792421746
2001-03-23,544.0,-161.0,-160.9382207578254
2001-03-26,473.0,-71.0,-70.9382207578254
2001-03-27,587.0,114.0,114.0617792421746
2001-03-28,536.0,-51.0,-50.9382207578254
2001-03-29,513.0,-23.0,-22.9382207578254
2001-03-30,544.0,31.0,31.0617792421746
2001-04-02,465.0,-79.0,-78.9382207578254
2001-04-03,556.0,91.0,91.0617792421746
2001-04-04,610.0,54.0,54.0617792421746
2001-04-05,623.0,13.0,13.0617792421746
2001-04-06,731.0,108.0,108.0617792421746
2001-04-09,621.0,-110.0,-109.9382207578254
2001-04-10,560.0,-61.0,-60.9382207578254
2001-04-11,573.0,13.0,13.0617792421746
2001-04-12,1320.0,747.0,747.0617792421746
2001-04-16,544.0,-776.0,-775.9382207578254
2001-04-17,718.0,174.0,174.0617792421746
2001-04-18,511.0,-207.0,-206.9382207578254
2001-04-19,537.0,26.0,26.0617792421746
2001-04-20,558.0,21.0,21.0617792421746
2001-04-23,570.0,12.0,12.0617792421746
2001-04-24,585.0,15.0,15.0617792421746
2001-04-25,683.0,98.0,98.0617792421746
2001-04-26,622.0,-61.0,-60.9382207578254
2001-04-27,609.0,-13.0,-12.9382207578254
2001-04-30,510.0,-99.0,-98.9382207578254
2001-05-01,523.0,13.0,13.0617792421746
2001-05-02,566.0,43.0,43.0617792421746
2001-05-03,514.0,-52.0,-51.9382207578254
2001-05-04,634.0,120.0,120.0617792421746
2001-05-07,407.0,-227.0,-226.9382207578254
2001-05-08,467.0,60.0,60.0617792421746
2001-05-09,517.0,50.0,50.0617792421746
2001-05-10,457.0,-60.0,-59.9382207578254
2001-05-11,583.0,126.0,126.0617792421746
2001-05-14,458.0,-125.0,-124.9382207578254
2001-05-15,650.0,192.0,192.0617792421746
2001-05-16,761.0,111.0,111.0617792421746
2001-05-17,687.0,-74.0,-73.9382207578254
2001-05-18,698.0,11.0,11.0617792421746
2001-05-21,558.0,-140.0,-139.9382207578254
2001-05-22,617.0,59.0,59.0617792421746
2001-05-23,609.0,-8.0,-7.9382207578254
2001-05-24,595.0,-14.0,-13.9382207578254
2001-05-25,560.0,-35.0,-34.9382207578254
2001-05-29,553.0,-7.0,-6.9382207578254
2001-05-30,633.0,80.0,80.0617792421746
2001-05-31,646.0,13.0,13.0617792421746
2001-06-01,575.0,-71.0,-70.9382207578254
2001-06-04,499.0,-76.0,-75.9382207578254
2001-06-05,660.0,161.0,161.0617792421746
2001-06-06,583.0,-77.0,-76.9382207578254
2001-06-07,624.0,41.0,41.0617792421746
2001-06-08,563.0,-61.0,-60.9382207578254
2001-06-11,564.0,1.0,1.0617792421746
2001-06-12,671.0,107.0,107.0617792421746
2001-06-13,655.0,-16.0,-15.9382207578254
2001-06-14,679.0,24.0,24.0617792421746
2001-06-15,771.0,92.0,92.0617792421746
2001-06-18,684.0,-87.0,-86.9382207578254
2001-06-19,554.0,-130.0,-129.9382207578254
2001-06-20,616.0,62.0,62.0617792421746
2001-06-21,572.0,-44.0,-43.9382207578254
2001-06-22,579.0,7.0,7.0617792421746
2001-06-25,448.0,-131.0,-130.9382207578254
2001-06-26,549.0,101.0,101.0617792421746
2001-06-27,456.0,-93.0,-92.9382207578254
2001-06-28,569.0,113.0,113.0617792421746
2001-06-29,546.0,-23.0,-22.9382207578254
2001-07-02,533.0,-13.0,-12.9382207578254
2001-07-03,574.0,41.0,41.0617792421746
2001-07-05,625.0,51.0,51.0617792421746
2001-07-06,716.0,91.0,91.0617792421746
2001-07-09,681.0,-35.0,-34.9382207578254
2001-07-10,706.0,25.0,25.0617792421746
2001-07-11,661.0,-45.0,-44.9382207578254
2001-07-12,822.0,161.0,161.0617792421746
2001-07-13,638.0,-184.0,-183.9382207578254
2001-07-16,588.0,-50.0,-49.9382207578254
2001-07-17,618.0,30.0,30.0617792421746
2001-07-18,617.0,-1.0,-0.9382207578254
