Date,Values,Delta Calculations,Delta - Mean(0.00654819863681)
2007-05-10,27.09, , 
2007-05-11,26.41,-0.6799999999999997,-0.6865481986368097
2007-05-14,27.23,0.8200000000000003,0.8134518013631903
2007-05-15,27.89,0.6600000000000001,0.6534518013631901
2007-05-16,27.07,-0.8200000000000003,-0.8265481986368103
2007-05-17,24.86,-2.210000000000001,-2.216548198636811
2007-05-18,24.71,-0.14999999999999858,-0.15654819863680858
2007-05-21,24.67,-0.03999999999999915,-0.046548198636809146
2007-05-22,26.03,1.3599999999999994,1.3534518013631893
2007-05-23,26.35,0.3200000000000003,0.3134518013631903
2007-05-24,26.63,0.2799999999999976,0.2734518013631876
2007-05-25,25.81,-0.8200000000000003,-0.8265481986368103
2007-05-29,27.83,2.0199999999999996,2.0134518013631895
2007-05-30,28.61,0.7800000000000011,0.7734518013631911
2007-05-31,28.44,-0.16999999999999815,-0.17654819863680815
2007-06-01,27.39,-1.0500000000000007,-1.0565481986368108
2007-06-04,27.36,-0.030000000000001137,-0.036548198636811136
2007-06-05,26.7,-0.6600000000000001,-0.6665481986368101
2007-06-06,25.94,-0.759999999999998,-0.766548198636808
2007-06-07,26.11,0.16999999999999815,0.16345180136318815
2007-06-08,26.51,0.40000000000000213,0.39345180136319213
2007-06-11,25.99,-0.5200000000000031,-0.5265481986368131
2007-06-12,25.81,-0.17999999999999972,-0.18654819863680971
2007-06-13,26.07,0.26000000000000156,0.25345180136319156
2007-06-14,26.35,0.28000000000000114,0.27345180136319114
2007-06-15,26.41,0.05999999999999872,0.05345180136318872
2007-06-18,27.15,0.7399999999999984,0.7334518013631884
2007-06-19,26.72,-0.4299999999999997,-0.4365481986368097
2007-06-20,27.14,0.4200000000000017,0.4134518013631917
2007-06-21,28.0,0.8599999999999994,0.8534518013631894
2007-06-22,28.16,0.16000000000000014,0.15345180136319014
2007-06-25,28.01,-0.14999999999999858,-0.15654819863680858
2007-06-26,27.79,-0.22000000000000242,-0.22654819863681241
2007-06-27,28.06,0.2699999999999996,0.2634518013631896
2007-06-28,27.95,-0.10999999999999943,-0.11654819863680943
2007-06-29,27.44,-0.509999999999998,-0.516548198636808
2007-07-02,27.52,0.0799999999999983,0.0734518013631883
2007-07-03,27.45,-0.07000000000000028,-0.07654819863681028
2007-07-05,27.33,-0.120000000000001,-0.126548198636811
2007-07-06,27.4,0.07000000000000028,0.06345180136319029
2007-07-09,28.25,0.8500000000000014,0.8434518013631914
2007-07-10,27.37,-0.879999999999999,-0.886548198636809
2007-07-11,27.69,0.3200000000000003,0.3134518013631903
2007-07-12,27.35,-0.33999999999999986,-0.34654819863680986
2007-07-13,27.06,-0.2900000000000027,-0.2965481986368127
2007-07-16,28.0,0.9400000000000013,0.9334518013631913
2007-07-17,27.46,-0.5399999999999991,-0.5465481986368091
2007-07-18,27.91,0.4499999999999993,0.4434518013631893
2007-07-19,27.4,-0.5100000000000016,-0.5165481986368116
2007-07-20,26.69,-0.7099999999999973,-0.7165481986368073
2007-07-23,27.09,0.3999999999999986,0.3934518013631886
2007-07-24,27.42,0.33000000000000185,0.32345180136319185
2007-07-25,26.84,-0.5800000000000018,-0.5865481986368118
2007-07-26,27.79,0.9499999999999993,0.9434518013631893
2007-07-27,27.25,-0.5399999999999991,-0.5465481986368091
2007-07-30,30.16,2.91,2.90345180136319
2007-07-31,30.69,0.5300000000000011,0.5234518013631911
2007-08-01,29.73,-0.9600000000000009,-0.9665481986368109
2007-08-02,29.68,-0.05000000000000071,-0.05654819863681071
2007-08-03,29.32,-0.35999999999999943,-0.36654819863680943
2007-08-06,32.49,3.1700000000000017,3.1634518013631916
2007-08-07,29.48,-3.0100000000000016,-3.0165481986368117
2007-08-08,27.07,-2.41,-2.4165481986368103
2007-08-09,29.73,2.66,2.65345180136319
2007-08-10,30.87,1.1400000000000006,1.1334518013631905
2007-08-13,30.82,-0.05000000000000071,-0.05654819863681071
2007-08-14,30.23,-0.5899999999999999,-0.5965481986368099
2007-08-15,31.14,0.9100000000000001,0.9034518013631901
2007-08-16,37.02,5.880000000000003,5.873451801363193
2007-08-17,35.46,-1.5600000000000023,-1.5665481986368124
2007-08-20,34.16,-1.3000000000000043,-1.3065481986368144
2007-08-21,34.33,0.1700000000000017,0.1634518013631917
2007-08-22,31.93,-2.3999999999999986,-2.4065481986368087
2007-08-23,29.85,-2.0799999999999983,-2.0865481986368084
2007-08-24,28.67,-1.1799999999999997,-1.1865481986368098
2007-08-27,28.98,0.3099999999999987,0.3034518013631887
2007-08-28,28.81,-0.1700000000000017,-0.1765481986368117
2007-08-29,28.88,0.07000000000000028,0.06345180136319029
2007-08-30,28.99,0.10999999999999943,0.10345180136318943
2007-08-31,28.86,-0.129999999999999,-0.136548198636809
2007-09-04,29.49,0.629999999999999,0.623451801363189
2007-09-05,30.29,0.8000000000000007,0.7934518013631907
2007-09-06,31.11,0.8200000000000003,0.8134518013631903
2007-09-07,31.39,0.28000000000000114,0.27345180136319114
2007-09-10,30.82,-0.5700000000000003,-0.5765481986368103
2007-09-11,31.3,0.4800000000000004,0.4734518013631904
