Date,Values,Delta Calculations,Delta - Mean(-9.54364046504e-05)
1991-09-25,4.32, , 
1991-09-26,4.35,0.02999999999999936,0.03009543640464976
1991-09-27,4.42,0.07000000000000028,0.07009543640465069
1991-09-30,4.47,0.04999999999999982,0.05009543640465022
1991-10-01,4.49,0.020000000000000462,0.020095436404650863
1991-10-02,4.48,-0.009999999999999787,-0.009904563595349386
1991-10-03,4.48,0.0,9.54364046504e-05
1991-10-04,4.5,0.019999999999999574,0.020095436404649974
1991-10-07,4.56,0.05999999999999961,0.06009543640465001
1991-10-08,4.56,0.0,9.54364046504e-05
1991-10-09,4.53,-0.02999999999999936,-0.02990456359534896
1991-10-10,4.47,-0.0600000000000005,-0.0599045635953501
1991-10-11,4.44,-0.02999999999999936,-0.02990456359534896
1991-10-15,4.41,-0.03000000000000025,-0.029904563595349848
1991-10-16,4.42,0.009999999999999787,0.010095436404650188
1991-10-17,4.36,-0.05999999999999961,-0.05990456359534921
1991-10-18,4.31,-0.05000000000000071,-0.04990456359535031
1991-10-21,4.28,-0.02999999999999936,-0.02990456359534896
1991-10-22,4.22,-0.0600000000000005,-0.0599045635953501
1991-10-24,4.19,-0.02999999999999936,-0.02990456359534896
1991-10-25,4.11,-0.08000000000000007,-0.07990456359534967
1991-10-28,3.97,-0.14000000000000012,-0.13990456359534972
1991-10-29,4.04,0.06999999999999984,0.07009543640465024
1991-10-30,4.09,0.04999999999999982,0.05009543640465022
1991-10-31,4.15,0.0600000000000005,0.0600954364046509
1991-11-01,4.22,0.0699999999999994,0.0700954364046498
1991-11-04,4.31,0.08999999999999986,0.09009543640465026
1991-11-05,4.29,-0.019999999999999574,-0.019904563595349173
1991-11-06,4.28,-0.009999999999999787,-0.009904563595349386
1991-11-07,4.33,0.04999999999999982,0.05009543640465022
1991-11-08,4.36,0.03000000000000025,0.03009543640465065
1991-11-12,4.41,0.04999999999999982,0.05009543640465022
1991-11-13,4.44,0.03000000000000025,0.03009543640465065
1991-11-14,4.5,0.05999999999999961,0.06009543640465001
1991-11-15,4.59,0.08999999999999986,0.09009543640465026
1991-11-18,4.71,0.1200000000000001,0.12009543640465051
1991-11-19,4.7,-0.009999999999999787,-0.009904563595349386
1991-11-20,4.68,-0.020000000000000462,-0.01990456359535006
1991-11-21,4.66,-0.019999999999999574,-0.019904563595349173
1991-11-22,4.62,-0.040000000000000036,-0.039904563595349635
1991-11-25,4.54,-0.08000000000000007,-0.07990456359534967
1991-11-26,4.53,-0.009999999999999787,-0.009904563595349386
1991-11-27,4.52,-0.010000000000000675,-0.009904563595350274
1991-11-29,4.48,-0.03999999999999915,-0.039904563595348747
1991-12-02,4.51,0.02999999999999936,0.03009543640464976
1991-12-03,4.56,0.04999999999999982,0.05009543640465022
1991-12-04,4.62,0.0600000000000005,0.0600954364046509
1991-12-05,4.69,0.07000000000000028,0.07009543640465069
1991-12-06,4.76,0.0699999999999994,0.0700954364046498
1991-12-09,4.88,0.1200000000000001,0.12009543640465051
1991-12-10,4.9,0.020000000000000462,0.020095436404650863
1991-12-11,4.91,0.009999999999999787,0.010095436404650188
1991-12-12,4.96,0.04999999999999982,0.05009543640465022
1991-12-13,4.99,0.03000000000000025,0.03009543640465065
1991-12-16,5.02,0.02999999999999936,0.03009543640464976
1991-12-17,5.03,0.010000000000000675,0.010095436404651076
1991-12-18,5.03,0.0,9.54364046504e-05
1991-12-19,5.07,0.040000000000000036,0.040095436404650436
1991-12-20,5.14,0.0699999999999994,0.0700954364046498
1991-12-23,5.3,0.16000000000000014,0.16009543640465054
1991-12-24,5.37,0.07000000000000028,0.07009543640465069
1991-12-27,5.55,0.17999999999999972,0.18009543640465012
1991-12-30,5.84,0.29000000000000004,0.2900954364046504
1991-12-31,5.91,0.07000000000000028,0.07009543640465069
1992-01-02,5.95,0.040000000000000036,0.040095436404650436
1992-01-03,5.97,0.019999999999999574,0.020095436404649974
1992-01-06,5.99,0.020000000000000462,0.020095436404650863
1992-01-07,6.0,0.009999999999999787,0.010095436404650188
1992-01-08,6.01,0.009999999999999787,0.010095436404650188
1992-01-09,6.01,0.0,9.54364046504e-05
1992-01-10,5.97,-0.040000000000000036,-0.039904563595349635
1992-01-13,5.94,-0.02999999999999936,-0.02990456359534896
1992-01-14,5.89,-0.05000000000000071,-0.04990456359535031
1992-01-15,5.83,-0.05999999999999961,-0.05990456359534921
1992-01-16,5.74,-0.08999999999999986,-0.08990456359534946
1992-01-17,5.66,-0.08000000000000007,-0.07990456359534967
1992-01-21,5.47,-0.1900000000000004,-0.18990456359535
1992-01-22,5.46,-0.009999999999999787,-0.009904563595349386
1992-01-23,5.36,-0.09999999999999964,-0.09990456359534924
1992-01-24,5.29,-0.07000000000000028,-0.06990456359534988
1992-01-27,5.21,-0.08000000000000007,-0.07990456359534967
1992-01-28,5.21,0.0,9.54364046504e-05
1992-01-29,5.17,-0.040000000000000036,-0.039904563595349635
1992-01-30,5.13,-0.040000000000000036,-0.039904563595349635
1992-01-31,5.05,-0.08000000000000007,-0.07990456359534967
