Date,Values,Delta Calculations,Delta - Mean(-4.77383936031e-06)
1982-01-04,2.32, , 
1982-01-05,2.24,-0.07999999999999963,-0.07999522616063932
1982-01-06,2.43,0.18999999999999995,0.19000477383936026
1982-01-07,2.46,0.029999999999999805,0.030004773839360115
1982-01-08,2.5,0.040000000000000036,0.040004773839360346
1982-01-11,2.32,-0.18000000000000016,-0.17999522616063984
1982-01-12,2.1,-0.21999999999999975,-0.21999522616063943
1982-01-13,2.13,0.029999999999999805,0.030004773839360115
1982-01-14,1.53,-0.5999999999999999,-0.5999952261606396
1982-01-15,2.08,0.55,0.5500047738393603
1982-01-18,1.34,-0.74,-0.7399952261606397
1982-01-19,1.67,0.32999999999999985,0.33000477383936017
1982-01-20,1.3,-0.3699999999999999,-0.36999522616063957
1982-01-21,0.97,-0.33000000000000007,-0.32999522616063975
1982-01-22,1.06,0.09000000000000008,0.09000477383936038
1982-01-25,0.56,-0.5,-0.4999952261606397
1982-01-26,0.89,0.32999999999999996,0.3300047738393603
1982-01-27,1.11,0.22000000000000008,0.2200047738393604
1982-01-28,1.45,0.33999999999999986,0.3400047738393602
1982-01-29,1.06,-0.3899999999999999,-0.3899952261606396
1982-02-01,-0.19,-1.25,-1.2499952261606397
1982-02-02,-0.02,0.17,0.17000477383936033
1982-02-03,0.05,0.07,0.07000477383936031
1982-02-04,0.38,0.33,0.33000477383936033
1982-02-05,0.02,-0.36,-0.35999522616063967
1982-02-08,-0.16,-0.18,-0.17999522616063968
1982-02-09,0.04,0.2,0.20000477383936033
1982-02-10,-0.07,-0.11000000000000001,-0.10999522616063971
1982-02-11,-0.35,-0.27999999999999997,-0.27999522616063965
1982-02-16,-0.96,-0.61,-0.6099952261606397
1982-02-17,-0.81,0.1499999999999999,0.15000477383936023
1982-02-18,-0.3,0.51,0.5100047738393603
1982-02-19,0.07,0.37,0.3700047738393603
1982-02-22,0.74,0.6699999999999999,0.6700047738393602
1982-02-23,1.0,0.26,0.2600047738393603
1982-02-24,1.04,0.040000000000000036,0.040004773839360346
1982-02-25,1.12,0.08000000000000007,0.08000477383936037
1982-02-26,1.03,-0.09000000000000008,-0.08999522616063978
1982-03-01,1.04,0.010000000000000009,0.010004773839360319
1982-03-02,0.52,-0.52,-0.5199952261606398
1982-03-03,0.84,0.31999999999999995,0.32000477383936027
1982-03-04,0.76,-0.07999999999999996,-0.07999522616063966
1982-03-05,0.73,-0.030000000000000027,-0.029995226160639717
1982-03-08,0.99,0.26,0.2600047738393603
1982-03-09,0.76,-0.22999999999999998,-0.22999522616063967
1982-03-10,0.73,-0.030000000000000027,-0.029995226160639717
1982-03-11,0.71,-0.020000000000000018,-0.019995226160639708
1982-03-12,0.57,-0.14,-0.1399952261606397
1982-03-15,0.49,-0.07999999999999996,-0.07999522616063966
1982-03-16,0.58,0.08999999999999997,0.09000477383936027
1982-03-17,0.52,-0.05999999999999994,-0.05999522616063963
1982-03-18,0.42,-0.10000000000000003,-0.09999522616063973
1982-03-19,0.2,-0.21999999999999997,-0.21999522616063966
1982-03-22,0.48,0.27999999999999997,0.2800047738393603
1982-03-23,0.61,0.13,0.13000477383936032
1982-03-24,0.52,-0.08999999999999997,-0.08999522616063967
1982-03-25,0.55,0.030000000000000027,0.030004773839360337
1982-03-26,0.32,-0.23000000000000004,-0.22999522616063972
1982-03-29,0.0,-0.32,-0.3199952261606397
1982-03-30,0.04,0.04,0.04000477383936031
1982-03-31,0.19,0.15,0.1500047738393603
1982-04-01,0.23,0.04000000000000001,0.04000477383936032
1982-04-02,0.15,-0.08000000000000002,-0.07999522616063971
1982-04-05,0.4,0.25,0.2500047738393603
1982-04-06,0.41,0.009999999999999953,0.010004773839360263
1982-04-07,0.38,-0.02999999999999997,-0.02999522616063966
1982-04-08,0.24,-0.14,-0.1399952261606397
1982-04-12,0.4,0.16000000000000003,0.16000477383936035
1982-04-13,0.5,0.09999999999999998,0.10000477383936028
1982-04-14,0.51,0.010000000000000009,0.010004773839360319
1982-04-15,0.44,-0.07,-0.0699952261606397
1982-04-16,0.5,0.06,0.06000477383936031
1982-04-19,0.62,0.12,0.1200047738393603
1982-04-20,0.65,0.030000000000000027,0.030004773839360337
1982-04-21,0.96,0.30999999999999994,0.31000477383936026
1982-04-22,0.72,-0.24,-0.23999522616063967
1982-04-23,0.7,-0.020000000000000018,-0.019995226160639708
1982-04-26,0.53,-0.16999999999999993,-0.1699952261606396
1982-04-27,0.66,0.13,0.13000477383936032
1982-04-28,0.68,0.020000000000000018,0.020004773839360328
1982-04-29,0.67,-0.010000000000000009,-0.009995226160639699
1982-04-30,0.72,0.04999999999999993,0.05000477383936024
1982-05-03,0.49,-0.22999999999999998,-0.22999522616063967
1982-05-04,0.27,-0.21999999999999997,-0.21999522616063966
1982-05-05,0.41,0.13999999999999996,0.14000477383936027
1982-05-06,0.46,0.050000000000000044,0.050004773839360354
1982-05-07,0.46,0.0,4.77383936031e-06
1982-05-10,0.28,-0.18,-0.17999522616063968
1982-05-11,0.49,0.20999999999999996,0.21000477383936028
1982-05-12,0.54,0.050000000000000044,0.050004773839360354
1982-05-13,0.53,-0.010000000000000009,-0.009995226160639699
1982-05-14,0.56,0.030000000000000027,0.030004773839360337
1982-05-17,0.55,-0.010000000000000009,-0.009995226160639699
1982-05-18,0.72,0.16999999999999993,0.17000477383936025
1982-05-19,1.17,0.44999999999999996,0.4500047738393603
1982-05-20,1.53,0.3600000000000001,0.3600047738393604
1982-05-21,1.53,0.0,4.77383936031e-06
1982-05-24,1.59,0.06000000000000005,0.06000477383936036
1982-05-25,1.55,-0.040000000000000036,-0.039995226160639726
1982-05-26,1.64,0.08999999999999986,0.09000477383936016
1982-05-27,1.66,0.020000000000000018,0.020004773839360328
1982-05-28,1.74,0.08000000000000007,0.08000477383936037
1982-06-01,1.38,-0.3600000000000001,-0.3599952261606398
1982-06-02,1.17,-0.20999999999999996,-0.20999522616063965
1982-06-03,1.27,0.10000000000000009,0.10000477383936039
1982-06-04,1.2,-0.07000000000000006,-0.06999522616063976
1982-06-07,1.23,0.030000000000000027,0.030004773839360337
1982-06-08,1.19,-0.040000000000000036,-0.039995226160639726
1982-06-09,1.37,0.18000000000000016,0.18000477383936048
1982-06-10,1.5,0.1299999999999999,0.1300047738393602
1982-06-11,1.38,-0.1200000000000001,-0.1199952261606398
1982-06-14,1.33,-0.04999999999999982,-0.04999522616063951
1982-06-15,1.28,-0.050000000000000044,-0.049995226160639734
1982-06-16,1.23,-0.050000000000000044,-0.049995226160639734
1982-06-17,1.33,0.10000000000000009,0.10000477383936039
1982-06-18,1.31,-0.020000000000000018,-0.019995226160639708
1982-06-21,1.52,0.20999999999999996,0.21000477383936028
1982-06-22,1.29,-0.22999999999999998,-0.22999522616063967
1982-06-23,1.07,-0.21999999999999997,-0.21999522616063966
1982-06-24,1.11,0.040000000000000036,0.040004773839360346
1982-06-25,0.89,-0.22000000000000008,-0.21999522616063977
1982-06-28,0.92,0.030000000000000027,0.030004773839360337
1982-06-29,0.81,-0.10999999999999999,-0.10999522616063968
1982-06-30,1.08,0.27,0.27000477383936033
1982-07-01,1.26,0.17999999999999994,0.18000477383936025
1982-07-02,1.14,-0.1200000000000001,-0.1199952261606398
1982-07-06,1.3,0.16000000000000014,0.16000477383936046
1982-07-07,1.18,-0.1200000000000001,-0.1199952261606398
1982-07-08,1.71,0.53,0.5300047738393603
1982-07-09,1.74,0.030000000000000027,0.030004773839360337
1982-07-12,1.65,-0.09000000000000008,-0.08999522616063978
1982-07-13,1.54,-0.10999999999999988,-0.10999522616063957
1982-07-14,1.57,0.030000000000000027,0.030004773839360337
1982-07-15,1.82,0.25,0.2500047738393603
1982-07-16,2.02,0.19999999999999996,0.20000477383936027
1982-07-19,2.16,0.14000000000000012,0.14000477383936044
1982-07-20,2.42,0.2599999999999998,0.2600047738393601
