Date,Values,Delta Calculations
2003-01-02,1.64, 
2003-01-03,1.62,-0.019999999999999796
2003-01-06,1.63,0.009999999999999787
2003-01-07,1.62,-0.009999999999999787
2003-01-08,1.71,0.08999999999999986
2003-01-09,1.78,0.07000000000000006
2003-01-10,1.75,-0.030000000000000027
2003-01-13,1.77,0.020000000000000018
2003-01-14,1.76,-0.010000000000000009
2003-01-15,1.8,0.040000000000000036
2003-01-16,1.79,-0.010000000000000009
2003-01-17,1.8,0.010000000000000009
2003-01-21,1.78,-0.020000000000000018
2003-01-22,1.72,-0.06000000000000005
2003-01-23,1.78,0.06000000000000005
2003-01-24,1.8,0.020000000000000018
2003-01-27,1.82,0.020000000000000018
2003-01-28,1.81,-0.010000000000000009
2003-01-29,1.85,0.040000000000000036
2003-01-30,1.8,-0.050000000000000044
2003-01-31,1.81,0.010000000000000009
2003-02-03,1.81,0.0
2003-02-04,1.84,0.030000000000000027
2003-02-05,1.9,0.05999999999999983
2003-02-06,1.88,-0.020000000000000018
2003-02-07,1.89,0.010000000000000009
2003-02-10,1.93,0.040000000000000036
2003-02-11,1.93,0.0
2003-02-12,1.89,-0.040000000000000036
2003-02-13,1.88,-0.010000000000000009
2003-02-14,1.92,0.040000000000000036
2003-02-18,1.89,-0.030000000000000027
2003-02-19,1.89,0.0
2003-02-20,1.94,0.050000000000000044
2003-02-21,1.97,0.030000000000000027
2003-02-24,1.99,0.020000000000000018
2003-02-25,1.97,-0.020000000000000018
2003-02-26,1.94,-0.030000000000000027
2003-02-27,1.94,0.0
2003-02-28,1.94,0.0
2003-03-03,1.91,-0.030000000000000027
2003-03-04,1.88,-0.030000000000000027
2003-03-05,1.88,0.0
2003-03-06,1.93,0.050000000000000044
2003-03-07,1.91,-0.020000000000000018
2003-03-10,1.9,-0.010000000000000009
2003-03-11,1.92,0.020000000000000018
2003-03-12,1.92,0.0
2003-03-13,2.01,0.08999999999999986
2003-03-14,1.83,-0.17999999999999972
2003-03-17,1.85,0.020000000000000018
2003-03-18,1.83,-0.020000000000000018
2003-03-19,1.83,0.0
2003-03-20,1.81,-0.020000000000000018
2003-03-21,1.82,0.010000000000000009
2003-03-24,1.8,-0.020000000000000018
2003-03-25,1.8,0.0
2003-03-26,1.81,0.010000000000000009
2003-03-27,1.85,0.040000000000000036
2003-03-28,1.83,-0.020000000000000018
2003-03-31,1.8,-0.030000000000000027
2003-04-01,1.82,0.020000000000000018
2003-04-02,1.83,0.010000000000000009
2003-04-03,1.81,-0.020000000000000018
2003-04-04,1.8,-0.010000000000000009
2003-04-07,1.82,0.020000000000000018
2003-04-08,1.77,-0.050000000000000044
2003-04-09,1.8,0.030000000000000027
2003-04-10,1.79,-0.010000000000000009
2003-04-11,1.77,-0.020000000000000018
2003-04-14,1.82,0.050000000000000044
2003-04-15,1.8,-0.020000000000000018
2003-04-16,1.76,-0.040000000000000036
2003-04-17,1.76,0.0
2003-04-21,1.75,-0.010000000000000009
2003-04-22,1.74,-0.010000000000000009
2003-04-23,1.76,0.020000000000000018
2003-04-24,1.71,-0.050000000000000044
2003-04-25,1.73,0.020000000000000018
2003-04-28,1.76,0.030000000000000027
2003-04-29,1.74,-0.020000000000000018
2003-04-30,1.73,-0.010000000000000009
2003-05-01,1.75,0.020000000000000018
2003-05-02,1.75,0.0
2003-05-05,1.73,-0.020000000000000018
2003-05-06,1.67,-0.06000000000000005
2003-05-07,1.7,0.030000000000000027
2003-05-08,1.7,0.0
2003-05-09,1.69,-0.010000000000000009
2003-05-12,1.68,-0.010000000000000009
2003-05-13,1.69,0.010000000000000009
2003-05-14,1.66,-0.030000000000000027
2003-05-15,1.67,0.010000000000000009
2003-05-16,1.62,-0.04999999999999982
