Date,Values,Delta Calculations,Delta - Mean(0.00015873015872999998)
1982-01-04,-1.44, , 
1982-01-05,-0.7,0.74,0.73984126984127
1982-01-06,0.04,0.74,0.73984126984127
1982-01-07,-0.2,-0.24000000000000002,-0.24015873015873002
1982-01-08,-0.14,0.06,0.05984126984127
1982-01-11,-0.15,-0.009999999999999981,-0.010158730158729982
1982-01-12,-0.36,-0.21,-0.21015873015873
1982-01-13,0.04,0.39999999999999997,0.39984126984126994
1982-01-14,0.42,0.38,0.37984126984127
1982-01-15,0.27,-0.14999999999999997,-0.15015873015872996
1982-01-18,0.49,0.21999999999999997,0.21984126984126998
1982-01-19,-0.22,-0.71,-0.71015873015873
1982-01-20,-0.75,-0.53,-0.53015873015873
1982-01-21,0.14,0.89,0.88984126984127
1982-01-22,-0.17,-0.31000000000000005,-0.3101587301587301
1982-01-25,-0.83,-0.6599999999999999,-0.66015873015873
1982-01-26,-0.39,0.43999999999999995,0.4398412698412699
1982-01-27,-0.59,-0.19999999999999996,-0.20015873015872995
1982-01-28,-1.22,-0.63,-0.63015873015873
1982-01-29,-1.13,0.09000000000000008,0.08984126984127008
1982-02-01,-0.92,0.20999999999999985,0.20984126984126986
1982-02-02,-0.85,0.07000000000000006,0.06984126984127006
1982-02-03,-1.01,-0.16000000000000003,-0.16015873015873003
1982-02-04,-0.89,0.12,0.11984126984127
1982-02-05,-0.59,0.30000000000000004,0.29984126984127
1982-02-08,0.16,0.75,0.74984126984127
1982-02-09,-0.19,-0.35,-0.35015873015873
1982-02-10,-0.56,-0.37000000000000005,-0.3701587301587301
1982-02-11,-0.81,-0.25,-0.25015873015873
1982-02-16,-0.87,-0.05999999999999994,-0.06015873015872994
1982-02-17,0.43,1.3,1.29984126984127
1982-02-18,-0.49,-0.9199999999999999,-0.92015873015873
1982-02-19,-0.03,0.45999999999999996,0.45984126984126994
1982-02-22,-0.7,-0.6699999999999999,-0.67015873015873
1982-02-23,-0.17,0.5299999999999999,0.5298412698412699
1982-02-24,0.39,0.56,0.55984126984127
1982-02-25,-0.47,-0.86,-0.86015873015873
1982-02-26,-0.74,-0.27,-0.27015873015873004
1982-03-01,-1.3,-0.56,-0.5601587301587301
1982-03-02,-1.41,-0.10999999999999988,-0.11015873015872987
1982-03-03,-2.41,-1.0000000000000002,-1.0001587301587302
1982-03-04,-1.55,0.8600000000000001,0.8598412698412701
1982-03-05,-1.51,0.040000000000000036,0.03984126984127004
1982-03-08,-1.07,0.43999999999999995,0.4398412698412699
1982-03-09,-1.08,-0.010000000000000009,-0.01015873015873001
1982-03-10,-2.21,-1.13,-1.13015873015873
1982-03-11,-1.28,0.9299999999999999,0.9298412698412699
1982-03-12,-1.32,-0.040000000000000036,-0.04015873015873003
1982-03-15,-1.74,-0.41999999999999993,-0.42015873015872995
1982-03-16,-2.1,-0.3600000000000001,-0.3601587301587301
