Date,Values,Delta Calculations,Delta - Mean(-0.014658671586700001)
2011-03-16,45.97, , 
2011-03-17,44.75,-1.2199999999999989,-1.2053413284132988
2011-03-18,42.3,-2.450000000000003,-2.435341328413303
2011-03-21,40.68,-1.6199999999999974,-1.6053413284132974
2011-03-22,40.36,-0.3200000000000003,-0.3053413284133003
2011-03-23,39.18,-1.1799999999999997,-1.1653413284132996
2011-03-24,40.59,1.4100000000000037,1.4246586715867038
2011-03-25,39.55,-1.0400000000000063,-1.0253413284133062
2011-03-28,39.99,0.44000000000000483,0.4546586715867048
2011-03-29,39.07,-0.9200000000000017,-0.9053413284133017
2011-03-30,38.1,-0.9699999999999989,-0.9553413284132989
2011-03-31,37.77,-0.3299999999999983,-0.3153413284132983
2011-04-01,37.09,-0.6799999999999997,-0.6653413284132997
2011-04-04,36.46,-0.6300000000000026,-0.6153413284133026
2011-04-05,36.48,0.01999999999999602,0.03465867158669602
2011-04-06,36.59,0.11000000000000654,0.12465867158670654
2011-04-07,36.11,-0.480000000000004,-0.465341328413304
2011-04-08,37.08,0.9699999999999989,0.9846586715866988
2011-04-11,40.23,3.1499999999999986,3.1646586715866984
2011-04-12,40.06,-0.1699999999999946,-0.1553413284132946
2011-04-13,39.51,-0.5500000000000043,-0.5353413284133043
2011-04-14,40.42,0.9100000000000037,0.9246586715867037
2011-04-15,41.56,1.1400000000000006,1.1546586715867007
2011-04-18,43.75,2.1899999999999977,2.2046586715866976
2011-04-19,40.56,-3.1899999999999977,-3.175341328413298
2011-04-20,43.06,2.5,2.5146586715867
2011-04-21,47.16,4.099999999999994,4.114658671586694
2011-04-25,54.48,7.32,7.3346586715867
2011-04-26,50.87,-3.6099999999999994,-3.5953413284132996
2011-04-27,52.01,1.1400000000000006,1.1546586715867007
2011-04-28,52.99,0.980000000000004,0.994658671586704
2011-04-29,53.71,0.7199999999999989,0.7346586715866988
2011-05-02,60.46,6.75,6.7646586715867
2011-05-03,60.62,0.1599999999999966,0.1746586715866966
2011-05-04,59.4,-1.2199999999999989,-1.2053413284132988
2011-05-05,72.08,12.68,12.6946586715867
2011-05-06,66.5,-5.579999999999998,-5.565341328413298
2011-05-09,64.29,-2.2099999999999937,-2.195341328413294
2011-05-10,58.53,-5.760000000000005,-5.745341328413305
2011-05-11,60.98,2.4499999999999957,2.4646586715866956
2011-05-12,64.32,3.3399999999999963,3.354658671586696
2011-05-13,63.08,-1.2399999999999949,-1.2253413284132948
2011-05-16,65.99,2.9099999999999966,2.9246586715866965
2011-05-17,60.51,-5.479999999999997,-5.465341328413297
2011-05-18,54.65,-5.859999999999999,-5.8453413284133
2011-05-19,51.57,-3.0799999999999983,-3.0653413284132984
2011-05-20,49.89,-1.6799999999999997,-1.6653413284132996
2011-05-23,48.3,-1.5900000000000034,-1.5753413284133033
2011-05-24,47.67,-0.6299999999999955,-0.6153413284132955
2011-05-25,47.74,0.07000000000000028,0.08465867158670029
2011-05-26,48.34,0.6000000000000014,0.6146586715867014
2011-05-27,47.36,-0.980000000000004,-0.965341328413304
2011-05-31,48.42,1.0600000000000023,1.0746586715867024
2011-06-01,52.74,4.32,4.3346586715867
2011-06-02,52.11,-0.6300000000000026,-0.6153413284133026
2011-06-03,49.9,-2.210000000000001,-2.195341328413301
2011-06-06,50.85,0.9500000000000028,0.9646586715867028
2011-06-07,49.32,-1.5300000000000011,-1.515341328413301
2011-06-08,48.23,-1.0900000000000034,-1.0753413284133033
2011-06-09,46.19,-2.039999999999999,-2.0253413284132993
2011-06-10,46.85,0.6600000000000037,0.6746586715867037
2011-06-13,49.21,2.3599999999999994,2.3746586715866993
2011-06-14,46.15,-3.0600000000000023,-3.0453413284133024
2011-06-15,47.61,1.4600000000000009,1.474658671586701
2011-06-16,46.84,-0.769999999999996,-0.755341328413296
2011-06-17,45.11,-1.730000000000004,-1.715341328413304
2011-06-20,43.51,-1.6000000000000014,-1.5853413284133013
2011-06-21,42.97,-0.5399999999999991,-0.5253413284132992
2011-06-22,41.67,-1.2999999999999972,-1.285341328413297
2011-06-23,42.94,1.269999999999996,1.284658671586696
2011-06-24,42.83,-0.10999999999999943,-0.09534132841329943
2011-06-27,43.93,1.1000000000000014,1.1146586715867015
2011-06-28,42.15,-1.7800000000000011,-1.765341328413301
2011-06-29,38.82,-3.3299999999999983,-3.3153413284132984
2011-06-30,37.45,-1.3699999999999974,-1.3553413284132974
2011-07-01,37.39,-0.060000000000002274,-0.045341328413302275
2011-07-05,38.1,0.7100000000000009,0.7246586715867008
2011-07-06,38.03,-0.07000000000000028,-0.055341328413300285
2011-07-07,36.63,-1.3999999999999986,-1.3853413284132985
2011-07-08,36.06,-0.5700000000000003,-0.5553413284133003
2011-07-11,38.43,2.3699999999999974,2.3846586715866973
2011-07-12,38.06,-0.36999999999999744,-0.35534132841329746
2011-07-13,40.59,2.530000000000001,2.544658671586701
2011-07-14,41.24,0.6499999999999986,0.6646586715866986
2011-07-15,40.83,-0.4100000000000037,-0.3953413284133037
2011-07-18,44.5,3.6700000000000017,3.6846586715867016
2011-07-19,42.83,-1.6700000000000017,-1.6553413284133016
2011-07-20,43.97,1.1400000000000006,1.1546586715867007
2011-07-21,43.92,-0.04999999999999716,-0.03534132841329716
2011-07-22,42.49,-1.4299999999999997,-1.4153413284132996
2011-07-25,43.96,1.4699999999999989,1.484658671586699
2011-07-26,43.47,-0.490000000000002,-0.475341328413302
2011-07-27,44.38,0.9100000000000037,0.9246586715867037
2011-07-28,44.59,0.21000000000000085,0.22465867158670086
2011-07-29,44.48,-0.11000000000000654,-0.09534132841330653
2011-08-01,43.49,-0.9899999999999949,-0.9753413284132949
2011-08-02,43.87,0.37999999999999545,0.39465867158669543
2011-08-03,43.58,-0.28999999999999915,-0.27534132841329917
2011-08-04,50.92,7.340000000000003,7.354658671586703
2011-08-05,51.59,0.6700000000000017,0.6846586715867017
2011-08-08,57.86,6.269999999999996,6.284658671586696
2011-08-09,54.68,-3.1799999999999997,-3.1653413284133
2011-08-10,54.62,-0.060000000000002274,-0.045341328413302275
2011-08-11,52.87,-1.75,-1.7353413284133
2011-08-12,48.46,-4.409999999999997,-4.395341328413297
2011-08-15,45.91,-2.5500000000000043,-2.5353413284133044
2011-08-16,45.69,-0.21999999999999886,-0.20534132841329886
2011-08-17,44.58,-1.1099999999999994,-1.0953413284132993
2011-08-18,46.88,2.3000000000000043,2.314658671586704
2011-08-19,50.28,3.3999999999999986,3.4146586715866984
2011-08-22,53.18,2.8999999999999986,2.9146586715866984
2011-08-23,53.71,0.5300000000000011,0.5446586715867011
2011-08-24,54.93,1.2199999999999989,1.234658671586699
2011-08-25,53.56,-1.3699999999999974,-1.3553413284132974
2011-08-26,49.95,-3.6099999999999994,-3.5953413284132996
2011-08-29,49.97,0.01999999999999602,0.03465867158669602
2011-08-30,50.33,0.35999999999999943,0.3746586715866994
2011-08-31,49.56,-0.769999999999996,-0.755341328413296
2011-09-01,47.32,-2.240000000000002,-2.225341328413302
2011-09-02,47.88,0.5600000000000023,0.5746586715867023
2011-09-06,50.11,2.229999999999997,2.2446586715866967
2011-09-07,49.18,-0.9299999999999997,-0.9153413284132997
2011-09-08,48.45,-0.7299999999999969,-0.7153413284132969
2011-09-09,50.13,1.6799999999999997,1.6946586715866998
2011-09-12,52.19,2.059999999999995,2.074658671586695
2011-09-13,48.32,-3.8699999999999974,-3.8553413284132976
2011-09-14,46.69,-1.6300000000000026,-1.6153413284133025
2011-09-15,45.35,-1.3399999999999963,-1.3253413284132962
