Date,Values,Delta Calculations
1987-01-03,1748.0, 
1987-01-10,2749.0,1001.0
1987-01-17,2189.0,-560.0
1987-01-24,1659.0,-530.0
1987-01-31,2052.0,393.0
1987-02-07,2244.0,192.0
1987-02-14,1767.0,-477.0
1987-02-21,1684.0,-83.0
1987-02-28,1827.0,143.0
1987-03-07,1650.0,-177.0
1987-03-14,1605.0,-45.0
1987-03-21,1579.0,-26.0
1987-03-28,1312.0,-267.0
1987-04-04,1857.0,545.0
1987-04-11,1848.0,-9.0
1987-04-18,1826.0,-22.0
1987-04-25,1433.0,-393.0
1987-05-02,1432.0,-1.0
1987-05-09,1301.0,-131.0
1987-05-16,1666.0,365.0
1987-05-23,1416.0,-250.0
1987-05-30,1280.0,-136.0
1987-06-06,1943.0,663.0
1987-06-13,1737.0,-206.0
1987-06-20,1455.0,-282.0
1987-06-27,1283.0,-172.0
1987-07-04,1272.0,-11.0
1987-07-11,1591.0,319.0
1987-07-18,1282.0,-309.0
1987-07-25,1046.0,-236.0
1987-08-01,1132.0,86.0
1987-08-08,1137.0,5.0
1987-08-15,1087.0,-50.0
1987-08-22,1022.0,-65.0
1987-08-29,1099.0,77.0
1987-09-05,1149.0,50.0
1987-09-12,1028.0,-121.0
1987-09-19,1345.0,317.0
1987-09-26,1362.0,17.0
1987-10-03,1599.0,237.0
1987-10-10,1759.0,160.0
1987-10-17,1706.0,-53.0
1987-10-24,1490.0,-216.0
1987-10-31,1731.0,241.0
1987-11-14,1407.0,-324.0
1987-11-21,1802.0,395.0
1987-11-28,1272.0,-530.0
1987-12-05,1597.0,325.0
1987-12-12,1550.0,-47.0
1987-12-19,1489.0,-61.0
1987-12-26,1406.0,-83.0
1988-01-02,1317.0,-89.0
1988-01-09,2676.0,1359.0
1988-01-16,2286.0,-390.0
1988-01-23,1732.0,-554.0
1988-01-30,1599.0,-133.0
1988-02-06,1781.0,182.0
1988-02-13,1825.0,44.0
1988-02-20,1499.0,-326.0
1988-02-27,1653.0,154.0
1988-03-05,1491.0,-162.0
1988-03-12,1310.0,-181.0
1988-03-19,1172.0,-138.0
1988-03-26,1184.0,12.0
1988-04-02,1294.0,110.0
1988-04-09,1822.0,528.0
1988-04-16,1690.0,-132.0
1988-04-23,1450.0,-240.0
1988-04-30,1286.0,-164.0
1988-05-07,1347.0,61.0
1988-05-14,1298.0,-49.0
1988-05-21,1218.0,-80.0
1988-05-28,1170.0,-48.0
1988-06-04,1226.0,56.0
1988-06-11,1437.0,211.0
1988-06-18,1163.0,-274.0
1988-06-25,985.0,-178.0
1988-07-02,1181.0,196.0
1988-07-09,970.0,-211.0
1988-07-16,1116.0,146.0
1988-07-23,909.0,-207.0
1988-07-30,1093.0,184.0
1988-08-06,1103.0,10.0
1988-08-13,1001.0,-102.0
1988-08-20,895.0,-106.0
1988-08-27,888.0,-7.0
1988-09-03,1076.0,188.0
1988-09-10,787.0,-289.0
1988-09-17,1023.0,236.0
1988-09-24,1015.0,-8.0
1988-10-01,817.0,-198.0
1988-10-08,1710.0,893.0
1988-10-15,1607.0,-103.0
1988-10-22,1500.0,-107.0
1988-10-29,1860.0,360.0
1988-11-05,1592.0,-268.0
1988-11-12,1282.0,-310.0
1988-11-19,1579.0,297.0
1988-11-26,1192.0,-387.0
1988-12-03,1559.0,367.0
1988-12-10,1389.0,-170.0
1988-12-17,1377.0,-12.0
1988-12-24,1502.0,125.0
1988-12-31,1025.0,-477.0
1989-01-07,1722.0,697.0
1989-01-14,2222.0,500.0
1989-01-21,1554.0,-668.0
1989-01-28,1781.0,227.0
1989-02-04,1443.0,-338.0
1989-02-11,1700.0,257.0
1989-02-18,1551.0,-149.0
1989-02-25,1144.0,-407.0
1989-03-04,1349.0,205.0
1989-03-11,1298.0,-51.0
1989-03-18,1242.0,-56.0
1989-03-25,1151.0,-91.0
1989-04-01,896.0,-255.0
1989-04-08,1773.0,877.0
1989-04-15,1344.0,-429.0
1989-04-22,1222.0,-122.0
1989-04-29,1063.0,-159.0
1989-05-06,1169.0,106.0
1989-05-13,957.0,-212.0
1989-05-20,961.0,4.0
1989-05-27,957.0,-4.0
1989-06-03,902.0,-55.0
1989-06-10,1094.0,192.0
1989-06-17,1033.0,-61.0
1989-06-24,777.0,-256.0
1989-07-01,885.0,108.0
1989-07-08,915.0,30.0
1989-07-15,996.0,81.0
1989-07-22,753.0,-243.0
1989-07-29,1006.0,253.0
1989-08-05,839.0,-167.0
1989-08-12,780.0,-59.0
1989-08-19,751.0,-29.0
1989-08-26,770.0,19.0
1989-09-02,1032.0,262.0
1989-09-09,908.0,-124.0
1989-09-16,940.0,32.0
1989-09-23,1083.0,143.0
1989-09-30,1143.0,60.0
1989-10-07,1812.0,669.0
1989-10-14,1432.0,-380.0
1989-10-21,1384.0,-48.0
1989-10-28,1970.0,586.0
