Date,Values,Delta Calculations
2009-07-01,1.9264, 
2009-07-08,2.0031,0.07669999999999999
2009-07-15,2.1705,0.16740000000000022
2009-07-22,2.2135,0.042999999999999705
2009-07-29,2.1933,-0.020199999999999996
2009-08-05,1.9872,-0.20609999999999973
2009-08-12,1.8707,-0.11650000000000005
2009-08-19,1.7802,-0.09050000000000002
2009-08-26,1.7883,0.008099999999999996
2009-09-02,1.7458,-0.04249999999999998
2009-09-09,1.7788,0.03299999999999992
2009-09-16,1.8022,0.023400000000000087
2009-09-23,1.7895,-0.012699999999999934
2009-09-30,1.8469,0.057399999999999896
2009-10-07,1.9057,0.05879999999999996
2009-10-14,1.8683,-0.03739999999999988
2009-10-21,1.8871,0.018799999999999928
2009-10-28,1.8125,-0.0746
2009-11-04,1.8371,0.024599999999999955
2009-11-11,1.8692,0.03210000000000002
2009-11-18,1.9131,0.04390000000000005
2009-11-25,1.9241,0.010999999999999899
2009-12-02,1.8922,-0.03189999999999982
2009-12-09,1.8376,-0.054600000000000204
2009-12-16,1.8235,-0.014100000000000001
2009-12-23,1.7827,-0.04079999999999995
2009-12-30,1.5694,-0.21330000000000005
2010-01-06,1.5345,-0.03489999999999993
2010-01-13,1.5664,0.03190000000000004
2010-01-20,1.5357,-0.03069999999999995
2010-01-27,1.553,0.017300000000000093
2010-02-03,1.5823,0.02929999999999988
2010-02-10,1.5921,0.009800000000000031
2010-02-17,1.5894,-0.0027000000000001467
2010-02-24,1.6014,0.01200000000000001
2010-03-03,1.5333,-0.06809999999999983
2010-03-10,1.4703,-0.06300000000000017
2010-03-17,1.4467,-0.023599999999999843
2010-03-24,1.4669,0.020199999999999996
2010-03-31,1.4047,-0.06220000000000003
2010-04-07,1.4519,0.04719999999999991
2010-04-14,1.5205,0.0686
2010-04-21,1.5938,0.07330000000000014
2010-04-28,1.6922,0.09839999999999982
2010-05-05,1.6841,-0.008099999999999996
2010-05-12,1.6893,0.0052000000000000934
2010-05-19,1.6447,-0.04459999999999997
2010-05-26,1.6201,-0.024599999999999955
2010-06-02,1.4532,-0.16690000000000005
2010-06-09,1.3469,-0.10630000000000006
2010-06-16,1.3137,-0.033199999999999896
2010-06-23,1.4302,0.11649999999999983
2010-06-30,1.33,-0.10019999999999984
2010-07-07,1.5466,0.2165999999999999
2010-07-14,1.684,0.1374000000000002
2010-07-21,1.7651,0.08109999999999973
2010-07-28,1.6647,-0.10039999999999982
2010-08-04,1.5007,-0.16400000000000015
2010-08-11,1.3221,-0.17859999999999987
2010-08-18,1.1877,-0.13440000000000007
2010-08-25,1.1362,-0.05149999999999988
2010-09-01,1.1336,-0.0026000000000001577
2010-09-08,1.1844,0.050799999999999956
2010-09-15,1.2062,0.02180000000000004
2010-09-22,1.2266,0.020399999999999974
2010-09-29,1.206,-0.02059999999999995
2010-10-06,1.175,-0.030999999999999917
2010-10-13,1.1645,-0.010499999999999954
2010-10-20,1.1367,-0.027800000000000047
2010-10-27,1.1644,0.027700000000000058
2010-11-03,1.1476,-0.016800000000000148
2010-11-10,1.1436,-0.0040000000000000036
2010-11-17,1.1719,0.028299999999999992
2010-11-24,1.172,9.999999999998899e-05
2010-12-01,1.2157,0.04370000000000007
2010-12-08,1.2103,-0.005400000000000071
2010-12-15,1.2221,0.011800000000000033
2010-12-22,1.1909,-0.031199999999999894
2010-12-29,1.2193,0.02839999999999998
2011-01-05,1.1211,-0.09820000000000007
2011-01-12,1.0708,-0.05030000000000001
2011-01-19,1.0829,0.0121
2011-01-26,1.0773,-0.005600000000000049
2011-02-02,1.1072,0.029900000000000038
2011-02-09,1.137,0.02980000000000005
2011-02-16,1.1603,0.0233000000000001
2011-02-23,1.1701,0.009799999999999809
2011-03-02,1.1201,-0.04999999999999982
2011-03-09,1.1048,-0.015300000000000091
2011-03-16,1.0978,-0.006999999999999895
2011-03-23,1.1091,0.011299999999999866
2011-03-30,1.061,-0.04810000000000003
2011-04-06,1.0683,0.007300000000000084
2011-04-13,1.1079,0.03960000000000008
2011-04-20,1.1539,0.04599999999999982
2011-04-27,1.1053,-0.04859999999999998
2011-05-04,1.0817,-0.023599999999999843
2011-05-11,1.0899,0.008199999999999985
2011-05-18,1.0418,-0.04810000000000003
2011-05-25,1.0107,-0.031100000000000128
2011-06-01,0.9372,-0.0734999999999999
2011-06-08,0.8834,-0.05380000000000007
2011-06-15,0.8445,-0.038899999999999935
2011-06-22,0.9281,0.08360000000000001
2011-06-29,0.8031,-0.125
2011-07-06,0.8968,0.0937
2011-07-13,1.0487,0.15189999999999992
2011-07-20,1.0617,0.013000000000000123
2011-07-27,1.052,-0.009700000000000042
2011-08-03,0.9449,-0.10710000000000008
2011-08-10,0.8331,-0.11180000000000001
2011-08-17,0.7443,-0.08879999999999999
2011-08-24,0.7054,-0.038899999999999935
2011-08-31,0.7094,0.0040000000000000036
2011-09-07,0.751,0.04159999999999986
2011-09-14,0.7604,0.009400000000000075
2011-09-21,0.7743,0.013900000000000023
2011-09-28,0.7698,-0.0044999999999999485
2011-10-05,0.7109,-0.05890000000000006
2011-10-12,0.6646,-0.04630000000000001
2011-10-19,0.6651,0.000500000000000056
2011-10-26,0.6424,-0.022700000000000053
2011-11-02,0.6617,0.019299999999999984
2011-11-09,0.6848,0.02310000000000001
2011-11-16,0.7028,0.018000000000000016
2011-11-23,0.7381,0.0353
2011-11-30,0.7283,-0.009800000000000031
2011-12-07,0.7099,-0.018399999999999972
2011-12-14,0.709,-0.0008999999999999009
2011-12-21,0.6577,-0.05130000000000012
2011-12-28,0.6515,-0.006199999999999983
2012-01-04,0.6408,-0.010699999999999932
2012-01-11,0.6669,0.026100000000000012
2012-01-18,0.6853,0.018399999999999972
2012-01-25,0.6995,0.01419999999999999
2012-02-01,0.6767,-0.022800000000000042
2012-02-08,0.7113,0.034600000000000075
2012-02-15,0.7251,0.013799999999999923
2012-02-22,0.7423,0.017199999999999993
2012-02-29,0.7692,0.026900000000000035
2012-03-07,0.7742,0.0050000000000000044
2012-03-14,0.7865,0.012299999999999978
2012-03-21,0.7872,0.0007000000000000339
2012-03-28,0.8092,0.02200000000000002
2012-04-04,0.8824,0.07319999999999993
2012-04-11,0.8851,0.0027000000000000357
2012-04-18,0.8293,-0.05579999999999996
2012-04-25,0.8599,0.03059999999999996
2012-05-02,0.8724,0.012499999999999956
2012-05-09,0.9042,0.03180000000000005
2012-05-16,0.8981,-0.006099999999999994
2012-05-23,0.9054,0.007299999999999973
2012-05-30,0.8454,-0.05999999999999994
2012-06-06,0.8223,-0.02310000000000001
2012-06-13,0.7849,-0.03739999999999999
2012-06-20,0.8206,0.035699999999999954
2012-06-27,0.767,-0.05359999999999998
2012-07-04,0.7319,-0.03510000000000002
2012-07-11,0.8233,0.09140000000000004
2012-07-18,0.8147,-0.008600000000000052
2012-07-25,0.8155,0.0008000000000000229
2012-08-01,0.7817,-0.03380000000000005
2012-08-08,0.7284,-0.0532999999999999
2012-08-15,0.674,-0.054400000000000004
2012-08-22,0.65,-0.02400000000000002
2012-08-29,0.6454,-0.0046000000000000485
2012-09-05,0.6665,0.021100000000000008
2012-09-12,0.6644,-0.0020999999999999908
2012-09-19,0.6648,0.00039999999999995595
2012-09-26,0.6349,-0.029899999999999927
2012-10-03,0.5899,-0.04500000000000004
2012-10-10,0.5814,-0.008499999999999952
2012-10-17,0.5533,-0.028100000000000014
2012-10-24,0.5859,0.03259999999999996
2012-10-31,0.6101,0.0242
2012-11-07,0.6348,0.024700000000000055
2012-11-14,0.6452,0.010399999999999965
2012-11-21,0.6417,-0.0034999999999999476
2012-11-28,0.6338,-0.007900000000000018
2012-12-05,0.6195,-0.01429999999999998
2012-12-12,0.6017,-0.017800000000000038
2012-12-19,0.5884,-0.013299999999999979
2012-12-26,0.5765,-0.011900000000000022
2013-01-02,0.5949,0.018399999999999972
2013-01-09,0.597,0.0020999999999999908
2013-01-16,0.5119,-0.08509999999999995
2013-01-23,0.5251,0.01319999999999999
2013-01-30,0.5543,0.029200000000000004
2013-02-06,0.6023,0.04799999999999993
2013-02-13,0.6584,0.05610000000000004
2013-02-20,0.6798,0.021399999999999975
2013-02-27,0.653,-0.026799999999999935
2013-03-06,0.6208,-0.032200000000000006
2013-03-13,0.6169,-0.0039000000000000146
2013-03-20,0.6158,-0.0010999999999999899
2013-03-27,0.6462,0.030399999999999983
2013-04-03,0.6914,0.04520000000000002
2013-04-10,0.7157,0.02429999999999999
2013-04-17,0.7258,0.010099999999999998
2013-04-24,0.7637,0.037900000000000045
2013-05-01,0.8518,0.08809999999999996
2013-05-08,0.9175,0.06569999999999998
2013-05-15,0.9232,0.005700000000000038
2013-05-22,0.9371,0.013900000000000023
2013-05-29,0.9033,-0.03380000000000005
2013-06-05,0.8703,-0.03300000000000003
2013-06-12,0.8342,-0.03609999999999991
2013-06-19,0.8265,-0.00770000000000004
2013-06-26,0.7976,-0.028900000000000037
2013-07-03,0.6915,-0.10609999999999997
2013-07-10,0.6989,0.007399999999999962
2013-07-17,0.6769,-0.02200000000000002
2013-07-24,0.6692,-0.007699999999999929
2013-07-31,0.6393,-0.029900000000000038
2013-08-07,0.6372,-0.0020999999999999908
2013-08-14,0.627,-0.010199999999999987
2013-08-21,0.6277,0.0007000000000000339
2013-08-28,0.6153,-0.012400000000000078
2013-09-04,0.5928,-0.022499999999999964
2013-09-11,0.5814,-0.011399999999999966
2013-09-18,0.5475,-0.03390000000000004
2013-09-25,0.4997,-0.04780000000000001
2013-10-02,0.4371,-0.06259999999999999
2013-10-09,0.3606,-0.07650000000000001
2013-10-16,0.3197,-0.04089999999999999
2013-10-23,0.3009,-0.018799999999999983
2013-10-30,0.3293,0.02839999999999998
2013-11-06,0.3656,0.0363
2013-11-13,0.3856,0.020000000000000018
2013-11-20,0.3853,-0.00030000000000002247
2013-11-27,0.3696,-0.015699999999999992
2013-12-04,0.3367,-0.032899999999999985
2013-12-11,0.3013,-0.03539999999999999
2013-12-18,0.2842,-0.017100000000000004
2013-12-25,0.2794,-0.0048000000000000265
2014-01-01,0.2244,-0.05499999999999999
2014-01-08,0.2608,0.03639999999999999
2014-01-15,0.2757,0.014900000000000024
2014-01-22,0.2808,0.005099999999999993
2014-01-29,0.3519,0.0711
2014-02-05,0.4192,0.06730000000000003
2014-02-12,0.4752,0.055999999999999994
2014-02-19,0.4958,0.020600000000000007
2014-02-26,0.5024,0.006599999999999939
2014-03-05,0.4771,-0.025299999999999934
2014-03-12,0.4565,-0.020600000000000007
2014-03-19,0.4533,-0.003200000000000036
2014-03-26,0.4736,0.02030000000000004
2014-04-02,0.5107,0.03710000000000002
2014-04-09,0.5586,0.04789999999999994
2014-04-16,0.6241,0.0655
2014-04-23,0.6992,0.07510000000000006
2014-04-30,0.7566,0.05740000000000001
2014-05-07,0.799,0.04239999999999999
2014-05-14,0.872,0.07299999999999995
2014-05-21,0.8871,0.015100000000000002
2014-05-28,0.868,-0.019100000000000006
2014-06-04,0.8429,-0.02510000000000001
2014-06-11,0.8055,-0.03739999999999999
2014-06-18,0.7632,-0.042300000000000004
2014-06-25,0.6927,-0.07050000000000001
2014-07-02,0.638,-0.05469999999999997
2014-07-09,0.5957,-0.042300000000000004
2014-07-16,0.5561,-0.03959999999999997
2014-07-23,0.5432,-0.012900000000000023
2014-07-30,0.5569,0.013699999999999934
2014-08-06,0.5832,0.0263000000000001
2014-08-13,0.6056,0.022399999999999975
2014-08-20,0.6181,0.012499999999999956
2014-08-27,0.6127,-0.00539999999999996
2014-09-03,0.6126,-9.999999999998899e-05
2014-09-10,0.5911,-0.021500000000000075
2014-09-17,0.5527,-0.03839999999999999
2014-09-24,0.4886,-0.06409999999999999
2014-10-01,0.3984,-0.0902
2014-10-08,0.3058,-0.09259999999999996
2014-10-15,0.2472,-0.05860000000000001
2014-10-22,0.2161,-0.031100000000000017
2014-10-29,0.2032,-0.012899999999999995
2014-11-05,0.2434,0.040200000000000014
2014-11-12,0.2687,0.02529999999999999
2014-11-19,0.2752,0.006500000000000006
2014-11-26,0.2505,-0.0247
2014-12-03,0.215,-0.035500000000000004
2014-12-10,0.1675,-0.04749999999999999
2014-12-17,0.15,-0.017500000000000016
2014-12-24,0.1483,-0.001700000000000007
2014-12-31,0.2064,0.05810000000000001
2015-01-07,0.209,0.002599999999999991
2015-01-14,0.2694,0.06039999999999998
2015-01-21,0.3859,0.11650000000000005
2015-01-28,0.4481,0.06219999999999998
2015-02-04,0.5317,0.08359999999999995
2015-02-11,0.5781,0.0464
2015-02-18,0.6059,0.027800000000000047
2015-02-25,0.6063,0.00039999999999995595
2015-03-04,0.5855,-0.02079999999999993
2015-03-11,0.5561,-0.02939999999999998
2015-03-18,0.5516,-0.0045000000000000595
2015-03-25,0.5739,0.022299999999999986
2015-04-01,0.6178,0.04390000000000005
2015-04-08,0.6764,0.058599999999999985
2015-04-15,0.7815,0.10509999999999997
2015-04-22,0.8704,0.08889999999999998
2015-04-29,0.9605,0.09010000000000007
2015-05-06,1.0619,0.10140000000000005
2015-05-13,1.1215,0.059599999999999875
2015-05-20,1.1591,0.03760000000000008
2015-05-27,1.1482,-0.01089999999999991
2015-06-03,1.0926,-0.055600000000000094
2015-06-10,1.0311,-0.06150000000000011
2015-06-17,0.9491,-0.08199999999999985
2015-06-24,0.8795,-0.0696000000000001
2015-07-01,0.7707,-0.1087999999999999
2015-07-08,0.7108,-0.059900000000000064
2015-07-15,0.6648,-0.04600000000000004
2015-07-22,0.6429,-0.02189999999999992
