Date,Values,Delta Calculations
1986-12-27,25733.0, 
1987-01-03,28138.0,2405.0
1987-01-10,25686.0,-2452.0
1987-01-17,31728.0,6042.0
1987-01-24,29855.0,-1873.0
1987-01-31,28835.0,-1020.0
1987-02-07,26469.0,-2366.0
1987-02-14,25785.0,-684.0
1987-02-21,28283.0,2498.0
1987-02-28,28702.0,419.0
1987-03-07,27613.0,-1089.0
1987-03-14,27729.0,116.0
1987-03-21,27240.0,-489.0
1987-03-28,26397.0,-843.0
1987-04-04,25826.0,-571.0
1987-04-11,25837.0,11.0
1987-04-18,29057.0,3220.0
1987-04-25,26970.0,-2087.0
1987-05-02,26781.0,-189.0
1987-05-09,25225.0,-1556.0
1987-05-16,30070.0,4845.0
1987-05-23,21838.0,-8232.0
1987-05-30,28870.0,7032.0
1987-06-06,25050.0,-3820.0
1987-06-13,27187.0,2137.0
1987-06-20,26976.0,-211.0
1987-06-27,24284.0,-2692.0
1987-07-04,26288.0,2004.0
1987-07-11,28403.0,2115.0
1987-07-18,25921.0,-2482.0
1987-07-25,30927.0,5006.0
1987-08-01,29911.0,-1016.0
1987-08-08,26695.0,-3216.0
1987-08-15,27895.0,1200.0
1987-08-22,25351.0,-2544.0
1987-08-29,26438.0,1087.0
1987-09-05,20897.0,-5541.0
1987-09-12,20935.0,38.0
1987-09-19,23636.0,2701.0
1987-09-26,21137.0,-2499.0
1987-10-03,22062.0,925.0
1987-10-10,18841.0,-3221.0
1987-10-17,21413.0,2572.0
1987-10-24,20411.0,-1002.0
1987-10-31,20008.0,-403.0
1987-11-07,20092.0,84.0
1987-11-14,21889.0,1797.0
1987-11-21,19140.0,-2749.0
1987-11-28,22816.0,3676.0
1987-12-05,21406.0,-1410.0
1987-12-12,22065.0,659.0
1987-12-19,19726.0,-2339.0
1987-12-26,21852.0,2126.0
1988-01-02,24452.0,2600.0
1988-01-09,21014.0,-3438.0
1988-01-16,26243.0,5229.0
1988-01-23,25581.0,-662.0
1988-01-30,26848.0,1267.0
1988-02-06,25563.0,-1285.0
1988-02-13,23036.0,-2527.0
1988-02-20,27255.0,4219.0
1988-02-27,25239.0,-2016.0
1988-03-05,26675.0,1436.0
1988-03-12,25464.0,-1211.0
1988-03-19,25634.0,170.0
1988-03-26,23587.0,-2047.0
1988-04-02,24165.0,578.0
1988-04-09,22810.0,-1355.0
1988-04-16,25734.0,2924.0
1988-04-23,24677.0,-1057.0
1988-04-30,25281.0,604.0
1988-05-07,24992.0,-289.0
1988-05-14,25413.0,421.0
1988-05-21,27357.0,1944.0
1988-05-28,20758.0,-6599.0
1988-06-04,24538.0,3780.0
1988-06-11,25798.0,1260.0
1988-06-18,25283.0,-515.0
1988-06-25,26670.0,1387.0
1988-07-02,28295.0,1625.0
1988-07-09,28962.0,667.0
1988-07-16,29959.0,997.0
1988-07-23,27264.0,-2695.0
1988-07-30,29981.0,2717.0
1988-08-06,30043.0,62.0
1988-08-13,29728.0,-315.0
1988-08-20,28649.0,-1079.0
1988-08-27,28141.0,-508.0
1988-09-03,26638.0,-1503.0
1988-09-10,26497.0,-141.0
1988-09-17,25588.0,-909.0
1988-09-24,24521.0,-1067.0
1988-10-01,24217.0,-304.0
1988-10-08,22982.0,-1235.0
1988-10-15,20878.0,-2104.0
1988-10-22,21788.0,910.0
1988-10-29,15547.0,-6241.0
1988-11-05,14826.0,-721.0
1988-11-12,15613.0,787.0
1988-11-19,14420.0,-1193.0
1988-11-26,18387.0,3967.0
1988-12-03,18387.0,0.0
1988-12-10,22408.0,4021.0
1988-12-17,15551.0,-6857.0
1988-12-24,23892.0,8341.0
1988-12-31,24096.0,204.0
1989-01-07,24982.0,886.0
1989-01-14,25765.0,783.0
1989-01-21,24054.0,-1711.0
1989-01-28,25808.0,1754.0
1989-02-04,26113.0,305.0
1989-02-11,25617.0,-496.0
1989-02-18,22999.0,-2618.0
1989-02-25,25037.0,2038.0
1989-03-04,23333.0,-1704.0
1989-03-11,25629.0,2296.0
1989-03-18,23254.0,-2375.0
1989-03-25,24346.0,1092.0
1989-04-01,21339.0,-3007.0
1989-04-08,21363.0,24.0
1989-04-15,22452.0,1089.0
1989-04-22,23536.0,1084.0
1989-04-29,23002.0,-534.0
1989-05-06,22997.0,-5.0
