Date,Values,Delta Calculations
1985-04-03,458.4764, 
1985-04-10,453.6061,-4.870299999999986
1985-04-17,460.9774,7.371299999999962
1985-04-24,457.2664,-3.7110000000000127
1985-05-01,459.9867,2.720300000000009
1985-05-08,459.264,-0.7226999999999748
1985-05-15,466.7925,7.528500000000008
1985-05-22,462.3109,-4.4816000000000145
1985-05-29,459.7546,-2.5563000000000216
1985-06-05,464.9238,5.169200000000046
1985-06-12,462.6279,-2.2959000000000174
1985-06-19,468.2174,5.589499999999987
1985-06-26,462.9209,-5.2964999999999804
1985-07-03,467.8503,4.929399999999987
1985-07-10,465.2592,-2.591099999999983
1985-07-17,463.8843,-1.374900000000025
1985-07-24,459.1459,-4.738400000000013
1985-07-31,463.8277,4.68180000000001
1985-08-07,461.3879,-2.439799999999991
1985-08-14,464.5588,3.1709000000000174
1985-08-21,468.418,3.859199999999987
1985-08-28,465.0098,-3.408200000000022
1985-09-04,474.6324,9.622600000000034
1985-09-11,470.7558,-3.8765999999999963
1985-09-18,472.1767,1.4208999999999605
1985-09-25,471.7221,-0.4545999999999708
1985-10-02,472.3819,0.6597999999999615
1985-10-09,472.1178,-0.2640999999999849
1985-10-16,469.3518,-2.7659999999999627
1985-10-23,465.689,-3.6628000000000043
1985-10-30,466.943,1.254000000000019
1985-11-06,476.2178,9.27479999999997
1985-11-13,475.0608,-1.157000000000039
1985-11-20,483.9846,8.923800000000028
1985-11-27,483.7263,-0.25830000000001974
1985-12-04,487.4227,3.6964000000000397
1985-12-11,480.2752,-7.147500000000036
1985-12-18,490.2118,9.936599999999999
1985-12-25,487.2528,-2.959000000000003
1986-01-01,497.0866,9.833799999999997
1986-01-08,498.8228,1.7361999999999966
1986-01-15,500.6288,1.80600000000004
1986-01-22,496.4098,-4.218999999999994
1986-01-29,494.8238,-1.5860000000000127
1986-02-05,498.3972,3.5733999999999924
1986-02-12,496.8491,-1.5480999999999767
1986-02-19,504.5337,7.684599999999989
1986-02-26,503.8708,-0.662900000000036
1986-03-05,509.0212,5.150400000000047
1986-03-12,505.8659,-3.155300000000011
1986-03-19,505.4307,-0.4352000000000089
1986-03-26,501.8651,-3.5656000000000176
1986-04-02,500.1387,-1.7264000000000124
1986-04-09,500.118,-0.020699999999919783
1986-04-16,501.214,1.0959999999999468
1986-04-23,496.9327,-4.2812999999999874
1986-04-30,500.0181,3.085399999999993
1986-05-07,497.5351,-2.483000000000004
1986-05-14,495.8246,-1.7105000000000246
1986-05-21,497.6965,1.8719000000000392
1986-05-28,493.7261,-3.9704000000000406
1986-06-04,504.3123,10.58620000000002
1986-06-11,500.0994,-4.2128999999999905
1986-06-18,502.0555,1.9560999999999922
1986-06-25,501.9402,-0.11529999999999063
1986-07-02,506.8287,4.888500000000022
1986-07-09,507.3078,0.4790999999999599
1986-07-16,512.428,5.120200000000011
1986-07-23,509.9322,-2.4957999999999743
1986-07-30,507.79,-2.1422000000000025
1986-08-06,511.524,3.7339999999999804
1986-08-13,506.5182,-5.005800000000022
1986-08-20,504.8712,-1.6469999999999914
1986-08-27,508.2397,3.36850000000004
1986-09-03,520.8506,12.610899999999958
1986-09-10,513.2321,-7.61850000000004
1986-09-17,515.1065,1.874400000000037
1986-09-24,507.9255,-7.180999999999983
1986-10-01,515.7023,7.776800000000037
1986-10-08,510.7835,-4.918800000000033
1986-10-15,510.598,-0.18549999999999045
1986-10-22,509.8564,-0.7416000000000054
