Date,Values,Delta Calculations
1973-01-03,0.887, 
1973-01-10,0.859,-0.027999999999999914
1973-01-17,0.832,-0.027000000000000024
1973-01-24,0.805,-0.027000000000000024
1973-01-31,0.777,-0.028000000000000025
1973-02-07,0.942,0.16500000000000004
1973-02-14,1.107,0.16499999999999992
1973-02-21,1.271,0.16399999999999992
1973-02-28,1.436,0.16500000000000004
1973-03-07,1.449,0.013000000000000123
1973-03-14,1.461,0.011999999999999789
1973-03-21,1.474,0.013000000000000123
1973-03-28,1.486,0.01200000000000001
1973-04-04,1.487,0.0009999999999998899
1973-04-11,1.479,-0.007999999999999785
1973-04-18,1.471,-0.00800000000000023
1973-04-25,1.462,-0.008999999999999897
1973-05-02,1.468,0.006000000000000227
1973-05-09,1.509,0.040999999999999925
1973-05-16,1.55,0.040999999999999925
1973-05-23,1.591,0.040999999999999925
1973-05-30,1.632,0.040999999999999925
1973-06-06,1.686,0.05400000000000005
1973-06-13,1.742,0.05600000000000005
1973-06-20,1.798,0.05600000000000005
1973-06-27,1.854,0.05600000000000005
1973-07-04,1.873,0.019000000000000128
1973-07-11,1.865,-0.00800000000000023
1973-07-18,1.856,-0.009000000000000119
1973-07-25,1.847,-0.008999999999999897
1973-08-01,1.847,0.0
1973-08-08,1.896,0.04899999999999993
1973-08-15,1.944,0.04800000000000004
1973-08-22,1.993,0.049000000000000155
1973-08-29,2.042,0.04899999999999971
1973-09-05,2.059,0.017000000000000348
1973-09-12,2.064,0.004999999999999893
1973-09-19,2.069,0.004999999999999893
1973-09-26,2.073,0.0040000000000000036
1973-10-03,2.084,0.01100000000000012
1973-10-10,2.102,0.017999999999999794
1973-10-17,2.12,0.018000000000000238
1973-10-24,2.138,0.017999999999999794
1973-10-31,2.156,0.018000000000000238
1973-11-07,2.147,-0.009000000000000341
1973-11-14,2.138,-0.008999999999999897
1973-11-21,2.129,-0.008999999999999897
1973-11-28,2.12,-0.008999999999999897
1973-12-05,2.172,0.0519999999999996
1973-12-12,2.247,0.07500000000000018
1973-12-19,2.323,0.07600000000000007
1973-12-26,2.399,0.07600000000000007
1974-01-02,2.441,0.041999999999999815
1974-01-09,2.399,-0.041999999999999815
1974-01-16,2.356,-0.04300000000000015
1974-01-23,2.314,-0.041999999999999815
1974-01-30,2.271,-0.04300000000000015
1974-02-06,2.25,-0.020999999999999908
1974-02-13,2.232,-0.018000000000000238
1974-02-20,2.214,-0.017999999999999794
1974-02-27,2.197,-0.016999999999999904
1974-03-06,2.221,0.02400000000000002
1974-03-13,2.252,0.030999999999999694
1974-03-20,2.283,0.03100000000000014
1974-03-27,2.315,0.03200000000000003
1974-04-03,2.341,0.0259999999999998
1974-04-10,2.36,0.019000000000000128
1974-04-17,2.38,0.020000000000000018
1974-04-24,2.4,0.020000000000000018
1974-05-01,2.422,0.021999999999999797
1974-05-08,2.459,0.037000000000000366
1974-05-15,2.497,0.03799999999999981
1974-05-22,2.534,0.037000000000000366
1974-05-29,2.572,0.03799999999999981
1974-06-05,2.634,0.06199999999999983
1974-06-12,2.706,0.07200000000000051
1974-06-19,2.779,0.07299999999999951
1974-06-26,2.851,0.07200000000000051
1974-07-03,2.902,0.05099999999999927
1974-07-10,2.925,0.02300000000000013
1974-07-17,2.948,0.02300000000000013
1974-07-24,2.97,0.02200000000000024
1974-07-31,2.993,0.02300000000000013
1974-08-07,3.027,0.033999999999999364
1974-08-14,3.06,0.03300000000000036
1974-08-21,3.094,0.03399999999999981
1974-08-28,3.127,0.03299999999999992
1974-09-04,3.136,0.009000000000000341
1974-09-11,3.128,-0.008000000000000007
1974-09-18,3.119,-0.009000000000000341
1974-09-25,3.11,-0.008999999999999897
1974-10-02,3.095,-0.01499999999999968
1974-10-09,3.065,-0.03000000000000025
1974-10-16,3.036,-0.028999999999999915
1974-10-23,3.006,-0.029999999999999805
1974-10-30,2.976,-0.029999999999999805
1974-11-06,2.985,0.008999999999999453
1974-11-13,3.0,0.015000000000000124
1974-11-20,3.016,0.016000000000000014
1974-11-27,3.031,0.015000000000000124
1974-12-04,3.085,0.053999999999999826
1974-12-11,3.168,0.08300000000000018
1974-12-18,3.251,0.08300000000000018
1974-12-25,3.334,0.0829999999999993
1975-01-01,3.396,0.06200000000000072
1975-01-08,3.336,-0.06000000000000005
1975-01-15,3.277,-0.05900000000000061
1975-01-22,3.217,-0.05999999999999961
1975-01-29,3.158,-0.05900000000000016
1975-02-05,3.136,-0.021999999999999797
1975-02-12,3.13,-0.006000000000000227
1975-02-19,3.124,-0.006000000000000227
1975-02-26,3.117,-0.006999999999999673
1975-03-05,3.15,0.03299999999999992
1975-03-12,3.198,0.04800000000000004
1975-03-19,3.245,0.04700000000000015
1975-03-26,3.293,0.04800000000000004
1975-04-02,3.328,0.03500000000000014
1975-04-09,3.33,0.0019999999999997797
1975-04-16,3.333,0.0030000000000001137
1975-04-23,3.335,0.0019999999999997797
1975-04-30,3.338,0.0030000000000001137
1975-05-07,3.329,-0.009000000000000341
1975-05-14,3.32,-0.008999999999999897
1975-05-21,3.311,-0.008999999999999453
1975-05-28,3.303,-0.008000000000000451
1975-06-04,3.323,0.020000000000000018
1975-06-11,3.364,0.040999999999999925
1975-06-18,3.405,0.040999999999999925
1975-06-25,3.447,0.04200000000000026
1975-07-02,3.451,0.0040000000000000036
1975-07-09,3.361,-0.08999999999999986
1975-07-16,3.271,-0.08999999999999986
1975-07-23,3.181,-0.0900000000000003
1975-07-30,3.092,-0.08899999999999997
1975-08-06,3.074,-0.018000000000000238
1975-08-13,3.069,-0.004999999999999893
1975-08-20,3.064,-0.0050000000000003375
1975-08-27,3.059,-0.004999999999999893
1975-09-03,3.062,0.0030000000000001137
1975-09-10,3.074,0.01200000000000001
1975-09-17,3.086,0.012000000000000455
1975-09-24,3.098,0.01200000000000001
1975-10-01,3.117,0.018999999999999684
1975-10-08,3.18,0.06300000000000017
1975-10-15,3.243,0.06300000000000017
1975-10-22,3.307,0.06399999999999961
1975-10-29,3.37,0.06300000000000017
1975-11-05,3.385,0.01499999999999968
1975-11-12,3.381,-0.0039999999999995595
1975-11-19,3.377,-0.004000000000000448
1975-11-26,3.373,-0.0039999999999995595
1975-12-03,3.393,0.020000000000000018
1975-12-10,3.443,0.04999999999999982
1975-12-17,3.494,0.05099999999999971
1975-12-24,3.545,0.051000000000000156
1975-12-31,3.595,0.050000000000000266
1976-01-07,3.519,-0.07600000000000051
1976-01-14,3.443,-0.07599999999999962
1976-01-21,3.367,-0.07600000000000007
1976-01-28,3.291,-0.07599999999999962
1976-02-04,3.234,-0.057000000000000384
1976-02-11,3.192,-0.04200000000000026
1976-02-18,3.151,-0.04099999999999948
1976-02-25,3.109,-0.04200000000000026
1976-03-03,3.118,0.009000000000000341
1976-03-10,3.196,0.07799999999999985
1976-03-17,3.274,0.0779999999999994
1976-03-24,3.353,0.07900000000000063
1976-03-31,3.431,0.07799999999999985
1976-04-07,3.361,-0.06999999999999984
1976-04-14,3.29,-0.07100000000000017
1976-04-21,3.22,-0.06999999999999984
1976-04-28,3.15,-0.07000000000000028
1976-05-05,3.107,-0.04300000000000015
1976-05-12,3.074,-0.03299999999999992
1976-05-19,3.042,-0.03200000000000003
1976-05-26,3.009,-0.03299999999999992
1976-06-02,3.014,0.004999999999999893
1976-06-09,3.111,0.09700000000000042
1976-06-16,3.209,0.09799999999999942
1976-06-23,3.306,0.09700000000000042
1976-06-30,3.404,0.09799999999999986
1976-07-07,3.346,-0.05799999999999983
1976-07-14,3.288,-0.05799999999999983
1976-07-21,3.231,-0.05699999999999994
1976-07-28,3.173,-0.058000000000000274
1976-08-04,3.156,-0.016999999999999904
1976-08-11,3.169,0.012999999999999456
1976-08-18,3.182,0.013000000000000345
1976-08-25,3.196,0.014000000000000234
1976-09-01,3.216,0.020000000000000018
1976-09-08,3.278,0.06199999999999983
1976-09-15,3.341,0.06300000000000017
1976-09-22,3.403,0.06199999999999983
