Date,Values,Delta Calculations
1996-10-02,226.9411, 
1996-10-09,211.7882,-15.152900000000017
1996-10-16,220.4097,8.621499999999997
1996-10-23,223.0203,2.610600000000005
1996-10-30,222.831,-0.1893000000000029
1996-11-06,219.9307,-2.900299999999987
1996-11-13,224.1794,4.248699999999985
1996-11-20,223.8591,-0.3202999999999747
1996-11-27,226.3912,2.5320999999999856
1996-12-04,214.8241,-11.56710000000001
1996-12-11,212.7551,-2.0689999999999884
1996-12-18,237.1832,24.4281
1996-12-25,222.9833,-14.199899999999985
1997-01-01,229.9209,6.937599999999975
1997-01-08,226.3439,-3.576999999999998
1997-01-15,220.7838,-5.560099999999977
1997-01-22,244.898,24.114199999999983
1997-01-29,244.8187,-0.07929999999998927
1997-02-05,227.5206,-17.298100000000005
1997-02-12,230.8865,3.3659000000000106
1997-02-19,231.7988,0.9122999999999877
1997-02-26,233.3353,1.5364999999999895
1997-03-05,224.2638,-9.071499999999986
1997-03-12,224.2315,-0.032299999999992224
1997-03-19,241.0749,16.843400000000003
1997-03-26,238.7481,-2.32680000000002
1997-04-02,231.6198,-7.128299999999996
1997-04-09,228.6009,-3.018900000000002
1997-04-16,241.3304,12.729500000000002
1997-04-23,250.303,8.9726
1997-04-30,252.4,2.0970000000000084
1997-05-07,251.6359,-0.7641000000000133
1997-05-14,252.6218,0.9859000000000151
1997-05-21,245.4598,-7.162000000000006
1997-05-28,248.0104,2.550600000000003
1997-06-04,237.4354,-10.575000000000017
1997-06-11,223.5175,-13.917899999999975
1997-06-18,241.6694,18.151899999999983
1997-06-25,245.4447,3.7753000000000156
1997-07-02,233.3967,-12.048000000000002
1997-07-09,225.1941,-8.202600000000018
1997-07-16,226.8742,1.6801000000000101
1997-07-23,234.6417,7.767499999999984
1997-07-30,234.6155,-0.026199999999988677
1997-08-06,221.2849,-13.330600000000004
1997-08-13,225.6712,4.386300000000006
1997-08-20,227.671,1.9997999999999934
1997-08-27,224.0254,-3.6456000000000017
1997-09-03,225.8629,1.8375000000000057
1997-09-10,224.809,-1.0538999999999703
1997-09-17,242.7511,17.942099999999982
1997-09-24,249.624,6.8729000000000156
1997-10-01,242.1067,-7.517300000000034
1997-10-08,232.56,-9.546699999999987
1997-10-15,235.5305,2.970499999999987
1997-10-22,244.2498,8.719300000000004
1997-10-29,248.1283,3.8785000000000025
1997-11-05,237.7558,-10.372500000000002
1997-11-12,239.9237,2.167900000000003
1997-11-19,239.2742,-0.6494999999999891
1997-11-26,240.7976,1.523399999999981
1997-12-03,241.8835,1.0859000000000094
1997-12-10,238.3518,-3.5317000000000007
1997-12-17,242.9479,4.596100000000007
1997-12-24,248.6155,5.667599999999993
1997-12-31,243.705,-4.910499999999985
1998-01-07,238.9797,-4.725300000000004
1998-01-14,246.8349,7.855199999999996
1998-01-21,264.9016,18.06669999999997
1998-01-28,261.8241,-3.0774999999999864
1998-02-04,247.7472,-14.076899999999995
1998-02-11,245.9123,-1.8349000000000046
1998-02-18,251.0026,5.090300000000013
1998-02-25,247.6731,-3.329499999999996
1998-03-04,249.3914,1.7182999999999993
1998-03-11,247.9853,-1.4061000000000092
1998-03-18,260.8179,12.832600000000014
1998-03-25,249.8958,-10.9221
1998-04-01,254.9195,5.023699999999991
1998-04-08,251.942,-2.977499999999992
1998-04-15,260.138,8.19599999999997
1998-04-22,271.2369,11.098900000000015
1998-04-29,283.0706,11.833700000000022
1998-05-06,282.6236,-0.44700000000000273
1998-05-13,272.3548,-10.268799999999999
