Date,Values,Delta Calculations
1987-01-03,44887.0, 
1987-01-10,68898.0,24011.0
1987-01-17,68145.0,-753.0
1987-01-24,58492.0,-9653.0
1987-01-31,64568.0,6076.0
1987-02-07,72071.0,7503.0
1987-02-14,54451.0,-17620.0
1987-02-21,56222.0,1771.0
1987-02-28,61177.0,4955.0
1987-03-07,56918.0,-4259.0
1987-03-14,57885.0,967.0
1987-03-28,50249.0,-7636.0
1987-04-04,48366.0,-1883.0
1987-04-11,48003.0,-363.0
1987-04-18,46969.0,-1034.0
1987-04-25,43910.0,-3059.0
1987-05-02,43739.0,-171.0
1987-05-09,48358.0,4619.0
1987-05-16,46701.0,-1657.0
1987-05-23,42300.0,-4401.0
1987-05-30,33020.0,-9280.0
1987-06-06,47893.0,14873.0
1987-06-13,45134.0,-2759.0
1987-06-20,47060.0,1926.0
1987-06-27,47371.0,311.0
1987-08-01,46914.0,-457.0
1987-08-08,46900.0,-14.0
1987-08-15,44001.0,-2899.0
1987-08-22,41102.0,-2899.0
1987-08-29,42530.0,1428.0
1987-09-05,42201.0,-329.0
1987-09-12,36633.0,-5568.0
1987-09-19,42642.0,6009.0
1987-09-26,41570.0,-1072.0
1987-10-03,44095.0,2525.0
1987-10-10,50233.0,6138.0
1987-10-17,42574.0,-7659.0
1987-10-24,49858.0,7284.0
1987-10-31,49262.0,-596.0
1987-11-07,58334.0,9072.0
1987-11-14,49298.0,-9036.0
1987-11-21,59126.0,9828.0
1987-11-28,40062.0,-19064.0
1987-12-05,61607.0,21545.0
1987-12-12,55646.0,-5961.0
1987-12-19,53021.0,-2625.0
1987-12-26,42990.0,-10031.0
1988-01-02,45887.0,2897.0
1988-01-09,64535.0,18648.0
1988-01-16,56699.0,-7836.0
1988-01-23,51369.0,-5330.0
1988-01-30,52103.0,734.0
1988-02-06,59015.0,6912.0
1988-02-13,52550.0,-6465.0
1988-02-20,55975.0,3425.0
1988-02-27,53034.0,-2941.0
1988-03-05,56883.0,3849.0
1988-03-12,50988.0,-5895.0
1988-03-19,48614.0,-2374.0
1988-03-26,48896.0,282.0
1988-04-02,45144.0,-3752.0
1988-04-09,45835.0,691.0
1988-04-16,42793.0,-3042.0
1988-04-23,50390.0,7597.0
1988-04-30,44752.0,-5638.0
1988-05-07,50858.0,6106.0
1988-05-14,50180.0,-678.0
1988-05-21,47872.0,-2308.0
1988-05-28,41614.0,-6258.0
1988-06-04,38798.0,-2816.0
1988-06-11,47450.0,8652.0
1988-06-18,47180.0,-270.0
1988-06-25,51387.0,4207.0
1988-07-02,46765.0,-4622.0
1988-07-09,42148.0,-4617.0
1988-07-16,44240.0,2092.0
1988-07-23,48818.0,4578.0
1988-07-30,44815.0,-4003.0
1988-08-06,46726.0,1911.0
1988-08-13,45568.0,-1158.0
1988-08-20,41793.0,-3775.0
1988-08-27,41370.0,-423.0
1988-09-03,42640.0,1270.0
1988-09-10,36468.0,-6172.0
1988-09-17,42359.0,5891.0
1988-09-24,44941.0,2582.0
1988-10-01,44040.0,-901.0
1988-10-08,44655.0,615.0
1988-10-15,39110.0,-5545.0
1988-10-22,45634.0,6524.0
1988-10-29,46058.0,424.0
1988-11-05,51960.0,5902.0
1988-11-12,44948.0,-7012.0
1988-11-19,58592.0,13644.0
1988-11-26,34489.0,-24103.0
1988-12-03,58101.0,23612.0
1988-12-10,51635.0,-6466.0
1988-12-17,45559.0,-6076.0
1988-12-24,55890.0,10331.0
1988-12-31,45655.0,-10235.0
1989-01-07,49646.0,3991.0
1989-01-14,54091.0,4445.0
1989-01-21,46667.0,-7424.0
1989-01-28,55400.0,8733.0
1989-02-04,52461.0,-2939.0
1989-02-11,60148.0,7687.0
1989-02-18,48656.0,-11492.0
1989-02-25,47121.0,-1535.0
1989-03-04,52372.0,5251.0
1989-03-11,57492.0,5120.0
1989-03-18,51643.0,-5849.0
1989-03-25,48103.0,-3540.0
1989-04-01,47544.0,-559.0
1989-04-08,47367.0,-177.0
1989-04-15,44622.0,-2745.0
1989-04-22,47544.0,2922.0
1989-04-29,47971.0,427.0
1989-05-06,49951.0,1980.0
1989-05-13,46887.0,-3064.0
1989-05-20,42751.0,-4136.0
1989-05-27,41605.0,-1146.0
1989-06-03,39089.0,-2516.0
1989-06-10,50264.0,11175.0
1989-06-17,47456.0,-2808.0
1989-06-24,50245.0,2789.0
