Date,Values,Delta Calculations
2009-05-18,1.58, 
2009-05-25,1.56,-0.020000000000000018
2009-06-01,1.54,-0.020000000000000018
2009-06-08,1.53,-0.010000000000000009
2009-06-15,1.52,-0.010000000000000009
2009-06-22,1.53,0.010000000000000009
2009-06-29,1.57,0.040000000000000036
2009-07-06,1.57,0.0
2009-07-13,1.55,-0.020000000000000018
2009-07-20,1.55,0.0
2009-07-27,1.55,0.0
2009-08-03,1.54,-0.010000000000000009
2009-08-10,1.54,0.0
2009-08-17,1.54,0.0
2009-08-24,1.53,-0.010000000000000009
2009-08-31,1.52,-0.010000000000000009
2009-09-07,1.51,-0.010000000000000009
2009-09-14,1.55,0.040000000000000036
2009-09-21,1.5,-0.050000000000000044
2009-09-28,1.51,0.010000000000000009
2009-10-05,1.51,0.0
2009-10-12,1.5,-0.010000000000000009
2009-10-19,1.53,0.030000000000000027
2009-10-26,1.5,-0.030000000000000027
2009-11-02,1.5,0.0
2009-11-09,1.5,0.0
2009-11-16,1.48,-0.020000000000000018
2009-11-23,1.46,-0.020000000000000018
2009-11-30,1.44,-0.020000000000000018
2009-12-07,1.42,-0.020000000000000018
2009-12-14,1.41,-0.010000000000000009
2009-12-21,1.39,-0.020000000000000018
2009-12-28,1.38,-0.010000000000000009
2010-01-04,1.39,0.010000000000000009
2010-01-11,1.39,0.0
2010-01-18,1.37,-0.019999999999999796
2010-01-25,1.36,-0.010000000000000009
2010-02-01,1.35,-0.010000000000000009
2010-02-08,1.33,-0.020000000000000018
2010-02-15,1.33,0.0
2010-02-22,1.32,-0.010000000000000009
2010-03-01,1.32,0.0
2010-03-08,1.31,-0.010000000000000009
2010-03-15,1.3,-0.010000000000000009
2010-03-22,1.29,-0.010000000000000009
2010-03-29,1.29,0.0
2010-04-05,1.28,-0.010000000000000009
2010-04-12,1.28,0.0
2010-04-19,1.27,-0.010000000000000009
2010-04-26,1.27,0.0
2010-05-03,1.27,0.0
2010-05-10,1.26,-0.010000000000000009
2010-05-17,1.25,-0.010000000000000009
2010-05-24,1.25,0.0
2010-05-31,1.24,-0.010000000000000009
2010-06-07,1.23,-0.010000000000000009
2010-06-14,1.22,-0.010000000000000009
2010-06-21,1.22,0.0
2010-06-28,1.21,-0.010000000000000009
2010-07-05,1.2,-0.010000000000000009
2010-07-12,1.19,-0.010000000000000009
2010-07-19,1.17,-0.020000000000000018
2010-07-26,1.17,0.0
2010-08-02,1.15,-0.020000000000000018
2010-08-09,1.13,-0.020000000000000018
2010-08-16,1.11,-0.019999999999999796
2010-08-23,1.09,-0.020000000000000018
2010-08-30,1.04,-0.050000000000000044
2010-09-06,1.02,-0.020000000000000018
2010-09-13,1.0,-0.020000000000000018
2010-09-20,0.99,-0.010000000000000009
2010-09-27,0.98,-0.010000000000000009
2010-10-04,0.97,-0.010000000000000009
2010-10-11,0.94,-0.030000000000000027
2010-10-18,0.91,-0.029999999999999916
2010-10-25,0.89,-0.020000000000000018
2010-11-01,0.87,-0.020000000000000018
2010-11-08,0.86,-0.010000000000000009
2010-11-15,0.85,-0.010000000000000009
2010-11-22,0.84,-0.010000000000000009
2010-11-29,0.84,0.0
2010-12-06,0.83,-0.010000000000000009
2010-12-13,0.83,0.0
2010-12-20,0.83,0.0
2010-12-27,0.82,-0.010000000000000009
2011-01-03,0.82,0.0
2011-01-10,0.81,-0.009999999999999898
2011-01-17,0.8,-0.010000000000000009
2011-01-24,0.8,0.0
2011-01-31,0.81,0.010000000000000009
2011-02-07,0.8,-0.010000000000000009
2011-02-14,0.8,0.0
2011-02-21,0.8,0.0
2011-02-28,0.8,0.0
2011-03-07,0.8,0.0
2011-03-14,0.79,-0.010000000000000009
2011-03-21,0.79,0.0
2011-03-28,0.79,0.0
2011-04-04,0.78,-0.010000000000000009
2011-04-11,0.78,0.0
2011-04-18,0.78,0.0
2011-04-25,0.78,0.0
2011-05-02,0.78,0.0
2011-05-09,0.77,-0.010000000000000009
2011-05-16,0.77,0.0
2011-05-23,0.76,-0.010000000000000009
2011-05-30,0.76,0.0
2011-06-06,0.75,-0.010000000000000009
2011-06-13,0.75,0.0
2011-06-20,0.74,-0.010000000000000009
2011-06-27,0.73,-0.010000000000000009
2011-07-04,0.73,0.0
2011-07-11,0.72,-0.010000000000000009
2011-07-18,0.72,0.0
2011-07-25,0.72,0.0
2011-08-01,0.72,0.0
2011-08-08,0.71,-0.010000000000000009
2011-08-15,0.69,-0.020000000000000018
2011-08-22,0.67,-0.019999999999999907
2011-08-29,0.66,-0.010000000000000009
2011-09-05,0.65,-0.010000000000000009
2011-09-12,0.63,-0.020000000000000018
2011-09-19,0.62,-0.010000000000000009
2011-09-26,0.61,-0.010000000000000009
2011-10-03,0.6,-0.010000000000000009
2011-10-10,0.59,-0.010000000000000009
2011-10-17,0.59,0.0
2011-10-24,0.59,0.0
2011-10-31,0.59,0.0
2011-11-07,0.58,-0.010000000000000009
2011-11-14,0.58,0.0
2011-11-21,0.57,-0.010000000000000009
2011-11-28,0.57,0.0
2011-12-05,0.57,0.0
2011-12-12,0.57,0.0
2011-12-19,0.56,-0.009999999999999898
2011-12-26,0.56,0.0
2012-01-02,0.56,0.0
2012-01-09,0.56,0.0
2012-01-16,0.55,-0.010000000000000009
2012-01-23,0.55,0.0
2012-01-30,0.55,0.0
2012-02-06,0.54,-0.010000000000000009
2012-02-13,0.53,-0.010000000000000009
2012-02-20,0.53,0.0
2012-02-27,0.52,-0.010000000000000009
2012-03-05,0.52,0.0
2012-03-12,0.52,0.0
2012-03-19,0.51,-0.010000000000000009
2012-03-26,0.51,0.0
2012-04-02,0.51,0.0
2012-04-09,0.51,0.0
2012-04-16,0.51,0.0
2012-04-23,0.5,-0.010000000000000009
2012-04-30,0.5,0.0
2012-05-07,0.5,0.0
2012-05-14,0.5,0.0
2012-05-21,0.49,-0.010000000000000009
2012-05-28,0.5,0.010000000000000009
2012-06-04,0.49,-0.010000000000000009
2012-06-11,0.49,0.0
2012-06-18,0.49,0.0
2012-06-25,0.48,-0.010000000000000009
2012-07-02,0.48,0.0
2012-07-09,0.48,0.0
2012-07-16,0.48,0.0
2012-07-23,0.47,-0.010000000000000009
2012-07-30,0.47,0.0
2012-08-06,0.46,-0.009999999999999953
2012-08-13,0.46,0.0
2012-08-20,0.46,0.0
2012-08-27,0.45,-0.010000000000000009
2012-09-03,0.45,0.0
2012-09-10,0.45,0.0
2012-09-17,0.44,-0.010000000000000009
2012-09-24,0.44,0.0
2012-10-01,0.44,0.0
2012-10-08,0.44,0.0
2012-10-15,0.43,-0.010000000000000009
2012-10-22,0.43,0.0
2012-10-29,0.43,0.0
2012-11-05,0.42,-0.010000000000000009
2012-11-12,0.42,0.0
2012-11-19,0.42,0.0
2012-11-26,0.42,0.0
2012-12-03,0.42,0.0
2012-12-10,0.41,-0.010000000000000009
2012-12-17,0.4,-0.009999999999999953
2012-12-24,0.4,0.0
2012-12-31,0.4,0.0
2013-01-07,0.4,0.0
2013-01-14,0.4,0.0
2013-01-21,0.39,-0.010000000000000009
2013-01-28,0.39,0.0
2013-02-04,0.39,0.0
2013-02-11,0.39,0.0
2013-02-18,0.39,0.0
2013-02-25,0.39,0.0
2013-03-04,0.38,-0.010000000000000009
2013-03-11,0.38,0.0
2013-03-18,0.38,0.0
2013-03-25,0.37,-0.010000000000000009
2013-04-01,0.37,0.0
2013-04-08,0.37,0.0
2013-04-15,0.37,0.0
2013-04-22,0.36,-0.010000000000000009
2013-04-29,0.36,0.0
2013-05-06,0.36,0.0
2013-05-13,0.36,0.0
2013-05-20,0.36,0.0
2013-05-27,0.36,0.0
2013-06-03,0.36,0.0
2013-06-10,0.35,-0.010000000000000009
2013-06-17,0.36,0.010000000000000009
2013-06-24,0.35,-0.010000000000000009
2013-07-01,0.36,0.010000000000000009
2013-07-08,0.35,-0.010000000000000009
2013-07-15,0.35,0.0
2013-07-22,0.35,0.0
2013-07-29,0.35,0.0
2013-08-05,0.35,0.0
2013-08-12,0.35,0.0
2013-08-19,0.35,0.0
2013-08-26,0.35,0.0
2013-09-02,0.35,0.0
2013-09-09,0.35,0.0
2013-09-16,0.35,0.0
2013-09-23,0.35,0.0
2013-09-30,0.35,0.0
