Date,Values,Delta Calculations
1987-01-03,3003.0, 
1987-01-10,5871.0,2868.0
1987-01-17,4848.0,-1023.0
1987-01-24,4891.0,43.0
1987-01-31,4150.0,-741.0
1987-02-07,4719.0,569.0
1987-02-14,4013.0,-706.0
1987-02-21,3894.0,-119.0
1987-02-28,3992.0,98.0
1987-03-07,3863.0,-129.0
1987-03-14,3499.0,-364.0
1987-03-21,3849.0,350.0
1987-03-28,3022.0,-827.0
1987-04-04,3777.0,755.0
1987-04-11,4150.0,373.0
1987-04-18,3475.0,-675.0
1987-04-25,3625.0,150.0
1987-05-02,3085.0,-540.0
1987-05-09,4000.0,915.0
1987-05-16,3652.0,-348.0
1987-05-23,4258.0,606.0
1987-05-30,3760.0,-498.0
1987-06-06,3271.0,-489.0
1987-06-13,3125.0,-146.0
1987-06-20,2943.0,-182.0
1987-06-27,2464.0,-479.0
1987-07-04,2568.0,104.0
1987-07-11,3208.0,640.0
1987-07-18,2837.0,-371.0
1987-07-25,2555.0,-282.0
1987-08-01,2415.0,-140.0
1987-08-08,2603.0,188.0
1987-08-15,2499.0,-104.0
1987-08-22,2414.0,-85.0
1987-08-29,2804.0,390.0
1987-09-05,2971.0,167.0
1987-09-12,2259.0,-712.0
1987-09-19,2629.0,370.0
1987-09-26,2651.0,22.0
1987-10-03,2887.0,236.0
1987-10-10,3474.0,587.0
1987-10-17,2823.0,-651.0
1987-10-24,2995.0,172.0
1987-10-31,3027.0,32.0
1987-11-07,3518.0,491.0
1987-11-14,3065.0,-453.0
1987-11-21,5085.0,2020.0
1987-11-28,3155.0,-1930.0
1987-12-05,4238.0,1083.0
1987-12-12,3628.0,-610.0
1987-12-19,4990.0,1362.0
1987-12-26,4173.0,-817.0
1988-01-02,3194.0,-979.0
1988-01-09,6228.0,3034.0
1988-01-16,5709.0,-519.0
1988-01-23,3884.0,-1825.0
1988-01-30,4318.0,434.0
1988-02-06,4429.0,111.0
1988-02-13,3720.0,-709.0
1988-02-20,3290.0,-430.0
1988-02-27,3607.0,317.0
1988-03-05,3280.0,-327.0
1988-03-12,3316.0,36.0
1988-03-19,2838.0,-478.0
1988-03-26,2985.0,147.0
1988-04-02,2857.0,-128.0
1988-04-09,3493.0,636.0
1988-04-16,3630.0,137.0
1988-04-23,3335.0,-295.0
1988-04-30,2922.0,-413.0
1988-05-07,2977.0,55.0
1988-05-14,2658.0,-319.0
1988-05-21,2813.0,155.0
1988-05-28,2672.0,-141.0
1988-06-04,2323.0,-349.0
1988-06-11,2676.0,353.0
1988-06-18,2361.0,-315.0
1988-06-25,2396.0,35.0
1988-07-02,2466.0,70.0
1988-07-09,2456.0,-10.0
1988-07-16,2373.0,-83.0
1988-07-23,2280.0,-93.0
1988-07-30,2256.0,-24.0
1988-08-06,2362.0,106.0
1988-08-13,2277.0,-85.0
1988-08-20,2219.0,-58.0
1988-08-27,2172.0,-47.0
1988-09-03,2161.0,-11.0
1988-09-10,2249.0,88.0
1988-09-17,2675.0,426.0
1988-09-24,2256.0,-419.0
1988-10-01,2222.0,-34.0
1988-10-08,2981.0,759.0
1988-10-15,2538.0,-443.0
1988-10-22,2774.0,236.0
1988-10-29,2519.0,-255.0
1988-11-05,3049.0,530.0
1988-11-12,2885.0,-164.0
1988-11-19,3805.0,920.0
1988-11-26,2806.0,-999.0
1988-12-03,3154.0,348.0
1988-12-10,3554.0,400.0
1988-12-17,3650.0,96.0
1988-12-24,4289.0,639.0
1988-12-31,3404.0,-885.0
1989-01-07,4451.0,1047.0
1989-01-14,4807.0,356.0
1989-01-21,3785.0,-1022.0
1989-01-28,3409.0,-376.0
1989-02-04,3627.0,218.0
1989-02-11,4200.0,573.0
1989-02-18,3128.0,-1072.0
1989-02-25,2481.0,-647.0
1989-03-04,3318.0,837.0
1989-03-11,2674.0,-644.0
1989-03-18,2515.0,-159.0
1989-03-25,2369.0,-146.0
1989-04-01,2329.0,-40.0
1989-04-08,3238.0,909.0
1989-04-15,3154.0,-84.0
1989-04-22,2870.0,-284.0
1989-04-29,2578.0,-292.0
1989-05-06,2638.0,60.0
1989-05-13,2334.0,-304.0
1989-05-20,2982.0,648.0
1989-05-27,2115.0,-867.0
1989-06-03,2298.0,183.0
1989-06-10,2629.0,331.0
1989-06-17,2255.0,-374.0
1989-06-24,1961.0,-294.0
1989-07-01,2178.0,217.0
1989-07-08,2143.0,-35.0
1989-07-15,2538.0,395.0
1989-07-22,2172.0,-366.0
1989-07-29,1996.0,-176.0
1989-08-05,2186.0,190.0
1989-08-12,2077.0,-109.0
1989-08-19,1931.0,-146.0
1989-08-26,1919.0,-12.0
1989-09-02,1948.0,29.0
1989-09-09,5638.0,3690.0
1989-09-16,2398.0,-3240.0
1989-09-23,1778.0,-620.0
1989-09-30,1982.0,204.0
1989-10-07,2860.0,878.0
1989-10-14,2320.0,-540.0
1989-10-21,2882.0,562.0
1989-10-28,2230.0,-652.0
1989-11-04,2605.0,375.0
1989-11-11,2479.0,-126.0
1989-11-18,2847.0,368.0
1989-11-25,2640.0,-207.0
1989-12-02,2806.0,166.0
1989-12-09,3217.0,411.0
1989-12-16,3204.0,-13.0
1989-12-23,4588.0,1384.0
1989-12-30,2511.0,-2077.0
1990-01-06,3307.0,796.0
1990-01-13,4493.0,1186.0
1990-01-20,3153.0,-1340.0
1990-01-27,3730.0,577.0
1990-02-03,3117.0,-613.0
1990-02-10,3094.0,-23.0
1990-02-17,3098.0,4.0
1990-02-24,2453.0,-645.0
1990-03-03,2971.0,518.0
1990-03-10,2989.0,18.0
1990-03-17,2552.0,-437.0
1990-03-24,2554.0,2.0
1990-03-31,2173.0,-381.0
1990-04-07,3096.0,923.0
1990-04-14,2835.0,-261.0
1990-04-21,3146.0,311.0
1990-04-28,2590.0,-556.0
1990-05-05,2878.0,288.0
1990-05-12,2431.0,-447.0
1990-05-19,2203.0,-228.0
1990-05-26,2395.0,192.0
1990-06-02,2091.0,-304.0
1990-06-09,2491.0,400.0
1990-06-16,2165.0,-326.0
1990-06-23,1986.0,-179.0
1990-06-30,2023.0,37.0
1990-07-07,2352.0,329.0
1990-07-14,2347.0,-5.0
1990-07-21,2250.0,-97.0
1990-07-28,2002.0,-248.0
1990-08-04,2026.0,24.0
1990-08-11,1970.0,-56.0
1990-08-18,1822.0,-148.0
1990-08-25,2017.0,195.0
1990-09-01,2035.0,18.0
1990-09-08,2073.0,38.0
1990-09-15,2207.0,134.0
1990-09-22,1909.0,-298.0
1990-09-29,1956.0,47.0
1990-10-06,2687.0,731.0
1990-10-13,2418.0,-269.0
1990-10-20,2548.0,130.0
1990-10-27,2426.0,-122.0
1990-11-03,2868.0,442.0
1990-11-10,3691.0,823.0
1990-11-17,2356.0,-1335.0
1990-11-24,2708.0,352.0
1990-12-01,3006.0,298.0
1990-12-08,3243.0,237.0
1990-12-15,3182.0,-61.0
1990-12-22,5104.0,1922.0
1990-12-29,4296.0,-808.0
1991-01-05,3333.0,-963.0
1991-01-12,4942.0,1609.0
1991-01-19,4170.0,-772.0
1991-01-26,3887.0,-283.0
