Date,Values,Delta Calculations
2001-01-03,298.7, 
2001-01-10,306.7,8.0
2001-01-17,312.0,5.300000000000011
2001-01-24,302.1,-9.899999999999977
2001-01-31,294.7,-7.400000000000034
2001-02-07,294.5,-0.19999999999998863
2001-02-14,287.7,-6.800000000000011
2001-02-21,288.5,0.8000000000000114
2001-02-28,282.7,-5.800000000000011
2001-03-07,273.8,-8.899999999999977
2001-03-14,271.5,-2.3000000000000114
2001-03-21,277.6,6.100000000000023
2001-03-28,270.1,-7.5
2001-04-04,264.4,-5.7000000000000455
2001-04-11,263.5,-0.8999999999999773
2001-04-18,268.8,5.300000000000011
2001-04-25,268.9,0.0999999999999659
2001-05-02,267.6,-1.2999999999999545
2001-05-09,263.2,-4.400000000000034
2001-05-16,258.0,-5.199999999999989
2001-05-23,250.8,-7.199999999999989
2001-05-30,248.9,-1.9000000000000057
2001-06-06,247.4,-1.5
2001-06-13,244.6,-2.8000000000000114
2001-06-20,240.5,-4.099999999999994
2001-06-27,234.4,-6.099999999999994
2001-07-04,231.7,-2.700000000000017
2001-07-11,230.8,-0.8999999999999773
2001-07-18,233.9,3.0999999999999943
2001-07-25,228.7,-5.200000000000017
2001-08-01,226.4,-2.299999999999983
2001-08-08,225.3,-1.0999999999999943
2001-08-15,225.5,0.19999999999998863
2001-08-22,222.7,-2.8000000000000114
2001-08-29,218.2,-4.5
2001-09-05,213.9,-4.299999999999983
2001-09-12,194.1,-19.80000000000001
2001-09-19,212.6,18.5
2001-09-26,211.7,-0.9000000000000057
2001-10-03,220.6,8.900000000000006
2001-10-10,217.9,-2.6999999999999886
2001-10-17,223.8,5.900000000000006
2001-10-24,218.8,-5.0
2001-10-31,213.8,-5.0
2001-11-07,212.2,-1.6000000000000227
2001-11-14,207.5,-4.699999999999989
2001-11-21,209.8,2.3000000000000114
2001-11-28,206.0,-3.8000000000000114
2001-12-05,210.0,4.0
2001-12-12,202.7,-7.300000000000011
2001-12-19,206.1,3.4000000000000057
2001-12-26,204.6,-1.5
2002-01-02,198.9,-5.699999999999989
2002-01-09,200.9,2.0
2002-01-16,209.9,9.0
2002-01-23,210.9,1.0
2002-01-30,209.0,-1.9000000000000057
2002-02-06,206.7,-2.3000000000000114
2002-02-13,199.9,-6.799999999999983
2002-02-20,199.1,-0.8000000000000114
2002-02-27,194.3,-4.799999999999983
