Date,Values,Delta Calculations
2004-06-02,1066.6942, 
2004-06-09,1071.0896,4.395400000000109
2004-06-16,1072.6567,1.5670999999999822
2004-06-23,1071.1945,-1.4621999999999389
2004-06-30,1060.437,-10.757500000000164
2004-07-07,1052.1362,-8.300799999999981
2004-07-14,1060.1242,7.988000000000056
2004-07-21,1054.8938,-5.230399999999918
2004-07-28,1044.779,-10.11480000000006
2004-08-04,1041.0784,-3.700599999999895
2004-08-11,1046.9297,5.85129999999981
2004-08-18,1050.6859,3.7562000000000353
2004-08-25,1050.7566,0.070699999999988
2004-09-01,1053.1913,2.4347000000000207
2004-09-08,1051.0588,-2.1324999999999363
2004-09-15,1056.2419,5.183099999999968
2004-09-22,1066.3048,10.0628999999999
2004-09-29,1055.334,-10.970800000000054
2004-10-06,1054.8103,-0.5236999999997352
2004-10-13,1060.56,5.749699999999848
2004-10-20,1063.8572,3.2971999999999753
2004-10-27,1065.5081,1.6509000000000924
2004-11-03,1067.18,1.6719000000000506
2004-11-10,1069.1795,1.9994999999998981
2004-11-17,1079.8847,10.705200000000104
2004-11-24,1076.9019,-2.9827999999999975
2004-12-01,1074.5106,-2.391300000000001
2004-12-08,1075.9803,1.4696999999998752
2004-12-15,1080.2557,4.2753999999999905
2004-12-22,1085.7285,5.4728000000000065
2004-12-29,1085.0407,-0.6877999999999247
2005-01-05,1079.9401,-5.100599999999986
2005-01-12,1085.7268,5.7866999999998825
2005-01-19,1086.0279,0.30110000000013315
2005-01-26,1082.2489,-3.7789999999999964
2005-02-02,1080.9566,-1.2923000000000684
2005-02-09,1080.8189,-0.13769999999999527
2005-02-16,1080.5283,-0.2906000000000404
2005-02-23,1100.213,19.68470000000002
2005-03-02,1107.0518,6.838799999999992
2005-03-09,1110.1076,3.05580000000009
2005-03-16,1118.8729,8.765300000000025
2005-03-23,1123.9036,5.030700000000024
2005-03-30,1121.0084,-2.895200000000159
2005-04-06,1126.7544,5.746000000000095
2005-04-13,1122.1992,-4.5552000000000135
2005-04-20,1127.4263,5.227100000000064
2005-04-27,1119.6981,-7.728200000000015
2005-05-04,1114.1592,-5.538900000000012
2005-05-11,1112.7566,-1.4026000000001204
2005-05-18,1114.2314,1.4747999999999593
2005-05-25,1122.1839,7.9525000000001
2005-06-01,1123.5686,1.3847000000000662
2005-06-08,1125.0838,1.5152000000000498
2005-06-15,1131.2808,6.196999999999889
2005-06-22,1141.8655,10.584700000000112
2005-06-29,1137.2458,-4.6197000000001935
2005-07-06,1147.1545,9.90870000000018
2005-07-13,1152.527,5.372499999999945
2005-07-20,1159.0273,6.500299999999925
2005-07-27,1159.4682,0.440900000000056
2005-08-03,1167.6479,8.179699999999912
2005-08-10,1169.3793,1.7314000000001215
2005-08-17,1174.3203,4.941000000000031
2005-08-24,1183.9122,9.591899999999896
2005-08-31,1188.8325,4.9202999999999975
2005-09-07,1186.7937,-2.0388000000000375
2005-09-14,1178.4918,-8.301899999999932
2005-09-21,1183.0196,4.52780000000007
2005-09-28,1184.0514,1.0317999999999756
2005-10-05,1187.0646,3.0131999999998698
2005-10-12,1187.1766,0.11200000000008004
2005-10-19,1192.2307,5.054100000000062
2005-10-26,1197.3987,5.167999999999893
2005-11-02,1196.3202,-1.078499999999849
2005-11-09,1200.7703,4.450099999999793
2005-11-16,1203.0945,2.324200000000019
2005-11-23,1213.1835,10.08900000000017
2005-11-30,1208.459,-4.724500000000262
2005-12-07,1212.6594,4.200400000000172
2005-12-14,1215.6032,2.94380000000001
2005-12-21,1214.4871,-1.1160999999999603
2005-12-28,1217.4416,2.9545000000000528
2006-01-04,1217.8832,0.4415999999998803
2006-01-11,1217.0355,-0.8477000000000317
2006-01-18,1214.3344,-2.7010999999999967
2006-01-25,1217.8955,3.561100000000124
2006-02-01,1218.1819,0.2863999999999578
2006-02-08,1216.5564,-1.6255000000001019
2006-02-15,1220.6442,4.087800000000016
2006-02-22,1228.6107,7.966499999999996
2006-03-01,1220.2706,-8.340099999999893
2006-03-08,1222.9144,2.6437999999998283
2006-03-15,1230.6983,7.783900000000131
2006-03-22,1239.9515,9.253199999999879
2006-03-29,1245.1829,5.2314000000001215
2006-04-05,1241.2887,-3.8941999999999553
2006-04-12,1229.3286,-11.960100000000011
2006-04-19,1244.3458,15.017200000000003
2006-04-26,1248.454,4.108199999999897
2006-05-03,1243.2564,-5.197599999999966
2006-05-10,1245.0257,1.7692999999999302
2006-05-17,1252.9486,7.922900000000027
2006-05-24,1265.2607,12.3121000000001
2006-05-31,1264.9323,-0.3284000000001015
2006-06-07,1262.6253,-2.3070000000000164
2006-06-14,1263.917,1.2916999999999916
2006-06-21,1282.0593,18.142299999999977
2006-06-28,1287.8881,5.828800000000001
2006-07-05,1280.9697,-6.918399999999792
2006-07-12,1282.9504,1.9806999999998425
2006-07-19,1287.7186,4.768199999999979
2006-07-26,1288.7486,1.0299999999999727
2006-08-02,1281.1256,-7.62299999999982
2006-08-09,1276.9931,-4.132500000000164
2006-08-16,1281.3911,4.398000000000138
2006-08-23,1288.2814,6.890300000000025
2006-08-30,1280.6038,-7.677599999999984
2006-09-06,1276.4893,-4.114500000000135
2006-09-13,1268.633,-7.856299999999919
2006-09-20,1288.3635,19.730499999999893
2006-09-27,1303.4794,15.11590000000001
2006-10-04,1400.2252,96.74580000000014
2006-10-11,1401.9761,1.7509000000000015
2006-10-18,1408.3982,6.4221
2006-10-25,1414.04,5.641799999999876
2006-11-01,1407.5343,-6.505699999999933
2006-11-08,1409.36,1.8256999999998698
2006-11-15,1419.6438,10.283800000000156
2006-11-22,1430.0687,10.42489999999998
2006-11-29,1439.127,9.058300000000145
2006-12-06,1425.4872,-13.63980000000015
2006-12-13,1426.1019,0.614699999999857
2006-12-20,1465.2612,39.15930000000003
2006-12-27,1467.6482,2.387000000000171
2007-01-03,1439.4661,-28.18209999999999
2007-01-10,1447.9944,8.528299999999945
2007-01-17,1451.3635,3.3690999999998894
2007-01-24,1465.0399,13.676400000000058
2007-01-31,1468.4705,3.430599999999913
2007-02-07,1460.5529,-7.917599999999993
2007-02-14,1471.9905,11.437600000000202
2007-02-21,1482.0935,10.102999999999838
2007-02-28,1473.201,-8.892499999999927
2007-03-07,1460.1525,-13.048500000000104
2007-03-14,1398.4321,-61.72039999999993
2007-03-21,1411.6915,13.259399999999914
2007-03-28,1416.5976,4.906100000000151
2007-04-04,1418.9725,2.374900000000025
2007-04-11,1422.1981,3.225599999999986
2007-04-18,1426.1773,3.9791999999999916
2007-04-25,1432.7137,6.536399999999958
2007-05-02,1434.6531,1.9393999999999778
2007-05-09,1434.457,-0.1960999999998876
2007-05-16,1434.7033,0.2462999999997919
2007-05-23,1448.5687,13.865400000000136
2007-05-30,1444.2357,-4.333000000000084
2007-06-06,1441.5087,-2.7269999999998618
2007-06-13,1434.2273,-7.281400000000076
2007-06-20,1455.1546,20.92730000000006
2007-06-27,1456.494,1.3393999999998414
2007-07-04,1452.8454,-3.6485999999999876
2007-07-11,1454.4132,1.5678000000000338
2007-07-18,1450.0961,-4.317099999999982
2007-07-25,1454.3638,4.267700000000104
2007-08-01,1455.8548,1.4909999999999854
2007-08-08,1451.4628,-4.392000000000053
2007-08-15,1445.5507,-5.9121000000000095
2007-08-22,1462.4784,16.92769999999996
2007-08-29,1470.63,8.151600000000144
2007-09-05,1469.0487,-1.5813000000000557
2007-09-12,1481.1932,12.14449999999988
2007-09-19,1477.1425,-4.050700000000006
2007-09-26,1489.1881,12.04560000000015
2007-10-03,1473.9082,-15.279899999999998
2007-10-10,1469.0342,-4.874000000000024
2007-10-17,1533.1368,64.10259999999994
2007-10-24,1543.4181,10.281300000000101
2007-10-31,1541.146,-2.272100000000137
2007-11-07,1538.412,-2.7339999999999236
2007-11-14,1518.3428,-20.069200000000137
2007-11-21,1528.9764,10.633600000000115
2007-11-28,1532.0052,3.0288000000000466
2007-12-05,1531.2437,-0.7615000000000691
2007-12-12,1518.7856,-12.458100000000059
2007-12-19,1527.2264,8.440800000000081
2007-12-26,1531.9088,4.682399999999916
2008-01-02,1534.2411,2.332300000000032
2008-01-09,1530.5928,-3.648300000000063
2008-01-16,1522.6792,-7.91359999999986
2008-01-23,1526.9166,4.23739999999998
2008-01-30,1525.6698,-1.2468000000001211
2008-02-06,1519.5718,-6.097999999999956
2008-02-13,1512.9127,-6.659099999999853
2008-02-20,1525.8294,12.916699999999992
2008-02-27,1531.6187,5.789299999999912
2008-03-05,1520.2689,-11.34979999999996
2008-03-12,1518.6788,-1.5901000000001204
2008-03-19,1541.3199,22.64110000000005
2008-03-26,1530.6669,-10.65300000000002
2008-04-02,1527.9082,-2.7586999999998625
2008-04-09,1523.5084,-4.399800000000141
2008-04-16,1518.6177,-4.890699999999924
2008-04-23,1508.5949,-10.022799999999961
2008-04-30,1507.9932,-0.6017000000001644
2008-05-07,1499.1158,-8.877399999999852
2008-05-14,1498.4562,-0.6595999999999549
2008-05-21,1503.7913,5.335100000000011
2008-05-28,1489.1321,-14.659200000000055
2008-06-04,1477.8369,-11.295200000000023
2008-06-11,1482.9312,5.094299999999976
2008-06-18,1471.5831,-11.348099999999931
2008-06-25,1450.2712,-21.31190000000015
2008-07-02,1449.3396,-0.9315999999998894
2008-07-09,1442.6134,-6.726200000000063
2008-07-16,1445.7004,3.086999999999989
