Date,Values,Delta Calculations
2009-07-01,3.381, 
2009-07-08,3.3881,0.007099999999999884
2009-07-15,3.4278,0.039699999999999847
2009-07-22,3.6876,0.25980000000000025
2009-07-29,3.7812,0.0935999999999999
2009-08-05,3.8727,0.09149999999999991
2009-08-12,3.9742,0.10150000000000015
2009-08-19,4.0719,0.09770000000000012
2009-08-26,3.833,-0.2389000000000001
2009-09-02,2.0299,-1.8031000000000001
2009-09-09,2.1351,0.10519999999999996
2009-09-16,1.9712,-0.16389999999999993
2009-09-23,2.029,0.05779999999999985
2009-09-30,2.3586,0.3296000000000001
2009-10-07,2.8259,0.4672999999999998
2009-10-14,2.9448,0.1189
2009-10-21,3.0117,0.06689999999999996
2009-10-28,2.6695,-0.3421999999999996
2009-11-04,2.5101,-0.1594000000000002
2009-11-11,2.3864,-0.12369999999999992
2009-11-18,2.1473,-0.2391000000000001
2009-11-25,1.9691,-0.17819999999999991
2009-12-02,2.043,0.07390000000000008
2009-12-09,2.2023,0.1593
2009-12-16,2.2839,0.0815999999999999
2009-12-23,2.3412,0.05730000000000013
2009-12-30,2.5273,0.1860999999999997
2010-01-06,2.9528,0.4255
2010-01-13,2.9432,-0.009599999999999831
2010-01-20,2.9262,-0.016999999999999904
2010-01-27,2.5513,-0.37490000000000023
2010-02-03,2.0816,-0.4697
2010-02-10,1.6401,-0.4415
2010-02-17,1.8096,0.1695000000000002
2010-02-24,2.4541,0.6444999999999999
2010-03-03,3.7902,1.3361
2010-03-10,5.0428,1.2525999999999997
2010-03-17,5.4373,0.39449999999999985
2010-03-24,5.0937,-0.34359999999999946
2010-03-31,3.7787,-1.315
2010-04-07,1.81,-1.9687000000000001
2010-04-14,0.2938,-1.5162
2010-04-21,-0.3232,-0.617
2010-04-28,-0.1416,0.18159999999999998
2010-05-05,0.6932,0.8348
2010-05-12,1.6067,0.9135
2010-05-19,2.3043,0.6976
2010-05-26,2.5979,0.2936000000000001
2010-06-02,2.5622,-0.03570000000000029
2010-06-09,2.4014,-0.1607999999999996
2010-06-16,2.2545,-0.14690000000000003
2010-06-23,2.1345,-0.1200000000000001
2010-06-30,2.0228,-0.11169999999999991
2010-07-07,2.1133,0.09050000000000002
2010-07-14,2.009,-0.10430000000000028
2010-07-21,2.0935,0.08450000000000024
2010-07-28,2.1019,0.008399999999999963
2010-08-04,2.17,0.06809999999999983
2010-08-11,2.3512,0.18120000000000003
2010-08-18,2.3587,0.00749999999999984
2010-08-25,2.2525,-0.10619999999999985
