Date,Values,Delta Calculations
2002-12-18,-2765.0, 
2002-12-25,-2445.0,320.0
2003-01-01,-2229.0,216.0
2003-01-08,-2524.0,-295.0
2003-01-15,-2449.0,75.0
2003-01-22,-2911.0,-462.0
2003-01-29,-2457.0,454.0
2003-02-05,-1732.0,725.0
2003-02-12,-1893.0,-161.0
2003-02-19,-1593.0,300.0
2003-02-26,-1517.0,76.0
2003-03-05,-1459.0,58.0
2003-03-12,-1736.0,-277.0
2003-03-19,-2393.0,-657.0
2003-03-26,-1927.0,466.0
2003-04-02,-1829.0,98.0
2003-04-09,-163.0,1666.0
2003-04-16,-4.0,159.0
2003-04-23,-229.0,-225.0
2003-04-30,-158.0,71.0
2003-05-07,2.0,160.0
2003-05-14,25.0,23.0
2003-05-21,76.0,51.0
2003-05-28,225.0,149.0
2003-06-04,-36.0,-261.0
2003-06-11,77.0,113.0
2003-06-18,-159.0,-236.0
2003-06-25,-69.0,90.0
2003-07-02,-237.0,-168.0
2003-07-09,-175.0,62.0
2003-07-16,-536.0,-361.0
2003-07-23,-212.0,324.0
2003-07-30,-809.0,-597.0
2003-08-06,-750.0,59.0
2003-08-13,-877.0,-127.0
2003-08-20,-615.0,262.0
2003-08-27,-649.0,-34.0
2003-09-03,-638.0,11.0
2003-09-10,-775.0,-137.0
2003-09-17,-473.0,302.0
2003-09-24,-549.0,-76.0
2003-10-01,-384.0,165.0
2003-10-08,-784.0,-400.0
2003-10-15,-560.0,224.0
2003-10-22,-603.0,-43.0
2003-10-29,-442.0,161.0
2003-11-05,-1161.0,-719.0
2003-11-12,-682.0,479.0
2003-11-19,-732.0,-50.0
2003-11-26,-605.0,127.0
2003-12-03,-522.0,83.0
2003-12-10,-813.0,-291.0
2003-12-17,-663.0,150.0
2003-12-24,-213.0,450.0
2003-12-31,-26.0,187.0
2004-01-07,-603.0,-577.0
2004-01-14,-484.0,119.0
2004-01-21,-466.0,18.0
2004-01-28,-261.0,205.0
2004-02-04,-399.0,-138.0
2004-02-11,-104.0,295.0
2004-02-18,2.0,106.0
2004-02-25,129.0,127.0
2004-03-03,49.0,-80.0
2004-03-10,13.0,-36.0
2004-03-17,279.0,266.0
2004-03-24,376.0,97.0
2004-03-31,482.0,106.0
2004-04-07,674.0,192.0
2004-04-14,839.0,165.0
2004-04-21,693.0,-146.0
2004-04-28,894.0,201.0
2004-05-05,849.0,-45.0
2004-05-12,1438.0,589.0
2004-05-19,1517.0,79.0
2004-05-26,1409.0,-108.0
2004-06-02,1498.0,89.0
2004-06-09,1448.0,-50.0
2004-06-16,1338.0,-110.0
2004-06-23,1700.0,362.0
2004-06-30,1959.0,259.0
2004-07-07,1182.0,-777.0
2004-07-14,1283.0,101.0
2004-07-21,1333.0,50.0
2004-07-28,1232.0,-101.0
2004-08-04,1342.0,110.0
2004-08-11,1363.0,21.0
2004-08-18,1469.0,106.0
2004-08-25,1331.0,-138.0
2004-09-01,1929.0,598.0
2004-09-08,1816.0,-113.0
2004-09-15,2076.0,260.0
2004-09-22,2014.0,-62.0
2004-09-29,2310.0,296.0
2004-10-06,2046.0,-264.0
2004-10-13,1675.0,-371.0
2004-10-20,1782.0,107.0
2004-10-27,1623.0,-159.0
2004-11-03,1623.0,0.0
2004-11-10,1489.0,-134.0
2004-11-17,1399.0,-90.0
2004-11-24,1388.0,-11.0
2004-12-01,1899.0,511.0
2004-12-08,1322.0,-577.0
2004-12-15,1608.0,286.0
2004-12-22,1758.0,150.0
2004-12-29,1879.0,121.0
2005-01-05,1232.0,-647.0
2005-01-12,731.0,-501.0
2005-01-19,1218.0,487.0
2005-01-26,1566.0,348.0
2005-02-02,1645.0,79.0
2005-02-09,1345.0,-300.0
2005-02-16,1501.0,156.0
2005-02-23,1756.0,255.0
2005-03-02,1717.0,-39.0
2005-03-09,1352.0,-365.0
2005-03-16,1384.0,32.0
2005-03-23,1340.0,-44.0
2005-03-30,1358.0,18.0
2005-04-06,1204.0,-154.0
2005-04-13,-369.0,-1573.0
2005-04-20,-183.0,186.0
2005-04-27,-55.0,128.0
2005-05-04,-252.0,-197.0
2005-05-11,-310.0,-58.0
2005-05-18,-441.0,-131.0
2005-05-25,-478.0,-37.0
2005-06-01,-504.0,-26.0
2005-06-08,2.0,506.0
2005-06-15,371.0,369.0
2005-06-22,336.0,-35.0
2005-06-29,760.0,424.0
2005-07-06,501.0,-259.0
2005-07-13,514.0,13.0
2005-07-20,737.0,223.0
2005-07-27,754.0,17.0
2005-08-03,637.0,-117.0
2005-08-10,546.0,-91.0
2005-08-17,216.0,-330.0
2005-08-24,205.0,-11.0
2005-08-31,526.0,321.0
2005-09-07,490.0,-36.0
2005-09-14,482.0,-8.0
2005-09-21,-195.0,-677.0
2005-09-28,41.0,236.0
2005-10-05,80.0,39.0
2005-10-12,-300.0,-380.0
2005-10-19,100.0,400.0
2005-10-26,39.0,-61.0
2005-11-02,27.0,-12.0
2005-11-09,181.0,154.0
2005-11-16,189.0,8.0
2005-11-23,458.0,269.0
2005-11-30,597.0,139.0
2005-12-07,743.0,146.0
2005-12-14,1173.0,430.0
2005-12-21,1795.0,622.0
2005-12-28,2345.0,550.0
2006-01-04,2110.0,-235.0
2006-01-11,1853.0,-257.0
2006-01-18,1599.0,-254.0
2006-01-25,1702.0,103.0
2006-02-01,1665.0,-37.0
2006-02-08,1343.0,-322.0
2006-02-15,1922.0,579.0
2006-02-22,2085.0,163.0
2006-03-01,2046.0,-39.0
2006-03-08,2027.0,-19.0
2006-03-15,2269.0,242.0
2006-03-22,2159.0,-110.0
2006-03-29,2374.0,215.0
2006-04-05,2317.0,-57.0
2006-04-12,2596.0,279.0
2006-04-19,1771.0,-825.0
2006-04-26,1625.0,-146.0
2006-05-03,1754.0,129.0
2006-05-10,1806.0,52.0
2006-05-17,1758.0,-48.0
2006-05-24,1600.0,-158.0
2006-05-31,1894.0,294.0
2006-06-07,1765.0,-129.0
2006-06-14,1787.0,22.0
2006-06-21,1505.0,-282.0
2006-06-28,1505.0,0.0
2006-07-05,1551.0,46.0
2006-07-12,1610.0,59.0
2006-07-19,1628.0,18.0
2006-07-26,1574.0,-54.0
2006-08-02,1744.0,170.0
2006-08-09,693.0,-1051.0
2006-08-16,1603.0,910.0
2006-08-23,1357.0,-246.0
2006-08-30,1309.0,-48.0
2006-09-06,1087.0,-222.0
2006-09-13,1188.0,101.0
2006-09-20,1044.0,-144.0
2006-09-27,1451.0,407.0
2006-10-04,1482.0,31.0
2006-10-11,1693.0,211.0
2006-10-18,2329.0,636.0
2006-10-25,2471.0,142.0
2006-11-01,2253.0,-218.0
2006-11-08,2081.0,-172.0
2006-11-15,2577.0,496.0
2006-11-22,2383.0,-194.0
2006-11-29,2388.0,5.0
2006-12-06,3085.0,697.0
2006-12-13,3725.0,640.0
2006-12-20,4452.0,727.0
2006-12-27,4636.0,184.0
2007-01-03,4750.0,114.0
2007-01-10,4287.0,-463.0
2007-01-17,4185.0,-102.0
2007-01-24,4057.0,-128.0
2007-01-31,4155.0,98.0
2007-02-07,4278.0,123.0
2007-02-14,4166.0,-112.0
2007-02-21,3294.0,-872.0
2007-02-28,3425.0,131.0
2007-03-07,3662.0,237.0
2007-03-14,3383.0,-279.0
2007-03-21,3727.0,344.0
2007-03-28,3780.0,53.0
2007-04-04,3908.0,128.0
2007-04-11,3877.0,-31.0
2007-04-18,1637.0,-2240.0
2007-04-25,1335.0,-302.0
2007-05-02,750.0,-585.0
2007-05-09,1163.0,413.0
2007-05-16,1397.0,234.0
2007-05-23,1129.0,-268.0
2007-05-30,1316.0,187.0
2007-06-06,1130.0,-186.0
2007-06-13,1334.0,204.0
2007-06-20,1017.0,-317.0
2007-06-27,1033.0,16.0
2007-07-04,895.0,-138.0
2007-07-11,1247.0,352.0
2007-07-18,840.0,-407.0
2007-07-25,811.0,-29.0
2007-08-01,758.0,-53.0
2007-08-08,860.0,102.0
2007-08-15,901.0,41.0
2007-08-22,1023.0,122.0
2007-08-29,642.0,-381.0
2007-09-05,935.0,293.0
2007-09-12,515.0,-420.0
2007-09-19,742.0,227.0
2007-09-26,211.0,-531.0
2007-10-03,222.0,11.0
2007-10-10,115.0,-107.0
2007-10-17,706.0,591.0
2007-10-24,501.0,-205.0
2007-10-31,320.0,-181.0
2007-11-07,604.0,284.0
2007-11-14,439.0,-165.0
2007-11-21,3279.0,2840.0
2007-11-28,3733.0,454.0
2007-12-05,3656.0,-77.0
2007-12-12,4086.0,430.0
2007-12-19,3775.0,-311.0
2007-12-26,5100.0,1325.0
2008-01-02,4922.0,-178.0
2008-01-09,5837.0,915.0
2008-01-16,6105.0,268.0
2008-01-23,5886.0,-219.0
2008-01-30,5275.0,-611.0
2008-02-06,6233.0,958.0
2008-02-13,5996.0,-237.0
2008-02-20,5885.0,-111.0
2008-02-27,5094.0,-791.0
2008-03-05,5584.0,490.0
2008-03-12,4966.0,-618.0
2008-03-19,7108.0,2142.0
2008-03-26,6749.0,-359.0
2008-04-02,8147.0,1398.0
2008-04-09,7484.0,-663.0
2008-04-16,8076.0,592.0
2008-04-23,5040.0,-3036.0
2008-04-30,4274.0,-766.0
2008-05-07,4126.0,-148.0
2008-05-14,4578.0,452.0
2008-05-21,4718.0,140.0
2008-05-28,5721.0,1003.0
2008-06-04,5566.0,-155.0
2008-06-11,5717.0,151.0
2008-06-18,5553.0,-164.0
2008-06-25,5784.0,231.0
2008-07-02,6535.0,751.0
2008-07-09,6876.0,341.0
2008-07-16,6444.0,-432.0
2008-07-23,5992.0,-452.0
2008-07-30,5539.0,-453.0
2008-08-06,4905.0,-634.0
2008-08-13,3938.0,-967.0
2008-08-20,424.0,-3514.0
2008-08-27,-295.0,-719.0
2008-09-03,-1027.0,-732.0
2008-09-10,-1544.0,-517.0
2008-09-17,1986.0,3530.0
2008-09-24,3444.0,1458.0
2008-10-01,6020.0,2576.0
2008-10-08,4075.0,-1945.0
2008-10-15,7911.0,3836.0
2008-10-22,5080.0,-2831.0
2008-10-29,4924.0,-156.0
2008-11-05,2368.0,-2556.0
2008-11-12,1808.0,-560.0
2008-11-19,2757.0,949.0
2008-11-26,7892.0,5135.0
2008-12-03,7870.0,-22.0
2008-12-10,8643.0,773.0
2008-12-17,4346.0,-4297.0
2008-12-24,10584.0,6238.0
2008-12-31,5043.0,-5541.0
2009-01-07,4028.0,-1015.0
2009-01-14,6535.0,2507.0
2009-01-21,6968.0,433.0
2009-01-28,9837.0,2869.0
2009-02-04,13174.0,3337.0
2009-02-11,12108.0,-1066.0
2009-02-18,16679.0,4571.0
2009-02-25,16996.0,317.0
2009-03-04,22638.0,5642.0
2009-03-11,20232.0,-2406.0
2009-03-18,12452.0,-7780.0
2009-03-25,17638.0,5186.0
2009-04-01,17513.0,-125.0
2009-04-08,17317.0,-196.0
2009-04-15,9886.0,-7431.0
2009-04-22,-1629.0,-11515.0
2009-04-29,-4124.0,-2495.0
2009-05-06,-66.0,4058.0
2009-05-13,-3535.0,-3469.0
2009-05-20,-4755.0,-1220.0
2009-05-27,-5895.0,-1140.0
2009-06-03,-1968.0,3927.0
2009-06-10,-8510.0,-6542.0
2009-06-17,-11671.0,-3161.0
2009-06-24,-15739.0,-4068.0
2009-07-01,-9612.0,6127.0
2009-07-08,-13049.0,-3437.0
2009-07-15,-14225.0,-1176.0
2009-07-22,-20663.0,-6438.0
2009-07-29,-21947.0,-1284.0
2009-08-05,-20907.0,1040.0
2009-08-12,-25212.0,-4305.0
2009-08-19,-29066.0,-3854.0
2009-08-26,-29641.0,-575.0
2009-09-02,-26996.0,2645.0
2009-09-09,-27556.0,-560.0
2009-09-16,-31107.0,-3551.0
2009-09-23,-32709.0,-1602.0
2009-09-30,-30197.0,2512.0
2009-10-07,-29872.0,325.0
2009-10-14,-34321.0,-4449.0
2009-10-21,-30391.0,3930.0
2009-10-28,-32307.0,-1916.0
2009-11-04,-26377.0,5930.0
2009-11-11,-27630.0,-1253.0
2009-11-18,-31953.0,-4323.0
2009-11-25,-30863.0,1090.0
2009-12-02,-27780.0,3083.0
2009-12-09,-29935.0,-2155.0
2009-12-16,-32684.0,-2749.0
2009-12-23,-34878.0,-2194.0
2009-12-30,-38056.0,-3178.0
2010-01-06,-33769.0,4287.0
2010-01-13,-40986.0,-7217.0
2010-01-20,-40269.0,717.0
2010-01-27,-41234.0,-965.0
2010-02-03,-35249.0,5985.0
2010-02-10,-34359.0,890.0
2010-02-17,-37271.0,-2912.0
2010-02-24,-37637.0,-366.0
2010-03-03,-33235.0,4402.0
2010-03-10,-35024.0,-1789.0
2010-03-17,-37066.0,-2042.0
2010-03-24,-38799.0,-1733.0
2010-03-31,-39356.0,-557.0
2010-04-07,-38126.0,1230.0
2010-04-14,-41209.0,-3083.0
2010-04-21,-20238.0,20971.0
2010-04-28,-22145.0,-1907.0
2010-05-05,-19720.0,2425.0
2010-05-12,-21435.0,-1715.0
2010-05-19,-22214.0,-779.0
2010-05-26,-22463.0,-249.0
2010-06-02,-18527.0,3936.0
2010-06-09,-20623.0,-2096.0
2010-06-16,-21983.0,-1360.0
2010-06-23,-24142.0,-2159.0
2010-06-30,-20754.0,3388.0
2010-07-07,-21653.0,-899.0
2010-07-14,-23175.0,-1522.0
2010-07-21,-22816.0,359.0
2010-07-28,-20487.0,2329.0
2010-08-04,-16273.0,4214.0
2010-08-11,-18580.0,-2307.0
2010-08-18,-18800.0,-220.0
2010-08-25,-17407.0,1393.0
2010-09-01,-16969.0,438.0
2010-09-08,-17699.0,-730.0
2010-09-15,-18436.0,-737.0
2010-09-22,-18303.0,133.0
2010-09-29,-15263.0,3040.0
2010-10-06,-10847.0,4416.0
2010-10-13,-19245.0,-8398.0
2010-10-20,-17852.0,1393.0
2010-10-27,-14573.0,3279.0
2010-11-03,-10234.0,4339.0
2010-11-10,-11874.0,-1640.0
2010-11-17,-9402.0,2472.0
2010-11-24,-12409.0,-3007.0
2010-12-01,-9613.0,2796.0
2010-12-08,-13722.0,-4109.0
2010-12-15,-12996.0,726.0
2010-12-22,-16920.0,-3924.0
2010-12-29,-17921.0,-1001.0
2011-01-05,-13898.0,4023.0
2011-01-12,-17663.0,-3765.0
2011-01-19,-19191.0,-1528.0
2011-01-26,-24164.0,-4973.0
2011-02-02,-25227.0,-1063.0
2011-02-09,-24499.0,728.0
2011-02-16,-23884.0,615.0
2011-02-23,-23449.0,435.0
2011-03-02,-25189.0,-1740.0
2011-03-09,-25189.0,0.0
2011-03-16,-24295.0,894.0
2011-03-23,-27826.0,-3531.0
2011-03-30,-29200.0,-1374.0
2011-04-06,-30423.0,-1223.0
2011-04-13,-30510.0,-87.0
2011-04-20,-12855.0,17655.0
2011-04-27,-17373.0,-4518.0
2011-05-04,-16052.0,1321.0
2011-05-11,-16339.0,-287.0
2011-05-18,-17571.0,-1232.0
2011-05-25,-17427.0,144.0
2011-06-01,-16444.0,983.0
2011-06-08,-17358.0,-914.0
2011-06-15,-16428.0,930.0
2011-06-22,-18078.0,-1650.0
2011-06-29,-17456.0,622.0
2011-07-06,-16565.0,891.0
2011-07-13,-17618.0,-1053.0
2011-07-20,-19437.0,-1819.0
2011-07-27,-19119.0,318.0
2011-08-03,-18415.0,704.0
2011-08-10,-18405.0,10.0
2011-08-17,-18681.0,-276.0
2011-08-24,-19213.0,-532.0
2011-08-31,-18861.0,352.0
2011-09-07,-13360.0,5501.0
2011-09-14,-15420.0,-2060.0
2011-09-21,-17577.0,-2157.0
2011-09-28,-17689.0,-112.0
2011-10-05,-16693.0,996.0
2011-10-12,-18635.0,-1942.0
2011-10-19,-20214.0,-1579.0
2011-10-26,-19501.0,713.0
2011-11-02,-16679.0,2822.0
2011-11-09,-18675.0,-1996.0
2011-11-16,-17332.0,1343.0
2011-11-23,-18751.0,-1419.0
2011-11-30,-18504.0,247.0
2011-12-07,-15967.0,2537.0
2011-12-14,-19023.0,-3056.0
2011-12-21,-19792.0,-769.0
2011-12-28,-18587.0,1205.0
2012-01-04,-18372.0,215.0
2012-01-11,-18824.0,-452.0
2012-01-18,-18640.0,184.0
2012-01-25,-18604.0,36.0
2012-02-01,-18043.0,561.0
2012-02-08,-14339.0,3704.0
2012-02-15,-16153.0,-1814.0
2012-02-22,-16630.0,-477.0
2012-02-29,-16759.0,-129.0
2012-03-07,-16347.0,412.0
2012-03-14,-15933.0,414.0
2012-03-21,-16025.0,-92.0
2012-03-28,-14901.0,1124.0
2012-04-04,-12913.0,1988.0
2012-04-11,-13676.0,-763.0
2012-04-18,1517.0,15193.0
2012-04-25,261.0,-1256.0
2012-05-02,-31.0,-292.0
2012-05-09,1020.0,1051.0
2012-05-16,9.0,-1011.0
2012-05-23,293.0,284.0
2012-05-30,-265.0,-558.0
2012-06-06,456.0,721.0
2012-06-13,-921.0,-1377.0
2012-06-20,-2320.0,-1399.0
2012-06-27,-2620.0,-300.0
2012-07-04,-503.0,2117.0
2012-07-11,-1040.0,-537.0
2012-07-18,-2394.0,-1354.0
2012-07-25,-618.0,1776.0
2012-08-01,-641.0,-23.0
2012-08-08,-511.0,130.0
2012-08-15,-246.0,265.0
2012-08-22,-2394.0,-2148.0
2012-08-29,-1627.0,767.0
2012-09-05,-1141.0,486.0
2012-09-12,-1949.0,-808.0
2012-09-19,-3063.0,-1114.0
2012-09-26,-3153.0,-90.0
2012-10-03,-1615.0,1538.0
2012-10-10,-2118.0,-503.0
2012-10-17,-2502.0,-384.0
2012-10-24,-4368.0,-1866.0
2012-10-31,-3475.0,893.0
2012-11-07,-3319.0,156.0
2012-11-14,-3689.0,-370.0
2012-11-21,-4845.0,-1156.0
2012-11-28,-5291.0,-446.0
2012-12-05,-3015.0,2276.0
2012-12-12,-4396.0,-1381.0
2012-12-19,-6799.0,-2403.0
2012-12-26,-4501.0,2298.0
2013-01-02,-3939.0,562.0
2013-01-09,-5001.0,-1062.0
2013-01-16,-6025.0,-1024.0
2013-01-23,-8286.0,-2261.0
2013-01-30,-10623.0,-2337.0
2013-02-06,-7055.0,3568.0
2013-02-13,-6991.0,64.0
2013-02-20,-7356.0,-365.0
2013-02-27,-7505.0,-149.0
2013-03-06,-7490.0,15.0
2013-03-13,-9352.0,-1862.0
2013-03-20,-11036.0,-1684.0
2013-03-27,-11037.0,-1.0
2013-04-03,-10654.0,383.0
2013-04-10,-11645.0,-991.0
2013-04-17,-11778.0,-133.0
2013-04-24,-15450.0,-3672.0
2013-05-01,-15603.0,-153.0
2013-05-08,-16062.0,-459.0
2013-05-15,-16546.0,-484.0
2013-05-22,-18594.0,-2048.0
2013-05-29,-18788.0,-194.0
2013-06-05,-17370.0,1418.0
2013-06-12,-18421.0,-1051.0
2013-06-19,-22221.0,-3800.0
2013-06-26,-21734.0,487.0
2013-07-03,-20618.0,1116.0
2013-07-10,-21070.0,-452.0
