Date,Values,Delta Calculations
2002-12-18,13829.0, 
2002-12-25,14131.0,302.0
2003-01-01,13961.0,-170.0
2003-01-08,13512.0,-449.0
2003-01-15,13559.0,47.0
2003-01-22,13020.0,-539.0
2003-01-29,13271.0,251.0
2003-02-05,13814.0,543.0
2003-02-12,14003.0,189.0
2003-02-19,13926.0,-77.0
2003-02-26,13496.0,-430.0
2003-03-05,13925.0,429.0
2003-03-12,13986.0,61.0
2003-03-19,13974.0,-12.0
2003-03-26,13942.0,-32.0
2003-04-02,14134.0,192.0
2003-04-09,2797.0,-11337.0
2003-04-16,2839.0,42.0
2003-04-23,2804.0,-35.0
2003-04-30,2638.0,-166.0
2003-05-07,2876.0,238.0
2003-05-14,2911.0,35.0
2003-05-21,3060.0,149.0
2003-05-28,3258.0,198.0
2003-06-04,2999.0,-259.0
2003-06-11,3341.0,342.0
2003-06-18,3079.0,-262.0
2003-06-25,3111.0,32.0
2003-07-02,3104.0,-7.0
2003-07-09,3431.0,327.0
2003-07-16,2817.0,-614.0
2003-07-23,2875.0,58.0
2003-07-30,2713.0,-162.0
2003-08-06,2628.0,-85.0
2003-08-13,2299.0,-329.0
2003-08-20,2560.0,261.0
2003-08-27,2442.0,-118.0
2003-09-03,2758.0,316.0
2003-09-10,2449.0,-309.0
2003-09-17,2513.0,64.0
2003-09-24,1879.0,-634.0
2003-10-01,2626.0,747.0
2003-10-08,2810.0,184.0
2003-10-15,3037.0,227.0
2003-10-22,3027.0,-10.0
2003-10-29,3260.0,233.0
2003-11-05,3710.0,450.0
2003-11-12,4152.0,442.0
2003-11-19,4297.0,145.0
2003-11-26,4963.0,666.0
2003-12-03,4619.0,-344.0
2003-12-10,5267.0,648.0
2003-12-17,5824.0,557.0
2003-12-24,6570.0,746.0
2003-12-31,6962.0,392.0
2004-01-07,5584.0,-1378.0
2004-01-14,5780.0,196.0
2004-01-21,5886.0,106.0
2004-01-28,6646.0,760.0
2004-02-04,6944.0,298.0
2004-02-11,6887.0,-57.0
2004-02-18,7209.0,322.0
2004-02-25,7217.0,8.0
2004-03-03,7167.0,-50.0
2004-03-10,7455.0,288.0
2004-03-17,7791.0,336.0
2004-03-24,8508.0,717.0
2004-03-31,8634.0,126.0
2004-04-07,4024.0,-4610.0
2004-04-14,3908.0,-116.0
2004-04-21,3772.0,-136.0
2004-04-28,3907.0,135.0
2004-05-05,3939.0,32.0
2004-05-12,3775.0,-164.0
2004-05-19,3898.0,123.0
2004-05-26,3973.0,75.0
2004-06-02,4121.0,148.0
2004-06-09,3861.0,-260.0
2004-06-16,3674.0,-187.0
2004-06-23,3394.0,-280.0
2004-06-30,3855.0,461.0
2004-07-07,3783.0,-72.0
2004-07-14,3293.0,-490.0
2004-07-21,3327.0,34.0
2004-07-28,3303.0,-24.0
2004-08-04,4012.0,709.0
2004-08-11,3911.0,-101.0
2004-08-18,3698.0,-213.0
2004-08-25,3372.0,-326.0
2004-09-01,3515.0,143.0
2004-09-08,3487.0,-28.0
2004-09-15,3352.0,-135.0
2004-09-22,3258.0,-94.0
2004-09-29,3209.0,-49.0
2004-10-06,2858.0,-351.0
2004-10-13,3057.0,199.0
2004-10-20,2695.0,-362.0
2004-10-27,2380.0,-315.0
2004-11-03,2158.0,-222.0
2004-11-10,2169.0,11.0
2004-11-17,2012.0,-157.0
2004-11-24,2236.0,224.0
2004-12-01,2131.0,-105.0
2004-12-08,1422.0,-709.0
2004-12-15,1407.0,-15.0
2004-12-22,1564.0,157.0
2004-12-29,1572.0,8.0
2005-01-05,1239.0,-333.0
2005-01-12,846.0,-393.0
2005-01-19,934.0,88.0
2005-01-26,1063.0,129.0
2005-02-02,1334.0,271.0
2005-02-09,817.0,-517.0
2005-02-16,1430.0,613.0
2005-02-23,1481.0,51.0
2005-03-02,986.0,-495.0
2005-03-09,719.0,-267.0
2005-03-16,706.0,-13.0
2005-03-23,439.0,-267.0
2005-03-30,544.0,105.0
2005-04-06,466.0,-78.0
2005-04-13,-2615.0,-3081.0
2005-04-20,-2852.0,-237.0
2005-04-27,-2784.0,68.0
2005-05-04,-2723.0,61.0
2005-05-11,-2863.0,-140.0
2005-05-18,-3103.0,-240.0
2005-05-25,-3608.0,-505.0
2005-06-01,-3703.0,-95.0
2005-06-08,-3599.0,104.0
2005-06-15,-3814.0,-215.0
2005-06-22,-2926.0,888.0
2005-06-29,-2533.0,393.0
2005-07-06,-1822.0,711.0
2005-07-13,-591.0,1231.0
2005-07-20,369.0,960.0
2005-07-27,632.0,263.0
2005-08-03,42.0,-590.0
2005-08-10,-629.0,-671.0
2005-08-17,-2818.0,-2189.0
2005-08-24,-4152.0,-1334.0
2005-08-31,-4895.0,-743.0
2005-09-07,-4281.0,614.0
2005-09-14,-4156.0,125.0
2005-09-21,-5009.0,-853.0
2005-09-28,-3951.0,1058.0
2005-10-05,-4531.0,-580.0
2005-10-12,-5075.0,-544.0
2005-10-19,-5101.0,-26.0
2005-10-26,-5416.0,-315.0
2005-11-02,-5196.0,220.0
2005-11-09,-4854.0,342.0
2005-11-16,-3875.0,979.0
2005-11-23,-2936.0,939.0
2005-11-30,-3864.0,-928.0
2005-12-07,-3514.0,350.0
2005-12-14,-4376.0,-862.0
2005-12-21,-3966.0,410.0
2005-12-28,-2706.0,1260.0
2006-01-04,-3867.0,-1161.0
2006-01-11,-3928.0,-61.0
2006-01-18,-4143.0,-215.0
2006-01-25,-3731.0,412.0
2006-02-01,-3905.0,-174.0
2006-02-08,-3661.0,244.0
2006-02-15,-3476.0,185.0
2006-02-22,-3259.0,217.0
2006-03-01,-3396.0,-137.0
2006-03-08,-3728.0,-332.0
2006-03-15,-4171.0,-443.0
2006-03-22,-4062.0,109.0
2006-03-29,-4053.0,9.0
2006-04-05,-4304.0,-251.0
2006-04-12,-4517.0,-213.0
2006-04-19,-2452.0,2065.0
2006-04-26,-2201.0,251.0
2006-05-03,-2081.0,120.0
2006-05-10,-2037.0,44.0
2006-05-17,-2326.0,-289.0
2006-05-24,-2602.0,-276.0
2006-05-31,-2014.0,588.0
2006-06-07,-2789.0,-775.0
2006-06-14,-2581.0,208.0
2006-06-21,-2446.0,135.0
2006-06-28,-2070.0,376.0
2006-07-05,-2021.0,49.0
2006-07-12,-2315.0,-294.0
2006-07-19,-2183.0,132.0
2006-07-26,-1631.0,552.0
2006-08-02,-1195.0,436.0
2006-08-09,-1375.0,-180.0
2006-08-16,-1656.0,-281.0
2006-08-23,-1696.0,-40.0
2006-08-30,-1790.0,-94.0
2006-09-06,-1767.0,23.0
2006-09-13,-2659.0,-892.0
2006-09-20,-2953.0,-294.0
2006-09-27,-2591.0,362.0
2006-10-04,-2769.0,-178.0
2006-10-11,-2594.0,175.0
2006-10-18,-2520.0,74.0
2006-10-25,-2348.0,172.0
2006-11-01,-2376.0,-28.0
2006-11-08,-1121.0,1255.0
2006-11-15,-89.0,1032.0
2006-11-22,776.0,865.0
2006-11-29,1596.0,820.0
2006-12-06,1800.0,204.0
2006-12-13,1794.0,-6.0
2006-12-20,2838.0,1044.0
2006-12-27,3433.0,595.0
2007-01-03,3385.0,-48.0
2007-01-10,2247.0,-1138.0
2007-01-17,2707.0,460.0
2007-01-24,2302.0,-405.0
2007-01-31,2675.0,373.0
2007-02-07,2485.0,-190.0
2007-02-14,2968.0,483.0
2007-02-21,1709.0,-1259.0
2007-02-28,1698.0,-11.0
2007-03-07,1760.0,62.0
2007-03-14,1369.0,-391.0
2007-03-21,2033.0,664.0
2007-03-28,1673.0,-360.0
2007-04-04,1788.0,115.0
2007-04-11,1177.0,-611.0
2007-04-18,1491.0,314.0
2007-04-25,1083.0,-408.0
2007-05-02,749.0,-334.0
2007-05-09,1016.0,267.0
2007-05-16,1927.0,911.0
