Date,Values,Delta Calculations
2002-12-18,164.0, 
2002-12-25,164.0,0.0
2003-01-01,186.0,22.0
2003-01-08,186.0,0.0
2003-01-15,186.0,0.0
2003-01-22,186.0,0.0
2003-01-29,186.0,0.0
2003-02-05,186.0,0.0
2003-02-12,186.0,0.0
2003-02-19,186.0,0.0
2003-02-26,186.0,0.0
2003-03-05,186.0,0.0
2003-03-12,186.0,0.0
2003-03-19,186.0,0.0
2003-03-26,186.0,0.0
2003-04-02,186.0,0.0
2003-04-09,186.0,0.0
2003-04-16,186.0,0.0
2003-04-23,186.0,0.0
2003-04-30,186.0,0.0
2003-05-07,186.0,0.0
2003-05-14,186.0,0.0
2003-05-21,186.0,0.0
2003-05-28,186.0,0.0
2003-06-04,186.0,0.0
2003-06-11,186.0,0.0
2003-06-18,186.0,0.0
2003-06-25,186.0,0.0
2003-07-02,186.0,0.0
2003-07-09,186.0,0.0
2003-07-16,186.0,0.0
2003-07-23,186.0,0.0
2003-07-30,186.0,0.0
2003-08-06,186.0,0.0
2003-08-13,186.0,0.0
2003-08-20,186.0,0.0
2003-08-27,186.0,0.0
2003-09-03,186.0,0.0
2003-09-10,186.0,0.0
2003-09-17,186.0,0.0
2003-09-24,186.0,0.0
2003-10-01,186.0,0.0
2003-10-08,186.0,0.0
2003-10-15,186.0,0.0
2003-10-22,186.0,0.0
2003-10-29,186.0,0.0
2003-11-05,186.0,0.0
2003-11-12,186.0,0.0
2003-11-19,186.0,0.0
2003-11-26,186.0,0.0
2003-12-03,186.0,0.0
2003-12-10,186.0,0.0
2003-12-17,186.0,0.0
2003-12-24,186.0,0.0
2003-12-31,111.0,-75.0
2004-01-07,111.0,0.0
2004-01-14,111.0,0.0
2004-01-21,111.0,0.0
2004-01-28,111.0,0.0
2004-02-04,111.0,0.0
2004-02-11,111.0,0.0
2004-02-18,111.0,0.0
2004-02-25,111.0,0.0
2004-03-03,111.0,0.0
2004-03-10,111.0,0.0
2004-03-17,111.0,0.0
2004-03-24,111.0,0.0
2004-03-31,111.0,0.0
2004-04-07,111.0,0.0
2004-04-14,111.0,0.0
2004-04-21,111.0,0.0
2004-04-28,111.0,0.0
2004-05-05,111.0,0.0
2004-05-12,111.0,0.0
2004-05-19,111.0,0.0
2004-05-26,111.0,0.0
2004-06-02,111.0,0.0
2004-06-09,111.0,0.0
2004-06-16,111.0,0.0
2004-06-23,111.0,0.0
2004-06-30,111.0,0.0
2004-07-07,111.0,0.0
2004-07-14,111.0,0.0
2004-07-21,111.0,0.0
2004-07-28,111.0,0.0
2004-08-04,111.0,0.0
2004-08-11,111.0,0.0
2004-08-18,111.0,0.0
2004-08-25,111.0,0.0
2004-09-01,111.0,0.0
2004-09-08,111.0,0.0
2004-09-15,111.0,0.0
2004-09-22,111.0,0.0
2004-09-29,111.0,0.0
2004-10-06,111.0,0.0
2004-10-13,111.0,0.0
2004-10-20,111.0,0.0
2004-10-27,111.0,0.0
2004-11-03,111.0,0.0
2004-11-10,111.0,0.0
2004-11-17,111.0,0.0
2004-11-24,111.0,0.0
2004-12-01,111.0,0.0
2004-12-08,111.0,0.0
2004-12-15,111.0,0.0
2004-12-22,111.0,0.0
2004-12-29,111.0,0.0
2005-01-05,135.0,24.0
2005-01-12,135.0,0.0
2005-01-19,135.0,0.0
2005-01-26,135.0,0.0
2005-02-02,135.0,0.0
2005-02-09,135.0,0.0
2005-02-16,135.0,0.0
2005-02-23,135.0,0.0
2005-03-02,135.0,0.0
2005-03-09,135.0,0.0
2005-03-16,135.0,0.0
2005-03-23,135.0,0.0
2005-03-30,135.0,0.0
2005-04-06,135.0,0.0
2005-04-13,135.0,0.0
2005-04-20,135.0,0.0
2005-04-27,135.0,0.0
2005-05-04,135.0,0.0
2005-05-11,135.0,0.0
2005-05-18,135.0,0.0
2005-05-25,135.0,0.0
2005-06-01,135.0,0.0
2005-06-08,135.0,0.0
2005-06-15,135.0,0.0
2005-06-22,135.0,0.0
2005-06-29,135.0,0.0
2005-07-06,135.0,0.0
2005-07-13,135.0,0.0
2005-07-20,135.0,0.0
2005-07-27,135.0,0.0
2005-08-03,135.0,0.0
2005-08-10,135.0,0.0
2005-08-17,135.0,0.0
2005-08-24,135.0,0.0
2005-08-31,135.0,0.0
2005-09-07,135.0,0.0
2005-09-14,135.0,0.0
2005-09-21,135.0,0.0
2005-09-28,135.0,0.0
2005-10-05,135.0,0.0
2005-10-12,135.0,0.0
2005-10-19,135.0,0.0
2005-10-26,135.0,0.0
2005-11-02,135.0,0.0
2005-11-09,135.0,0.0
2005-11-16,135.0,0.0
2005-11-23,135.0,0.0
2005-11-30,135.0,0.0
2005-12-07,135.0,0.0
2005-12-14,135.0,0.0
2005-12-21,135.0,0.0
2005-12-28,135.0,0.0
2006-01-04,153.0,18.0
2006-01-11,153.0,0.0
2006-01-18,153.0,0.0
2006-01-25,153.0,0.0
2006-02-01,153.0,0.0
2006-02-08,153.0,0.0
2006-02-15,153.0,0.0
2006-02-22,153.0,0.0
2006-03-01,153.0,0.0
2006-03-08,153.0,0.0
2006-03-15,153.0,0.0
2006-03-22,153.0,0.0
2006-03-29,153.0,0.0
2006-04-05,153.0,0.0
2006-04-12,153.0,0.0
2006-04-19,153.0,0.0
2006-04-26,153.0,0.0
2006-05-03,153.0,0.0
2006-05-10,153.0,0.0
2006-05-17,153.0,0.0
2006-05-24,153.0,0.0
2006-05-31,153.0,0.0
2006-06-07,153.0,0.0
2006-06-14,153.0,0.0
2006-06-21,153.0,0.0
2006-06-28,153.0,0.0
2006-07-05,153.0,0.0
2006-07-12,153.0,0.0
2006-07-19,153.0,0.0
2006-07-26,153.0,0.0
2006-08-02,153.0,0.0
2006-08-09,153.0,0.0
2006-08-16,153.0,0.0
2006-08-23,153.0,0.0
2006-08-30,153.0,0.0
2006-09-06,153.0,0.0
2006-09-13,153.0,0.0
2006-09-20,153.0,0.0
2006-09-27,153.0,0.0
2006-10-04,153.0,0.0
2006-10-11,153.0,0.0
2006-10-18,153.0,0.0
2006-10-25,153.0,0.0
2006-11-01,153.0,0.0
2006-11-08,153.0,0.0
2006-11-15,121.0,-32.0
2006-11-22,121.0,0.0
2006-11-29,121.0,0.0
2006-12-06,121.0,0.0
2006-12-13,121.0,0.0
2006-12-20,121.0,0.0
2006-12-27,121.0,0.0
2007-01-03,212.0,91.0
2007-01-10,212.0,0.0
2007-01-17,212.0,0.0
2007-01-24,212.0,0.0
2007-01-31,212.0,0.0
2007-02-07,212.0,0.0
2007-02-14,212.0,0.0
2007-02-21,212.0,0.0
2007-02-28,212.0,0.0
2007-03-07,212.0,0.0
2007-03-14,212.0,0.0
2007-03-21,212.0,0.0
2007-03-28,212.0,0.0
2007-04-04,212.0,0.0
