Date,Values,Delta Calculations
2002-12-18,8938.0, 
2002-12-25,8938.0,0.0
2003-01-01,8938.0,0.0
2003-01-08,8938.0,0.0
2003-01-15,8938.0,0.0
2003-01-22,8938.0,0.0
2003-01-29,8938.0,0.0
2003-02-05,8938.0,0.0
2003-02-12,8960.0,22.0
2003-02-19,8960.0,0.0
2003-02-26,8997.0,37.0
2003-03-05,9012.0,15.0
2003-03-12,9042.0,30.0
2003-03-19,9058.0,16.0
2003-03-26,9072.0,14.0
2003-04-02,9072.0,0.0
2003-04-09,16049.0,6977.0
2003-04-16,16106.0,57.0
2003-04-23,16107.0,1.0
2003-04-30,16108.0,1.0
2003-05-07,16109.0,1.0
2003-05-14,16109.0,0.0
2003-05-21,16191.0,82.0
2003-05-28,16192.0,1.0
2003-06-04,16192.0,0.0
2003-06-11,16192.0,0.0
2003-06-18,16192.0,0.0
2003-06-25,16192.0,0.0
2003-07-02,16191.0,-1.0
2003-07-09,16191.0,0.0
2003-07-16,16191.0,0.0
2003-07-23,16191.0,0.0
2003-07-30,16190.0,-1.0
2003-08-06,16191.0,1.0
2003-08-13,16191.0,0.0
2003-08-20,16191.0,0.0
2003-08-27,16191.0,0.0
2003-09-03,16191.0,0.0
2003-09-10,16247.0,56.0
2003-09-17,16247.0,0.0
2003-09-24,16247.0,0.0
2003-10-01,16247.0,0.0
2003-10-08,16248.0,1.0
2003-10-15,16248.0,0.0
2003-10-22,16249.0,1.0
2003-10-29,16317.0,68.0
2003-11-05,16318.0,1.0
2003-11-12,16361.0,43.0
2003-11-19,16450.0,89.0
2003-11-26,16509.0,59.0
2003-12-03,16532.0,23.0
2003-12-10,16532.0,0.0
2003-12-17,16532.0,0.0
2003-12-24,16532.0,0.0
2003-12-31,16531.0,-1.0
2004-01-07,16531.0,0.0
2004-01-14,16531.0,0.0
2004-01-21,16530.0,-1.0
2004-01-28,16530.0,0.0
2004-02-04,16530.0,0.0
2004-02-11,16617.0,87.0
2004-02-18,16645.0,28.0
2004-02-25,16671.0,26.0
2004-03-03,16671.0,0.0
2004-03-10,16721.0,50.0
2004-03-17,16722.0,1.0
2004-03-24,16755.0,33.0
2004-03-31,16755.0,0.0
2004-04-07,19495.0,2740.0
2004-04-14,19496.0,1.0
2004-04-21,19497.0,1.0
2004-04-28,19498.0,1.0
2004-05-05,19499.0,1.0
2004-05-12,19500.0,1.0
2004-05-19,19578.0,78.0
2004-05-26,19615.0,37.0
2004-06-02,19652.0,37.0
2004-06-09,19698.0,46.0
2004-06-16,19746.0,48.0
2004-06-23,19746.0,0.0
2004-06-30,19747.0,1.0
2004-07-07,19748.0,1.0
2004-07-14,19840.0,92.0
2004-07-21,19927.0,87.0
2004-07-28,19992.0,65.0
2004-08-04,19993.0,1.0
2004-08-11,19993.0,0.0
2004-08-18,20039.0,46.0
2004-08-25,20040.0,1.0
2004-09-01,20040.0,0.0
2004-09-08,20040.0,0.0
2004-09-15,20076.0,36.0
2004-09-22,20112.0,36.0
2004-09-29,20132.0,20.0
2004-10-06,20187.0,55.0
2004-10-13,20187.0,0.0
2004-10-20,20232.0,45.0
2004-10-27,20405.0,173.0
2004-11-03,20460.0,55.0
2004-11-10,20481.0,21.0
2004-11-17,20536.0,55.0
2004-11-24,20536.0,0.0
2004-12-01,20537.0,1.0
2004-12-08,20716.0,179.0
2004-12-15,20737.0,21.0
2004-12-22,20738.0,1.0
2004-12-29,20739.0,1.0
2005-01-05,20739.0,0.0
2005-01-12,20739.0,0.0
2005-01-19,20739.0,0.0
2005-01-26,20739.0,0.0
2005-02-02,20741.0,2.0
2005-02-09,20740.0,-1.0
2005-02-16,20739.0,-1.0
2005-02-23,20738.0,-1.0
2005-03-02,20723.0,-15.0
2005-03-09,20723.0,0.0
2005-03-16,20723.0,0.0
2005-03-23,20724.0,1.0
2005-03-30,20724.0,0.0
2005-04-06,20716.0,-8.0
2005-04-13,22379.0,1663.0
2005-04-20,22380.0,1.0
2005-04-27,22441.0,61.0
2005-05-04,22477.0,36.0
2005-05-11,22523.0,46.0
2005-05-18,22525.0,2.0
2005-05-25,22581.0,56.0
2005-06-01,22676.0,95.0
2005-06-08,22678.0,2.0
2005-06-15,22679.0,1.0
2005-06-22,22704.0,25.0
2005-06-29,22705.0,1.0
2005-07-06,22641.0,-64.0
2005-07-13,22641.0,0.0
2005-07-20,22641.0,0.0
2005-07-27,22640.0,-1.0
2005-08-03,22640.0,0.0
2005-08-10,22640.0,0.0
2005-08-17,22709.0,69.0
2005-08-24,22758.0,49.0
2005-08-31,22784.0,26.0
2005-09-07,22786.0,2.0
2005-09-14,22924.0,138.0
2005-09-21,22925.0,1.0
