Date,Values,Delta Calculations
2002-12-18,16156.0, 
2002-12-25,15245.0,-911.0
2003-01-01,14359.0,-886.0
2003-01-08,15726.0,1367.0
2003-01-15,16579.0,853.0
2003-01-22,16453.0,-126.0
2003-01-29,16685.0,232.0
2003-02-05,16186.0,-499.0
2003-02-12,16013.0,-173.0
2003-02-19,15334.0,-679.0
2003-02-26,15533.0,199.0
2003-03-05,15194.0,-339.0
2003-03-12,14833.0,-361.0
2003-03-19,14635.0,-198.0
2003-03-26,14233.0,-402.0
2003-04-02,13555.0,-678.0
2003-04-09,13430.0,-125.0
2003-04-16,13296.0,-134.0
2003-04-23,13222.0,-74.0
2003-04-30,12968.0,-254.0
2003-05-07,12729.0,-239.0
2003-05-14,12777.0,48.0
2003-05-21,12632.0,-145.0
2003-05-28,12311.0,-321.0
2003-06-04,12969.0,658.0
2003-06-11,13587.0,618.0
2003-06-18,13900.0,313.0
2003-06-25,14041.0,141.0
2003-07-02,12948.0,-1093.0
2003-07-09,13646.0,698.0
2003-07-16,14729.0,1083.0
2003-07-23,14969.0,240.0
2003-07-30,15138.0,169.0
2003-08-06,14958.0,-180.0
2003-08-13,15513.0,555.0
2003-08-20,15452.0,-61.0
2003-08-27,15482.0,30.0
2003-09-03,14906.0,-576.0
2003-09-10,16012.0,1106.0
2003-09-17,16586.0,574.0
2003-09-24,17647.0,1061.0
2003-10-01,17858.0,211.0
2003-10-08,18028.0,170.0
2003-10-15,17885.0,-143.0
2003-10-22,18407.0,522.0
2003-10-29,18305.0,-102.0
2003-11-05,17965.0,-340.0
2003-11-12,17386.0,-579.0
2003-11-19,17854.0,468.0
2003-11-26,16950.0,-904.0
2003-12-03,17405.0,455.0
2003-12-10,17927.0,522.0
2003-12-17,18309.0,382.0
2003-12-24,16456.0,-1853.0
2003-12-31,15685.0,-771.0
2004-01-07,16968.0,1283.0
2004-01-14,18150.0,1182.0
2004-01-21,18359.0,209.0
2004-01-28,18457.0,98.0
2004-02-04,18033.0,-424.0
2004-02-11,17769.0,-264.0
2004-02-18,17649.0,-120.0
2004-02-25,18077.0,428.0
2004-03-03,17790.0,-287.0
2004-03-10,17978.0,188.0
2004-03-17,18140.0,162.0
2004-03-24,18349.0,209.0
2004-03-31,17980.0,-369.0
2004-04-07,17837.0,-143.0
2004-04-14,18291.0,454.0
2004-04-21,18949.0,658.0
2004-04-28,19134.0,185.0
2004-05-05,18573.0,-561.0
2004-05-12,18663.0,90.0
2004-05-19,18715.0,52.0
2004-05-26,18529.0,-186.0
2004-06-02,17360.0,-1169.0
2004-06-09,17985.0,625.0
2004-06-16,18236.0,251.0
2004-06-23,18342.0,106.0
2004-06-30,17731.0,-611.0
2004-07-07,17003.0,-728.0
2004-07-14,17837.0,834.0
2004-07-21,18307.0,470.0
2004-07-28,18208.0,-99.0
2004-08-04,17883.0,-325.0
2004-08-11,18069.0,186.0
2004-08-18,18370.0,301.0
2004-08-25,18708.0,338.0
2004-09-01,18039.0,-669.0
2004-09-08,17492.0,-547.0
2004-09-15,18494.0,1002.0
2004-09-22,18874.0,380.0
2004-09-29,18904.0,30.0
2004-10-06,18455.0,-449.0
2004-10-13,18327.0,-128.0
2004-10-20,18972.0,645.0
2004-10-27,19493.0,521.0
2004-11-03,19643.0,150.0
2004-11-10,19745.0,102.0
2004-11-17,20449.0,704.0
2004-11-24,19572.0,-877.0
2004-12-01,20348.0,776.0
2004-12-08,21511.0,1163.0
2004-12-15,21853.0,342.0
2004-12-22,20868.0,-985.0
2004-12-29,20346.0,-522.0
2005-01-05,20853.0,507.0
2005-01-12,21797.0,944.0
2005-01-19,21740.0,-57.0
2005-01-26,22033.0,293.0
2005-02-02,21597.0,-436.0
2005-02-09,21045.0,-552.0
2005-02-16,20677.0,-368.0
2005-02-23,20169.0,-508.0
2005-03-02,20028.0,-141.0
2005-03-09,20178.0,150.0
2005-03-16,20175.0,-3.0
2005-03-23,20381.0,206.0
2005-03-30,20175.0,-206.0
2005-04-06,19848.0,-327.0
2005-04-13,20003.0,155.0
2005-04-20,19974.0,-29.0
2005-04-27,19925.0,-49.0
2005-05-04,19294.0,-631.0
2005-05-11,19458.0,164.0
2005-05-18,19339.0,-119.0
2005-05-25,18927.0,-412.0
2005-06-01,17972.0,-955.0
2005-06-08,18659.0,687.0
2005-06-15,19279.0,620.0
2005-06-22,19513.0,234.0
2005-06-29,19015.0,-498.0
2005-07-06,18004.0,-1011.0
2005-07-13,19024.0,1020.0
2005-07-20,20044.0,1020.0
2005-07-27,20310.0,266.0
2005-08-03,19928.0,-382.0
2005-08-10,20222.0,294.0
2005-08-17,20342.0,120.0
2005-08-24,20593.0,251.0
2005-08-31,20349.0,-244.0
2005-09-07,19655.0,-694.0
2005-09-14,20575.0,920.0
2005-09-21,21443.0,868.0
2005-09-28,21584.0,141.0
2005-10-05,21162.0,-422.0
2005-10-12,20724.0,-438.0
2005-10-19,21284.0,560.0
2005-10-26,21651.0,367.0
2005-11-02,21609.0,-42.0
2005-11-09,20806.0,-803.0
2005-11-16,21160.0,354.0
2005-11-23,20104.0,-1056.0
2005-11-30,20818.0,714.0
2005-12-07,21836.0,1018.0
2005-12-14,22268.0,432.0
2005-12-21,21264.0,-1004.0
2005-12-28,19652.0,-1612.0
2006-01-04,19784.0,132.0
2006-01-11,20748.0,964.0
2006-01-18,20941.0,193.0
2006-01-25,21542.0,601.0
2006-02-01,21268.0,-274.0
2006-02-08,21217.0,-51.0
2006-02-15,21430.0,213.0
2006-02-22,20876.0,-554.0
2006-03-01,20789.0,-87.0
2006-03-08,20766.0,-23.0
2006-03-15,20804.0,38.0
2006-03-22,21511.0,707.0
2006-03-29,21686.0,175.0
2006-04-05,21526.0,-160.0
2006-04-12,21767.0,241.0
2006-04-19,22204.0,437.0
2006-04-26,22504.0,300.0
2006-05-03,22187.0,-317.0
2006-05-10,22167.0,-20.0
2006-05-17,22327.0,160.0
2006-05-24,22338.0,11.0
2006-05-31,21536.0,-802.0
2006-06-07,22070.0,534.0
2006-06-14,22655.0,585.0
2006-06-21,22691.0,36.0
2006-06-28,22366.0,-325.0
2006-07-05,21029.0,-1337.0
2006-07-12,21897.0,868.0
2006-07-19,22452.0,555.0
2006-07-26,22779.0,327.0
2006-08-02,22410.0,-369.0
2006-08-09,22495.0,85.0
2006-08-16,23326.0,831.0
2006-08-23,23765.0,439.0
2006-08-30,23586.0,-179.0
2006-09-06,22942.0,-644.0
2006-09-13,23898.0,956.0
2006-09-20,24545.0,647.0
2006-09-27,24780.0,235.0
2006-10-04,24324.0,-456.0
2006-10-11,23980.0,-344.0
2006-10-18,24648.0,668.0
2006-10-25,25086.0,438.0
2006-11-01,25013.0,-73.0
2006-11-08,24999.0,-14.0
2006-11-15,24973.0,-26.0
2006-11-22,23952.0,-1021.0
2006-11-29,24460.0,508.0
2006-12-06,25222.0,762.0
2006-12-13,25307.0,85.0
2006-12-20,25525.0,218.0
2006-12-27,24141.0,-1384.0
2007-01-03,23996.0,-145.0
2007-01-10,25540.0,1544.0
2007-01-17,26436.0,896.0
2007-01-24,27058.0,622.0
2007-01-31,27016.0,-42.0
2007-02-07,26568.0,-448.0
2007-02-14,26337.0,-231.0
2007-02-21,25746.0,-591.0
2007-02-28,25561.0,-185.0
2007-03-07,25228.0,-333.0
2007-03-14,24998.0,-230.0
2007-03-21,24759.0,-239.0
2007-03-28,24629.0,-130.0
2007-04-04,24009.0,-620.0
2007-04-11,23734.0,-275.0
2007-04-18,24212.0,478.0
2007-04-25,24472.0,260.0
2007-05-02,24027.0,-445.0
2007-05-09,23970.0,-57.0
2007-05-16,24512.0,542.0
2007-05-23,24576.0,64.0
2007-05-30,23829.0,-747.0
2007-06-06,24138.0,309.0
2007-06-13,24641.0,503.0
2007-06-20,25223.0,582.0
2007-06-27,25332.0,109.0
2007-07-04,24177.0,-1155.0
2007-07-11,24959.0,782.0
2007-07-18,25698.0,739.0
2007-07-25,25998.0,300.0
2007-08-01,25978.0,-20.0
2007-08-08,26123.0,145.0
2007-08-15,26701.0,578.0
2007-08-22,27121.0,420.0
2007-08-29,26874.0,-247.0
2007-09-05,25966.0,-908.0
2007-09-12,26810.0,844.0
2007-09-19,27389.0,579.0
2007-09-26,27514.0,125.0
2007-10-03,26955.0,-559.0
2007-10-10,26474.0,-481.0
2007-10-17,26987.0,513.0
2007-10-24,27358.0,371.0
2007-10-31,27108.0,-250.0
2007-11-07,27069.0,-39.0
2007-11-14,26655.0,-414.0
2007-11-21,26061.0,-594.0
2007-11-28,26929.0,868.0
2007-12-05,27553.0,624.0
2007-12-12,27896.0,343.0
2007-12-19,27739.0,-157.0
2007-12-26,26185.0,-1554.0
2008-01-02,25577.0,-608.0
2008-01-09,27653.0,2076.0
2008-01-16,28800.0,1147.0
2008-01-23,28688.0,-112.0
2008-01-30,28692.0,4.0
2008-02-06,28160.0,-532.0
2008-02-13,27840.0,-320.0
2008-02-20,27122.0,-718.0
2008-02-27,27605.0,483.0
2008-03-05,27189.0,-416.0
2008-03-12,27202.0,13.0
2008-03-19,27415.0,213.0
2008-03-26,27313.0,-102.0
2008-04-02,27001.0,-312.0
2008-04-09,26981.0,-20.0
2008-04-16,27330.0,349.0
2008-04-23,27585.0,255.0
2008-04-30,27254.0,-331.0
2008-05-07,26990.0,-264.0
2008-05-14,27362.0,372.0
2008-05-21,27239.0,-123.0
2008-05-28,26413.0,-826.0
2008-06-04,26651.0,238.0
2008-06-11,26893.0,242.0
2008-06-18,27159.0,266.0
2008-06-25,27155.0,-4.0
2008-07-02,25798.0,-1357.0
2008-07-09,26186.0,388.0
2008-07-16,26821.0,635.0
2008-07-23,26597.0,-224.0
2008-07-30,26205.0,-392.0
2008-08-06,25996.0,-209.0
2008-08-13,26101.0,105.0
2008-08-20,26509.0,408.0
2008-08-27,26447.0,-62.0
2008-09-03,25733.0,-714.0
2008-09-10,26670.0,937.0
2008-09-17,27100.0,430.0
2008-09-24,25532.0,-1568.0
2008-10-01,24686.0,-846.0
2008-10-08,24121.0,-565.0
2008-10-15,23718.0,-403.0
2008-10-22,25496.0,1778.0
2008-10-29,26168.0,672.0
2008-11-05,26101.0,-67.0
2008-11-12,25803.0,-298.0
2008-11-19,27083.0,1280.0
2008-11-26,26515.0,-568.0
2008-12-03,27472.0,957.0
2008-12-10,27926.0,454.0
2008-12-17,27992.0,66.0
2008-12-24,26509.0,-1483.0
2008-12-31,26219.0,-290.0
2009-01-07,27469.0,1250.0
2009-01-14,28702.0,1233.0
2009-01-21,28595.0,-107.0
2009-01-28,28777.0,182.0
2009-02-04,28128.0,-649.0
2009-02-11,27510.0,-618.0
2009-02-18,26742.0,-768.0
2009-02-25,26860.0,118.0
2009-03-04,26215.0,-645.0
2009-03-11,25806.0,-409.0
2009-03-18,25581.0,-225.0
2009-03-25,25571.0,-10.0
2009-04-01,25060.0,-511.0
2009-04-08,24678.0,-382.0
2009-04-15,24963.0,285.0
2009-04-22,25477.0,514.0
2009-04-29,25224.0,-253.0
2009-05-06,24768.0,-456.0
2009-05-13,24826.0,58.0
2009-05-20,24299.0,-527.0
2009-05-27,23401.0,-898.0
2009-06-03,23922.0,521.0
2009-06-10,24325.0,403.0
2009-06-17,24697.0,372.0
2009-06-24,24970.0,273.0
2009-07-01,24375.0,-595.0
2009-07-08,24446.0,71.0
2009-07-15,25211.0,765.0
2009-07-22,25728.0,517.0
2009-07-29,25855.0,127.0
2009-08-05,25757.0,-98.0
2009-08-12,26195.0,438.0
2009-08-19,26373.0,178.0
2009-08-26,26858.0,485.0
2009-09-02,26172.0,-686.0
2009-09-09,25454.0,-718.0
2009-09-16,26609.0,1155.0
2009-09-23,27361.0,752.0
2009-09-30,27236.0,-125.0
2009-10-07,26718.0,-518.0
2009-10-14,26571.0,-147.0
2009-10-21,27205.0,634.0
2009-10-28,27574.0,369.0
2009-11-04,27219.0,-355.0
2009-11-11,26766.0,-453.0
2009-11-18,27449.0,683.0
2009-11-25,26886.0,-563.0
2009-12-02,27201.0,315.0
2009-12-09,27387.0,186.0
2009-12-16,27764.0,377.0
2009-12-23,26514.0,-1250.0
2009-12-30,25968.0,-546.0
2010-01-06,27105.0,1137.0
2010-01-13,28406.0,1301.0
2010-01-20,28228.0,-178.0
2010-01-27,28553.0,325.0
2010-02-03,27556.0,-997.0
2010-02-10,26659.0,-897.0
2010-02-17,26000.0,-659.0
2010-02-24,26256.0,256.0
2010-03-03,25814.0,-442.0
2010-03-10,25380.0,-434.0
2010-03-17,25455.0,75.0
2010-03-24,25408.0,-47.0
2010-03-31,24769.0,-639.0
2010-04-07,24523.0,-246.0
2010-04-14,24965.0,442.0
2010-04-21,25111.0,146.0
2010-04-28,25046.0,-65.0
2010-05-05,24885.0,-161.0
2010-05-12,25138.0,253.0
2010-05-19,25513.0,375.0
2010-05-26,25268.0,-245.0
2010-06-02,24532.0,-736.0
2010-06-09,25393.0,861.0
2010-06-16,26006.0,613.0
2010-06-23,26241.0,235.0
2010-06-30,25417.0,-824.0
2010-07-07,24960.0,-457.0
2010-07-14,26255.0,1295.0
2010-07-21,26875.0,620.0
2010-07-28,26847.0,-28.0
2010-08-04,26523.0,-324.0
2010-08-11,26820.0,297.0
2010-08-18,27202.0,382.0
2010-08-25,27451.0,249.0
2010-09-01,26554.0,-897.0
2010-09-08,26020.0,-534.0
2010-09-15,27193.0,1173.0
2010-09-22,27708.0,515.0
2010-09-29,27483.0,-225.0
2010-10-06,26903.0,-580.0
2010-10-13,27073.0,170.0
2010-10-20,28024.0,951.0
2010-10-27,27978.0,-46.0
2010-11-03,27051.0,-927.0
2010-11-10,26589.0,-462.0
2010-11-17,27277.0,688.0
2010-11-24,26762.0,-515.0
2010-12-01,27202.0,440.0
2010-12-08,27504.0,302.0
2010-12-15,27867.0,363.0
2010-12-22,27014.0,-853.0
2010-12-29,26861.0,-153.0
2011-01-05,27211.0,350.0
2011-01-12,27850.0,639.0
2011-01-19,27600.0,-250.0
2011-01-26,27872.0,272.0
2011-02-02,26702.0,-1170.0
2011-02-09,25809.0,-893.0
2011-02-16,25563.0,-246.0
2011-02-23,24522.0,-1041.0
2011-03-02,24159.0,-363.0
2011-03-09,23984.0,-175.0
2011-03-16,23947.0,-37.0
2011-03-23,23954.0,7.0
2011-03-30,23846.0,-108.0
2011-04-06,23441.0,-405.0
2011-04-13,23764.0,323.0
2011-04-20,24071.0,307.0
2011-04-27,24107.0,36.0
2011-05-04,23556.0,-551.0
2011-05-11,23768.0,212.0
2011-05-18,24436.0,668.0
2011-05-25,24067.0,-369.0
2011-06-01,23034.0,-1033.0
2011-06-08,23922.0,888.0
2011-06-15,24668.0,746.0
2011-06-22,25091.0,423.0
2011-06-29,24602.0,-489.0
2011-07-06,23633.0,-969.0
2011-07-13,24715.0,1082.0
2011-07-20,25201.0,486.0
2011-07-27,25193.0,-8.0
2011-08-03,24500.0,-693.0
2011-08-10,24844.0,344.0
2011-08-17,25366.0,522.0
2011-08-24,25833.0,467.0
2011-08-31,25104.0,-729.0
2011-09-07,24229.0,-875.0
2011-09-14,25100.0,871.0
2011-09-21,25654.0,554.0
2011-09-28,25473.0,-181.0
2011-10-05,24765.0,-708.0
2011-10-12,24773.0,8.0
2011-10-19,25904.0,1131.0
2011-10-26,26641.0,737.0
2011-11-02,25715.0,-926.0
2011-11-09,25189.0,-526.0
2011-11-16,25928.0,739.0
2011-11-23,25640.0,-288.0
2011-11-30,26360.0,720.0
2011-12-07,26573.0,213.0
2011-12-14,27125.0,552.0
2011-12-21,26936.0,-189.0
2011-12-28,25873.0,-1063.0
2012-01-04,25983.0,110.0
2012-01-11,27522.0,1539.0
2012-01-18,27861.0,339.0
2012-01-25,28451.0,590.0
2012-02-01,27809.0,-642.0
2012-02-08,26841.0,-968.0
2012-02-15,26169.0,-672.0
2012-02-22,25457.0,-712.0
2012-02-29,24850.0,-607.0
2012-03-07,24146.0,-704.0
2012-03-14,23911.0,-235.0
2012-03-21,24085.0,174.0
2012-03-28,23740.0,-345.0
2012-04-04,22896.0,-844.0
2012-04-11,23021.0,125.0
2012-04-18,23946.0,925.0
2012-04-25,24042.0,96.0
2012-05-02,23572.0,-470.0
2012-05-09,23585.0,13.0
2012-05-16,24366.0,781.0
2012-05-23,24103.0,-263.0
2012-05-30,23400.0,-703.0
2012-06-06,23696.0,296.0
2012-06-13,24446.0,750.0
2012-06-20,24875.0,429.0
2012-06-27,24819.0,-56.0
2012-07-04,23356.0,-1463.0
2012-07-11,23962.0,606.0
2012-07-18,24735.0,773.0
