Date,Values,Delta Calculations
2002-12-18,-91.0, 
2002-12-25,-90.0,1.0
2003-01-01,-90.0,0.0
2003-01-08,-89.0,1.0
2003-01-15,-88.0,1.0
2003-01-22,-87.0,1.0
2003-01-29,-87.0,0.0
2003-02-05,-87.0,0.0
2003-02-12,-87.0,0.0
2003-02-19,-88.0,-1.0
2003-02-26,-86.0,2.0
2003-03-05,-86.0,0.0
2003-03-12,-85.0,1.0
2003-03-19,-83.0,2.0
2003-03-26,-82.0,1.0
2003-04-02,-82.0,0.0
2003-04-09,-77.0,5.0
2003-04-16,-76.0,1.0
2003-04-23,-75.0,1.0
2003-04-30,-76.0,-1.0
2003-05-07,-76.0,0.0
2003-05-14,-75.0,1.0
2003-05-21,-75.0,0.0
2003-05-28,-74.0,1.0
2003-06-04,-74.0,0.0
2003-06-11,-75.0,-1.0
2003-06-18,-74.0,1.0
2003-06-25,-73.0,1.0
2003-07-02,-73.0,0.0
2003-07-09,-72.0,1.0
2003-07-16,-72.0,0.0
2003-07-23,-71.0,1.0
2003-07-30,-70.0,1.0
2003-08-06,-70.0,0.0
2003-08-13,-70.0,0.0
2003-08-20,-72.0,-2.0
2003-08-27,-72.0,0.0
2003-09-03,-72.0,0.0
2003-09-10,-72.0,0.0
2003-09-17,-72.0,0.0
2003-09-24,-72.0,0.0
2003-10-01,-72.0,0.0
2003-10-08,-71.0,1.0
2003-10-15,-71.0,0.0
2003-10-22,-71.0,0.0
2003-10-29,-71.0,0.0
2003-11-05,-72.0,-1.0
2003-11-12,-72.0,0.0
2003-11-19,-73.0,-1.0
2003-11-26,-72.0,1.0
2003-12-03,-72.0,0.0
2003-12-10,-72.0,0.0
2003-12-17,-72.0,0.0
2003-12-24,-71.0,1.0
2003-12-31,-72.0,-1.0
2004-01-07,-71.0,1.0
2004-01-14,-71.0,0.0
2004-01-21,-71.0,0.0
2004-01-28,-71.0,0.0
2004-02-04,-71.0,0.0
2004-02-11,-71.0,0.0
2004-02-18,-72.0,-1.0
2004-02-25,-71.0,1.0
2004-03-03,-72.0,-1.0
2004-03-10,-72.0,0.0
2004-03-17,-72.0,0.0
2004-03-24,-71.0,1.0
2004-03-31,-71.0,0.0
2004-04-07,-79.0,-8.0
2004-04-14,-79.0,0.0
2004-04-21,-78.0,1.0
2004-04-28,-78.0,0.0
2004-05-05,-79.0,-1.0
2004-05-12,-79.0,0.0
2004-05-19,-83.0,-4.0
2004-05-26,-84.0,-1.0
2004-06-02,-86.0,-2.0
2004-06-09,-89.0,-3.0
2004-06-16,-90.0,-1.0
2004-06-23,-92.0,-2.0
2004-06-30,-95.0,-3.0
2004-07-07,-96.0,-1.0
2004-07-14,-98.0,-2.0
2004-07-21,-99.0,-1.0
2004-07-28,-100.0,-1.0
2004-08-04,-102.0,-2.0
2004-08-11,-104.0,-2.0
2004-08-18,-107.0,-3.0
2004-08-25,-108.0,-1.0
