Date,Values,Delta Calculations
2002-12-18,620.0, 
2002-12-25,618.0,-2.0
2003-01-01,617.0,-1.0
2003-01-08,614.0,-3.0
2003-01-15,612.0,-2.0
2003-01-22,610.0,-2.0
2003-01-29,608.0,-2.0
2003-02-05,606.0,-2.0
2003-02-12,606.0,0.0
2003-02-19,604.0,-2.0
2003-02-26,606.0,2.0
2003-03-05,608.0,2.0
2003-03-12,608.0,0.0
2003-03-19,608.0,0.0
2003-03-26,609.0,1.0
2003-04-02,607.0,-2.0
2003-04-09,513.0,-94.0
2003-04-16,512.0,-1.0
2003-04-23,510.0,-2.0
2003-04-30,509.0,-1.0
2003-05-07,507.0,-2.0
2003-05-14,505.0,-2.0
2003-05-21,506.0,1.0
2003-05-28,504.0,-2.0
2003-06-04,503.0,-1.0
2003-06-11,501.0,-2.0
2003-06-18,499.0,-2.0
2003-06-25,498.0,-1.0
2003-07-02,496.0,-2.0
2003-07-09,495.0,-1.0
2003-07-16,493.0,-2.0
2003-07-23,491.0,-2.0
2003-07-30,490.0,-1.0
2003-08-06,488.0,-2.0
2003-08-13,487.0,-1.0
2003-08-20,485.0,-2.0
2003-08-27,483.0,-2.0
2003-09-03,482.0,-1.0
2003-09-10,487.0,5.0
2003-09-17,485.0,-2.0
2003-09-24,484.0,-1.0
2003-10-01,482.0,-2.0
2003-10-08,480.0,-2.0
2003-10-15,479.0,-1.0
2003-10-22,477.0,-2.0
2003-10-29,480.0,3.0
2003-11-05,479.0,-1.0
2003-11-12,480.0,1.0
2003-11-19,479.0,-1.0
2003-11-26,481.0,2.0
2003-12-03,480.0,-1.0
2003-12-10,478.0,-2.0
2003-12-17,477.0,-1.0
2003-12-24,475.0,-2.0
2003-12-31,474.0,-1.0
2004-01-07,472.0,-2.0
2004-01-14,471.0,-1.0
2004-01-21,469.0,-2.0
2004-01-28,467.0,-2.0
2004-02-04,466.0,-1.0
2004-02-11,467.0,1.0
2004-02-18,468.0,1.0
2004-02-25,470.0,2.0
2004-03-03,468.0,-2.0
2004-03-10,474.0,6.0
2004-03-17,472.0,-2.0
2004-03-24,474.0,2.0
2004-03-31,472.0,-2.0
2004-04-07,457.0,-15.0
2004-04-14,455.0,-2.0
2004-04-21,453.0,-2.0
2004-04-28,452.0,-1.0
2004-05-05,450.0,-2.0
2004-05-12,448.0,-2.0
2004-05-19,448.0,0.0
2004-05-26,449.0,1.0
2004-06-02,448.0,-1.0
2004-06-09,448.0,0.0
2004-06-16,449.0,1.0
2004-06-23,448.0,-1.0
2004-06-30,446.0,-2.0
2004-07-07,445.0,-1.0
2004-07-14,447.0,2.0
2004-07-21,446.0,-1.0
2004-07-28,446.0,0.0
2004-08-04,445.0,-1.0
2004-08-11,443.0,-2.0
2004-08-18,444.0,1.0
2004-08-25,443.0,-1.0
2004-09-01,441.0,-2.0
2004-09-08,440.0,-1.0
2004-09-15,440.0,0.0
2004-09-22,442.0,2.0
2004-09-29,443.0,1.0
2004-10-06,441.0,-2.0
2004-10-13,440.0,-1.0
2004-10-20,440.0,0.0
2004-10-27,446.0,6.0
2004-11-03,448.0,2.0
2004-11-10,449.0,1.0
2004-11-17,447.0,-2.0
2004-11-24,446.0,-1.0
2004-12-01,445.0,-1.0
2004-12-08,445.0,0.0
2004-12-15,445.0,0.0
2004-12-22,443.0,-2.0
2004-12-29,442.0,-1.0
2005-01-05,441.0,-1.0
2005-01-12,439.0,-2.0
2005-01-19,438.0,-1.0
2005-01-26,436.0,-2.0
2005-02-02,444.0,8.0
2005-02-09,442.0,-2.0
2005-02-16,441.0,-1.0
2005-02-23,439.0,-2.0
2005-03-02,438.0,-1.0
2005-03-09,437.0,-1.0
2005-03-16,436.0,-1.0
2005-03-23,434.0,-2.0
2005-03-30,433.0,-1.0
2005-04-06,432.0,-1.0
2005-04-13,469.0,37.0
2005-04-20,468.0,-1.0
2005-04-27,466.0,-2.0
2005-05-04,468.0,2.0
2005-05-11,468.0,0.0
2005-05-18,466.0,-2.0
2005-05-25,466.0,0.0
2005-06-01,478.0,12.0
2005-06-08,477.0,-1.0
2005-06-15,475.0,-2.0
2005-06-22,476.0,1.0
2005-06-29,475.0,-1.0
2005-07-06,473.0,-2.0
2005-07-13,472.0,-1.0
2005-07-20,471.0,-1.0
2005-07-27,469.0,-2.0
2005-08-03,468.0,-1.0
2005-08-10,466.0,-2.0
2005-08-17,465.0,-1.0
2005-08-24,464.0,-1.0
2005-08-31,464.0,0.0
2005-09-07,462.0,-2.0
2005-09-14,463.0,1.0
2005-09-21,461.0,-2.0
2005-09-28,460.0,-1.0
2005-10-05,459.0,-1.0
2005-10-12,457.0,-2.0
2005-10-19,456.0,-1.0
