Date,Values,Delta Calculations
2007-12-26,3360.0, 
2008-01-02,5385.0,2025.0
2008-01-09,5458.0,73.0
2008-01-16,5438.0,-20.0
2008-01-23,5886.0,448.0
2008-01-30,5679.0,-207.0
2008-02-06,6210.0,531.0
2008-02-13,6315.0,105.0
2008-02-20,2559.0,-3756.0
2008-02-27,2321.0,-238.0
2008-03-05,0.0,-2321.0
2008-03-12,0.0,0.0
2008-03-19,0.0,0.0
2008-03-26,0.0,0.0
2008-04-02,5258.0,5258.0
2008-04-09,5067.0,-191.0
2008-04-16,8474.0,3407.0
2008-04-23,8664.0,190.0
2008-04-30,9502.0,838.0
2008-05-07,9850.0,348.0
2008-05-14,13649.0,3799.0
2008-05-21,12844.0,-805.0
2008-05-28,15359.0,2515.0
2008-06-04,15803.0,444.0
2008-06-11,15616.0,-187.0
2008-06-18,15834.0,218.0
2008-06-25,15466.0,-368.0
2008-07-02,14503.0,-963.0
2008-07-09,15228.0,725.0
2008-07-16,14845.0,-383.0
2008-07-23,16160.0,1315.0
2008-07-30,16605.0,445.0
2008-08-06,16886.0,281.0
2008-08-13,18304.0,1418.0
2008-08-20,18588.0,284.0
2008-08-27,18635.0,47.0
2008-09-03,16328.0,-2307.0
2008-09-10,17757.0,1429.0
2008-09-17,16237.0,-1520.0
2008-09-24,35081.0,18844.0
2008-10-01,76821.0,41740.0
2008-10-08,87725.0,10904.0
2008-10-15,106098.0,18373.0
2008-10-22,139193.0,33095.0
2008-10-29,129614.0,-9579.0
2008-11-05,132713.0,3099.0
2008-11-12,152367.0,19654.0
2008-11-19,149790.0,-2577.0
2008-11-26,117948.0,-31842.0
2008-12-03,129606.0,11658.0
2008-12-10,137743.0,8137.0
2008-12-17,104447.0,-33296.0
2008-12-24,119673.0,15226.0
2008-12-31,119911.0,238.0
2009-01-07,121513.0,1602.0
2009-01-14,122362.0,849.0
2009-01-21,113393.0,-8969.0
2009-01-28,107501.0,-5892.0
2009-02-04,105510.0,-1991.0
2009-02-11,106129.0,619.0
2009-02-18,108382.0,2253.0
2009-02-25,107015.0,-1367.0
2009-03-04,94621.0,-12394.0
2009-03-11,88700.0,-5921.0
2009-03-18,88161.0,-539.0
2009-03-25,82961.0,-5200.0
2009-04-01,83391.0,430.0
2009-04-08,82304.0,-1087.0
2009-04-15,78049.0,-4255.0
2009-04-22,77769.0,-280.0
2009-04-29,61512.0,-16257.0
2009-05-06,61847.0,335.0
2009-05-13,58382.0,-3465.0
2009-05-20,55335.0,-3047.0
2009-05-27,42667.0,-12668.0
2009-06-03,41475.0,-1192.0
2009-06-10,42479.0,1004.0
2009-06-17,38467.0,-4012.0
2009-06-24,29705.0,-8762.0
2009-07-01,28049.0,-1656.0
2009-07-08,28002.0,-47.0
2009-07-15,27281.0,-721.0
2009-07-22,22551.0,-4730.0
2009-07-29,22918.0,367.0
2009-08-05,18940.0,-3978.0
2009-08-12,19825.0,885.0
2009-08-19,17662.0,-2163.0
2009-08-26,15400.0,-2262.0
2009-09-02,16694.0,1294.0
2009-09-09,15111.0,-1583.0
2009-09-16,15075.0,-36.0
2009-09-23,14916.0,-159.0
2009-09-30,14845.0,-71.0
2009-10-07,12607.0,-2238.0
2009-10-14,10847.0,-1760.0
2009-10-21,10510.0,-337.0
2009-10-28,8885.0,-1625.0
2009-11-04,8355.0,-530.0
2009-11-11,7428.0,-927.0
2009-11-18,7391.0,-37.0
2009-11-25,6547.0,-844.0
2009-12-02,6129.0,-418.0
2009-12-09,4391.0,-1738.0
2009-12-16,3856.0,-535.0
2009-12-23,2733.0,-1123.0
2009-12-30,2733.0,0.0
2010-01-06,2733.0,0.0
2010-01-13,1568.0,-1165.0
2010-01-20,333.0,-1235.0
2010-01-27,47.0,-286.0
2010-02-03,29.0,-18.0
2010-02-10,29.0,0.0
2010-02-17,0.0,-29.0
2010-02-24,0.0,0.0
2010-03-03,0.0,0.0
2010-03-10,0.0,0.0
2010-03-17,0.0,0.0
2010-03-24,0.0,0.0
2010-03-31,0.0,0.0
2010-04-07,0.0,0.0
2010-04-14,0.0,0.0
2010-04-21,0.0,0.0
2010-04-28,0.0,0.0
2010-05-05,0.0,0.0
2010-05-12,2672.0,2672.0
2010-05-19,2672.0,0.0
2010-05-26,360.0,-2312.0
2010-06-02,1928.0,1568.0
2010-06-09,360.0,-1568.0
2010-06-16,360.0,0.0
2010-06-23,361.0,1.0
2010-06-30,361.0,0.0
2010-07-07,361.0,0.0
2010-07-14,361.0,0.0
2010-07-21,362.0,1.0
2010-07-28,362.0,0.0
2010-08-04,362.0,0.0
2010-08-11,362.0,0.0
2010-08-18,126.0,-236.0
2010-08-25,11.0,-115.0
2010-09-01,13.0,2.0
2010-09-08,19.0,6.0
2010-09-15,18.0,-1.0
2010-09-22,18.0,0.0
2010-09-29,18.0,0.0
2010-10-06,18.0,0.0
2010-10-13,17.0,-1.0
2010-10-20,163.0,146.0
2010-10-27,17.0,-146.0
2010-11-03,17.0,0.0
2010-11-10,17.0,0.0
2010-11-17,19.0,2.0
2010-11-24,17.0,-2.0
2010-12-01,17.0,0.0
2010-12-08,17.0,0.0
2010-12-15,17.0,0.0
2010-12-22,22.0,5.0
2010-12-29,22.0,0.0
2011-01-05,22.0,0.0
2011-01-12,20.0,-2.0
2011-01-19,20.0,0.0
2011-01-26,20.0,0.0
2011-02-02,20.0,0.0
2011-02-09,20.0,0.0
2011-02-16,20.0,0.0
2011-02-23,20.0,0.0
2011-03-02,20.0,0.0
2011-03-09,0.0,-20.0
2011-03-16,0.0,0.0
2011-03-23,0.0,0.0
2011-03-30,0.0,0.0
2011-04-06,0.0,0.0
2011-04-13,0.0,0.0
2011-04-20,0.0,0.0
2011-04-27,0.0,0.0
2011-05-04,0.0,0.0
2011-05-11,0.0,0.0
2011-05-18,0.0,0.0
2011-05-25,0.0,0.0
2011-06-01,0.0,0.0
2011-06-08,0.0,0.0
2011-06-15,0.0,0.0
2011-06-22,0.0,0.0
2011-06-29,0.0,0.0
2011-07-06,0.0,0.0
2011-07-13,0.0,0.0
2011-07-20,0.0,0.0
2011-07-27,0.0,0.0
2011-08-03,0.0,0.0
2011-08-10,0.0,0.0
2011-08-17,58.0,58.0
2011-08-24,145.0,87.0
2011-08-31,0.0,-145.0
2011-09-07,0.0,0.0
2011-09-14,0.0,0.0
2011-09-21,167.0,167.0
2011-09-28,145.0,-22.0
2011-10-05,145.0,0.0
2011-10-12,145.0,0.0
2011-10-19,537.0,392.0
2011-10-26,537.0,0.0
2011-11-02,537.0,0.0
2011-11-09,568.0,31.0
2011-11-16,680.0,112.0
2011-11-23,695.0,15.0
2011-11-30,695.0,0.0
2011-12-07,666.0,-29.0
2011-12-14,15737.0,15071.0
2011-12-21,18131.0,2394.0
2011-12-28,28912.0,10781.0
2012-01-04,28912.0,0.0
2012-01-11,26490.0,-2422.0
2012-01-18,29909.0,3419.0
2012-01-25,29882.0,-27.0
2012-02-01,33694.0,3812.0
2012-02-08,35082.0,1388.0
2012-02-15,35189.0,107.0
2012-02-22,34825.0,-364.0
2012-02-29,34762.0,-63.0
2012-03-07,23027.0,-11735.0
2012-03-14,20926.0,-2101.0
2012-03-21,21159.0,233.0
2012-03-28,20989.0,-170.0
2012-04-04,14994.0,-5995.0
2012-04-11,10474.0,-4520.0
2012-04-18,10442.0,-32.0
2012-04-25,10313.0,-129.0
2012-05-02,8792.0,-1521.0
2012-05-09,8599.0,-193.0
2012-05-16,8532.0,-67.0
2012-05-23,8524.0,-8.0
2012-05-30,7151.0,-1373.0
2012-06-06,7183.0,32.0
2012-06-13,7520.0,337.0
2012-06-20,7811.0,291.0
2012-06-27,8729.0,918.0
2012-07-04,9022.0,293.0
2012-07-11,9583.0,561.0
2012-07-18,9855.0,272.0
2012-07-25,8784.0,-1071.0
2012-08-01,10007.0,1223.0
2012-08-08,9684.0,-323.0
2012-08-15,9679.0,-5.0
2012-08-22,8543.0,-1136.0
2012-08-29,8285.0,-258.0
2012-09-05,7562.0,-723.0
2012-09-12,6273.0,-1289.0
2012-09-19,4755.0,-1518.0
2012-09-26,4739.0,-16.0
2012-10-03,4049.0,-690.0
2012-10-10,4178.0,129.0
2012-10-17,4154.0,-24.0
2012-10-24,3928.0,-226.0
2012-10-31,4162.0,234.0
2012-11-07,4021.0,-141.0
2012-11-14,3910.0,-111.0
2012-11-21,3952.0,42.0
2012-11-28,3939.0,-13.0
2012-12-05,3929.0,-10.0
2012-12-12,3990.0,61.0
2012-12-19,3726.0,-264.0
2012-12-26,2867.0,-859.0
2013-01-02,2867.0,0.0
2013-01-09,2900.0,33.0
2013-01-16,2603.0,-297.0
2013-01-23,2604.0,1.0
2013-01-30,2590.0,-14.0
2013-02-06,1660.0,-930.0
2013-02-13,1660.0,0.0
2013-02-20,1660.0,0.0
2013-02-27,1341.0,-319.0
2013-03-06,2667.0,1326.0
2013-03-13,2553.0,-114.0
2013-03-20,2546.0,-7.0
2013-03-27,2642.0,96.0
2013-04-03,2575.0,-67.0
2013-04-10,2797.0,222.0
2013-04-17,2414.0,-383.0
2013-04-24,2414.0,0.0
2013-05-01,2741.0,327.0
2013-05-08,2326.0,-415.0
2013-05-15,2326.0,0.0
2013-05-22,2326.0,0.0
2013-05-29,566.0,-1760.0
2013-06-05,566.0,0.0
2013-06-12,566.0,0.0
2013-06-19,566.0,0.0
2013-06-26,473.0,-93.0
2013-07-03,537.0,64.0
2013-07-10,473.0,-64.0
2013-07-17,473.0,0.0
2013-07-24,473.0,0.0
2013-07-31,473.0,0.0
2013-08-07,473.0,0.0
2013-08-14,473.0,0.0
2013-08-21,101.0,-372.0
2013-08-28,103.0,2.0
2013-09-04,101.0,-2.0
2013-09-11,102.0,1.0
2013-09-18,84.0,-18.0
2013-09-25,84.0,0.0
2013-10-02,163.0,79.0
2013-10-09,59.0,-104.0
2013-10-16,87.0,28.0
2013-10-23,87.0,0.0
2013-10-30,87.0,0.0
2013-11-06,87.0,0.0
2013-11-13,87.0,0.0
2013-11-20,87.0,0.0
2013-11-27,87.0,0.0
2013-12-04,87.0,0.0
2013-12-11,87.0,0.0
2013-12-18,87.0,0.0
2013-12-25,87.0,0.0
2014-01-01,87.0,0.0
2014-01-08,83.0,-4.0
2014-01-15,83.0,0.0
2014-01-22,83.0,0.0
2014-01-29,83.0,0.0
2014-02-05,115.0,32.0
2014-02-12,116.0,1.0
2014-02-19,116.0,0.0
2014-02-26,116.0,0.0
2014-03-05,147.0,31.0
2014-03-12,147.0,0.0
2014-03-19,147.0,0.0
2014-03-26,148.0,1.0
2014-04-02,131.0,-17.0
2014-04-09,131.0,0.0
2014-04-16,131.0,0.0
2014-04-23,131.0,0.0
2014-04-30,96.0,-35.0
2014-05-07,96.0,0.0
2014-05-14,96.0,0.0
2014-05-21,96.0,0.0
2014-05-28,56.0,-40.0
2014-06-04,56.0,0.0
2014-06-11,56.0,0.0
2014-06-18,57.0,1.0
2014-06-25,40.0,-17.0
2014-07-02,40.0,0.0
2014-07-09,40.0,0.0
2014-07-16,40.0,0.0
2014-07-23,25.0,-15.0
2014-07-30,24.0,-1.0
2014-08-06,24.0,0.0
2014-08-13,24.0,0.0
2014-08-20,24.0,0.0
2014-08-27,25.0,1.0
2014-09-03,24.0,-1.0
2014-09-10,25.0,1.0
2014-09-17,24.0,-1.0
2014-09-24,7.0,-17.0
2014-10-01,77.0,70.0
2014-10-08,0.0,-77.0
2014-10-15,0.0,0.0
2014-10-22,0.0,0.0
2014-10-29,0.0,0.0
2014-11-05,0.0,0.0
2014-11-12,0.0,0.0
2014-11-19,0.0,0.0
2014-11-26,0.0,0.0
2014-12-03,0.0,0.0
2014-12-10,1.0,1.0
2014-12-17,1.0,0.0
2014-12-24,10.0,9.0
2014-12-31,491.0,481.0
2015-01-07,491.0,0.0
2015-01-14,0.0,-491.0
2015-01-21,3.0,3.0
2015-01-28,0.0,-3.0
2015-02-04,0.0,0.0
2015-02-11,0.0,0.0
2015-02-18,0.0,0.0
2015-02-25,1.0,1.0
2015-03-04,0.0,-1.0
2015-03-11,1.0,1.0
2015-03-18,1.0,0.0
2015-03-25,1.0,0.0
2015-04-01,261.0,260.0
2015-04-08,0.0,-261.0
2015-04-15,0.0,0.0
2015-04-22,0.0,0.0
2015-04-29,0.0,0.0
2015-05-06,0.0,0.0
2015-05-13,0.0,0.0
2015-05-20,0.0,0.0
2015-05-27,1.0,1.0
2015-06-03,0.0,-1.0
2015-06-10,0.0,0.0
2015-06-17,37.0,37.0
2015-06-24,37.0,0.0
2015-07-01,205.0,168.0
2015-07-08,50.0,-155.0
2015-07-15,99.0,49.0
2015-07-22,212.0,113.0
2015-07-29,116.0,-96.0
