Date,Values,Delta Calculations
2002-12-18,874.0, 
2002-12-25,874.0,0.0
2003-01-01,874.0,0.0
2003-01-08,874.0,0.0
2003-01-15,874.0,0.0
2003-01-22,874.0,0.0
2003-01-29,874.0,0.0
2003-02-05,874.0,0.0
2003-02-12,874.0,0.0
2003-02-19,874.0,0.0
2003-02-26,874.0,0.0
2003-03-05,874.0,0.0
2003-03-12,874.0,0.0
2003-03-19,874.0,0.0
2003-03-26,874.0,0.0
2003-04-02,874.0,0.0
2003-04-09,874.0,0.0
2003-04-16,874.0,0.0
2003-04-23,874.0,0.0
2003-04-30,874.0,0.0
2003-05-07,874.0,0.0
2003-05-14,874.0,0.0
2003-05-21,874.0,0.0
2003-05-28,874.0,0.0
2003-06-04,874.0,0.0
2003-06-11,874.0,0.0
2003-06-18,874.0,0.0
2003-06-25,874.0,0.0
2003-07-02,874.0,0.0
2003-07-09,874.0,0.0
2003-07-16,874.0,0.0
2003-07-23,874.0,0.0
2003-07-30,874.0,0.0
2003-08-06,874.0,0.0
2003-08-13,874.0,0.0
2003-08-20,874.0,0.0
2003-08-27,874.0,0.0
2003-09-03,874.0,0.0
2003-09-10,874.0,0.0
2003-09-17,874.0,0.0
2003-09-24,874.0,0.0
2003-10-01,874.0,0.0
2003-10-08,874.0,0.0
2003-10-15,874.0,0.0
2003-10-22,874.0,0.0
2003-10-29,874.0,0.0
2003-11-05,874.0,0.0
2003-11-12,874.0,0.0
2003-11-19,874.0,0.0
2003-11-26,874.0,0.0
2003-12-03,874.0,0.0
2003-12-10,874.0,0.0
2003-12-17,874.0,0.0
2003-12-24,874.0,0.0
2003-12-31,874.0,0.0
2004-01-07,874.0,0.0
2004-01-14,874.0,0.0
2004-01-21,874.0,0.0
2004-01-28,874.0,0.0
2004-02-04,874.0,0.0
2004-02-11,874.0,0.0
2004-02-18,874.0,0.0
2004-02-25,874.0,0.0
2004-03-03,874.0,0.0
2004-03-10,874.0,0.0
2004-03-17,874.0,0.0
2004-03-24,874.0,0.0
2004-03-31,874.0,0.0
2004-04-07,874.0,0.0
2004-04-14,874.0,0.0
2004-04-21,874.0,0.0
2004-04-28,874.0,0.0
2004-05-05,874.0,0.0
2004-05-12,874.0,0.0
2004-05-19,874.0,0.0
2004-05-26,874.0,0.0
2004-06-02,874.0,0.0
2004-06-09,874.0,0.0
2004-06-16,874.0,0.0
2004-06-23,874.0,0.0
2004-06-30,874.0,0.0
2004-07-07,874.0,0.0
2004-07-14,874.0,0.0
2004-07-21,874.0,0.0
2004-07-28,874.0,0.0
2004-08-04,874.0,0.0
2004-08-11,874.0,0.0
2004-08-18,874.0,0.0
2004-08-25,874.0,0.0
2004-09-01,874.0,0.0
2004-09-08,874.0,0.0
2004-09-15,874.0,0.0
2004-09-22,874.0,0.0
2004-09-29,874.0,0.0
2004-10-06,874.0,0.0
2004-10-13,874.0,0.0
2004-10-20,874.0,0.0
2004-10-27,874.0,0.0
2004-11-03,874.0,0.0
2004-11-10,874.0,0.0
2004-11-17,874.0,0.0
2004-11-24,874.0,0.0
2004-12-01,874.0,0.0
2004-12-08,874.0,0.0
2004-12-15,874.0,0.0
2004-12-22,874.0,0.0
2004-12-29,874.0,0.0
