Date,Values,Delta Calculations
2002-12-18,330896.0, 
2002-12-25,330493.0,-403.0
2003-01-01,330195.0,-298.0
2003-01-08,330268.0,73.0
2003-01-15,330237.0,-31.0
2003-01-22,331278.0,1041.0
2003-01-29,332327.0,1049.0
2003-02-05,333391.0,1064.0
2003-02-12,334391.0,1000.0
2003-02-19,334983.0,592.0
2003-02-26,335094.0,111.0
2003-03-05,336007.0,913.0
2003-03-12,337019.0,1012.0
2003-03-19,337229.0,210.0
2003-03-26,338137.0,908.0
2003-04-02,338762.0,625.0
2003-04-09,338293.0,-469.0
2003-04-16,337792.0,-501.0
2003-04-23,337401.0,-391.0
2003-04-30,336220.0,-1181.0
2003-05-07,335826.0,-394.0
2003-05-14,335692.0,-134.0
2003-05-21,334120.0,-1572.0
2003-05-28,333769.0,-351.0
2003-06-04,333172.0,-597.0
2003-06-11,332783.0,-389.0
2003-06-18,331797.0,-986.0
2003-06-25,332011.0,214.0
2003-07-02,332520.0,509.0
2003-07-09,332357.0,-163.0
2003-07-16,332556.0,199.0
2003-07-23,332006.0,-550.0
2003-07-30,332601.0,595.0
2003-08-06,333179.0,578.0
2003-08-13,333820.0,641.0
2003-08-20,332447.0,-1373.0
2003-08-27,332273.0,-174.0
2003-09-03,332008.0,-265.0
2003-09-10,331843.0,-165.0
2003-09-17,330263.0,-1580.0
2003-09-24,329912.0,-351.0
2003-10-01,329533.0,-379.0
2003-10-08,329190.0,-343.0
2003-10-15,328920.0,-270.0
2003-10-22,327273.0,-1647.0
2003-10-29,326788.0,-485.0
2003-11-05,326470.0,-318.0
2003-11-12,326176.0,-294.0
2003-11-19,326172.0,-4.0
2003-11-26,327133.0,961.0
2003-12-03,327739.0,606.0
2003-12-10,328094.0,355.0
2003-12-17,327074.0,-1020.0
2003-12-24,326915.0,-159.0
2003-12-31,326690.0,-225.0
2004-01-07,326440.0,-250.0
2004-01-14,324848.0,-1592.0
2004-01-21,324856.0,8.0
2004-01-28,324701.0,-155.0
2004-02-04,324691.0,-10.0
2004-02-11,324927.0,236.0
2004-02-18,324977.0,50.0
2004-02-25,323815.0,-1162.0
2004-03-03,324067.0,252.0
2004-03-10,324147.0,80.0
2004-03-17,324121.0,-26.0
2004-03-24,323134.0,-987.0
2004-03-31,323122.0,-12.0
2004-04-07,323270.0,148.0
2004-04-14,323294.0,24.0
2004-04-21,323155.0,-139.0
2004-04-28,322084.0,-1071.0
2004-05-05,321884.0,-200.0
2004-05-12,321524.0,-360.0
2004-05-19,320405.0,-1119.0
2004-05-26,320034.0,-371.0
2004-06-02,319760.0,-274.0
2004-06-09,319431.0,-329.0
2004-06-16,319100.0,-331.0
2004-06-23,318136.0,-964.0
2004-06-30,317788.0,-348.0
2004-07-07,317556.0,-232.0
2004-07-14,317210.0,-346.0
2004-07-21,316043.0,-1167.0
2004-07-28,315791.0,-252.0
2004-08-04,316302.0,511.0
2004-08-11,316341.0,39.0
2004-08-18,316483.0,142.0
2004-08-25,317193.0,710.0
2004-09-01,317869.0,676.0
2004-09-08,318054.0,185.0
2004-09-15,318366.0,312.0
2004-09-22,318605.0,239.0
2004-09-29,320002.0,1397.0
2004-10-06,320395.0,393.0
2004-10-13,321213.0,818.0
2004-10-20,321316.0,103.0
2004-10-27,322039.0,723.0
2004-11-03,324350.0,2311.0
2004-11-10,326702.0,2352.0
2004-11-17,326180.0,-522.0
2004-11-24,327685.0,1505.0
2004-12-01,329523.0,1838.0
2004-12-08,333254.0,3731.0
2004-12-15,335673.0,2419.0
2004-12-22,337710.0,2037.0
2004-12-29,337298.0,-412.0
2005-01-05,338117.0,819.0
2005-01-12,340560.0,2443.0
2005-01-19,341123.0,563.0
2005-01-26,341618.0,495.0
2005-02-02,341740.0,122.0
2005-02-09,342006.0,266.0
2005-02-16,341278.0,-728.0
2005-02-23,341176.0,-102.0
2005-03-02,340823.0,-353.0
2005-03-09,340639.0,-184.0
2005-03-16,339910.0,-729.0
2005-03-23,339578.0,-332.0
2005-03-30,339212.0,-366.0
2005-04-06,338897.0,-315.0
2005-04-13,338676.0,-221.0
2005-04-20,337746.0,-930.0
2005-04-27,337541.0,-205.0
2005-05-04,338327.0,786.0
2005-05-11,338368.0,41.0
2005-05-18,338053.0,-315.0
2005-05-25,337960.0,-93.0
2005-06-01,337994.0,34.0
2005-06-08,337605.0,-389.0
2005-06-15,337344.0,-261.0
2005-06-22,336451.0,-893.0
2005-06-29,336214.0,-237.0
2005-07-06,336059.0,-155.0
2005-07-13,335861.0,-198.0
2005-07-20,334900.0,-961.0
2005-07-27,334606.0,-294.0
2005-08-03,334260.0,-346.0
2005-08-10,333941.0,-319.0
2005-08-17,333015.0,-926.0
2005-08-24,332797.0,-218.0
2005-08-31,332546.0,-251.0
2005-09-07,332379.0,-167.0
2005-09-14,332268.0,-111.0
2005-09-21,331338.0,-930.0
2005-09-28,331047.0,-291.0
2005-10-05,330843.0,-204.0
2005-10-12,330836.0,-7.0
2005-10-19,330274.0,-562.0
2005-10-26,330011.0,-263.0
2005-11-02,329939.0,-72.0
