Date,Values,Delta Calculations
2002-12-18,499.0, 
2002-12-25,502.0,3.0
2003-01-01,510.0,8.0
2003-01-08,508.0,-2.0
2003-01-15,514.0,6.0
2003-01-22,518.0,4.0
2003-01-29,522.0,4.0
2003-02-05,477.0,-45.0
2003-02-12,472.0,-5.0
2003-02-19,477.0,5.0
2003-02-26,481.0,4.0
2003-03-05,485.0,4.0
2003-03-12,487.0,2.0
2003-03-19,471.0,-16.0
2003-03-26,474.0,3.0
2003-04-02,478.0,4.0
2003-04-09,474.0,-4.0
2003-04-16,479.0,5.0
2003-04-23,480.0,1.0
2003-04-30,488.0,8.0
2003-05-07,497.0,9.0
2003-05-14,502.0,5.0
2003-05-21,505.0,3.0
2003-05-28,503.0,-2.0
2003-06-04,503.0,0.0
2003-06-11,506.0,3.0
2003-06-18,503.0,-3.0
2003-06-25,502.0,-1.0
2003-07-02,499.0,-3.0
2003-07-09,495.0,-4.0
2003-07-16,492.0,-3.0
2003-07-23,498.0,6.0
2003-07-30,492.0,-6.0
2003-08-06,492.0,0.0
2003-08-13,494.0,2.0
2003-08-20,490.0,-4.0
2003-08-27,487.0,-3.0
2003-09-03,488.0,1.0
2003-09-10,495.0,7.0
2003-09-17,498.0,3.0
2003-09-24,513.0,15.0
2003-10-01,521.0,8.0
2003-10-08,526.0,5.0
2003-10-15,522.0,-4.0
2003-10-22,527.0,5.0
2003-10-29,526.0,-1.0
2003-11-05,517.0,-9.0
2003-11-12,525.0,8.0
2003-11-19,530.0,5.0
2003-11-26,530.0,0.0
2003-12-03,537.0,7.0
2003-12-10,539.0,2.0
2003-12-17,546.0,7.0
2003-12-24,548.0,2.0
2003-12-31,552.0,4.0
2004-01-07,556.0,4.0
2004-01-14,559.0,3.0
2004-01-21,554.0,-5.0
2004-01-28,586.0,32.0
2004-02-04,584.0,-2.0
2004-02-11,591.0,7.0
2004-02-18,589.0,-2.0
2004-02-25,575.0,-14.0
2004-03-03,562.0,-13.0
2004-03-10,564.0,2.0
2004-03-17,569.0,5.0
2004-03-24,575.0,6.0
2004-03-31,582.0,7.0
2004-04-07,576.0,-6.0
2004-04-14,563.0,-13.0
2004-04-21,558.0,-5.0
2004-04-28,557.0,-1.0
2004-05-05,569.0,12.0
2004-05-12,552.0,-17.0
2004-05-19,556.0,4.0
2004-05-26,560.0,4.0
2004-06-02,568.0,8.0
