Date,Values,Delta Calculations
2002-12-18,522.0, 
2002-12-25,522.0,0.0
2003-01-01,522.0,0.0
2003-01-08,522.0,0.0
2003-01-15,522.0,0.0
2003-01-22,522.0,0.0
2003-01-29,522.0,0.0
2003-02-05,522.0,0.0
2003-02-12,522.0,0.0
2003-02-19,522.0,0.0
2003-02-26,522.0,0.0
2003-03-05,522.0,0.0
2003-03-12,522.0,0.0
2003-03-19,522.0,0.0
2003-03-26,522.0,0.0
2003-04-02,522.0,0.0
2003-04-09,477.0,-45.0
2003-04-16,477.0,0.0
2003-04-23,477.0,0.0
2003-04-30,477.0,0.0
2003-05-07,477.0,0.0
2003-05-14,477.0,0.0
2003-05-21,477.0,0.0
2003-05-28,477.0,0.0
2003-06-04,477.0,0.0
2003-06-11,477.0,0.0
2003-06-18,477.0,0.0
2003-06-25,477.0,0.0
2003-07-02,477.0,0.0
2003-07-09,477.0,0.0
2003-07-16,477.0,0.0
2003-07-23,477.0,0.0
2003-07-30,477.0,0.0
2003-08-06,477.0,0.0
2003-08-13,477.0,0.0
2003-08-20,477.0,0.0
2003-08-27,477.0,0.0
2003-09-03,477.0,0.0
2003-09-10,477.0,0.0
2003-09-17,477.0,0.0
2003-09-24,477.0,0.0
2003-10-01,477.0,0.0
2003-10-08,477.0,0.0
2003-10-15,477.0,0.0
2003-10-22,477.0,0.0
2003-10-29,477.0,0.0
2003-11-05,477.0,0.0
2003-11-12,477.0,0.0
2003-11-19,477.0,0.0
2003-11-26,477.0,0.0
2003-12-03,477.0,0.0
2003-12-10,477.0,0.0
2003-12-17,477.0,0.0
2003-12-24,477.0,0.0
2003-12-31,477.0,0.0
2004-01-07,477.0,0.0
2004-01-14,477.0,0.0
2004-01-21,477.0,0.0
2004-01-28,477.0,0.0
2004-02-04,477.0,0.0
2004-02-11,477.0,0.0
2004-02-18,477.0,0.0
2004-02-25,477.0,0.0
2004-03-03,477.0,0.0
2004-03-10,477.0,0.0
2004-03-17,477.0,0.0
2004-03-24,477.0,0.0
2004-03-31,477.0,0.0
