Date,Values,Delta Calculations
2002-12-18,17680.0, 
2002-12-25,17680.0,0.0
2003-01-01,17680.0,0.0
2003-01-08,17680.0,0.0
2003-01-15,17680.0,0.0
2003-01-22,17680.0,0.0
2003-01-29,17680.0,0.0
2003-02-05,17680.0,0.0
2003-02-12,17723.0,43.0
2003-02-19,17748.0,25.0
2003-02-26,17986.0,238.0
2003-03-05,18021.0,35.0
2003-03-12,18040.0,19.0
2003-03-19,18075.0,35.0
2003-03-26,18106.0,31.0
2003-04-02,18150.0,44.0
2003-04-09,18115.0,-35.0
2003-04-16,18135.0,20.0
2003-04-23,18141.0,6.0
2003-04-30,18168.0,27.0
2003-05-07,18190.0,22.0
2003-05-14,18217.0,27.0
2003-05-21,18270.0,53.0
2003-05-28,18279.0,9.0
2003-06-04,18320.0,41.0
2003-06-11,18336.0,16.0
2003-06-18,18361.0,25.0
2003-06-25,18367.0,6.0
2003-07-02,18395.0,28.0
2003-07-09,18403.0,8.0
2003-07-16,18422.0,19.0
2003-07-23,18433.0,11.0
2003-07-30,18436.0,3.0
2003-08-06,18448.0,12.0
2003-08-13,18468.0,20.0
2003-08-20,18486.0,18.0
2003-08-27,18497.0,11.0
2003-09-03,18517.0,20.0
2003-09-10,18535.0,18.0
2003-09-17,18562.0,27.0
2003-09-24,18565.0,3.0
2003-10-01,18580.0,15.0
2003-10-08,18585.0,5.0
2003-10-15,18601.0,16.0
2003-10-22,18621.0,20.0
2003-10-29,18634.0,13.0
2003-11-05,18649.0,15.0
2003-11-12,18671.0,22.0
2003-11-19,18684.0,13.0
2003-11-26,18707.0,23.0
2003-12-03,18717.0,10.0
2003-12-10,18746.0,29.0
2003-12-17,18773.0,27.0
2003-12-24,18794.0,21.0
2003-12-31,18828.0,34.0
2004-01-07,18833.0,5.0
2004-01-14,18840.0,7.0
2004-01-21,18843.0,3.0
2004-01-28,18862.0,19.0
2004-02-04,18880.0,18.0
2004-02-11,18906.0,26.0
2004-02-18,18922.0,16.0
2004-02-25,18929.0,7.0
2004-03-03,18937.0,8.0
2004-03-10,18947.0,10.0
2004-03-17,18954.0,7.0
2004-03-24,18954.0,0.0
2004-03-31,18960.0,6.0
2004-04-07,18752.0,-208.0
2004-04-14,18783.0,31.0
2004-04-21,18798.0,15.0
2004-04-28,18907.0,109.0
2004-05-05,19013.0,106.0
2004-05-12,19013.0,0.0
2004-05-19,19019.0,6.0
2004-05-26,19034.0,15.0
2004-06-02,19037.0,3.0
2004-06-09,19146.0,109.0
2004-06-16,19147.0,1.0
2004-06-23,19160.0,13.0
2004-06-30,19328.0,168.0
2004-07-07,19364.0,36.0
2004-07-14,19395.0,31.0
2004-07-21,19400.0,5.0
2004-07-28,19400.0,0.0
2004-08-04,19400.0,0.0
2004-08-11,19400.0,0.0
2004-08-18,19400.0,0.0
2004-08-25,19406.0,6.0
2004-09-01,19406.0,0.0
2004-09-08,19408.0,2.0
2004-09-15,19411.0,3.0
2004-09-22,19537.0,126.0
2004-09-29,19539.0,2.0
2004-10-06,19674.0,135.0
2004-10-13,19676.0,2.0
2004-10-20,19691.0,15.0
2004-10-27,19700.0,9.0
2004-11-03,19715.0,15.0
2004-11-10,19740.0,25.0
2004-11-17,19741.0,1.0
2004-11-24,19852.0,111.0
2004-12-01,19949.0,97.0
2004-12-08,19969.0,20.0
2004-12-15,19979.0,10.0
2004-12-22,19979.0,0.0
2004-12-29,19987.0,8.0
2005-01-05,19987.0,0.0
2005-01-12,19987.0,0.0
2005-01-19,19987.0,0.0
2005-01-26,19987.0,0.0
2005-02-02,19990.0,3.0
2005-02-09,19990.0,0.0
2005-02-16,19990.0,0.0
2005-02-23,19990.0,0.0
2005-03-02,19990.0,0.0
2005-03-09,19990.0,0.0
2005-03-16,19990.0,0.0
2005-03-23,19990.0,0.0
2005-03-30,19990.0,0.0
2005-04-06,19990.0,0.0
2005-04-13,20072.0,82.0
2005-04-20,20072.0,0.0
2005-04-27,20072.0,0.0
2005-05-04,20072.0,0.0
2005-05-11,20168.0,96.0
2005-05-18,20170.0,2.0
2005-05-25,20187.0,17.0
2005-06-01,20225.0,38.0
2005-06-08,20225.0,0.0
2005-06-15,20225.0,0.0
2005-06-22,20225.0,0.0
2005-06-29,20225.0,0.0
2005-07-06,20225.0,0.0
2005-07-13,20225.0,0.0
2005-07-20,20225.0,0.0
2005-07-27,20225.0,0.0
2005-08-03,20225.0,0.0
2005-08-10,20225.0,0.0
2005-08-17,20320.0,95.0
2005-08-24,20415.0,95.0
2005-08-31,20435.0,20.0
2005-09-07,20436.0,1.0
2005-09-14,20440.0,4.0
2005-09-21,20447.0,7.0
2005-09-28,20566.0,119.0
2005-10-05,20589.0,23.0
2005-10-12,20593.0,4.0
2005-10-19,20617.0,24.0
2005-10-26,20655.0,38.0
2005-11-02,20665.0,10.0
2005-11-09,20683.0,18.0
2005-11-16,20683.0,0.0
2005-11-23,20702.0,19.0
2005-11-30,20702.0,0.0
2005-12-07,20702.0,0.0
2005-12-14,20702.0,0.0
2005-12-21,20702.0,0.0
2005-12-28,20702.0,0.0
2006-01-04,20702.0,0.0
2006-01-11,20726.0,24.0
2006-01-18,20822.0,96.0
2006-01-25,20822.0,0.0
2006-02-01,20823.0,1.0
2006-02-08,20824.0,1.0
2006-02-15,20922.0,98.0
2006-02-22,20922.0,0.0
2006-03-01,20922.0,0.0
2006-03-08,20922.0,0.0
2006-03-15,20922.0,0.0
2006-03-22,20922.0,0.0
2006-03-29,21015.0,93.0
2006-04-05,21015.0,0.0
2006-04-12,21015.0,0.0
2006-04-19,22875.0,1860.0
2006-04-26,22875.0,0.0
2006-05-03,22875.0,0.0
2006-05-10,22875.0,0.0
