Date,Values,Delta Calculations
2002-12-18,49851.0, 
2002-12-25,49850.0,-1.0
2003-01-01,49847.0,-3.0
2003-01-08,49846.0,-1.0
2003-01-15,49844.0,-2.0
2003-01-22,49841.0,-3.0
2003-01-29,49839.0,-2.0
2003-02-05,49836.0,-3.0
2003-02-12,49956.0,120.0
2003-02-19,49978.0,22.0
2003-02-26,50351.0,373.0
2003-03-05,50443.0,92.0
2003-03-12,50566.0,123.0
2003-03-19,50660.0,94.0
2003-03-26,50741.0,81.0
2003-04-02,50783.0,42.0
2003-04-09,50351.0,-432.0
2003-04-16,50482.0,131.0
2003-04-23,50488.0,6.0
2003-04-30,50514.0,26.0
2003-05-07,50535.0,21.0
2003-05-14,50561.0,26.0
2003-05-21,50777.0,216.0
2003-05-28,50785.0,8.0
2003-06-04,50824.0,39.0
2003-06-11,50837.0,13.0
2003-06-18,50859.0,22.0
2003-06-25,50863.0,4.0
2003-07-02,50888.0,25.0
2003-07-09,50894.0,6.0
2003-07-16,50910.0,16.0
2003-07-23,50919.0,9.0
2003-07-30,50919.0,0.0
2003-08-06,50930.0,11.0
2003-08-13,50947.0,17.0
2003-08-20,50960.0,13.0
2003-08-27,50970.0,10.0
2003-09-03,51002.0,32.0
2003-09-10,51123.0,121.0
2003-09-17,51148.0,25.0
2003-09-24,51150.0,2.0
2003-10-01,51161.0,11.0
2003-10-08,51166.0,5.0
2003-10-15,51184.0,18.0
2003-10-22,51198.0,14.0
2003-10-29,51351.0,153.0
2003-11-05,51363.0,12.0
2003-11-12,51472.0,109.0
2003-11-19,51657.0,185.0
2003-11-26,51800.0,143.0
2003-12-03,51854.0,54.0
2003-12-10,51879.0,25.0
2003-12-17,51904.0,25.0
2003-12-24,51922.0,18.0
2003-12-31,51953.0,31.0
2004-01-07,51955.0,2.0
2004-01-14,51959.0,4.0
2004-01-21,51993.0,34.0
2004-01-28,51974.0,-19.0
2004-02-04,51989.0,15.0
2004-02-11,52189.0,200.0
2004-02-18,52261.0,72.0
2004-02-25,52322.0,61.0
2004-03-03,52326.0,4.0
2004-03-10,52444.0,118.0
2004-03-17,52450.0,6.0
2004-03-24,52518.0,68.0
2004-03-31,52522.0,4.0
2004-04-07,51922.0,-600.0
2004-04-14,51952.0,30.0
2004-04-21,51966.0,14.0
2004-04-28,52073.0,107.0
2004-05-05,52178.0,105.0
2004-05-12,52177.0,-1.0
2004-05-19,52309.0,132.0
2004-05-26,52387.0,78.0
2004-06-02,52448.0,61.0
2004-06-09,52632.0,184.0
2004-06-16,52717.0,85.0
2004-06-23,52724.0,7.0
2004-06-30,52888.0,164.0
2004-07-07,52972.0,84.0
2004-07-14,53158.0,186.0
2004-07-21,53257.0,99.0
2004-07-28,53367.0,110.0
2004-08-04,53360.0,-7.0
2004-08-11,53359.0,-1.0
2004-08-18,53436.0,77.0
2004-08-25,53436.0,0.0
2004-09-01,53433.0,-3.0
2004-09-08,53430.0,-3.0
2004-09-15,53493.0,63.0
2004-09-22,53682.0,189.0
2004-09-29,53717.0,35.0
2004-10-06,53938.0,221.0
2004-10-13,53937.0,-1.0
2004-10-20,54029.0,92.0
2004-10-27,54335.0,306.0
2004-11-03,54444.0,109.0
2004-11-10,54503.0,59.0
2004-11-17,54590.0,87.0
2004-11-24,54696.0,106.0
2004-12-01,54789.0,93.0
2004-12-08,55105.0,316.0
2004-12-15,55149.0,44.0
2004-12-22,55149.0,0.0
2004-12-29,55156.0,7.0
2005-01-05,55152.0,-4.0
2005-01-12,55149.0,-3.0
2005-01-19,55148.0,-1.0
2005-01-26,55143.0,-5.0
2005-02-02,55158.0,15.0
2005-02-09,55153.0,-5.0
2005-02-16,55146.0,-7.0
2005-02-23,55141.0,-5.0
2005-03-02,55110.0,-31.0
2005-03-09,55107.0,-3.0
2005-03-16,55104.0,-3.0
2005-03-23,55102.0,-2.0
2005-03-30,55104.0,2.0
2005-04-06,55080.0,-24.0
2005-04-13,55306.0,226.0
2005-04-20,55307.0,1.0
2005-04-27,55397.0,90.0
2005-05-04,55456.0,59.0
2005-05-11,55623.0,167.0
2005-05-18,55624.0,1.0
2005-05-25,55726.0,102.0
2005-06-01,55927.0,201.0
2005-06-08,55927.0,0.0
2005-06-15,55926.0,-1.0
2005-06-22,55966.0,40.0
2005-06-29,55964.0,-2.0
2005-07-06,55862.0,-102.0
2005-07-13,55859.0,-3.0
2005-07-20,55855.0,-4.0
2005-07-27,55851.0,-4.0
2005-08-03,55846.0,-5.0
2005-08-10,55842.0,-4.0
2005-08-17,56036.0,194.0
2005-08-24,56203.0,167.0
2005-08-31,56260.0,57.0
2005-09-07,56283.0,23.0
2005-09-14,56473.0,190.0
2005-09-21,56479.0,6.0
2005-09-28,56679.0,200.0
2005-10-05,56794.0,115.0
2005-10-12,56792.0,-2.0
2005-10-19,56815.0,23.0
2005-10-26,56927.0,112.0
2005-11-02,57015.0,88.0
2005-11-09,57095.0,80.0
2005-11-16,57177.0,82.0
2005-11-23,57283.0,106.0
2005-11-30,57267.0,-16.0
2005-12-07,57265.0,-2.0
2005-12-14,57266.0,1.0
2005-12-21,57263.0,-3.0
2005-12-28,57264.0,1.0
2006-01-04,57158.0,-106.0
2006-01-11,57282.0,124.0
2006-01-18,57853.0,571.0
2006-01-25,57439.0,-414.0
2006-02-01,57602.0,163.0
2006-02-08,57599.0,-3.0
2006-02-15,57781.0,182.0
2006-02-22,57870.0,89.0
2006-03-01,58040.0,170.0
2006-03-08,58104.0,64.0
2006-03-15,58225.0,121.0
2006-03-22,58226.0,1.0
2006-03-29,58319.0,93.0
2006-04-05,58320.0,1.0
2006-04-12,59633.0,1313.0
2006-04-19,63483.0,3850.0
2006-04-26,63572.0,89.0
2006-05-03,63571.0,-1.0
2006-05-10,63572.0,1.0
2006-05-17,63557.0,-15.0
2006-05-24,63783.0,226.0
2006-05-31,63778.0,-5.0
