Date,Values,Delta Calculations
2002-12-18,468.0, 
2002-12-25,510.0,42.0
2003-01-01,492.0,-18.0
2003-01-08,533.0,41.0
2003-01-15,537.0,4.0
2003-01-22,570.0,33.0
2003-01-29,604.0,34.0
2003-02-05,607.0,3.0
2003-02-12,639.0,32.0
2003-02-19,420.0,-219.0
2003-02-26,415.0,-5.0
2003-03-05,416.0,1.0
2003-03-12,452.0,36.0
2003-03-19,467.0,15.0
2003-03-26,502.0,35.0
2003-04-02,498.0,-4.0
2003-04-09,512.0,14.0
2003-04-16,512.0,0.0
2003-04-23,543.0,31.0
2003-04-30,541.0,-2.0
2003-05-07,576.0,35.0
2003-05-14,604.0,28.0
2003-05-21,356.0,-248.0
2003-05-28,385.0,29.0
2003-06-04,389.0,4.0
2003-06-11,418.0,29.0
2003-06-18,435.0,17.0
2003-06-25,463.0,28.0
2003-07-02,461.0,-2.0
2003-07-09,493.0,32.0
2003-07-16,489.0,-4.0
2003-07-23,521.0,32.0
2003-07-30,551.0,30.0
2003-08-06,555.0,4.0
2003-08-13,589.0,34.0
2003-08-20,341.0,-248.0
2003-08-27,372.0,31.0
2003-09-03,374.0,2.0
2003-09-10,399.0,25.0
2003-09-17,417.0,18.0
2003-09-24,444.0,27.0
2003-10-01,455.0,11.0
2003-10-08,484.0,29.0
2003-10-15,481.0,-3.0
2003-10-22,510.0,29.0
2003-10-29,541.0,31.0
2003-11-05,547.0,6.0
2003-11-12,576.0,29.0
2003-11-19,326.0,-250.0
2003-11-26,358.0,32.0
2003-12-03,358.0,0.0
2003-12-10,386.0,28.0
2003-12-17,410.0,24.0
2003-12-24,443.0,33.0
2003-12-31,446.0,3.0
2004-01-07,477.0,31.0
2004-01-14,510.0,33.0
2004-01-21,501.0,-9.0
2004-01-28,527.0,26.0
2004-02-04,542.0,15.0
2004-02-11,574.0,32.0
2004-02-18,330.0,-244.0
2004-02-25,356.0,26.0
2004-03-03,367.0,11.0
2004-03-10,389.0,22.0
2004-03-17,406.0,17.0
2004-03-24,434.0,28.0
2004-03-31,441.0,7.0
2004-04-07,475.0,34.0
2004-04-14,504.0,29.0
2004-04-21,497.0,-7.0
2004-04-28,526.0,29.0
2004-05-05,538.0,12.0
2004-05-12,564.0,26.0
2004-05-19,324.0,-240.0
2004-05-26,344.0,20.0
2004-06-02,362.0,18.0
2004-06-09,388.0,26.0
2004-06-16,399.0,11.0
2004-06-23,425.0,26.0
2004-06-30,435.0,10.0
