Date,Values,Delta Calculations
2009-01-14,561.0, 
2009-01-21,596.0,35.0
2009-01-28,734.0,138.0
2009-02-04,734.0,0.0
2009-02-11,734.0,0.0
2009-02-18,6496.0,5762.0
2009-02-25,6840.0,344.0
2009-03-04,6856.0,16.0
2009-03-11,6861.0,5.0
2009-03-18,23530.0,16669.0
2009-03-25,23497.0,-33.0
2009-04-01,23545.0,48.0
2009-04-08,23546.0,1.0
2009-04-15,35385.0,11839.0
2009-04-22,44290.0,8905.0
2009-04-29,44116.0,-174.0
2009-05-06,44076.0,-40.0
2009-05-13,51995.0,7919.0
2009-05-20,51987.0,-8.0
2009-05-27,51514.0,-473.0
2009-06-03,51524.0,10.0
2009-06-10,51498.0,-26.0
2009-06-17,54937.0,3439.0
2009-06-24,56294.0,1357.0
2009-07-01,55718.0,-576.0
2009-07-08,55719.0,1.0
2009-07-15,63426.0,7707.0
2009-07-22,65721.0,2295.0
2009-07-29,65410.0,-311.0
2009-08-05,65410.0,0.0
2009-08-12,65410.0,0.0
2009-08-19,73440.0,8030.0
2009-08-26,75047.0,1607.0
2009-09-02,75334.0,287.0
2009-09-09,75337.0,3.0
2009-09-16,82540.0,7203.0
2009-09-23,83569.0,1029.0
2009-09-30,83420.0,-149.0
2009-10-07,83411.0,-9.0
2009-10-14,91412.0,8001.0
2009-10-21,93602.0,2190.0
2009-10-28,93264.0,-338.0
2009-11-04,93304.0,40.0
2009-11-11,93446.0,142.0
2009-11-18,102057.0,8611.0
2009-11-25,102669.0,612.0
2009-12-02,102675.0,6.0
2009-12-09,102933.0,258.0
2009-12-16,108586.0,5653.0
2009-12-23,109695.0,1109.0
2009-12-30,109432.0,-263.0
2010-01-06,109490.0,58.0
2010-01-13,116702.0,7212.0
2010-01-20,116980.0,278.0
2010-01-27,116839.0,-141.0
2010-02-03,116911.0,72.0
2010-02-10,117699.0,788.0
2010-02-17,123564.0,5865.0
2010-02-24,124409.0,845.0
2010-03-03,123719.0,-690.0
2010-03-10,124001.0,282.0
2010-03-17,128491.0,4490.0
2010-03-24,129378.0,887.0
2010-03-31,128763.0,-615.0
2010-04-07,128768.0,5.0
2010-04-14,132761.0,3993.0
2010-04-21,104273.0,-28488.0
2010-04-28,103751.0,-522.0
2010-05-05,103846.0,95.0
2010-05-12,103935.0,89.0
2010-05-19,105934.0,1999.0
2010-05-26,105312.0,-622.0
2010-06-02,105379.0,67.0
2010-06-09,105384.0,5.0
2010-06-16,106702.0,1318.0
2010-06-23,106802.0,100.0
2010-06-30,105806.0,-996.0
2010-07-07,105821.0,15.0
2010-07-14,106793.0,972.0
2010-07-21,106417.0,-376.0
2010-07-28,105744.0,-673.0
2010-08-04,105769.0,25.0
2010-08-11,105932.0,163.0
2010-08-18,105322.0,-610.0
2010-08-25,104390.0,-932.0
2010-09-01,104390.0,0.0
2010-09-08,104390.0,0.0
2010-09-15,103355.0,-1035.0
2010-09-22,103321.0,-34.0
2010-09-29,102060.0,-1261.0
2010-10-06,102060.0,0.0
2010-10-13,102060.0,0.0
2010-10-20,100849.0,-1211.0
2010-10-27,99457.0,-1392.0
2010-11-03,99457.0,0.0
2010-11-10,99457.0,0.0
2010-11-17,98250.0,-1207.0
2010-11-24,98205.0,-45.0
2010-12-01,96771.0,-1434.0
2010-12-08,96771.0,0.0
2010-12-15,95465.0,-1306.0
2010-12-22,95423.0,-42.0
2010-12-29,93884.0,-1539.0
2011-01-05,93884.0,0.0
2011-01-12,93884.0,0.0
2011-01-19,92750.0,-1134.0
2011-01-26,91323.0,-1427.0
2011-02-02,91323.0,0.0
2011-02-09,91323.0,0.0
2011-02-16,90695.0,-628.0
2011-02-23,90672.0,-23.0
2011-03-02,89795.0,-877.0
2011-03-09,89795.0,0.0
2011-03-16,89338.0,-457.0
2011-03-23,89314.0,-24.0
2011-03-30,88681.0,-633.0
2011-04-06,88681.0,0.0
2011-04-13,88681.0,0.0
2011-04-20,69378.0,-19303.0
2011-04-27,68917.0,-461.0
2011-05-04,68917.0,0.0
2011-05-11,68917.0,0.0
2011-05-18,68661.0,-256.0
2011-05-25,68236.0,-425.0
2011-06-01,68236.0,0.0
2011-06-08,68236.0,0.0
2011-06-15,67987.0,-249.0
2011-06-22,67973.0,-14.0
2011-06-29,67567.0,-406.0
