Date,Values,Delta Calculations
2002-12-18,2177.0, 
2002-12-25,4700.0,2523.0
2003-01-01,4069.0,-631.0
2003-01-08,2062.0,-2007.0
2003-01-15,4726.0,2664.0
2003-01-22,3668.0,-1058.0
2003-01-29,1788.0,-1880.0
2003-02-05,3165.0,1377.0
2003-02-12,2965.0,-200.0
2003-02-19,2551.0,-414.0
2003-02-26,2660.0,109.0
2003-03-05,1968.0,-692.0
2003-03-12,2008.0,40.0
2003-03-19,2568.0,560.0
2003-03-26,4943.0,2375.0
2003-04-02,2285.0,-2658.0
2003-04-09,2532.0,247.0
2003-04-16,2970.0,438.0
2003-04-23,6068.0,3098.0
2003-04-30,2604.0,-3464.0
2003-05-07,3244.0,640.0
2003-05-14,2221.0,-1023.0
2003-05-21,3663.0,1442.0
2003-05-28,2778.0,-885.0
2003-06-04,2991.0,213.0
2003-06-11,3323.0,332.0
2003-06-18,2405.0,-918.0
2003-06-25,2608.0,203.0
2003-07-02,2728.0,120.0
2003-07-09,2289.0,-439.0
2003-07-16,2450.0,161.0
2003-07-23,3317.0,867.0
2003-07-30,3051.0,-266.0
2003-08-06,2483.0,-568.0
2003-08-13,2202.0,-281.0
2003-08-20,3379.0,1177.0
2003-08-27,2236.0,-1143.0
2003-09-03,3968.0,1732.0
2003-09-10,2318.0,-1650.0
2003-09-17,2676.0,358.0
2003-09-24,7013.0,4337.0
2003-10-01,3328.0,-3685.0
2003-10-08,4285.0,957.0
2003-10-15,3133.0,-1152.0
2003-10-22,4040.0,907.0
2003-10-29,3299.0,-741.0
2003-11-05,2527.0,-772.0
2003-11-12,2589.0,62.0
2003-11-19,2601.0,12.0
2003-11-26,3909.0,1308.0
2003-12-03,3203.0,-706.0
2003-12-10,2635.0,-568.0
2003-12-17,3257.0,622.0
2003-12-24,2606.0,-651.0
2003-12-31,2381.0,-225.0
2004-01-07,2397.0,16.0
2004-01-14,2643.0,246.0
2004-01-21,3003.0,360.0
2004-01-28,2981.0,-22.0
2004-02-04,2723.0,-258.0
2004-02-11,2648.0,-75.0
2004-02-18,1860.0,-788.0
2004-02-25,2653.0,793.0
2004-03-03,2377.0,-276.0
2004-03-10,2384.0,7.0
2004-03-17,2401.0,17.0
2004-03-24,1993.0,-408.0
2004-03-31,2359.0,366.0
2004-04-07,1802.0,-557.0
2004-04-14,1934.0,132.0
2004-04-21,1928.0,-6.0
2004-04-28,3453.0,1525.0
2004-05-05,2259.0,-1194.0
2004-05-12,1834.0,-425.0
2004-05-19,1938.0,104.0
2004-05-26,2081.0,143.0
2004-06-02,3028.0,947.0
2004-06-09,1814.0,-1214.0
2004-06-16,1975.0,161.0
2004-06-23,3070.0,1095.0
2004-06-30,3088.0,18.0
2004-07-07,2376.0,-712.0
2004-07-14,2125.0,-251.0
2004-07-21,2401.0,276.0
2004-07-28,2612.0,211.0
2004-08-04,2188.0,-424.0
2004-08-11,1665.0,-523.0
2004-08-18,1592.0,-73.0
2004-08-25,2014.0,422.0
2004-09-01,1703.0,-311.0
2004-09-08,3196.0,1493.0
2004-09-15,2639.0,-557.0
2004-09-22,1742.0,-897.0
2004-09-29,2500.0,758.0
2004-10-06,1666.0,-834.0
2004-10-13,4669.0,3003.0
2004-10-20,1794.0,-2875.0
2004-10-27,2540.0,746.0
2004-11-03,2051.0,-489.0
2004-11-10,1841.0,-210.0
2004-11-17,1843.0,2.0
2004-11-24,1939.0,96.0
2004-12-01,2242.0,303.0
2004-12-08,1892.0,-350.0
2004-12-15,2021.0,129.0
2004-12-22,2043.0,22.0
2004-12-29,1728.0,-315.0
2005-01-05,1702.0,-26.0
2005-01-12,1529.0,-173.0
2005-01-19,2200.0,671.0
2005-01-26,2285.0,85.0
2005-02-02,1945.0,-340.0
2005-02-09,1521.0,-424.0
2005-02-16,1469.0,-52.0
2005-02-23,2364.0,895.0
2005-03-02,1636.0,-728.0
2005-03-09,1499.0,-137.0
2005-03-16,1630.0,131.0
2005-03-23,1763.0,133.0
2005-03-30,1684.0,-79.0
2005-04-06,1394.0,-290.0
2005-04-13,2170.0,776.0
2005-04-20,1530.0,-640.0
2005-04-27,2021.0,491.0
2005-05-04,1612.0,-409.0
2005-05-11,2252.0,640.0
2005-05-18,1339.0,-913.0
2005-05-25,1775.0,436.0
2005-06-01,2420.0,645.0
2005-06-08,1842.0,-578.0
2005-06-15,2159.0,317.0
2005-06-22,2101.0,-58.0
2005-06-29,2271.0,170.0
2005-07-06,2160.0,-111.0
2005-07-13,1573.0,-587.0
2005-07-20,1772.0,199.0
2005-07-27,1970.0,198.0
2005-08-03,2214.0,244.0
2005-08-10,1657.0,-557.0
2005-08-17,1919.0,262.0
2005-08-24,2058.0,139.0
2005-08-31,1769.0,-289.0
2005-09-07,1698.0,-71.0
2005-09-14,1796.0,98.0
2005-09-21,1670.0,-126.0
2005-09-28,1727.0,57.0
2005-10-05,1356.0,-371.0
2005-10-12,2127.0,771.0
2005-10-19,1245.0,-882.0
2005-10-26,1686.0,441.0
2005-11-02,1380.0,-306.0
2005-11-09,1726.0,346.0
2005-11-16,1250.0,-476.0
2005-11-23,2564.0,1314.0
2005-11-30,1547.0,-1017.0
2005-12-07,1858.0,311.0
2005-12-14,1625.0,-233.0
2005-12-21,1857.0,232.0
2005-12-28,2527.0,670.0
2006-01-04,1400.0,-1127.0
2006-01-11,1257.0,-143.0
2006-01-18,1682.0,425.0
