Date,Values,Delta Calculations
2002-12-18,56219.0, 
2002-12-25,56851.0,632.0
2003-01-01,57220.0,369.0
2003-01-08,56422.0,-798.0
2003-01-15,55377.0,-1045.0
2003-01-22,55354.0,-23.0
2003-01-29,55495.0,141.0
2003-02-05,55424.0,-71.0
2003-02-12,55583.0,159.0
2003-02-19,55591.0,8.0
2003-02-26,55005.0,-586.0
2003-03-05,55075.0,70.0
2003-03-12,55180.0,105.0
2003-03-19,55092.0,-88.0
2003-03-26,55205.0,113.0
2003-04-02,55521.0,316.0
2003-04-09,55797.0,276.0
2003-04-16,56007.0,210.0
2003-04-23,56101.0,94.0
2003-04-30,55945.0,-156.0
2003-05-07,56212.0,267.0
2003-05-14,56301.0,89.0
2003-05-21,56168.0,-133.0
2003-05-28,56678.0,510.0
2003-06-04,56666.0,-12.0
2003-06-11,56583.0,-83.0
2003-06-18,56341.0,-242.0
2003-06-25,56387.0,46.0
2003-07-02,56953.0,566.0
2003-07-09,57353.0,400.0
2003-07-16,57399.0,46.0
2003-07-23,57174.0,-225.0
2003-07-30,57364.0,190.0
2003-08-06,57627.0,263.0
2003-08-13,57508.0,-119.0
2003-08-20,57385.0,-123.0
2003-08-27,57531.0,146.0
2003-09-03,58025.0,494.0
2003-09-10,57616.0,-409.0
2003-09-17,57085.0,-531.0
2003-09-24,56841.0,-244.0
2003-10-01,56239.0,-602.0
2003-10-08,56314.0,75.0
2003-10-15,56702.0,388.0
2003-10-22,56146.0,-556.0
2003-10-29,56294.0,148.0
2003-11-05,56986.0,692.0
2003-11-12,57403.0,417.0
2003-11-19,57055.0,-348.0
2003-11-26,57465.0,410.0
2003-12-03,57716.0,251.0
2003-12-10,57645.0,-71.0
2003-12-17,57763.0,118.0
2003-12-24,58733.0,970.0
2003-12-31,59026.0,293.0
2004-01-07,58652.0,-374.0
2004-01-14,58126.0,-526.0
2004-01-21,58318.0,192.0
2004-01-28,58464.0,146.0
2004-02-04,58842.0,378.0
2004-02-11,58906.0,64.0
2004-02-18,59126.0,220.0
2004-02-25,58535.0,-591.0
2004-03-03,58368.0,-167.0
2004-03-10,58474.0,106.0
2004-03-17,58353.0,-121.0
2004-03-24,57755.0,-598.0
2004-03-31,57851.0,96.0
2004-04-07,57948.0,97.0
2004-04-14,58348.0,400.0
2004-04-21,59970.0,1622.0
2004-04-28,60101.0,131.0
2004-05-05,60216.0,115.0
2004-05-12,60387.0,171.0
2004-05-19,60166.0,-221.0
2004-05-26,60338.0,172.0
2004-06-02,60665.0,327.0
2004-06-09,60552.0,-113.0
2004-06-16,60408.0,-144.0
2004-06-23,60004.0,-404.0
2004-06-30,60341.0,337.0
2004-07-07,60820.0,479.0
2004-07-14,60714.0,-106.0
2004-07-21,60039.0,-675.0
2004-07-28,59700.0,-339.0
2004-08-04,59893.0,193.0
2004-08-11,60112.0,219.0
2004-08-18,59630.0,-482.0
2004-08-25,59641.0,11.0
2004-09-01,59897.0,256.0
2004-09-08,60472.0,575.0
2004-09-15,60258.0,-214.0
2004-09-22,60034.0,-224.0
2004-09-29,60611.0,577.0
2004-10-06,60831.0,220.0
2004-10-13,61281.0,450.0
2004-10-20,61215.0,-66.0
2004-10-27,61938.0,723.0
2004-11-03,62408.0,470.0
2004-11-10,63130.0,722.0
2004-11-17,63015.0,-115.0
2004-11-24,63629.0,614.0
2004-12-01,63268.0,-361.0
2004-12-08,63398.0,130.0
2004-12-15,63402.0,4.0
2004-12-22,63821.0,419.0
2004-12-29,63984.0,163.0
2005-01-05,63752.0,-232.0
2005-01-12,63424.0,-328.0
2005-01-19,63247.0,-177.0
2005-01-26,63019.0,-228.0
2005-02-02,63295.0,276.0
2005-02-09,63465.0,170.0
2005-02-16,63322.0,-143.0
2005-02-23,63555.0,233.0
2005-03-02,63520.0,-35.0
2005-03-09,63533.0,13.0
2005-03-16,63534.0,1.0
2005-03-23,63512.0,-22.0
2005-03-30,63810.0,298.0
2005-04-06,63972.0,162.0
2005-04-13,64242.0,270.0
2005-04-20,63715.0,-527.0
2005-04-27,63936.0,221.0
2005-05-04,64017.0,81.0
2005-05-11,64194.0,177.0
2005-05-18,64257.0,63.0
2005-05-25,64958.0,701.0
2005-06-01,65800.0,842.0
2005-06-08,66078.0,278.0
2005-06-15,66226.0,148.0
2005-06-22,66315.0,89.0
2005-06-29,66650.0,335.0
2005-07-06,66974.0,324.0
2005-07-13,66622.0,-352.0
2005-07-20,66002.0,-620.0
2005-07-27,66120.0,118.0
2005-08-03,66159.0,39.0
2005-08-10,66116.0,-43.0
2005-08-17,66223.0,107.0
2005-08-24,66730.0,507.0
2005-08-31,67504.0,774.0
2005-09-07,67843.0,339.0
2005-09-14,67256.0,-587.0
2005-09-21,66614.0,-642.0
2005-09-28,66364.0,-250.0
2005-10-05,66520.0,156.0
2005-10-12,66505.0,-15.0
2005-10-19,66085.0,-420.0
2005-10-26,66118.0,33.0
2005-11-02,66310.0,192.0
2005-11-09,66438.0,128.0
2005-11-16,66495.0,57.0
2005-11-23,66361.0,-134.0
2005-11-30,66132.0,-229.0
2005-12-07,65624.0,-508.0
2005-12-14,65465.0,-159.0
2005-12-21,66181.0,716.0
2005-12-28,66680.0,499.0
2006-01-04,66455.0,-225.0
2006-01-11,65972.0,-483.0
2006-01-18,65475.0,-497.0
2006-01-25,65014.0,-461.0
2006-02-01,65245.0,231.0
2006-02-08,65199.0,-46.0
2006-02-15,65004.0,-195.0
2006-02-22,64512.0,-492.0
2006-03-01,64218.0,-294.0
2006-03-08,64099.0,-119.0
2006-03-15,63977.0,-122.0
2006-03-22,63679.0,-298.0
2006-03-29,63444.0,-235.0
2006-04-05,63274.0,-170.0
2006-04-12,63108.0,-166.0
2006-04-19,62870.0,-238.0
2006-04-26,62312.0,-558.0
2006-05-03,62243.0,-69.0
2006-05-10,62062.0,-181.0
2006-05-17,61585.0,-477.0
2006-05-24,61412.0,-173.0
2006-05-31,61418.0,6.0
2006-06-07,61111.0,-307.0
2006-06-14,60869.0,-242.0
2006-06-21,60581.0,-288.0
2006-06-28,60594.0,13.0
2006-07-05,61152.0,558.0
2006-07-12,60640.0,-512.0
2006-07-19,60312.0,-328.0
2006-07-26,59853.0,-459.0
2006-08-02,59886.0,33.0
2006-08-09,59589.0,-297.0
2006-08-16,59375.0,-214.0
2006-08-23,58589.0,-786.0
2006-08-30,58687.0,98.0
2006-09-06,59014.0,327.0
2006-09-13,58675.0,-339.0
2006-09-20,58527.0,-148.0
2006-09-27,58680.0,153.0
2006-10-04,59565.0,885.0
2006-10-11,59870.0,305.0
2006-10-18,60310.0,440.0
2006-10-25,60851.0,541.0
2006-11-01,61738.0,887.0
2006-11-08,62182.0,444.0
2006-11-15,62765.0,583.0
2006-11-22,63550.0,785.0
2006-11-29,63589.0,39.0
2006-12-06,63871.0,282.0
2006-12-13,64274.0,403.0
2006-12-20,64885.0,611.0
2006-12-27,65641.0,756.0
2007-01-03,65862.0,221.0
2007-01-10,66138.0,276.0
2007-01-17,66296.0,158.0
2007-01-24,66596.0,300.0
2007-01-31,67182.0,586.0
2007-02-07,67224.0,42.0
2007-02-14,67326.0,102.0
2007-02-21,67077.0,-249.0
2007-02-28,67303.0,226.0
2007-03-07,67210.0,-93.0
2007-03-14,67091.0,-119.0
2007-03-21,66869.0,-222.0
2007-03-28,66838.0,-31.0
2007-04-04,67198.0,360.0
2007-04-11,67447.0,249.0
2007-04-18,67133.0,-314.0
2007-04-25,66726.0,-407.0
2007-05-02,66710.0,-16.0
2007-05-09,66611.0,-99.0
2007-05-16,66189.0,-422.0
2007-05-23,66289.0,100.0
2007-05-30,66764.0,475.0
2007-06-06,66651.0,-113.0
2007-06-13,66651.0,0.0
2007-06-20,66294.0,-357.0
2007-06-27,66691.0,397.0
2007-07-04,67486.0,795.0
2007-07-11,66996.0,-490.0
2007-07-18,66592.0,-404.0
2007-07-25,65997.0,-595.0
2007-08-01,66033.0,36.0
2007-08-08,65980.0,-53.0
2007-08-15,65884.0,-96.0
2007-08-22,65423.0,-461.0
2007-08-29,65536.0,113.0
2007-09-05,65774.0,238.0
2007-09-12,65499.0,-275.0
2007-09-19,65009.0,-490.0
2007-09-26,64986.0,-23.0
2007-10-03,65252.0,266.0
2007-10-10,65669.0,417.0
2007-10-17,65936.0,267.0
2007-10-24,65758.0,-178.0
2007-10-31,65923.0,165.0
2007-11-07,66271.0,348.0
2007-11-14,66826.0,555.0
2007-11-21,67020.0,194.0
2007-11-28,66962.0,-58.0
2007-12-05,67566.0,604.0
2007-12-12,70281.0,2715.0
2007-12-19,72501.0,2220.0
2007-12-26,73311.0,810.0
2008-01-02,73431.0,120.0
2008-01-09,72513.0,-918.0
2008-01-16,72015.0,-498.0
2008-01-23,71431.0,-584.0
2008-01-30,71648.0,217.0
2008-02-06,71594.0,-54.0
2008-02-13,71741.0,147.0
2008-02-20,71865.0,124.0
2008-02-27,70832.0,-1033.0
2008-03-05,70800.0,-32.0
2008-03-12,70866.0,66.0
2008-03-19,70800.0,-66.0
2008-03-26,70247.0,-553.0
2008-04-02,70434.0,187.0
2008-04-09,70555.0,121.0
2008-04-16,70524.0,-31.0
2008-04-23,69663.0,-861.0
2008-04-30,69986.0,323.0
2008-05-07,70344.0,358.0
2008-05-14,70501.0,157.0
2008-05-21,69595.0,-906.0
2008-05-28,70300.0,705.0
2008-06-04,70421.0,121.0
2008-06-11,70454.0,33.0
2008-06-18,70370.0,-84.0
2008-06-25,69722.0,-648.0
2008-07-02,70337.0,615.0
2008-07-09,70552.0,215.0
2008-07-16,69936.0,-616.0
2008-07-23,68951.0,-985.0
2008-07-30,69178.0,227.0
2008-08-06,69075.0,-103.0
2008-08-13,68762.0,-313.0
2008-08-20,68320.0,-442.0
2008-08-27,67871.0,-449.0
2008-09-03,68142.0,271.0
2008-09-10,67267.0,-875.0
2008-09-17,66846.0,-421.0
2008-09-24,66208.0,-638.0
2008-10-01,66902.0,694.0
2008-10-08,67502.0,600.0
2008-10-15,67588.0,86.0
2008-10-22,66904.0,-684.0
2008-10-29,67097.0,193.0
2008-11-05,68910.0,1813.0
2008-11-12,71315.0,2405.0
2008-11-19,70935.0,-380.0
2008-11-26,70527.0,-408.0
2008-12-03,70228.0,-299.0
2008-12-10,69953.0,-275.0
2008-12-17,69638.0,-315.0
2008-12-24,70286.0,648.0
2008-12-31,70534.0,248.0
2009-01-07,70231.0,-303.0
2009-01-14,69875.0,-356.0
2009-01-21,69283.0,-592.0
2009-01-28,69196.0,-87.0
2009-02-04,69488.0,292.0
2009-02-11,69668.0,180.0
2009-02-18,70622.0,954.0
2009-02-25,70847.0,225.0
2009-03-04,71882.0,1035.0
2009-03-11,73795.0,1913.0
2009-03-18,74285.0,490.0
2009-03-25,74049.0,-236.0
2009-04-01,74785.0,736.0
2009-04-08,74792.0,7.0
2009-04-15,74803.0,11.0
2009-04-22,74356.0,-447.0
2009-04-29,74471.0,115.0
