Date,Values,Delta Calculations
2002-12-18,74069.0, 
2002-12-25,74069.0,0.0
2003-01-01,74070.0,1.0
2003-01-08,74070.0,0.0
2003-01-15,74070.0,0.0
2003-01-22,74070.0,0.0
2003-01-29,74070.0,0.0
2003-02-05,74069.0,-1.0
2003-02-12,74251.0,182.0
2003-02-19,74288.0,37.0
2003-02-26,74845.0,557.0
2003-03-05,74980.0,135.0
2003-03-12,75165.0,185.0
2003-03-19,75303.0,138.0
2003-03-26,75421.0,118.0
2003-04-02,75490.0,69.0
2003-04-09,65186.0,-10304.0
2003-04-16,65359.0,173.0
2003-04-23,65370.0,11.0
2003-04-30,65408.0,38.0
2003-05-07,65438.0,30.0
2003-05-14,65475.0,37.0
2003-05-21,65757.0,282.0
2003-05-28,65771.0,14.0
2003-06-04,65825.0,54.0
2003-06-11,65846.0,21.0
2003-06-18,65878.0,32.0
2003-06-25,65885.0,7.0
2003-07-02,65921.0,36.0
2003-07-09,65931.0,10.0
2003-07-16,65956.0,25.0
2003-07-23,65969.0,13.0
2003-07-30,65972.0,3.0
2003-08-06,65989.0,17.0
2003-08-13,66015.0,26.0
2003-08-20,66039.0,24.0
2003-08-27,66055.0,16.0
2003-09-03,66081.0,26.0
2003-09-10,66249.0,168.0
2003-09-17,66284.0,35.0
2003-09-24,66289.0,5.0
2003-10-01,66309.0,20.0
2003-10-08,66317.0,8.0
2003-10-15,66339.0,22.0
2003-10-22,66366.0,27.0
2003-10-29,66560.0,194.0
2003-11-05,66581.0,21.0
2003-11-12,66722.0,141.0
2003-11-19,66967.0,245.0
2003-11-26,67150.0,183.0
2003-12-03,67223.0,73.0
2003-12-10,67260.0,37.0
2003-12-17,67295.0,35.0
2003-12-24,67321.0,26.0
2003-12-31,67367.0,46.0
2004-01-07,67372.0,5.0
2004-01-14,67380.0,8.0
2004-01-21,67384.0,4.0
2004-01-28,67407.0,23.0
2004-02-04,67430.0,23.0
2004-02-11,67689.0,259.0
2004-02-18,67783.0,94.0
2004-02-25,67858.0,75.0
2004-03-03,67869.0,11.0
2004-03-10,68011.0,142.0
2004-03-17,68022.0,11.0
2004-03-24,68107.0,85.0
2004-03-31,68116.0,9.0
2004-04-07,60739.0,-7377.0
2004-04-14,60777.0,38.0
2004-04-21,60797.0,20.0
2004-04-28,60928.0,131.0
2004-05-05,61056.0,128.0
2004-05-12,61058.0,2.0
2004-05-19,61219.0,161.0
2004-05-26,61310.0,91.0
2004-06-02,61387.0,77.0
2004-06-09,61608.0,221.0
2004-06-16,61703.0,95.0
2004-06-23,61720.0,17.0
2004-06-30,61919.0,199.0
2004-07-07,61964.0,45.0
2004-07-14,62182.0,218.0
2004-07-21,62361.0,179.0
2004-07-28,62489.0,128.0
2004-08-04,62490.0,1.0
2004-08-11,62492.0,2.0
2004-08-18,62583.0,91.0
2004-08-25,62590.0,7.0
2004-09-01,62592.0,2.0
2004-09-08,62593.0,1.0
2004-09-15,62668.0,75.0
2004-09-22,62889.0,221.0
2004-09-29,62930.0,41.0
2004-10-06,63198.0,268.0
2004-10-13,63201.0,3.0
2004-10-20,63308.0,107.0
2004-10-27,63661.0,353.0
2004-11-03,63787.0,126.0
2004-11-10,63857.0,70.0
2004-11-17,63968.0,111.0
2004-11-24,64099.0,131.0
2004-12-01,64216.0,117.0
2004-12-08,64593.0,377.0
2004-12-15,64646.0,53.0
2004-12-22,64648.0,2.0
2004-12-29,64659.0,11.0
2005-01-05,64660.0,1.0
2005-01-12,64660.0,0.0
2005-01-19,64661.0,1.0
2005-01-26,64661.0,0.0
2005-02-02,64667.0,6.0
2005-02-09,64665.0,-2.0
2005-02-16,64664.0,-1.0
2005-02-23,64662.0,-2.0
2005-03-02,64631.0,-31.0
2005-03-09,64632.0,1.0
2005-03-16,64633.0,1.0
2005-03-23,64634.0,1.0
2005-03-30,64634.0,0.0
2005-04-06,64618.0,-16.0
2005-04-13,64603.0,-15.0
2005-04-20,64606.0,3.0
2005-04-27,64717.0,111.0
2005-05-04,64783.0,66.0
2005-05-11,64980.0,197.0
2005-05-18,64986.0,6.0
2005-05-25,65109.0,123.0
2005-06-01,65328.0,219.0
2005-06-08,65331.0,3.0
2005-06-15,65334.0,3.0
2005-06-22,65379.0,45.0
2005-06-29,65382.0,3.0
2005-07-06,65264.0,-118.0
2005-07-13,65264.0,0.0
2005-07-20,65263.0,-1.0
2005-07-27,65263.0,0.0
2005-08-03,65263.0,0.0
2005-08-10,65263.0,0.0
2005-08-17,65500.0,237.0
2005-08-24,65702.0,202.0
2005-08-31,65774.0,72.0
2005-09-07,65778.0,4.0
2005-09-14,66034.0,256.0
2005-09-21,66045.0,11.0
2005-09-28,66288.0,243.0
2005-10-05,66424.0,136.0
2005-10-12,66431.0,7.0
