Date,Values,Delta Calculations
2002-12-18,74068.0, 
2002-12-25,74068.0,0.0
2003-01-01,74069.0,1.0
2003-01-08,74069.0,0.0
2003-01-15,74069.0,0.0
2003-01-22,74069.0,0.0
2003-01-29,74069.0,0.0
2003-02-05,74068.0,-1.0
2003-02-12,74250.0,182.0
2003-02-19,74287.0,37.0
2003-02-26,74844.0,557.0
2003-03-05,74979.0,135.0
2003-03-12,75164.0,185.0
2003-03-19,75302.0,138.0
2003-03-26,75420.0,118.0
2003-04-02,75489.0,69.0
2003-04-09,65185.0,-10304.0
2003-04-16,65358.0,173.0
2003-04-23,65369.0,11.0
2003-04-30,65407.0,38.0
2003-05-07,65437.0,30.0
2003-05-14,65474.0,37.0
2003-05-21,65756.0,282.0
2003-05-28,65770.0,14.0
2003-06-04,65824.0,54.0
2003-06-11,65845.0,21.0
2003-06-18,65877.0,32.0
2003-06-25,65884.0,7.0
2003-07-02,65920.0,36.0
2003-07-09,65930.0,10.0
2003-07-16,65955.0,25.0
2003-07-23,65968.0,13.0
2003-07-30,65971.0,3.0
2003-08-06,65988.0,17.0
2003-08-13,66014.0,26.0
2003-08-20,66038.0,24.0
2003-08-27,66054.0,16.0
2003-09-03,66080.0,26.0
2003-09-10,66248.0,168.0
2003-09-17,66283.0,35.0
2003-09-24,66288.0,5.0
2003-10-01,66308.0,20.0
2003-10-08,66316.0,8.0
2003-10-15,66338.0,22.0
2003-10-22,66365.0,27.0
2003-10-29,66559.0,194.0
2003-11-05,66580.0,21.0
2003-11-12,66721.0,141.0
2003-11-19,66966.0,245.0
2003-11-26,67149.0,183.0
2003-12-03,67222.0,73.0
2003-12-10,67260.0,38.0
2003-12-17,67295.0,35.0
2003-12-24,67321.0,26.0
2003-12-31,67367.0,46.0
2004-01-07,67372.0,5.0
2004-01-14,67380.0,8.0
2004-01-21,67384.0,4.0
2004-01-28,67407.0,23.0
2004-02-04,67430.0,23.0
2004-02-11,67689.0,259.0
2004-02-18,67783.0,94.0
2004-02-25,67858.0,75.0
2004-03-03,67869.0,11.0
2004-03-10,68011.0,142.0
2004-03-17,68022.0,11.0
2004-03-24,68107.0,85.0
2004-03-31,68116.0,9.0
2004-04-07,60739.0,-7377.0
2004-04-14,60777.0,38.0
2004-04-21,60797.0,20.0
2004-04-28,60928.0,131.0
2004-05-05,61056.0,128.0
2004-05-12,61058.0,2.0
2004-05-19,61219.0,161.0
2004-05-26,61310.0,91.0
2004-06-02,61387.0,77.0
2004-06-09,61608.0,221.0
2004-06-16,61703.0,95.0
2004-06-23,61720.0,17.0
2004-06-30,61919.0,199.0
2004-07-07,61964.0,45.0
2004-07-14,62182.0,218.0
2004-07-21,62361.0,179.0
2004-07-28,62489.0,128.0
2004-08-04,62490.0,1.0
2004-08-11,62492.0,2.0
2004-08-18,62583.0,91.0
2004-08-25,62590.0,7.0
2004-09-01,62592.0,2.0
2004-09-08,62593.0,1.0
2004-09-15,62668.0,75.0
2004-09-22,62889.0,221.0
2004-09-29,62930.0,41.0
2004-10-06,63198.0,268.0
2004-10-13,63201.0,3.0
2004-10-20,63308.0,107.0
2004-10-27,63661.0,353.0
2004-11-03,63787.0,126.0
2004-11-10,63857.0,70.0
2004-11-17,63968.0,111.0
2004-11-24,64099.0,131.0
2004-12-01,64216.0,117.0
2004-12-08,64593.0,377.0
2004-12-15,64646.0,53.0
2004-12-22,64648.0,2.0
2004-12-29,64659.0,11.0
2005-01-05,64660.0,1.0
2005-01-12,64660.0,0.0
2005-01-19,64661.0,1.0
2005-01-26,64661.0,0.0
2005-02-02,64667.0,6.0
2005-02-09,64665.0,-2.0
2005-02-16,64664.0,-1.0
2005-02-23,64662.0,-2.0
2005-03-02,64631.0,-31.0
2005-03-09,64632.0,1.0
2005-03-16,64633.0,1.0
2005-03-23,64634.0,1.0
2005-03-30,64634.0,0.0
2005-04-06,64618.0,-16.0
2005-04-13,64603.0,-15.0
2005-04-20,64606.0,3.0
2005-04-27,64717.0,111.0
2005-05-04,64783.0,66.0
2005-05-11,64980.0,197.0
2005-05-18,64986.0,6.0
2005-05-25,65109.0,123.0
2005-06-01,65328.0,219.0
2005-06-08,65331.0,3.0
2005-06-15,65334.0,3.0
2005-06-22,65379.0,45.0
2005-06-29,65382.0,3.0
2005-07-06,65264.0,-118.0
2005-07-13,65264.0,0.0
2005-07-20,65263.0,-1.0
2005-07-27,65263.0,0.0
2005-08-03,65263.0,0.0
2005-08-10,65263.0,0.0
2005-08-17,65500.0,237.0
2005-08-24,65702.0,202.0
2005-08-31,65774.0,72.0
2005-09-07,65778.0,4.0
2005-09-14,66034.0,256.0
2005-09-21,66045.0,11.0
2005-09-28,66288.0,243.0
2005-10-05,66424.0,136.0
2005-10-12,66431.0,7.0
2005-10-19,66462.0,31.0
2005-10-26,66599.0,137.0
2005-11-02,66696.0,97.0
2005-11-09,66795.0,99.0
2005-11-16,66900.0,105.0
2005-11-23,67028.0,128.0
2005-11-30,67016.0,-12.0
2005-12-07,67017.0,1.0
2005-12-14,67018.0,1.0
2005-12-21,67019.0,1.0
2005-12-28,67020.0,1.0
2006-01-04,66899.0,-121.0
2006-01-11,67044.0,145.0
2006-01-18,67152.0,108.0
2006-01-25,67234.0,82.0
2006-02-01,67437.0,203.0
2006-02-08,67435.0,-2.0
2006-02-15,67660.0,225.0
2006-02-22,67771.0,111.0
2006-03-01,67963.0,192.0
2006-03-08,68043.0,80.0
2006-03-15,68191.0,148.0
2006-03-22,68195.0,4.0
2006-03-29,68309.0,114.0
2006-04-05,68311.0,2.0
2006-04-12,68312.0,1.0
2006-04-19,69652.0,1340.0
2006-04-26,69754.0,102.0
2006-05-03,69756.0,2.0
2006-05-10,69759.0,3.0
2006-05-17,69751.0,-8.0
2006-05-24,70001.0,250.0
2006-05-31,70004.0,3.0
2006-06-07,70231.0,227.0
2006-06-14,70357.0,126.0
2006-06-21,70361.0,4.0
2006-06-28,70366.0,5.0
2006-07-05,70369.0,3.0
2006-07-12,70372.0,3.0
2006-07-19,70218.0,-154.0
2006-07-26,70220.0,2.0
2006-08-02,70225.0,5.0
2006-08-09,70226.0,1.0
2006-08-16,70228.0,2.0
2006-08-23,70229.0,1.0
2006-08-30,70402.0,173.0
2006-09-06,70404.0,2.0
2006-09-13,70598.0,194.0
2006-09-20,70600.0,2.0
2006-09-27,70602.0,2.0
2006-10-04,70603.0,1.0
2006-10-11,70604.0,1.0
2006-10-18,70394.0,-210.0
2006-10-25,70556.0,162.0
2006-11-01,70694.0,138.0
2006-11-08,70740.0,46.0
2006-11-15,70706.0,-34.0
2006-11-22,70873.0,167.0
2006-11-29,70941.0,68.0
2006-12-06,71088.0,147.0
2006-12-13,71216.0,128.0
2006-12-20,71403.0,187.0
2006-12-27,71522.0,119.0
2007-01-03,71519.0,-3.0
2007-01-10,71518.0,-1.0
2007-01-17,71517.0,-1.0
2007-01-24,71516.0,-1.0
2007-01-31,71515.0,-1.0
2007-02-07,71516.0,1.0
2007-02-14,71518.0,2.0
2007-02-21,71519.0,1.0
2007-02-28,71692.0,173.0
2007-03-07,71695.0,3.0
2007-03-14,71697.0,2.0
2007-03-21,71699.0,2.0
2007-03-28,71701.0,2.0
2007-04-04,71705.0,4.0
2007-04-11,71878.0,173.0
2007-04-18,65664.0,-6214.0
2007-04-25,66024.0,360.0
2007-05-02,66029.0,5.0
2007-05-09,66265.0,236.0
2007-05-16,66271.0,6.0
2007-05-23,66278.0,7.0
2007-05-30,66285.0,7.0
2007-06-06,66290.0,5.0
2007-06-13,66295.0,5.0
2007-06-20,66299.0,4.0
2007-06-27,66304.0,5.0
2007-07-04,66309.0,5.0
2007-07-11,66314.0,5.0
2007-07-18,66318.0,4.0
2007-07-25,66323.0,5.0
2007-08-01,66330.0,7.0
2007-08-08,66331.0,1.0
2007-08-15,66229.0,-102.0
2007-08-22,66231.0,2.0
2007-08-29,65813.0,-418.0
2007-09-05,65394.0,-419.0
2007-09-12,65394.0,0.0
2007-09-19,65393.0,-1.0
2007-09-26,65393.0,0.0
2007-10-03,65392.0,-1.0
2007-10-10,65391.0,-1.0
2007-10-17,65390.0,-1.0
2007-10-24,65388.0,-2.0
2007-10-31,65389.0,1.0
2007-11-07,65391.0,2.0
2007-11-14,65394.0,3.0
2007-11-21,65396.0,2.0
2007-11-28,65398.0,2.0
2007-12-05,65400.0,2.0
2007-12-12,64982.0,-418.0
2007-12-19,64565.0,-417.0
2007-12-26,63294.0,-1271.0
2008-01-02,62121.0,-1173.0
2008-01-09,61079.0,-1042.0
2008-01-16,61084.0,5.0
2008-01-23,60669.0,-415.0
2008-01-30,60255.0,-414.0
2008-02-06,59836.0,-419.0
2008-02-13,59835.0,-1.0
2008-02-20,59835.0,0.0
2008-02-27,59834.0,-1.0
2008-03-05,59837.0,3.0
2008-03-12,59002.0,-835.0
2008-03-19,55399.0,-3603.0
2008-03-26,51358.0,-4041.0
2008-04-02,48753.0,-2605.0
2008-04-09,46981.0,-1772.0
2008-04-16,46018.0,-963.0
2008-04-23,48425.0,2407.0
2008-04-30,48427.0,2.0
2008-05-07,47370.0,-1057.0
2008-05-14,45512.0,-1858.0
2008-05-21,44382.0,-1130.0
2008-05-28,43343.0,-1039.0
2008-06-04,42977.0,-366.0
2008-06-11,42548.0,-429.0
2008-06-18,42253.0,-295.0
2008-06-25,42258.0,5.0
2008-07-02,42264.0,6.0
2008-07-09,42272.0,8.0
2008-07-16,42279.0,7.0
2008-07-23,42287.0,8.0
2008-07-30,42294.0,7.0
2008-08-06,42305.0,11.0
2008-08-13,42315.0,10.0
2008-08-20,42324.0,9.0
2008-08-27,42333.0,9.0
2008-09-03,42340.0,7.0
2008-09-10,42345.0,5.0
2008-09-17,42350.0,5.0
2008-09-24,42063.0,-287.0
2008-10-01,42066.0,3.0
2008-10-08,42063.0,-3.0
2008-10-15,42060.0,-3.0
2008-10-22,42057.0,-3.0
2008-10-29,42053.0,-4.0
2008-11-05,42052.0,-1.0
2008-11-12,42050.0,-2.0
2008-11-19,42049.0,-1.0
2008-11-26,42047.0,-2.0
2008-12-03,42043.0,-4.0
2008-12-10,42033.0,-10.0
2008-12-17,42024.0,-9.0
2008-12-24,42013.0,-11.0
2008-12-31,42005.0,-8.0
2009-01-07,41987.0,-18.0
2009-01-14,41969.0,-18.0
2009-01-21,41952.0,-17.0
2009-01-28,41935.0,-17.0
2009-02-04,41922.0,-13.0
2009-02-11,41912.0,-10.0
2009-02-18,41902.0,-10.0
2009-02-25,41892.0,-10.0
2009-03-04,41890.0,-2.0
2009-03-11,41893.0,3.0
2009-03-18,41897.0,4.0
2009-03-25,41901.0,4.0
2009-04-01,43453.0,1552.0
2009-04-08,44872.0,1419.0
2009-04-15,46434.0,1562.0
2009-04-22,57889.0,11455.0
2009-04-29,59413.0,1524.0
2009-05-06,60663.0,1250.0
2009-05-13,62447.0,1784.0
2009-05-20,63116.0,669.0
2009-05-27,64942.0,1826.0
2009-06-03,65594.0,652.0
2009-06-10,68031.0,2437.0
2009-06-17,69111.0,1080.0
2009-06-24,70682.0,1571.0
2009-07-01,71795.0,1113.0
2009-07-08,72880.0,1085.0
2009-07-15,74019.0,1139.0
2009-07-22,74960.0,941.0
2009-07-29,75289.0,329.0
2009-08-05,76324.0,1035.0
2009-08-12,78883.0,2559.0
2009-08-19,79652.0,769.0
2009-08-26,80604.0,952.0
2009-09-02,81466.0,862.0
2009-09-09,81999.0,533.0
2009-09-16,82219.0,220.0
2009-09-23,82850.0,631.0
2009-09-30,83231.0,381.0
2009-10-07,83234.0,3.0
2009-10-14,83697.0,463.0
2009-10-21,83699.0,2.0
2009-10-28,83816.0,117.0
2009-11-04,84027.0,211.0
2009-11-11,84028.0,1.0
2009-11-18,84029.0,1.0
2009-11-25,84029.0,0.0
2009-12-02,84030.0,1.0
2009-12-09,84031.0,1.0
2009-12-16,84033.0,2.0
2009-12-23,84034.0,1.0
2009-12-30,84035.0,1.0
2010-01-06,84036.0,1.0
2010-01-13,84037.0,1.0
2010-01-20,84038.0,1.0
2010-01-27,84039.0,1.0
2010-02-03,84038.0,-1.0
2010-02-10,84036.0,-2.0
2010-02-17,84033.0,-3.0
2010-02-24,84031.0,-2.0
2010-03-03,84031.0,0.0
2010-03-10,84036.0,5.0
2010-03-17,84040.0,4.0
2010-03-24,84044.0,4.0
2010-03-31,84048.0,4.0
2010-04-07,84048.0,0.0
2010-04-14,84048.0,0.0
2010-04-21,58554.0,-25494.0
2010-04-28,58554.0,0.0
2010-05-05,58556.0,2.0
2010-05-12,58559.0,3.0
2010-05-19,58563.0,4.0
2010-05-26,58566.0,3.0
2010-06-02,58569.0,3.0
2010-06-09,58570.0,1.0
2010-06-16,58571.0,1.0
2010-06-23,58573.0,2.0
2010-06-30,58574.0,1.0
2010-07-07,58575.0,1.0
2010-07-14,58576.0,1.0
2010-07-21,58576.0,0.0
2010-07-28,58577.0,1.0
2010-08-04,58577.0,0.0
2010-08-11,58576.0,-1.0
2010-08-18,58767.0,191.0
2010-08-25,59140.0,373.0
2010-09-01,59275.0,135.0
2010-09-08,59547.0,272.0
2010-09-15,59905.0,358.0
2010-09-22,60694.0,789.0
2010-09-29,61189.0,495.0
2010-10-06,61747.0,558.0
2010-10-13,61904.0,157.0
2010-10-20,62731.0,827.0
2010-10-27,63162.0,431.0
2010-11-03,63476.0,314.0
2010-11-10,64308.0,832.0
2010-11-17,65859.0,1551.0
2010-11-24,67941.0,2082.0
2010-12-01,69163.0,1222.0
2010-12-08,71588.0,2425.0
2010-12-15,72940.0,1352.0
2010-12-22,75932.0,2992.0
2010-12-29,76600.0,668.0
2011-01-05,77722.0,1122.0
2011-01-12,80065.0,2343.0
2011-01-19,81385.0,1320.0
2011-01-26,84014.0,2629.0
2011-02-02,85802.0,1788.0
2011-02-09,87982.0,2180.0
2011-02-16,89735.0,1753.0
2011-02-23,91476.0,1741.0
2011-03-02,93197.0,1721.0
2011-03-09,95444.0,2247.0
2011-03-16,96524.0,1080.0
2011-03-23,98397.0,1873.0
2011-03-30,100523.0,2126.0
2011-04-06,102390.0,1867.0
2011-04-13,103633.0,1243.0
2011-04-20,83288.0,-20345.0
2011-04-27,83939.0,651.0
2011-05-04,85625.0,1686.0
2011-05-11,87071.0,1446.0
2011-05-18,88791.0,1720.0
2011-05-25,90226.0,1435.0
2011-06-01,90993.0,767.0
2011-06-08,92324.0,1331.0
2011-06-15,93588.0,1264.0
2011-06-22,95133.0,1545.0
2011-06-29,96030.0,897.0
2011-07-06,96473.0,443.0
2011-07-13,96823.0,350.0
2011-07-20,97041.0,218.0
2011-07-27,97283.0,242.0
2011-08-03,97447.0,164.0
2011-08-10,97674.0,227.0
2011-08-17,97845.0,171.0
2011-08-24,97893.0,48.0
2011-08-31,98111.0,218.0
2011-09-07,98318.0,207.0
2011-09-14,98518.0,200.0
2011-09-21,98764.0,246.0
2011-09-28,98856.0,92.0
2011-10-05,99280.0,424.0
2011-10-12,99100.0,-180.0
2011-10-19,99189.0,89.0
2011-10-26,99649.0,460.0
2011-11-02,98235.0,-1414.0
2011-11-09,99062.0,827.0
2011-11-16,99520.0,458.0
2011-11-23,98865.0,-655.0
2011-11-30,99295.0,430.0
2011-12-07,99473.0,178.0
2011-12-14,99380.0,-93.0
2011-12-21,100020.0,640.0
2011-12-28,99298.0,-722.0
2012-01-04,98784.0,-514.0
2012-01-11,98036.0,-748.0
2012-01-18,98075.0,39.0
2012-01-25,98671.0,596.0
2012-02-01,98726.0,55.0
2012-02-08,98621.0,-105.0
2012-02-15,99000.0,379.0
2012-02-22,98377.0,-623.0
2012-02-29,98675.0,298.0
2012-03-07,98537.0,-138.0
2012-03-14,98566.0,29.0
2012-03-21,98787.0,221.0
2012-03-28,98872.0,85.0
2012-04-04,99136.0,264.0
2012-04-11,99832.0,696.0
2012-04-18,92763.0,-7069.0
2012-04-25,92520.0,-243.0
2012-05-02,92513.0,-7.0
2012-05-09,92419.0,-94.0
2012-05-16,91912.0,-507.0
2012-05-23,91913.0,1.0
2012-05-30,91905.0,-8.0
2012-06-06,92328.0,423.0
2012-06-13,92098.0,-230.0
2012-06-20,92288.0,190.0
2012-06-27,92452.0,164.0
