Date,Values,Delta Calculations
2011-01-05,22.0, 
2011-01-12,36.0,14.0
2011-01-19,37.0,1.0
2011-01-26,34.0,-3.0
2011-02-02,36.0,2.0
2011-02-09,35.0,-1.0
2011-02-16,33.0,-2.0
2011-02-23,40.0,7.0
2011-03-02,38.0,-2.0
2011-03-09,38.0,0.0
2011-03-16,41.0,3.0
2011-03-23,40.0,-1.0
2011-03-30,23.0,-17.0
2011-04-06,44.0,21.0
2011-04-13,43.0,-1.0
2011-04-20,31.0,-12.0
2011-04-27,29.0,-2.0
2011-05-04,28.0,-1.0
2011-05-11,25.0,-3.0
2011-05-18,30.0,5.0
2011-05-25,27.0,-3.0
2011-06-01,34.0,7.0
2011-06-08,30.0,-4.0
2011-06-15,22.0,-8.0
2011-06-22,37.0,15.0
2011-06-29,26.0,-11.0
2011-07-06,31.0,5.0
2011-07-13,27.0,-4.0
2011-07-20,30.0,3.0
2011-07-27,24.0,-6.0
2011-08-03,32.0,8.0
2011-08-10,26.0,-6.0
2011-08-17,30.0,4.0
2011-08-24,27.0,-3.0
2011-08-31,25.0,-2.0
2011-09-07,22.0,-3.0
2011-09-14,27.0,5.0
2011-09-21,29.0,2.0
2011-09-28,24.0,-5.0
2011-10-05,24.0,0.0
2011-10-12,34.0,10.0
2011-10-19,29.0,-5.0
2011-10-26,30.0,1.0
2011-11-02,28.0,-2.0
2011-11-09,27.0,-1.0
2011-11-16,33.0,6.0
2011-11-23,40.0,7.0
2011-11-30,23.0,-17.0
2011-12-07,23.0,0.0
2011-12-14,24.0,1.0
2011-12-21,22.0,-2.0
2011-12-28,31.0,9.0
2012-01-04,16.0,-15.0
2012-01-11,28.0,12.0
2012-01-18,28.0,0.0
2012-01-25,27.0,-1.0
2012-02-01,34.0,7.0
2012-02-08,26.0,-8.0
2012-02-15,22.0,-4.0
2012-02-22,35.0,13.0
2012-02-29,36.0,1.0
2012-03-07,27.0,-9.0
2012-03-14,30.0,3.0
2012-03-21,32.0,2.0
2012-03-28,29.0,-3.0
2012-04-04,26.0,-3.0
2012-04-11,32.0,6.0
2012-04-18,26.0,-6.0
2012-04-25,21.0,-5.0
2012-05-02,34.0,13.0
2012-05-09,25.0,-9.0
2012-05-16,23.0,-2.0
2012-05-23,26.0,3.0
2012-05-30,22.0,-4.0
2012-06-06,22.0,0.0
2012-06-13,25.0,3.0
2012-06-20,23.0,-2.0
2012-06-27,19.0,-4.0
2012-07-04,57.0,38.0
2012-07-11,17.0,-40.0
2012-07-18,25.0,8.0
2012-07-25,22.0,-3.0
2012-08-01,29.0,7.0
2012-08-08,18.0,-11.0
2012-08-15,17.0,-1.0
2012-08-22,32.0,15.0
2012-08-29,25.0,-7.0
2012-09-05,19.0,-6.0
2012-09-12,26.0,7.0
2012-09-19,24.0,-2.0
2012-09-26,21.0,-3.0
2012-10-03,23.0,2.0
2012-10-10,24.0,1.0
2012-10-17,24.0,0.0
2012-10-24,32.0,8.0
2012-10-31,26.0,-6.0
2012-11-07,19.0,-7.0
2012-11-14,25.0,6.0
2012-11-21,34.0,9.0
2012-11-28,21.0,-13.0
2012-12-05,28.0,7.0
2012-12-12,23.0,-5.0
2012-12-19,29.0,6.0
2012-12-26,18.0,-11.0
2013-01-02,8.0,-10.0
2013-01-09,15.0,7.0
2013-01-16,17.0,2.0
2013-01-23,11.0,-6.0
2013-01-30,13.0,2.0
2013-02-06,18.0,5.0
2013-02-13,20.0,2.0
2013-02-20,18.0,-2.0
2013-02-27,22.0,4.0
2013-03-06,15.0,-7.0
2013-03-13,19.0,4.0
2013-03-20,22.0,3.0
2013-03-27,17.0,-5.0
2013-04-03,25.0,8.0
2013-04-10,21.0,-4.0
2013-04-17,27.0,6.0
2013-04-24,27.0,0.0
2013-05-01,29.0,2.0
2013-05-08,20.0,-9.0
2013-05-15,13.0,-7.0
2013-05-22,29.0,16.0
2013-05-29,23.0,-6.0
2013-06-05,26.0,3.0
2013-06-12,30.0,4.0
2013-06-19,22.0,-8.0
2013-06-26,12.0,-10.0
2013-07-03,28.0,16.0
2013-07-10,20.0,-8.0
2013-07-17,26.0,6.0
2013-07-24,26.0,0.0
2013-07-31,19.0,-7.0
2013-08-07,28.0,9.0
2013-08-14,26.0,-2.0
2013-08-21,26.0,0.0
2013-08-28,23.0,-3.0
2013-09-04,24.0,1.0
2013-09-11,26.0,2.0
2013-09-18,27.0,1.0
2013-09-25,25.0,-2.0
2013-10-02,29.0,4.0
2013-10-09,28.0,-1.0
2013-10-16,24.0,-4.0
2013-10-23,33.0,9.0
2013-10-30,34.0,1.0
2013-11-06,14.0,-20.0
2013-11-13,29.0,15.0
2013-11-20,27.0,-2.0
2013-11-27,42.0,15.0
2013-12-04,15.0,-27.0
2013-12-11,32.0,17.0
2013-12-18,28.0,-4.0
2013-12-25,52.0,24.0
2014-01-01,44.0,-8.0
2014-01-08,30.0,-14.0
2014-01-15,27.0,-3.0
2014-01-22,45.0,18.0
2014-01-29,31.0,-14.0
2014-02-05,30.0,-1.0
2014-02-12,22.0,-8.0
2014-02-19,32.0,10.0
2014-02-26,26.0,-6.0
2014-03-05,40.0,14.0
2014-03-12,34.0,-6.0
2014-03-19,32.0,-2.0
2014-03-26,19.0,-13.0
2014-04-02,36.0,17.0
2014-04-09,33.0,-3.0
2014-04-16,22.0,-11.0
2014-04-23,25.0,3.0
2014-04-30,21.0,-4.0
2014-05-07,27.0,6.0
2014-05-14,27.0,0.0
2014-05-21,22.0,-5.0
2014-05-28,26.0,4.0
2014-06-04,25.0,-1.0
2014-06-11,24.0,-1.0
2014-06-18,25.0,1.0
2014-06-25,16.0,-9.0
2014-07-02,32.0,16.0
2014-07-09,25.0,-7.0
2014-07-16,24.0,-1.0
2014-07-23,25.0,1.0
2014-07-30,27.0,2.0
2014-08-06,13.0,-14.0
2014-08-13,26.0,13.0
2014-08-20,19.0,-7.0
2014-08-27,21.0,2.0
2014-09-03,25.0,4.0
2014-09-10,20.0,-5.0
2014-09-17,23.0,3.0
2014-09-24,23.0,0.0
2014-10-01,25.0,2.0
2014-10-08,17.0,-8.0
2014-10-15,19.0,2.0
2014-10-22,25.0,6.0
2014-10-29,15.0,-10.0
2014-11-05,12.0,-3.0
2014-11-12,23.0,11.0
2014-11-19,22.0,-1.0
2014-11-26,26.0,4.0
2014-12-03,16.0,-10.0
2014-12-10,28.0,12.0
2014-12-17,22.0,-6.0
2014-12-24,28.0,6.0
2014-12-31,9.0,-19.0
2015-01-07,22.0,13.0
2015-01-14,26.0,4.0
2015-01-21,16.0,-10.0
2015-01-28,9.0,-7.0
2015-02-04,34.0,25.0
2015-02-11,19.0,-15.0
2015-02-18,21.0,2.0
2015-02-25,10.0,-11.0
2015-03-04,31.0,21.0
2015-03-11,17.0,-14.0
2015-03-18,21.0,4.0
2015-03-25,20.0,-1.0
2015-04-01,22.0,2.0
2015-04-08,21.0,-1.0
2015-04-15,15.0,-6.0
2015-04-22,26.0,11.0
2015-04-29,18.0,-8.0
2015-05-06,21.0,3.0
2015-05-13,23.0,2.0
2015-05-20,10.0,-13.0
2015-05-27,14.0,4.0
2015-06-03,27.0,13.0
2015-06-10,19.0,-8.0
2015-06-17,20.0,1.0
