Date,Values,Delta Calculations
2002-12-18,15318.0, 
2002-12-25,15697.0,379.0
2003-01-01,15502.0,-195.0
2003-01-08,15249.0,-253.0
2003-01-15,15292.0,43.0
2003-01-22,15440.0,148.0
2003-01-29,15190.0,-250.0
2003-02-05,15134.0,-56.0
2003-02-12,15182.0,48.0
2003-02-19,15955.0,773.0
2003-02-26,15574.0,-381.0
2003-03-05,15631.0,57.0
2003-03-12,15628.0,-3.0
2003-03-19,15526.0,-102.0
2003-03-26,15407.0,-119.0
2003-04-02,15825.0,418.0
2003-04-09,15871.0,46.0
2003-04-16,15831.0,-40.0
2003-04-23,15679.0,-152.0
2003-04-30,16182.0,503.0
2003-05-07,15876.0,-306.0
2003-05-14,16288.0,412.0
2003-05-21,15946.0,-342.0
2003-05-28,16390.0,444.0
2003-06-04,15967.0,-423.0
2003-06-11,16005.0,38.0
2003-06-18,16059.0,54.0
2003-06-25,16782.0,723.0
2003-07-02,15988.0,-794.0
2003-07-09,15967.0,-21.0
2003-07-16,15909.0,-58.0
2003-07-23,16180.0,271.0
2003-07-30,15980.0,-200.0
2003-08-06,15936.0,-44.0
2003-08-13,16157.0,221.0
2003-08-20,16918.0,761.0
2003-08-27,16409.0,-509.0
2003-09-03,16728.0,319.0
2003-09-10,16345.0,-383.0
2003-09-17,16771.0,426.0
2003-09-24,16206.0,-565.0
2003-10-01,16725.0,519.0
2003-10-08,16385.0,-340.0
2003-10-15,16884.0,499.0
2003-10-22,16557.0,-327.0
2003-10-29,17161.0,604.0
2003-11-05,16633.0,-528.0
2003-11-12,16829.0,196.0
2003-11-19,16537.0,-292.0
2003-11-26,16532.0,-5.0
2003-12-03,16444.0,-88.0
2003-12-10,16933.0,489.0
2003-12-17,16258.0,-675.0
2003-12-24,16427.0,169.0
2003-12-31,16729.0,302.0
2004-01-07,16476.0,-253.0
2004-01-14,16307.0,-169.0
2004-01-21,16810.0,503.0
2004-01-28,16426.0,-384.0
2004-02-04,16451.0,25.0
2004-02-11,16507.0,56.0
2004-02-18,16513.0,6.0
2004-02-25,16396.0,-117.0
2004-03-03,16200.0,-196.0
2004-03-10,16115.0,-85.0
2004-03-17,16203.0,88.0
2004-03-24,16286.0,83.0
2004-03-31,16346.0,60.0
2004-04-07,16137.0,-209.0
2004-04-14,16257.0,120.0
2004-04-21,16267.0,10.0
2004-04-28,16302.0,35.0
2004-05-05,16275.0,-27.0
2004-05-12,16376.0,101.0
2004-05-19,16274.0,-102.0
2004-05-26,16340.0,66.0
2004-06-02,16487.0,147.0
2004-06-09,16441.0,-46.0
2004-06-16,16364.0,-77.0
2004-06-23,16261.0,-103.0
2004-06-30,16478.0,217.0
2004-07-07,16524.0,46.0
2004-07-14,16625.0,101.0
2004-07-21,16462.0,-163.0
2004-07-28,16644.0,182.0
2004-08-04,16713.0,69.0
2004-08-11,16670.0,-43.0
2004-08-18,16572.0,-98.0
2004-08-25,16523.0,-49.0
2004-09-01,16566.0,43.0
2004-09-08,16727.0,161.0
2004-09-15,16718.0,-9.0
2004-09-22,16677.0,-41.0
2004-09-29,16826.0,149.0
2004-10-06,16690.0,-136.0
2004-10-13,16880.0,190.0
2004-10-20,16761.0,-119.0
2004-10-27,16797.0,36.0
2004-11-03,16816.0,19.0
2004-11-10,16736.0,-80.0
2004-11-17,16688.0,-48.0
2004-11-24,16891.0,203.0
2004-12-01,16886.0,-5.0
2004-12-08,16499.0,-387.0
2004-12-15,16627.0,128.0
2004-12-22,16661.0,34.0
2004-12-29,16698.0,37.0
2005-01-05,16756.0,58.0
2005-01-12,16435.0,-321.0
2005-01-19,16627.0,192.0
2005-01-26,16574.0,-53.0
2005-02-02,16611.0,37.0
2005-02-09,16557.0,-54.0
2005-02-16,16380.0,-177.0
2005-02-23,16466.0,86.0
2005-03-02,16429.0,-37.0
2005-03-09,16367.0,-62.0
2005-03-16,16328.0,-39.0
2005-03-23,16433.0,105.0
2005-03-30,16518.0,85.0
2005-04-06,16476.0,-42.0
2005-04-13,16741.0,265.0
2005-04-20,16528.0,-213.0
2005-04-27,16493.0,-35.0
2005-05-04,16538.0,45.0
2005-05-11,16367.0,-171.0
2005-05-18,16100.0,-267.0
2005-05-25,16257.0,157.0
2005-06-01,16425.0,168.0
2005-06-08,16161.0,-264.0
2005-06-15,16177.0,16.0
2005-06-22,16143.0,-34.0
2005-06-29,16454.0,311.0
2005-07-06,16402.0,-52.0
2005-07-13,16220.0,-182.0
2005-07-20,16249.0,29.0
2005-07-27,16014.0,-235.0
2005-08-03,16165.0,151.0
2005-08-10,16123.0,-42.0
2005-08-17,16036.0,-87.0
2005-08-24,16101.0,65.0
2005-08-31,16077.0,-24.0
2005-09-07,16222.0,145.0
2005-09-14,16176.0,-46.0
2005-09-21,15997.0,-179.0
2005-09-28,15880.0,-117.0
2005-10-05,16228.0,348.0
2005-10-12,16469.0,241.0
2005-10-19,16135.0,-334.0
2005-10-26,16112.0,-23.0
2005-11-02,16212.0,100.0
2005-11-09,16179.0,-33.0
2005-11-16,16669.0,490.0
2005-11-23,16521.0,-148.0
2005-11-30,16687.0,166.0
2005-12-07,16804.0,117.0
2005-12-14,16756.0,-48.0
2005-12-21,16904.0,148.0
2005-12-28,17154.0,250.0
2006-01-04,17363.0,209.0
2006-01-11,16834.0,-529.0
2006-01-18,16765.0,-69.0
2006-01-25,16526.0,-239.0
2006-02-01,16626.0,100.0
2006-02-08,16643.0,17.0
2006-02-15,16698.0,55.0
2006-02-22,16831.0,133.0
2006-03-01,16783.0,-48.0
2006-03-08,16830.0,47.0
2006-03-15,16828.0,-2.0
2006-03-22,16752.0,-76.0
2006-03-29,16799.0,47.0
2006-04-05,16834.0,35.0
2006-04-12,17053.0,219.0
2006-04-19,16803.0,-250.0
2006-04-26,16645.0,-158.0
2006-05-03,17021.0,376.0
2006-05-10,16810.0,-211.0
2006-05-17,16993.0,183.0
2006-05-24,16658.0,-335.0
2006-05-31,16963.0,305.0
2006-06-07,17000.0,37.0
2006-06-14,16874.0,-126.0
2006-06-21,16753.0,-121.0
2006-06-28,16859.0,106.0
2006-07-05,17040.0,181.0
2006-07-12,16854.0,-186.0
2006-07-19,16720.0,-134.0
2006-07-26,16614.0,-106.0
2006-08-02,16801.0,187.0
2006-08-09,16791.0,-10.0
2006-08-16,16607.0,-184.0
2006-08-23,16529.0,-78.0
2006-08-30,16686.0,157.0
2006-09-06,16768.0,82.0
2006-09-13,16548.0,-220.0
2006-09-20,16465.0,-83.0
2006-09-27,16753.0,288.0
2006-10-04,16382.0,-371.0
2006-10-11,16650.0,268.0
2006-10-18,16464.0,-186.0
2006-10-25,16511.0,47.0
2006-11-01,17177.0,666.0
2006-11-08,16927.0,-250.0
2006-11-15,17076.0,149.0
2006-11-22,17169.0,93.0
2006-11-29,16858.0,-311.0
2006-12-06,16776.0,-82.0
2006-12-13,16673.0,-103.0
2006-12-20,16838.0,165.0
2006-12-27,16903.0,65.0
2007-01-03,17361.0,458.0
2007-01-10,16607.0,-754.0
2007-01-17,16813.0,206.0
2007-01-24,16546.0,-267.0
2007-01-31,17958.0,1412.0
2007-02-07,16678.0,-1280.0
2007-02-14,17051.0,373.0
2007-02-21,16894.0,-157.0
2007-02-28,17858.0,964.0
2007-03-07,17031.0,-827.0
2007-03-14,16971.0,-60.0
2007-03-21,16805.0,-166.0
2007-03-28,17082.0,277.0
2007-04-04,16915.0,-167.0
2007-04-11,16760.0,-155.0
2007-04-18,16819.0,59.0
2007-04-25,16776.0,-43.0
2007-05-02,16846.0,70.0
2007-05-09,16992.0,146.0
2007-05-16,16635.0,-357.0
2007-05-23,17419.0,784.0
2007-05-30,16969.0,-450.0
2007-06-06,16972.0,3.0
2007-06-13,16771.0,-201.0
2007-06-20,16910.0,139.0
2007-06-27,16476.0,-434.0
2007-07-04,16828.0,352.0
2007-07-11,16891.0,63.0
2007-07-18,16998.0,107.0
2007-07-25,16208.0,-790.0
2007-08-01,16196.0,-12.0
2007-08-08,16195.0,-1.0
2007-08-15,16146.0,-49.0
2007-08-22,15955.0,-191.0
