Date,Values,Delta Calculations
2002-12-18,340.0, 
2002-12-25,340.0,0.0
2003-01-01,340.0,0.0
2003-01-08,340.0,0.0
2003-01-15,340.0,0.0
2003-01-22,340.0,0.0
2003-01-29,340.0,0.0
2003-02-05,341.0,1.0
2003-02-12,341.0,0.0
2003-02-19,341.0,0.0
2003-02-26,343.0,2.0
2003-03-05,343.0,0.0
2003-03-12,343.0,0.0
2003-03-19,343.0,0.0
2003-03-26,345.0,2.0
2003-04-02,345.0,0.0
2003-04-09,345.0,0.0
2003-04-16,345.0,0.0
2003-04-23,345.0,0.0
2003-04-30,345.0,0.0
2003-05-07,345.0,0.0
2003-05-14,346.0,1.0
2003-05-21,346.0,0.0
2003-05-28,346.0,0.0
2003-06-04,346.0,0.0
2003-06-11,347.0,1.0
2003-06-18,347.0,0.0
2003-06-25,347.0,0.0
2003-07-02,347.0,0.0
2003-07-09,347.0,0.0
2003-07-16,347.0,0.0
2003-07-23,348.0,1.0
2003-07-30,348.0,0.0
2003-08-06,348.0,0.0
2003-08-13,348.0,0.0
2003-08-20,348.0,0.0
2003-08-27,348.0,0.0
2003-09-03,348.0,0.0
2003-09-10,348.0,0.0
2003-09-17,348.0,0.0
2003-09-24,348.0,0.0
2003-10-01,348.0,0.0
2003-10-08,348.0,0.0
2003-10-15,347.0,-1.0
2003-10-22,348.0,1.0
2003-10-29,348.0,0.0
2003-11-05,348.0,0.0
2003-11-12,348.0,0.0
2003-11-19,348.0,0.0
2003-11-26,345.0,-3.0
2003-12-03,345.0,0.0
2003-12-10,345.0,0.0
2003-12-17,345.0,0.0
2003-12-24,345.0,0.0
2003-12-31,346.0,1.0
2004-01-07,345.0,-1.0
2004-01-14,345.0,0.0
2004-01-21,345.0,0.0
2004-01-28,346.0,1.0
2004-02-04,346.0,0.0
2004-02-11,347.0,1.0
2004-02-18,347.0,0.0
2004-02-25,264.0,-83.0
2004-03-03,264.0,0.0
2004-03-10,265.0,1.0
2004-03-17,265.0,0.0
2004-03-24,265.0,0.0
2004-03-31,265.0,0.0
2004-04-07,265.0,0.0
2004-04-14,265.0,0.0
2004-04-21,265.0,0.0
2004-04-28,265.0,0.0
2004-05-05,265.0,0.0
2004-05-12,266.0,1.0
2004-05-19,266.0,0.0
2004-05-26,264.0,-2.0
2004-06-02,264.0,0.0
2004-06-09,264.0,0.0
2004-06-16,264.0,0.0
2004-06-23,264.0,0.0
2004-06-30,264.0,0.0
2004-07-07,264.0,0.0
2004-07-14,264.0,0.0
2004-07-21,262.0,-2.0
2004-07-28,262.0,0.0
2004-08-04,262.0,0.0
2004-08-11,262.0,0.0
2004-08-18,262.0,0.0
2004-08-25,262.0,0.0
2004-09-01,262.0,0.0
2004-09-08,262.0,0.0
2004-09-15,263.0,1.0
2004-09-22,263.0,0.0
2004-09-29,263.0,0.0
2004-10-06,263.0,0.0
2004-10-13,263.0,0.0
2004-10-20,263.0,0.0
2004-10-27,263.0,0.0
2004-11-03,263.0,0.0
2004-11-10,263.0,0.0
2004-11-17,263.0,0.0
2004-11-24,263.0,0.0
2004-12-01,262.0,-1.0
2004-12-08,255.0,-7.0
2004-12-15,255.0,0.0
2004-12-22,254.0,-1.0
2004-12-29,254.0,0.0
2005-01-05,254.0,0.0
2005-01-12,253.0,-1.0
2005-01-19,253.0,0.0
