Date,Values,Delta Calculations
2002-12-18,66.0, 
2002-12-25,67.0,1.0
2003-01-01,55.0,-12.0
2003-01-08,59.0,4.0
2003-01-15,60.0,1.0
2003-01-22,63.0,3.0
2003-01-29,60.0,-3.0
2003-02-05,61.0,1.0
2003-02-12,63.0,2.0
2003-02-19,65.0,2.0
2003-02-26,63.0,-2.0
2003-03-05,63.0,0.0
2003-03-12,64.0,1.0
2003-03-19,65.0,1.0
2003-03-26,63.0,-2.0
2003-04-02,65.0,2.0
2003-04-09,65.0,0.0
2003-04-16,68.0,3.0
2003-04-23,63.0,-5.0
2003-04-30,66.0,3.0
2003-05-07,67.0,1.0
2003-05-14,71.0,4.0
2003-05-21,70.0,-1.0
2003-05-28,71.0,1.0
2003-06-04,68.0,-3.0
2003-06-11,72.0,4.0
2003-06-18,71.0,-1.0
2003-06-25,72.0,1.0
2003-07-02,61.0,-11.0
2003-07-09,65.0,4.0
2003-07-16,64.0,-1.0
2003-07-23,65.0,1.0
2003-07-30,64.0,-1.0
2003-08-06,66.0,2.0
2003-08-13,67.0,1.0
2003-08-20,65.0,-2.0
2003-08-27,63.0,-2.0
2003-09-03,65.0,2.0
2003-09-10,65.0,0.0
2003-09-17,67.0,2.0
2003-09-24,66.0,-1.0
2003-10-01,66.0,0.0
2003-10-08,67.0,1.0
2003-10-15,67.0,0.0
2003-10-22,69.0,2.0
2003-10-29,69.0,0.0
2003-11-05,64.0,-5.0
2003-11-12,66.0,2.0
2003-11-19,64.0,-2.0
2003-11-26,64.0,0.0
2003-12-03,64.0,0.0
2003-12-10,69.0,5.0
2003-12-17,67.0,-2.0
2003-12-24,68.0,1.0
2003-12-31,54.0,-14.0
2004-01-07,58.0,4.0
2004-01-14,62.0,4.0
2004-01-21,62.0,0.0
2004-01-28,62.0,0.0
2004-02-04,57.0,-5.0
2004-02-11,61.0,4.0
2004-02-18,60.0,-1.0
2004-02-25,61.0,1.0
2004-03-03,56.0,-5.0
2004-03-10,58.0,2.0
2004-03-17,56.0,-2.0
2004-03-24,57.0,1.0
2004-03-31,58.0,1.0
2004-04-07,61.0,3.0
2004-04-14,63.0,2.0
2004-04-21,62.0,-1.0
2004-04-28,62.0,0.0
2004-05-05,59.0,-3.0
2004-05-12,63.0,4.0
2004-05-19,62.0,-1.0
2004-05-26,61.0,-1.0
2004-06-02,60.0,-1.0
2004-06-09,62.0,2.0
2004-06-16,61.0,-1.0
2004-06-23,63.0,2.0
2004-06-30,54.0,-9.0
2004-07-07,56.0,2.0
2004-07-14,60.0,4.0
2004-07-21,59.0,-1.0
2004-07-28,60.0,1.0
2004-08-04,57.0,-3.0
2004-08-11,61.0,4.0
2004-08-18,60.0,-1.0
2004-08-25,62.0,2.0
2004-09-01,59.0,-3.0
2004-09-08,63.0,4.0
2004-09-15,61.0,-2.0
2004-09-22,63.0,2.0
2004-09-29,64.0,1.0
2004-10-06,62.0,-2.0
2004-10-13,65.0,3.0
2004-10-20,62.0,-3.0
2004-10-27,63.0,1.0
2004-11-03,61.0,-2.0
2004-11-10,65.0,4.0
2004-11-17,64.0,-1.0
2004-11-24,65.0,1.0
2004-12-01,63.0,-2.0
2004-12-08,66.0,3.0
2004-12-15,64.0,-2.0
2004-12-22,66.0,2.0
2004-12-29,66.0,0.0
2005-01-05,51.0,-15.0
2005-01-12,54.0,3.0
2005-01-19,51.0,-3.0
2005-01-26,51.0,0.0
2005-02-02,52.0,1.0
2005-02-09,55.0,3.0
2005-02-16,55.0,0.0
2005-02-23,59.0,4.0
2005-03-02,54.0,-5.0
2005-03-09,58.0,4.0
2005-03-16,56.0,-2.0
2005-03-23,56.0,0.0
2005-03-30,58.0,2.0
2005-04-06,58.0,0.0
2005-04-13,62.0,4.0
2005-04-20,60.0,-2.0
2005-04-27,61.0,1.0
2005-05-04,57.0,-4.0
2005-05-11,60.0,3.0
2005-05-18,60.0,0.0
2005-05-25,62.0,2.0
2005-06-01,58.0,-4.0
2005-06-08,62.0,4.0
2005-06-15,61.0,-1.0
2005-06-22,64.0,3.0
2005-06-29,64.0,0.0
2005-07-06,55.0,-9.0
2005-07-13,57.0,2.0
2005-07-20,54.0,-3.0
2005-07-27,55.0,1.0
2005-08-03,56.0,1.0
2005-08-10,58.0,2.0
2005-08-17,57.0,-1.0
2005-08-24,56.0,-1.0
2005-08-31,54.0,-2.0
2005-09-07,58.0,4.0
2005-09-14,61.0,3.0
2005-09-21,58.0,-3.0
2005-09-28,59.0,1.0
2005-10-05,56.0,-3.0
2005-10-12,61.0,5.0
2005-10-19,60.0,-1.0
2005-10-26,59.0,-1.0
2005-11-02,57.0,-2.0
2005-11-09,61.0,4.0
2005-11-16,61.0,0.0
2005-11-23,62.0,1.0
2005-11-30,59.0,-3.0
2005-12-07,61.0,2.0
2005-12-14,65.0,4.0
2005-12-21,63.0,-2.0
2005-12-28,63.0,0.0
2006-01-04,49.0,-14.0
2006-01-11,53.0,4.0
2006-01-18,52.0,-1.0
2006-01-25,54.0,2.0
2006-02-01,51.0,-3.0
2006-02-08,54.0,3.0
2006-02-15,53.0,-1.0
2006-02-22,58.0,5.0
2006-03-01,52.0,-6.0
2006-03-08,54.0,2.0
2006-03-15,55.0,1.0
2006-03-22,57.0,2.0
2006-03-29,56.0,-1.0
2006-04-05,55.0,-1.0
2006-04-12,62.0,7.0
2006-04-19,60.0,-2.0
2006-04-26,61.0,1.0
2006-05-03,57.0,-4.0
2006-05-10,60.0,3.0
2006-05-17,59.0,-1.0
2006-05-24,59.0,0.0
2006-05-31,57.0,-2.0
2006-06-07,62.0,5.0
2006-06-14,65.0,3.0
2006-06-21,63.0,-2.0
2006-06-28,64.0,1.0
2006-07-05,53.0,-11.0
