Date,Values,Delta Calculations
2002-12-18,14658.0, 
2002-12-25,15030.0,372.0
2003-01-01,14822.0,-208.0
2003-01-08,14569.0,-253.0
2003-01-15,14604.0,35.0
2003-01-22,14752.0,148.0
2003-01-29,14502.0,-250.0
2003-02-05,14448.0,-54.0
2003-02-12,14505.0,57.0
2003-02-19,15265.0,760.0
2003-02-26,14880.0,-385.0
2003-03-05,14933.0,53.0
2003-03-12,14934.0,1.0
2003-03-19,14850.0,-84.0
2003-03-26,14721.0,-129.0
2003-04-02,15130.0,409.0
2003-04-09,15179.0,49.0
2003-04-16,15127.0,-52.0
2003-04-23,14979.0,-148.0
2003-04-30,15473.0,494.0
2003-05-07,15166.0,-307.0
2003-05-14,15583.0,417.0
2003-05-21,15242.0,-341.0
2003-05-28,15693.0,451.0
2003-06-04,15268.0,-425.0
2003-06-11,15300.0,32.0
2003-06-18,15361.0,61.0
2003-06-25,16082.0,721.0
2003-07-02,15293.0,-789.0
2003-07-09,15270.0,-23.0
2003-07-16,15213.0,-57.0
2003-07-23,15470.0,257.0
2003-07-30,15287.0,-183.0
2003-08-06,15235.0,-52.0
2003-08-13,15452.0,217.0
2003-08-20,16221.0,769.0
2003-08-27,15713.0,-508.0
2003-09-03,16024.0,311.0
2003-09-10,15632.0,-392.0
2003-09-17,16063.0,431.0
2003-09-24,15482.0,-581.0
2003-10-01,16010.0,528.0
2003-10-08,15676.0,-334.0
2003-10-15,16188.0,512.0
2003-10-22,15847.0,-341.0
2003-10-29,16460.0,613.0
2003-11-05,15940.0,-520.0
2003-11-12,16116.0,176.0
2003-11-19,15826.0,-290.0
2003-11-26,15830.0,4.0
2003-12-03,15741.0,-89.0
2003-12-10,16232.0,491.0
2003-12-17,15552.0,-680.0
2003-12-24,15724.0,172.0
2003-12-31,16038.0,314.0
2004-01-07,15773.0,-265.0
2004-01-14,15608.0,-165.0
2004-01-21,16119.0,511.0
2004-01-28,15723.0,-396.0
2004-02-04,15755.0,32.0
2004-02-11,15798.0,43.0
2004-02-18,15817.0,19.0
2004-02-25,15794.0,-23.0
2004-03-03,15607.0,-187.0
2004-03-10,15510.0,-97.0
2004-03-17,15584.0,74.0
2004-03-24,15661.0,77.0
2004-03-31,15721.0,60.0
2004-04-07,15520.0,-201.0
2004-04-14,15652.0,132.0
2004-04-21,15662.0,10.0
2004-04-28,15691.0,29.0
2004-05-05,15642.0,-49.0
2004-05-12,15759.0,117.0
2004-05-19,15646.0,-113.0
2004-05-26,15716.0,70.0
2004-06-02,15860.0,144.0
2004-06-09,15828.0,-32.0
2004-06-16,15752.0,-76.0
2004-06-23,15637.0,-115.0
2004-06-30,15861.0,224.0
2004-07-07,15897.0,36.0
2004-07-14,16011.0,114.0
2004-07-21,15856.0,-155.0
2004-07-28,16041.0,185.0
2004-08-04,16101.0,60.0
2004-08-11,16043.0,-58.0
2004-08-18,15951.0,-92.0
2004-08-25,15917.0,-34.0
2004-09-01,15948.0,31.0
2004-09-08,16111.0,163.0
2004-09-15,16107.0,-4.0
2004-09-22,16059.0,-48.0
2004-09-29,16209.0,150.0
2004-10-06,16077.0,-132.0
2004-10-13,16260.0,183.0
2004-10-20,16128.0,-132.0
2004-10-27,16173.0,45.0
2004-11-03,16198.0,25.0
2004-11-10,16116.0,-82.0
2004-11-17,16061.0,-55.0
2004-11-24,16264.0,203.0
2004-12-01,16267.0,3.0
2004-12-08,15899.0,-368.0
2004-12-15,16011.0,112.0
2004-12-22,16054.0,43.0
2004-12-29,16084.0,30.0
2005-01-05,16254.0,170.0
2005-01-12,15920.0,-334.0
2005-01-19,16119.0,199.0
2005-01-26,16059.0,-60.0
2005-02-02,16103.0,44.0
2005-02-09,16050.0,-53.0
2005-02-16,15862.0,-188.0
2005-02-23,15946.0,84.0
2005-03-02,15914.0,-32.0
2005-03-09,15844.0,-70.0
2005-03-16,15811.0,-33.0
2005-03-23,15928.0,117.0
2005-03-30,16008.0,80.0
2005-04-06,15966.0,-42.0
2005-04-13,16221.0,255.0
2005-04-20,16008.0,-213.0
2005-04-27,15979.0,-29.0
2005-05-04,16021.0,42.0
2005-05-11,15855.0,-166.0
2005-05-18,15589.0,-266.0
2005-05-25,15743.0,154.0
2005-06-01,15918.0,175.0
2005-06-08,15641.0,-277.0
2005-06-15,15667.0,26.0
2005-06-22,15626.0,-41.0
2005-06-29,15942.0,316.0
2005-07-06,15894.0,-48.0
2005-07-13,15701.0,-193.0
2005-07-20,15746.0,45.0
2005-07-27,15507.0,-239.0
2005-08-03,15654.0,147.0
2005-08-10,15616.0,-38.0
