Date,Values,Delta Calculations
1986-12-27,400999.0, 
1987-01-03,404664.0,3665.0
1987-01-10,404664.0,0.0
1987-01-17,404664.0,0.0
1987-01-24,404664.0,0.0
1987-01-31,404664.0,0.0
1987-02-07,404664.0,0.0
1987-02-14,404664.0,0.0
1987-02-21,404664.0,0.0
1987-02-28,404664.0,0.0
1987-03-07,404664.0,0.0
1987-03-14,404664.0,0.0
1987-03-21,404664.0,0.0
1987-03-28,404664.0,0.0
1987-04-04,407340.0,2676.0
1987-04-11,407340.0,0.0
1987-04-18,407340.0,0.0
1987-04-25,407340.0,0.0
1987-05-02,407340.0,0.0
1987-05-09,407340.0,0.0
1987-05-16,407340.0,0.0
1987-05-23,407340.0,0.0
1987-05-30,407340.0,0.0
1987-06-06,407340.0,0.0
1987-06-13,407340.0,0.0
1987-06-20,407340.0,0.0
1987-06-27,407340.0,0.0
1987-07-04,410834.0,3494.0
1987-07-11,410834.0,0.0
1987-07-18,410834.0,0.0
1987-07-25,410834.0,0.0
1987-08-01,410834.0,0.0
1987-08-08,410834.0,0.0
1987-08-15,410834.0,0.0
1987-08-22,410834.0,0.0
1987-08-29,410834.0,0.0
1987-09-05,410834.0,0.0
1987-09-12,410834.0,0.0
1987-09-19,410834.0,0.0
1987-09-26,410834.0,0.0
1987-10-03,412571.0,1737.0
1987-10-10,412571.0,0.0
1987-10-17,412571.0,0.0
1987-10-24,412571.0,0.0
1987-10-31,412571.0,0.0
1987-11-07,412571.0,0.0
1987-11-14,412571.0,0.0
1987-11-21,412571.0,0.0
1987-11-28,412571.0,0.0
1987-12-05,412571.0,0.0
1987-12-12,412571.0,0.0
1987-12-19,412571.0,0.0
1987-12-26,412571.0,0.0
1988-01-02,415874.0,3303.0
1988-01-09,415874.0,0.0
1988-01-16,415874.0,0.0
1988-01-23,415874.0,0.0
1988-01-30,415874.0,0.0
1988-02-06,415875.0,1.0
1988-02-13,154874.0,-261001.0
1988-02-20,415874.0,261000.0
1988-02-27,415874.0,0.0
1988-03-05,415874.0,0.0
1988-03-12,415874.0,0.0
1988-03-19,415874.0,0.0
1988-03-26,415874.0,0.0
1988-04-02,419182.0,3308.0
1988-04-09,419182.0,0.0
1988-04-16,419182.0,0.0
1988-04-23,419182.0,0.0
1988-04-30,419182.0,0.0
1988-05-07,419182.0,0.0
1988-05-14,419182.0,0.0
1988-05-21,419182.0,0.0
1988-05-28,419182.0,0.0
1988-06-04,419182.0,0.0
1988-06-11,419182.0,0.0
1988-06-18,419482.0,300.0
1988-06-25,419182.0,-300.0
1988-07-02,424307.0,5125.0
1988-07-09,424307.0,0.0
1988-07-16,424307.0,0.0
1988-07-23,424307.0,0.0
1988-07-30,424307.0,0.0
1988-08-06,424307.0,0.0
1988-08-13,424307.0,0.0
1988-08-20,424307.0,0.0
1988-08-27,424307.0,0.0
1988-09-03,424307.0,0.0
1988-09-10,424307.0,0.0
1988-09-17,424307.0,0.0
1988-09-24,424307.0,0.0
1988-10-01,429910.0,5603.0
1988-10-08,429910.0,0.0
1988-10-15,429910.0,0.0
1988-10-22,429910.0,0.0
1988-10-29,429910.0,0.0
1988-11-05,429910.0,0.0
1988-11-12,429910.0,0.0
1988-11-19,429910.0,0.0
1988-11-26,429910.0,0.0
1988-12-03,429910.0,0.0
1988-12-10,429910.0,0.0
1988-12-17,429910.0,0.0
1988-12-24,429910.0,0.0
1988-12-31,429910.0,0.0
1989-01-07,434406.0,4496.0
1989-01-14,434406.0,0.0
1989-01-21,434406.0,0.0
1989-01-28,434406.0,0.0
1989-02-04,434406.0,0.0
1989-02-11,434406.0,0.0
1989-02-18,434406.0,0.0
1989-02-25,434406.0,0.0
1989-03-04,434406.0,0.0
1989-03-11,434406.0,0.0
1989-03-18,434406.0,0.0
1989-03-25,434406.0,0.0
1989-04-01,434406.0,0.0
1989-04-08,438425.0,4019.0
1989-04-15,438425.0,0.0
1989-04-22,438425.0,0.0
1989-04-29,438425.0,0.0
1989-05-06,435425.0,-3000.0
1989-05-13,438425.0,3000.0
1989-05-20,438425.0,0.0
1989-05-27,438425.0,0.0
1989-06-03,438425.0,0.0
1989-06-10,438425.0,0.0
1989-06-17,438425.0,0.0
1989-06-24,438425.0,0.0
1989-07-01,438425.0,0.0
1989-07-08,441836.0,3411.0
1989-07-15,441836.0,0.0
1989-07-22,441836.0,0.0
1989-07-29,441836.0,0.0
1989-08-05,441836.0,0.0
1989-08-12,441836.0,0.0
1989-08-19,441836.0,0.0
1989-08-26,441836.0,0.0
1989-09-02,441836.0,0.0
1989-09-09,441836.0,0.0
1989-09-16,441836.0,0.0
1989-09-23,441836.0,0.0
1989-09-30,441836.0,0.0
1989-10-07,445268.0,3432.0
1989-10-14,445268.0,0.0
1989-10-21,445268.0,0.0
1989-10-28,445268.0,0.0
1989-11-04,445268.0,0.0
1989-11-11,445268.0,0.0
1989-11-18,445268.0,0.0
1989-11-25,445268.0,0.0
1989-12-02,445268.0,0.0
1989-12-09,445268.0,0.0
1989-12-16,445268.0,0.0
1989-12-23,445268.0,0.0
1989-12-30,445268.0,0.0
1990-01-06,446449.0,1181.0
1990-01-13,446449.0,0.0
1990-01-20,446449.0,0.0
1990-01-27,446449.0,0.0
1990-02-03,446449.0,0.0
1990-02-10,446449.0,0.0
1990-02-17,446449.0,0.0
1990-02-24,446449.0,0.0
1990-03-03,446449.0,0.0
1990-03-10,446449.0,0.0
1990-03-17,446449.0,0.0
1990-03-24,446449.0,0.0
1990-03-31,446449.0,0.0
1990-04-07,448185.0,1736.0
1990-04-14,448185.0,0.0
1990-04-21,448185.0,0.0
1990-04-28,448185.0,0.0
1990-05-05,448185.0,0.0
1990-05-12,448185.0,0.0
1990-05-19,448185.0,0.0
1990-05-26,448185.0,0.0
1990-06-02,448185.0,0.0
1990-06-09,448185.0,0.0
1990-06-16,448185.0,0.0
1990-06-23,448185.0,0.0
1990-06-30,448185.0,0.0
1990-07-07,448850.0,665.0
1990-07-14,448850.0,0.0
1990-07-21,448850.0,0.0
1990-07-28,448850.0,0.0
1990-08-04,448850.0,0.0
1990-08-11,448850.0,0.0
1990-08-18,448850.0,0.0
1990-08-25,448850.0,0.0
1990-09-01,448850.0,0.0
1990-09-08,448850.0,0.0
1990-09-15,448850.0,0.0
1990-09-22,448850.0,0.0
1990-09-29,448850.0,0.0
1990-10-06,450222.0,1372.0
1990-10-13,450222.0,0.0
1990-10-20,450222.0,0.0
1990-10-27,450222.0,0.0
1990-11-03,450222.0,0.0
1990-11-10,450222.0,0.0
1990-11-17,450222.0,0.0
1990-11-24,450222.0,0.0
1990-12-01,450222.0,0.0
1990-12-08,450222.0,0.0
1990-12-15,450222.0,0.0
1990-12-22,450222.0,0.0
1990-12-29,450222.0,0.0
1991-01-05,450899.0,677.0
1991-01-12,450899.0,0.0
1991-01-19,450899.0,0.0
1991-01-26,450899.0,0.0
1991-02-02,450899.0,0.0
1991-02-09,450899.0,0.0
1991-02-16,450899.0,0.0
1991-02-23,450899.0,0.0
1991-03-02,450899.0,0.0
1991-03-09,450899.0,0.0
1991-03-16,450899.0,0.0
1991-03-23,450899.0,0.0
1991-03-30,450899.0,0.0
1991-04-06,451316.0,417.0
1991-04-13,451316.0,0.0
1991-04-20,451316.0,0.0
1991-04-27,451316.0,0.0
1991-05-04,451316.0,0.0
1991-05-11,451316.0,0.0
1991-05-18,451316.0,0.0
1991-05-25,451316.0,0.0
1991-06-01,451316.0,0.0
1991-06-08,451316.0,0.0
1991-06-15,451316.0,0.0
1991-06-22,451316.0,0.0
1991-06-29,451316.0,0.0
1991-07-06,450120.0,-1196.0
1991-07-13,450120.0,0.0
1991-07-20,450120.0,0.0
1991-07-27,450120.0,0.0
1991-08-03,450120.0,0.0
1991-08-10,450120.0,0.0
1991-08-17,450120.0,0.0
