Date,Values,Delta Calculations
1987-01-03,688.0, 
1987-01-10,1476.0,788.0
1987-01-17,1131.0,-345.0
1987-01-24,668.0,-463.0
1987-01-31,842.0,174.0
1987-02-07,1065.0,223.0
1987-02-14,861.0,-204.0
1987-02-21,740.0,-121.0
1987-02-28,660.0,-80.0
1987-03-07,938.0,278.0
1987-03-14,700.0,-238.0
1987-03-21,746.0,46.0
1987-03-28,583.0,-163.0
1987-04-04,576.0,-7.0
1987-04-11,773.0,197.0
1987-04-18,675.0,-98.0
1987-04-25,609.0,-66.0
1987-05-02,601.0,-8.0
1987-05-09,605.0,4.0
1987-05-16,732.0,127.0
1987-05-23,596.0,-136.0
1987-05-30,616.0,20.0
1987-06-06,624.0,8.0
1987-06-13,697.0,73.0
1987-06-20,775.0,78.0
1987-06-27,673.0,-102.0
1987-07-04,641.0,-32.0
1987-07-11,991.0,350.0
1987-07-18,755.0,-236.0
1987-07-25,654.0,-101.0
1987-08-01,649.0,-5.0
1987-08-08,726.0,77.0
1987-08-15,732.0,6.0
1987-08-22,607.0,-125.0
1987-08-29,695.0,88.0
1987-09-05,629.0,-66.0
1987-09-12,481.0,-148.0
1987-09-19,651.0,170.0
1987-09-26,588.0,-63.0
1987-10-03,623.0,35.0
1987-10-10,793.0,170.0
1987-10-17,503.0,-290.0
1987-10-24,627.0,124.0
1987-10-31,712.0,85.0
1987-11-07,689.0,-23.0
1987-11-14,492.0,-197.0
1987-11-21,759.0,267.0
1987-11-28,684.0,-75.0
1987-12-05,714.0,30.0
1987-12-12,662.0,-52.0
1987-12-19,788.0,126.0
1987-12-26,746.0,-42.0
1988-01-02,684.0,-62.0
1988-01-09,1227.0,543.0
1988-01-16,1242.0,15.0
1988-01-23,933.0,-309.0
1988-01-30,786.0,-147.0
1988-02-06,805.0,19.0
1988-02-13,810.0,5.0
1988-02-20,667.0,-143.0
1988-02-27,721.0,54.0
1988-03-05,750.0,29.0
1988-03-12,653.0,-97.0
1988-03-19,657.0,4.0
1988-03-26,624.0,-33.0
1988-04-02,601.0,-23.0
1988-04-09,654.0,53.0
1988-04-16,627.0,-27.0
1988-04-23,604.0,-23.0
1988-04-30,604.0,0.0
1988-05-07,601.0,-3.0
1988-05-14,672.0,71.0
1988-05-21,638.0,-34.0
1988-05-28,607.0,-31.0
1988-06-04,413.0,-194.0
1988-06-11,720.0,307.0
1988-06-18,504.0,-216.0
1988-06-25,774.0,270.0
1988-07-02,670.0,-104.0
1988-07-09,881.0,211.0
1988-07-16,874.0,-7.0
1988-07-23,805.0,-69.0
1988-07-30,717.0,-88.0
1988-08-06,704.0,-13.0
1988-08-13,741.0,37.0
1988-08-20,591.0,-150.0
1988-08-27,581.0,-10.0
1988-09-03,655.0,74.0
1988-09-10,463.0,-192.0
1988-09-17,654.0,191.0
1988-09-24,526.0,-128.0
1988-10-01,554.0,28.0
1988-10-08,763.0,209.0
1988-10-15,554.0,-209.0
1988-10-22,745.0,191.0
1988-10-29,619.0,-126.0
1988-11-05,678.0,59.0
1988-11-12,549.0,-129.0
1988-11-19,644.0,95.0
1988-11-26,811.0,167.0
1988-12-03,709.0,-102.0
1988-12-10,733.0,24.0
1988-12-17,760.0,27.0
1988-12-24,946.0,186.0
1988-12-31,576.0,-370.0
1989-01-07,870.0,294.0
1989-01-14,979.0,109.0
1989-01-21,600.0,-379.0
1989-01-28,836.0,236.0
1989-02-04,690.0,-146.0
1989-02-11,903.0,213.0
1989-02-18,1031.0,128.0
1989-02-25,513.0,-518.0
1989-03-04,706.0,193.0
1989-03-11,582.0,-124.0
1989-03-18,683.0,101.0
1989-03-25,586.0,-97.0
1989-04-01,443.0,-143.0
1989-04-08,657.0,214.0
1989-04-15,617.0,-40.0
1989-04-22,549.0,-68.0
1989-04-29,642.0,93.0
1989-05-06,562.0,-80.0
1989-05-13,670.0,108.0
1989-05-20,613.0,-57.0
1989-05-27,624.0,11.0
1989-06-03,543.0,-81.0
1989-06-10,555.0,12.0
1989-06-17,580.0,25.0
1989-06-24,816.0,236.0
1989-07-01,766.0,-50.0
1989-07-08,855.0,89.0
1989-07-15,1010.0,155.0
1989-07-22,882.0,-128.0
1989-07-29,605.0,-277.0
1989-08-05,797.0,192.0
1989-08-12,607.0,-190.0
1989-08-19,618.0,11.0
1989-08-26,524.0,-94.0
1989-09-02,654.0,130.0
1989-09-09,482.0,-172.0
1989-09-16,614.0,132.0
1989-09-23,382.0,-232.0
1989-09-30,635.0,253.0
1989-10-07,759.0,124.0
1989-10-14,598.0,-161.0
1989-10-21,560.0,-38.0
1989-10-28,596.0,36.0
1989-11-04,593.0,-3.0
1989-11-11,532.0,-61.0
1989-11-18,564.0,32.0
1989-11-25,670.0,106.0
1989-12-02,776.0,106.0
1989-12-09,660.0,-116.0
1989-12-16,932.0,272.0
1989-12-23,1179.0,247.0
1989-12-30,738.0,-441.0
1990-01-06,1092.0,354.0
1990-01-13,1159.0,67.0
1990-01-20,795.0,-364.0
1990-01-27,692.0,-103.0
1990-02-03,784.0,92.0
1990-02-10,802.0,18.0
1990-02-17,590.0,-212.0
1990-02-24,751.0,161.0
1990-03-03,599.0,-152.0
1990-03-10,778.0,179.0
1990-03-17,641.0,-137.0
1990-03-24,689.0,48.0
1990-03-31,509.0,-180.0
1990-04-07,698.0,189.0
1990-04-14,728.0,30.0
1990-04-21,552.0,-176.0
1990-04-28,617.0,65.0
1990-05-05,649.0,32.0
1990-05-12,594.0,-55.0
1990-05-19,655.0,61.0
1990-05-26,859.0,204.0
1990-06-02,474.0,-385.0
1990-06-09,738.0,264.0
1990-06-16,712.0,-26.0
1990-06-23,674.0,-38.0
1990-06-30,898.0,224.0
1990-07-07,642.0,-256.0
1990-07-14,1029.0,387.0
1990-07-21,909.0,-120.0
1990-07-28,772.0,-137.0
1990-08-04,1064.0,292.0
1990-08-11,512.0,-552.0
1990-08-18,1169.0,657.0
1990-08-25,678.0,-491.0
1990-09-01,667.0,-11.0
1990-09-08,600.0,-67.0
1990-09-15,864.0,264.0
1990-09-22,760.0,-104.0
1990-09-29,682.0,-78.0
1990-10-06,761.0,79.0
1990-10-13,755.0,-6.0
1990-10-20,789.0,34.0
1990-10-27,1055.0,266.0
1990-11-03,920.0,-135.0
1990-11-10,793.0,-127.0
1990-11-17,716.0,-77.0
1990-11-24,988.0,272.0
1990-12-01,1010.0,22.0
1990-12-08,939.0,-71.0
1990-12-15,886.0,-53.0
1990-12-22,1057.0,171.0
1990-12-29,947.0,-110.0
1991-01-05,811.0,-136.0
1991-01-12,960.0,149.0
1991-01-19,1510.0,550.0
1991-01-26,1171.0,-339.0
1991-02-02,1286.0,115.0
