Date,Values,Delta Calculations
1986-12-27,287505.0, 
1987-01-03,289742.0,2237.0
1987-01-10,289742.0,0.0
1987-01-17,289742.0,0.0
1987-01-24,289742.0,0.0
1987-01-31,289742.0,0.0
1987-02-07,289742.0,0.0
1987-02-14,289742.0,0.0
1987-02-21,289742.0,0.0
1987-02-28,289742.0,0.0
1987-03-07,289742.0,0.0
1987-03-14,289742.0,0.0
1987-03-21,289742.0,0.0
1987-03-28,289742.0,0.0
1987-04-04,293115.0,3373.0
1987-04-11,293115.0,0.0
1987-04-18,293115.0,0.0
1987-04-25,293115.0,0.0
1987-05-09,293115.0,0.0
1987-05-16,293115.0,0.0
1987-05-23,293115.0,0.0
1987-05-30,293115.0,0.0
1987-06-06,293115.0,0.0
1987-06-13,293115.0,0.0
1987-06-20,293115.0,0.0
1987-06-27,293115.0,0.0
1987-07-04,294090.0,975.0
1987-07-11,294090.0,0.0
1987-07-18,294090.0,0.0
1987-07-25,294090.0,0.0
1987-08-01,294090.0,0.0
1987-08-08,294090.0,0.0
1987-08-15,294090.0,0.0
1987-08-22,294090.0,0.0
1987-08-29,294090.0,0.0
1987-09-05,294090.0,0.0
1987-09-12,294090.0,0.0
1987-09-19,294090.0,0.0
1987-09-26,294090.0,0.0
1987-10-03,297746.0,3656.0
1987-10-10,297746.0,0.0
1987-10-17,297746.0,0.0
1987-10-24,297746.0,0.0
1987-10-31,297746.0,0.0
1987-11-07,297746.0,0.0
1987-11-14,297746.0,0.0
1987-11-21,297746.0,0.0
1987-11-28,297746.0,0.0
1987-12-05,297746.0,0.0
1987-12-12,297746.0,0.0
1987-12-19,297746.0,0.0
1987-12-26,297746.0,0.0
1988-01-02,298407.0,661.0
1988-01-09,298407.0,0.0
1988-01-16,298407.0,0.0
1988-01-23,298407.0,0.0
1988-01-30,298407.0,0.0
1988-02-06,298407.0,0.0
1988-02-13,298407.0,0.0
1988-02-20,298407.0,0.0
1988-02-27,298407.0,0.0
1988-03-05,298407.0,0.0
1988-03-12,298407.0,0.0
1988-03-19,298407.0,0.0
1988-03-26,298407.0,0.0
1988-04-02,303183.0,4776.0
1988-04-09,303183.0,0.0
1988-04-16,303183.0,0.0
1988-04-23,303183.0,0.0
1988-04-30,303183.0,0.0
1988-05-07,303183.0,0.0
1988-05-14,303183.0,0.0
1988-05-21,303183.0,0.0
1988-05-28,303183.0,0.0
1988-06-04,303183.0,0.0
1988-06-11,303183.0,0.0
1988-06-18,383183.0,80000.0
1988-06-25,303183.0,-80000.0
1988-07-02,310803.0,7620.0
1988-07-09,310803.0,0.0
1988-07-16,310803.0,0.0
1988-07-23,310803.0,0.0
1988-07-30,310803.0,0.0
1988-08-06,310803.0,0.0
1988-08-13,310803.0,0.0
1988-08-20,310803.0,0.0
1988-08-27,310803.0,0.0
1988-09-03,310803.0,0.0
1988-09-10,310803.0,0.0
1988-09-17,310803.0,0.0
1988-09-24,310803.0,0.0
