Date,Values,Delta Calculations
2001-01-03,42786.5575, 
2001-01-10,44206.647,1420.0895000000019
2001-01-17,44607.0928,400.44579999999405
2001-01-24,43340.9255,-1266.167300000001
2001-01-31,45885.039,2544.1135000000068
2001-02-07,47383.6414,1498.6023999999961
2001-02-14,53871.4465,6487.805099999998
2001-02-21,60551.439,6679.992500000008
2001-02-28,64241.536,3690.096999999987
2001-03-07,60536.7941,-3704.7418999999936
2001-03-14,61715.2639,1178.469799999999
2001-03-21,65242.2654,3527.0014999999985
2001-03-28,63102.0527,-2140.2126999999964
2001-04-04,62041.7837,-1060.2690000000002
2001-04-11,64899.7906,2858.0069000000003
2001-04-18,68319.4977,3419.707100000007
2001-04-25,69018.0722,698.5744999999879
2001-05-02,66796.085,-2221.9871999999887
2001-05-09,66240.7657,-555.3193000000028
2001-05-16,64434.7387,-1806.0270000000019
2001-05-23,63079.7587,-1354.9800000000032
2001-05-30,62039.1452,-1040.6134999999995
2001-06-06,52295.8404,-9743.304799999998
2001-06-13,42633.1395,-9662.700900000003
2001-06-20,33384.2981,-9248.841399999998
2001-06-27,26949.4513,-6434.846799999999
2001-07-04,23066.0291,-3883.422200000001
2001-07-11,21214.8864,-1851.1427000000003
2001-07-18,19463.1467,-1751.7396999999983
2001-07-25,18148.9536,-1314.1931000000004
2001-08-01,17167.9552,-980.9984000000004
2001-08-08,16851.5875,-316.3676999999989
2001-08-15,15941.681,-909.906500000001
2001-08-22,14882.7213,-1058.9597000000012
2001-08-29,14653.9334,-228.78789999999935
2001-09-05,13504.5352,-1149.3981999999996
2001-09-12,12411.5406,-1092.9946
2001-09-19,13881.8747,1470.3341
2001-09-26,13659.9778,-221.89689999999973
2001-10-03,13249.666,-410.3117999999995
2001-10-10,13231.5418,-18.1242000000002
2001-10-17,13804.618,573.0761999999995
2001-10-24,12965.7465,-838.8715000000011
2001-10-31,22959.9305,9994.184
2001-11-07,27367.5787,4407.6482
2001-11-14,29745.5195,2377.9408000000003
2001-11-21,34134.2568,4388.737300000004
2001-11-28,35009.5369,875.2800999999963
2001-12-05,35768.8307,759.2937999999995
2001-12-12,35278.5947,-490.23599999999715
2001-12-19,38274.9667,2996.3719999999958
2001-12-26,38362.3908,87.42410000000382
2002-01-02,38158.5225,-203.8683000000019
2002-01-09,39935.0436,1776.5210999999981
2002-01-16,44923.8719,4988.828300000001
2002-01-23,46694.483,1770.611100000002
2002-01-30,53601.4778,6906.9948
