Date,Values,Delta Calculations
2001-01-03,80.1, 
2001-01-10,80.5,0.4000000000000057
2001-01-17,80.1,-0.4000000000000057
2001-01-24,81.2,1.1000000000000085
2001-01-31,81.5,0.29999999999999716
2001-02-07,81.1,-0.4000000000000057
2001-02-14,78.6,-2.5
2001-02-21,76.9,-1.6999999999999886
2001-02-28,77.4,0.5
2001-03-07,75.5,-1.9000000000000057
2001-03-14,72.3,-3.200000000000003
2001-03-21,74.4,2.1000000000000085
2001-03-28,76.0,1.5999999999999943
2001-04-04,75.2,-0.7999999999999972
2001-04-11,75.3,0.09999999999999432
2001-04-18,75.2,-0.09999999999999432
2001-04-25,77.2,2.0
2001-05-02,76.8,-0.4000000000000057
2001-05-09,79.3,2.5
2001-05-16,80.2,0.9000000000000057
2001-05-23,83.4,3.200000000000003
2001-05-30,81.9,-1.5
2001-06-06,79.3,-2.6000000000000085
2001-06-13,81.5,2.200000000000003
2001-06-20,84.0,2.5
2001-06-27,81.9,-2.0999999999999943
2001-07-04,81.3,-0.6000000000000085
2001-07-11,80.8,-0.5
2001-07-18,79.8,-1.0
2001-07-25,80.6,0.7999999999999972
2001-08-01,82.3,1.7000000000000028
2001-08-08,82.4,0.10000000000000853
2001-08-15,80.5,-1.9000000000000057
2001-08-22,78.4,-2.0999999999999943
2001-08-29,80.8,2.3999999999999915
2001-09-05,80.5,-0.29999999999999716
2001-09-12,78.4,-2.0999999999999943
2001-09-19,76.3,-2.1000000000000085
2001-09-26,81.0,4.700000000000003
2001-10-03,80.1,-0.9000000000000057
2001-10-10,81.4,1.3000000000000114
2001-10-17,81.6,0.19999999999998863
2001-10-24,77.9,-3.6999999999999886
2001-10-31,75.1,-2.8000000000000114
2001-11-07,76.3,1.2000000000000028
2001-11-14,80.3,4.0
2001-11-21,77.5,-2.799999999999997
2001-11-28,76.0,-1.5
2001-12-05,76.3,0.29999999999999716
2001-12-12,76.7,0.4000000000000057
2001-12-19,78.9,2.200000000000003
2001-12-26,79.2,0.29999999999999716
2002-01-02,79.4,0.20000000000000284
2002-01-09,85.4,6.0
2002-01-16,88.4,3.0
2002-01-23,88.6,0.19999999999998863
2002-01-30,87.7,-0.8999999999999915
2002-02-06,83.9,-3.799999999999997
2002-02-13,82.0,-1.9000000000000057
2002-02-20,80.0,-2.0
2002-02-27,84.3,4.299999999999997
2002-03-06,87.6,3.299999999999997
2002-03-13,87.0,-0.5999999999999943
2002-03-20,88.9,1.9000000000000057
2002-03-27,88.4,-0.5
2002-04-03,84.0,-4.400000000000006
2002-04-10,86.9,2.9000000000000057
2002-04-17,88.4,1.5
2002-04-24,93.0,4.599999999999994
