Date,Values,Delta Calculations
1986-12-27,53692.0, 
1987-01-03,66958.0,13266.0
1987-01-10,58456.0,-8502.0
1987-01-17,47678.0,-10778.0
1987-01-24,58273.0,10595.0
1987-01-31,51075.0,-7198.0
1987-02-07,56114.0,5039.0
1987-02-14,49852.0,-6262.0
1987-02-21,51665.0,1813.0
1987-02-28,49099.0,-2566.0
1987-03-07,48722.0,-377.0
1987-03-14,47676.0,-1046.0
1987-03-21,46851.0,-825.0
1987-03-28,45955.0,-896.0
1987-04-04,44035.0,-1920.0
1987-04-11,41587.0,-2448.0
1987-04-18,44281.0,2694.0
1987-04-25,40156.0,-4125.0
1987-05-02,40649.0,493.0
1987-05-09,38187.0,-2462.0
1987-05-16,38750.0,563.0
1987-05-23,36400.0,-2350.0
1987-05-30,38440.0,2040.0
1987-06-06,39131.0,691.0
1987-06-13,37228.0,-1903.0
1987-06-20,39032.0,1804.0
1987-06-27,35691.0,-3341.0
1987-07-04,41840.0,6149.0
1987-07-11,45456.0,3616.0
1987-07-18,43365.0,-2091.0
1987-07-25,40984.0,-2381.0
1987-08-01,39262.0,-1722.0
1987-08-08,39695.0,433.0
1987-08-15,38011.0,-1684.0
1987-08-22,37305.0,-706.0
1987-08-29,36461.0,-844.0
1987-09-05,33922.0,-2539.0
1987-09-12,35721.0,1799.0
1987-09-19,34279.0,-1442.0
1987-09-26,33222.0,-1057.0
1987-10-03,32378.0,-844.0
1987-10-10,30665.0,-1713.0
1987-10-17,32807.0,2142.0
1987-10-24,31715.0,-1092.0
1987-10-31,30991.0,-724.0
1987-11-07,29704.0,-1287.0
1987-11-14,31618.0,1914.0
1987-11-21,24970.0,-6648.0
1987-11-28,39470.0,14500.0
1987-12-05,34584.0,-4886.0
1987-12-12,32992.0,-1592.0
1987-12-19,28533.0,-4459.0
1987-12-26,40287.0,11754.0
1988-01-02,43245.0,2958.0
1988-01-09,60390.0,17145.0
1988-01-16,45296.0,-15094.0
1988-01-23,46175.0,879.0
1988-01-30,40703.0,-5472.0
1988-02-06,40741.0,38.0
1988-02-13,39095.0,-1646.0
1988-02-20,40119.0,1024.0
1988-02-27,37970.0,-2149.0
1988-03-05,38160.0,190.0
1988-03-12,37043.0,-1117.0
1988-03-19,36288.0,-755.0
1988-03-26,35050.0,-1238.0
1988-04-02,35476.0,426.0
1988-04-09,35609.0,133.0
1988-04-16,33753.0,-1856.0
1988-04-23,33020.0,-733.0
1988-04-30,31649.0,-1371.0
1988-05-07,30768.0,-881.0
1988-05-14,30580.0,-188.0
1988-05-21,30540.0,-40.0
1988-05-28,28587.0,-1953.0
1988-06-04,31047.0,2460.0
