Date,Values,Delta Calculations
1986-12-27,2459839.0, 
1987-01-03,2489145.0,29306.0
1987-01-10,2489145.0,0.0
1987-01-17,2489145.0,0.0
1987-01-24,2489145.0,0.0
1987-01-31,2489145.0,0.0
1987-02-07,2489145.0,0.0
1987-02-14,2489145.0,0.0
1987-02-21,2489145.0,0.0
1987-02-28,2489145.0,0.0
1987-03-07,2489145.0,0.0
1987-03-14,2489145.0,0.0
1987-03-21,2489145.0,0.0
1987-03-28,2489145.0,0.0
1987-04-04,2513770.0,24625.0
1987-04-11,2513770.0,0.0
1987-04-18,2513770.0,0.0
1987-04-25,2513770.0,0.0
1987-05-02,2513770.0,0.0
1987-05-09,2513770.0,0.0
1987-05-16,2513770.0,0.0
1987-05-23,2513770.0,0.0
1987-05-30,2513770.0,0.0
1987-06-06,2513770.0,0.0
1987-06-13,2513770.0,0.0
1987-06-20,2513770.0,0.0
1987-06-27,2513770.0,0.0
1987-07-04,2541985.0,28215.0
1987-07-11,2541985.0,0.0
1987-07-18,2541985.0,0.0
1987-07-25,2541985.0,0.0
1987-08-01,2541985.0,0.0
1987-08-08,2541985.0,0.0
1987-08-15,2541985.0,0.0
1987-08-22,2541985.0,0.0
1987-08-29,2541985.0,0.0
1987-09-05,2541985.0,0.0
1987-09-12,2541985.0,0.0
1987-09-19,2541985.0,0.0
1987-09-26,2541985.0,0.0
1987-10-03,2566324.0,24339.0
1987-10-10,2566324.0,0.0
1987-10-17,2566324.0,0.0
1987-10-24,2566324.0,0.0
1987-10-31,2566324.0,0.0
1987-11-07,2566324.0,0.0
1987-11-14,2566324.0,0.0
1987-11-21,2566324.0,0.0
1987-11-28,2566324.0,0.0
1987-12-05,2566324.0,0.0
1987-12-12,2566324.0,0.0
1987-12-19,2566324.0,0.0
1987-12-26,2566324.0,0.0
1988-01-02,2604056.0,37732.0
1988-01-09,2604056.0,0.0
1988-01-16,2604056.0,0.0
1988-01-23,2604056.0,0.0
1988-01-30,2604056.0,0.0
1988-02-06,2604056.0,0.0
1988-02-13,2604056.0,0.0
1988-02-20,2604056.0,0.0
1988-02-27,2604056.0,0.0
1988-03-05,2604056.0,0.0
1988-03-12,2604056.0,0.0
1988-03-19,2604056.0,0.0
1988-03-26,2604056.0,0.0
1988-04-02,2631185.0,27129.0
1988-04-09,2631185.0,0.0
1988-04-16,2631185.0,0.0
1988-04-23,2631185.0,0.0
1988-04-30,2631185.0,0.0
1988-05-07,2630085.0,-1100.0
1988-05-14,2631185.0,1100.0
1988-05-21,2631185.0,0.0
1988-05-28,2631185.0,0.0
1988-06-04,2631185.0,0.0
1988-06-11,2631185.0,0.0
1988-06-18,2631185.0,0.0
1988-06-25,2631185.0,0.0
1988-07-02,2658751.0,27566.0
1988-07-09,2658751.0,0.0
1988-07-16,2658751.0,0.0
1988-07-23,2658751.0,0.0
1988-07-30,2658751.0,0.0
1988-08-06,2658751.0,0.0
1988-08-13,2658751.0,0.0
1988-08-20,2658751.0,0.0
1988-08-27,2658751.0,0.0
1988-09-03,2658751.0,0.0
1988-09-10,2658751.0,0.0
1988-09-17,2658751.0,0.0
1988-09-24,2658751.0,0.0
1988-10-01,2686578.0,27827.0
1988-10-08,2686578.0,0.0
1988-10-15,2686578.0,0.0
1988-10-22,2686578.0,0.0
1988-10-29,2686578.0,0.0
1988-11-05,2686578.0,0.0
1988-11-12,2686578.0,0.0
1988-11-19,2686578.0,0.0
1988-11-26,2686578.0,0.0
1988-12-03,2686578.0,0.0
1988-12-10,2686578.0,0.0
1988-12-17,2686518.0,-60.0
1988-12-24,2686578.0,60.0
1988-12-31,2697834.0,11256.0
1989-01-07,2697834.0,0.0
1989-01-14,2697834.0,0.0
1989-01-21,2697834.0,0.0
1989-01-28,2697834.0,0.0
1989-02-04,2697834.0,0.0
1989-02-11,2697834.0,0.0
1989-02-18,2697834.0,0.0
1989-02-25,2697834.0,0.0
1989-03-04,2697834.0,0.0
1989-03-11,2697834.0,0.0
1989-03-18,2697834.0,0.0
1989-03-25,2697834.0,0.0
1989-04-01,2697834.0,0.0
1989-04-08,2719326.0,21492.0
1989-04-15,2719326.0,0.0
1989-04-22,2719326.0,0.0
1989-04-29,2719326.0,0.0
1989-05-06,2719326.0,0.0
1989-05-13,2719326.0,0.0
1989-05-20,2719326.0,0.0
1989-05-27,2719326.0,0.0
1989-06-03,2719326.0,0.0
1989-06-10,2719326.0,0.0
1989-06-17,2719326.0,0.0
1989-06-24,2719326.0,0.0
1989-07-01,2719326.0,0.0
1989-07-08,2719326.0,0.0
1989-07-15,2737452.0,18126.0
1989-07-22,2737452.0,0.0
1989-07-29,2737425.0,-27.0
1989-08-05,2737425.0,0.0
1989-08-12,2737452.0,27.0
1989-08-19,2737452.0,0.0
1989-08-26,2737452.0,0.0
1989-09-02,2737452.0,0.0
1989-09-09,2737452.0,0.0
1989-09-16,2737452.0,0.0
1989-09-23,2737452.0,0.0
1989-09-30,2737452.0,0.0
1989-10-07,2755640.0,18188.0
1989-10-14,2755640.0,0.0
1989-10-21,2755640.0,0.0
1989-10-28,2755640.0,0.0
1989-11-04,2755640.0,0.0
1989-11-11,2755640.0,0.0
1989-11-18,2755640.0,0.0
1989-11-25,2755640.0,0.0
1989-12-02,2755640.0,0.0
1989-12-09,2755640.0,0.0
1989-12-16,2755640.0,0.0
1989-12-23,2755640.0,0.0
1989-12-30,2755640.0,0.0
1990-01-06,2771986.0,16346.0
1990-01-13,2771986.0,0.0
1990-01-20,2771986.0,0.0
1990-01-27,2771986.0,0.0
