Date,Values,Delta Calculations
1994-11-28,1.217, 
1994-12-05,1.223,0.005999999999999783
1994-12-12,1.214,-0.008999999999999897
1994-12-19,1.201,-0.013000000000000123
1994-12-26,1.191,-0.010000000000000009
1995-01-02,1.165,-0.0259999999999998
1995-01-09,1.165,0.0
1995-01-16,1.159,-0.006000000000000005
1995-01-23,1.152,-0.006999999999999895
1995-01-30,1.155,0.0029999999999998916
1995-02-06,1.153,-0.0020000000000000018
1995-02-13,1.152,-0.0009999999999998899
1995-02-20,1.146,-0.006000000000000227
1995-02-27,1.144,-0.0019999999999997797
1995-03-06,1.148,0.0039999999999997815
1995-03-13,1.143,-0.004999999999999893
1995-03-20,1.134,-0.008999999999999897
1995-03-27,1.132,-0.0020000000000000018
1995-04-03,1.137,0.004999999999999893
1995-04-10,1.136,-0.001000000000000112
1995-04-17,1.147,0.01100000000000012
1995-04-24,1.167,0.020000000000000018
1995-05-01,1.18,0.0129999999999999
1995-05-08,1.186,0.006000000000000005
1995-05-15,1.195,0.009000000000000119
1995-05-22,1.217,0.02200000000000002
1995-05-29,1.224,0.006999999999999895
1995-06-05,1.22,-0.0040000000000000036
1995-06-12,1.221,0.0009999999999998899
1995-06-19,1.22,-0.0009999999999998899
1995-06-26,1.219,-0.0009999999999998899
1995-07-03,1.212,-0.007000000000000117
1995-07-10,1.206,-0.006000000000000005
1995-07-17,1.197,-0.008999999999999897
1995-07-24,1.183,-0.014000000000000012
1995-07-31,1.173,-0.010000000000000009
1995-08-07,1.164,-0.008999999999999897
1995-08-14,1.154,-0.010000000000000009
1995-08-21,1.143,-0.01100000000000012
1995-08-28,1.137,-0.006000000000000005
1995-09-04,1.128,-0.009000000000000119
1995-09-11,1.124,-0.0039999999999997815
1995-09-18,1.117,-0.007000000000000117
1995-09-25,1.109,-0.008000000000000007
1995-10-02,1.1,-0.008999999999999897
1995-10-09,1.099,-0.001000000000000112
1995-10-16,1.094,-0.004999999999999893
1995-10-23,1.087,-0.007000000000000117
1995-10-30,1.075,-0.01200000000000001
1995-11-06,1.065,-0.010000000000000009
1995-11-13,1.06,-0.004999999999999893
1995-11-20,1.046,-0.014000000000000012
1995-11-27,1.041,-0.0050000000000001155
1995-12-04,1.055,0.014000000000000012
1995-12-11,1.053,-0.0020000000000000018
1995-12-18,1.057,0.0040000000000000036
1995-12-25,1.066,0.008999999999999897
1996-01-01,1.07,0.004000000000000226
1996-01-08,1.086,0.015999999999999792
1996-01-15,1.098,0.01200000000000001
1996-01-22,1.094,-0.0039999999999997815
1996-01-29,1.092,-0.0020000000000000018
1996-02-05,1.094,0.0020000000000000018
1996-02-12,1.092,-0.0020000000000000018
1996-02-19,1.093,0.0009999999999998899
1996-02-26,1.108,0.014999999999999902
1996-03-04,1.132,0.024000000000000243
1996-03-11,1.139,0.006999999999999895
1996-03-18,1.148,0.008999999999999897
1996-03-25,1.173,0.025000000000000133
1996-04-01,1.186,0.0129999999999999
1996-04-08,1.224,0.038000000000000034
1996-04-15,1.272,0.04800000000000004
1996-04-22,1.297,0.02499999999999991
1996-04-29,1.299,0.002000000000000224
1996-05-06,1.298,-0.001000000000000112
1996-05-13,1.298,0.0
1996-05-20,1.291,-0.007000000000000117
1996-05-27,1.289,-0.0019999999999997797
1996-06-03,1.29,0.0009999999999998899
1996-06-10,1.278,-0.01200000000000001
1996-06-17,1.267,-0.010999999999999899
1996-06-24,1.25,-0.017000000000000126
1996-07-01,1.24,-0.010000000000000009
1996-07-08,1.228,-0.01200000000000001
1996-07-15,1.221,-0.007000000000000117
1996-07-22,1.215,-0.005999999999999783
1996-07-29,1.208,-0.007000000000000117
1996-08-05,1.199,-0.008999999999999897
1996-08-12,1.187,-0.01200000000000001
1996-08-19,1.177,-0.010000000000000009
1996-08-26,1.178,0.0009999999999998899
1996-09-02,1.174,-0.0039999999999997815
1996-09-09,1.177,0.0029999999999998916
1996-09-16,1.187,0.010000000000000009
1996-09-23,1.196,0.008999999999999897
1996-09-30,1.191,-0.0050000000000001155
1996-10-07,1.196,0.0050000000000001155
1996-10-14,1.2,0.0040000000000000036
1996-10-21,1.193,-0.006999999999999895
1996-10-28,1.197,0.0040000000000000036
1996-11-04,1.197,0.0
1996-11-11,1.208,0.010999999999999899
1996-11-18,1.215,0.007000000000000117
1996-11-25,1.217,0.0020000000000000018
1996-12-02,1.219,0.0020000000000000018
1996-12-09,1.214,-0.0050000000000001155
1996-12-16,1.217,0.0030000000000001137
1996-12-23,1.212,-0.0050000000000001155
1996-12-30,1.208,-0.0040000000000000036
1997-01-06,1.21,0.0020000000000000018
1997-01-13,1.21,0.0
1997-01-20,1.215,0.0050000000000001155
1997-01-27,1.209,-0.006000000000000005
1997-02-03,1.21,0.0009999999999998899
1997-02-10,1.209,-0.0009999999999998899
1997-02-17,1.206,-0.0030000000000001137
1997-02-24,1.203,-0.0029999999999998916
1997-03-03,1.195,-0.008000000000000007
1997-03-10,1.191,-0.004000000000000226
1997-03-17,1.187,-0.0039999999999997815
1997-03-24,1.193,0.006000000000000005
1997-03-31,1.191,-0.002000000000000224
1997-04-07,1.186,-0.004999999999999893
1997-04-14,1.18,-0.006000000000000005
1997-04-21,1.181,0.001000000000000112
1997-04-28,1.177,-0.0040000000000000036
1997-05-05,1.174,-0.0029999999999998916
1997-05-12,1.175,0.0009999999999998899
1997-05-19,1.18,0.004999999999999893
1997-05-26,1.195,0.015000000000000124
1997-06-02,1.195,0.0
1997-06-09,1.194,-0.001000000000000112
1997-06-16,1.191,-0.0030000000000001137
1997-06-23,1.185,-0.005999999999999783
1997-06-30,1.177,-0.008000000000000007
1997-07-07,1.17,-0.007000000000000117
1997-07-14,1.163,-0.006999999999999895
1997-07-21,1.163,0.0
1997-07-28,1.159,-0.0040000000000000036
1997-08-04,1.177,0.018000000000000016
1997-08-11,1.224,0.04699999999999993
1997-08-18,1.218,-0.006000000000000005
1997-08-25,1.231,0.0129999999999999
1997-09-01,1.232,0.001000000000000112
1997-09-08,1.232,0.0
1997-09-15,1.228,-0.0040000000000000036
1997-09-22,1.221,-0.007000000000000117
1997-09-29,1.207,-0.01399999999999979
1997-10-06,1.2,-0.007000000000000117
1997-10-13,1.193,-0.006999999999999895
1997-10-20,1.192,-0.001000000000000112
1997-10-27,1.176,-0.016000000000000014
1997-11-03,1.168,-0.008000000000000007
1997-11-10,1.163,-0.004999999999999893
1997-11-17,1.155,-0.008000000000000007
1997-11-24,1.152,-0.0029999999999998916
1997-12-01,1.15,-0.002000000000000224
1997-12-08,1.143,-0.006999999999999895
1997-12-15,1.136,-0.007000000000000117
1997-12-22,1.13,-0.006000000000000005
1997-12-29,1.126,-0.0040000000000000036
1998-01-05,1.122,-0.0039999999999997815
1998-01-12,1.112,-0.010000000000000009
1998-01-19,1.101,-0.01100000000000012
1998-01-26,1.09,-0.010999999999999899
1998-02-02,1.074,-0.016000000000000014
1998-02-09,1.068,-0.006000000000000005
1998-02-16,1.053,-0.015000000000000124
1998-02-23,1.048,-0.004999999999999893
1998-03-02,1.044,-0.0040000000000000036
1998-03-09,1.031,-0.013000000000000123
1998-03-16,1.021,-0.010000000000000009
1998-03-23,1.01,-0.010999999999999899
1998-03-30,1.026,0.016000000000000014
1998-04-06,1.039,0.013000000000000123
1998-04-13,1.034,-0.0050000000000001155
1998-04-20,1.03,-0.0040000000000000036
1998-04-27,1.034,0.0040000000000000036
1998-05-04,1.028,-0.006000000000000005
1998-05-11,1.042,0.014000000000000012
1998-05-18,1.041,-0.001000000000000112
1998-05-25,1.041,0.0
1998-06-01,1.039,-0.0019999999999997797
1998-06-08,1.039,0.0
1998-06-15,1.038,-0.001000000000000112
1998-06-22,1.035,-0.0030000000000001137
1998-06-29,1.03,-0.004999999999999893
1998-07-06,1.031,0.0009999999999998899
1998-07-13,1.031,0.0
1998-07-20,1.037,0.006000000000000005
1998-07-27,1.028,-0.008999999999999897
1998-08-03,1.026,-0.0020000000000000018
1998-08-10,1.02,-0.006000000000000005
1998-08-17,1.015,-0.0050000000000001155
1998-08-24,1.011,-0.0040000000000000036
